# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-12 00:46:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/3wrf599f.json
# init = 2 (Default)
# random
#   seed = 37286
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/h-asym_BOW_j.h-nonsems/hreg-20250511194646_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.487616
# Diagonal elements of inverse mass matrix:
# 2.19023e-05, 1.64527e-05, 0.000113046, 0.000101195, 0.000123034, 0.000123011, 0.000130117, 0.000135741, 0.00017532, 0.000143982, 0.000154723, 0.000130142, 0.000137, 0.000109781, 0.000111619, 0.000104862, 0.000108192, 0.000154479, 0.000125543, 0.000138476, 0.000221046, 0.000106307, 0.000106107, 0.000140978, 0.000146035, 0.000120672, 0.00017897, 0.000141788, 0.000121807, 0.00189805, 0.000879716, 0.000245656, 0.0755094, 0.0805451, 0.0909457
-33721.3,0.977495,0.487616,3,7,0,33742.5,-0.0187065,0.968802,0.127513,-0.0237262,0.265973,0.135693,0.320978,0.15422,0.0778612,0.086407,0.260946,0.152448,-0.0351238,0.0988006,0.0640929,0.0219288,0.150438,0.134275,0.131445,0.143628,-0.0206228,-0.0490121,0.0430091,-0.0322332,0.00806084,0.0171169,0.0384927,-0.0286503,-0.0402018,0.162995,0.082726,0.00635284,0.111566,0.086375,0.0430394,-34409.9
-33715.5,0.974471,0.487616,3,7,0,33735.4,-0.00452994,0.975212,0.132807,-0.033295,0.233559,0.117234,0.293939,0.165816,0.0931011,0.0791419,0.277951,0.173009,-0.0567308,0.102512,0.0893606,0.0146194,0.15258,0.119043,0.138039,0.157235,-0.00843799,-0.0282127,0.050895,-0.0294991,0.0122096,0.0336379,0.0265212,-0.0272833,-0.0408816,0.0864164,0.0757043,-0.00120231,0.135641,0.0815404,0.0272183,-34381
-33715.8,0.989079,0.487616,3,7,0,33727.4,-0.0157785,0.965398,0.150209,-0.0310099,0.220462,0.113325,0.315499,0.15785,0.0557186,0.0641317,0.244988,0.156696,-0.0253068,0.108029,0.0864986,0.00547934,0.171023,0.112906,0.147667,0.142563,-0.0338327,-0.0536458,0.0326842,-0.0281881,-5.51144e-05,0.0256908,0.0481013,-0.0190461,-0.0248497,0.202708,0.119546,-0.00719476,0.116153,0.0628591,0.0436118,-34383.5
-33719.3,0.879983,0.487616,3,7,0,33734.6,-0.0151969,0.967066,0.153218,-0.0404763,0.217255,0.0992103,0.312066,0.182676,0.0825447,0.0689873,0.243843,0.170179,-0.0260912,0.108864,0.0966004,0.0137044,0.182042,0.137066,0.149416,0.168495,-0.0315636,-0.0441779,0.0248237,-0.0244898,0.00882268,0.0252156,0.0346014,-0.0156801,-0.0302105,0.19097,0.0715189,-0.0233167,0.115918,0.0611594,0.035092,-34422.4
-33720.2,0.704559,0.487616,3,7,0,33747.5,-0.00912246,0.96423,0.157683,-0.0470119,0.220405,0.0998657,0.300083,0.168812,0.069844,0.0611549,0.238575,0.177401,-0.0292529,0.111758,0.103564,0.00675486,0.176213,0.136029,0.147048,0.162404,-0.0424467,-0.045351,0.0315583,-0.0330246,0.0197504,0.0227946,0.0248655,-0.0121086,-0.0373778,0.155736,0.0882443,-0.0198496,0.116063,0.0626417,0.0272872,-34413.4
-33718,0.924127,0.487616,3,7,0,33737.2,-0.00975001,0.972432,0.145239,-0.0295757,0.260563,0.118262,0.31655,0.16414,0.0581205,0.0869788,0.23462,0.185592,-0.0280949,0.114856,0.0926624,0.0273337,0.172054,0.13739,0.147756,0.151794,-0.0249865,-0.0428081,0.0282671,-0.0467397,0.00736525,0.0410937,0.0452297,-0.0163306,-0.0328631,0.182382,0.111781,-0.00889656,0.134745,0.0905636,0.0451648,-34433.1
-33725.9,0.760917,0.487616,3,7,0,33739.4,-0.00624862,0.965887,0.138232,-0.0550283,0.226839,0.120214,0.299598,0.132842,0.0527986,0.0704055,0.265597,0.17373,-0.0378891,0.111249,0.0826363,0.00432219,0.161634,0.110739,0.125169,0.154709,-0.0218201,-0.0597471,0.0272491,-0.0379977,0.0385315,0.0462842,0.0325488,-0.0245743,-0.0597247,0.197199,0.107408,-0.0176596,0.111193,0.0521353,0.0631401,-34384.4
-33715.8,0.908755,0.487616,3,7,0,33741.8,-0.0125696,0.973717,0.1219,-0.0424919,0.231782,0.108831,0.290261,0.141264,0.0823126,0.0888174,0.264847,0.157749,-0.0456835,0.101732,0.0867059,0.0292777,0.164973,0.132393,0.156758,0.152615,-0.0169591,-0.0285584,0.0350696,-0.0246404,0.00864935,0.0324697,0.0378687,-0.0277914,-0.0204431,0.114443,0.0591877,0.00295553,0.0834891,0.0986241,0.0213084,-34364.9
-33723.5,0.213539,0.487616,3,7,0,33737.3,-0.008745,0.96689,0.160141,-0.0449433,0.248964,0.126359,0.304652,0.173866,0.0641216,0.0548942,0.23557,0.170439,-0.0341197,0.0897562,0.0775274,-0.00308409,0.170378,0.105732,0.131731,0.165824,-0.0277926,-0.0521332,0.0451574,-0.0393805,0.00879459,0.0343465,0.0340155,-0.0111158,-0.0620452,0.177895,0.113073,-0.0157961,0.196276,0.0695641,0.111577,-34407
-33719.5,0.842673,0.487616,3,7,0,33744.5,-0.0117775,0.970953,0.139232,-0.0140436,0.223778,0.11411,0.318894,0.143613,0.0717499,0.0816236,0.284805,0.159141,-0.0408297,0.116898,0.0878173,0.0136877,0.148666,0.135037,0.155933,0.135533,-0.0154107,-0.0361241,0.0471269,-0.0220219,0.011031,0.0373637,0.0344342,-0.0428451,-0.0229683,0.140657,0.0803751,-0.00694298,0.0752274,0.0891854,0.022105,-34392.1
-33712.5,0.904383,0.487616,3,7,0,33731,-0.00736121,0.969274,0.14148,-0.0340656,0.241263,0.128641,0.291329,0.156712,0.0570357,0.0774807,0.225407,0.16837,-0.0470516,0.0788786,0.0865424,0.00386939,0.161287,0.122241,0.132452,0.168663,-0.0127688,-0.0401539,0.0371135,-0.0254704,0.00918731,0.0267596,0.033769,-0.0286396,-0.0383823,0.12526,0.0618507,0.00758943,0.167924,0.0921246,0.051674,-34360.6
-33716.3,0.940579,0.487616,3,7,0,33725.7,-0.00826913,0.970463,0.140422,-0.029816,0.273844,0.122555,0.295114,0.173194,0.0752534,0.0669276,0.265195,0.156813,-0.0398424,0.0878468,0.0912127,0.0212402,0.161952,0.117561,0.127035,0.170718,-0.0207033,-0.0280923,0.0431605,-0.0173919,0.00753535,0.0374995,0.0317508,-0.0306474,-0.0355652,0.20055,0.105428,0.0283453,0.0976759,0.0600146,0.0462072,-34410.5
-33711,0.869749,0.487616,3,7,0,33728,-0.012673,0.972937,0.144925,-0.044362,0.244867,0.116597,0.296937,0.146381,0.0626148,0.0805482,0.262556,0.158171,-0.0297465,0.108151,0.0735335,0.00703375,0.184617,0.118389,0.140025,0.142833,-0.0233863,-0.035121,0.0533036,-0.021899,0.00503867,0.0393258,0.0458841,-0.00930427,-0.0430666,0.178709,0.0955864,0.000826811,0.137383,0.0538298,0.0485511,-34381.7
-33714.5,0.743533,0.487616,3,7,0,33727.9,-0.013937,0.970681,0.14482,-0.0617567,0.230778,0.109212,0.305694,0.142587,0.0623698,0.0712503,0.23461,0.168096,-0.0396155,0.106974,0.0951571,0.00447206,0.166224,0.115518,0.145673,0.160844,-0.0327429,-0.030058,0.0432521,-0.0200232,0.00362922,0.0367109,0.0448976,0.00711218,-0.0388826,0.115802,0.0786234,-0.00643819,0.141053,0.0561676,0.0361161,-34379.7
-33714.8,0.927186,0.487616,3,7,0,33728.7,-0.00717783,0.970518,0.141256,-0.0294268,0.220932,0.127057,0.293079,0.16998,0.0916279,0.0802157,0.252536,0.161969,-0.0303223,0.112726,0.0758262,0.0235839,0.162143,0.11432,0.135467,0.167935,-0.0105774,-0.0493112,0.0534722,-0.0388838,0.0147049,0.0410083,0.0413672,-0.0381903,-0.045279,0.165168,0.137545,0.0395059,0.0775322,0.1004,0.0711419,-34385.7
-33715,0.837204,0.487616,3,7,0,33735.1,-0.0128411,0.967661,0.140428,-0.046244,0.247259,0.112047,0.306751,0.144382,0.0489018,0.0686072,0.246749,0.180799,-0.0503503,0.0911148,0.0885215,0.00393866,0.172234,0.130063,0.152193,0.153731,-0.02682,-0.0295702,0.0347316,-0.0130934,0.000241061,0.0290292,0.0325524,-0.0115047,-0.0310254,0.106673,0.193954,-0.010872,0.144612,0.161597,0.0352233,-34400.4
