lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.41144
# Diagonal elements of inverse mass matrix:
# 2.19618e-05, 1.65393e-05, 0.000107391, 0.000125043, 0.000112314, 0.000122496, 0.00012475, 0.000112695, 0.000186534, 0.000174997, 0.000149763, 0.000131019, 0.000139945, 0.000132478, 0.000111897, 0.000105758, 8.41528e-05, 0.000147157, 0.000144636, 0.000122637, 0.000243994, 0.000100676, 0.000104142, 0.000153361, 0.000160493, 0.000135507, 0.000148748, 0.000127966, 0.000134873, 0.00212084, 0.00105838, 0.000201522, 0.0862729, 0.0985738, 0.0790192
-33719.5,0.963151,0.41144,4,15,0,33734.4,-0.0138079,0.968676,0.148946,-0.0396582,0.218261,0.130173,0.296742,0.15378,0.0491914,0.0877302,0.247466,0.152014,-0.0445939,0.122734,0.0823687,0.0252305,0.161186,0.116951,0.144682,0.162502,-0.0347994,-0.0273894,0.0421406,-0.0366476,0.00367457,0.0322232,0.0588975,-0.00879884,-0.040984,0.092188,0.113321,0.048098,0.108548,0.0552396,0.0563129,-34391.4
-33711.6,1,0.41144,3,7,0,33728.7,-0.0118539,0.972316,0.136794,-0.0347747,0.234266,0.120293,0.297096,0.152036,0.0709563,0.0752974,0.253984,0.160634,-0.038562,0.10624,0.071806,0.00957449,0.17448,0.128477,0.133177,0.153612,-0.00386201,-0.0349856,0.0398106,-0.0231833,0.00844023,0.0453924,0.0397182,-0.0330861,-0.0360311,0.0646905,0.0862286,0.0323223,0.196023,0.0670628,0.0613707,-34367.6
-33714.7,0.894636,0.41144,3,7,0,33724.9,-0.0087953,0.967749,0.142563,-0.046973,0.233228,0.113693,0.29586,0.168874,0.053188,0.0887199,0.253526,0.163942,-0.0309405,0.106655,0.102488,0.0260616,0.159525,0.121852,0.141801,0.160946,-0.0367361,-0.0349418,0.0602573,-0.0368125,0.0154226,0.0385683,0.038236,-0.0231471,-0.0304367,0.0482406,0.121362,0.0113757,0.274326,0.0692133,0.0441278,-34409.7
-33712.9,0.830841,0.41144,4,15,0,33732.8,-0.0124188,0.968433,0.132171,-0.0241698,0.23167,0.131706,0.312669,0.151841,0.0548777,0.0547859,0.246925,0.158739,-0.0426668,0.111431,0.0742027,-0.00190263,0.159739,0.117061,0.144326,0.148194,-0.0242385,-0.0421738,0.0246067,-0.0313853,-1.35616e-05,0.0228193,0.0286996,-0.0245533,-0.0394855,0.0693109,0.121029,0.000479707,0.118754,0.0869719,0.0320181,-34363.3
-33713.4,0.910367,0.41144,3,7,0,33725.4,-0.011593,0.969963,0.128808,-0.0365618,0.232212,0.122083,0.308096,0.148333,0.0638764,0.0874084,0.248124,0.165746,-0.0371133,0.105142,0.074539,0.000546897,0.180429,0.131967,0.14637,0.156712,-0.0266337,-0.0417407,0.0413952,-0.012207,0.00456469,0.0257889,0.0189337,-0.0142256,-0.0169665,0.172733,0.130218,-0.0189476,0.0875535,0.0799919,0.04428,-34382.8
-33716.6,0.871929,0.41144,3,7,0,33729.9,-0.0115976,0.970207,0.129433,-0.0501622,0.232419,0.129594,0.305075,0.146561,0.0694799,0.0631605,0.24893,0.184399,-0.0499245,0.0991891,0.0870149,0.0161487,0.165853,0.120729,0.142291,0.171007,-0.00999868,-0.0354488,0.0452366,-0.023388,0.0158188,0.0361926,0.0532255,-0.0353482,-0.0684568,0.126199,0.134584,0.0118815,0.158394,0.128891,0.0432776,-34405.9
-33718.9,0.980601,0.41144,3,7,0,33734.7,-0.00965854,0.9708,0.139383,-0.0506556,0.227614,0.115715,0.298369,0.160667,0.0550733,0.0722346,0.23663,0.17319,-0.0210352,0.113827,0.0914806,0.00827643,0.159103,0.140612,0.150471,0.143936,-0.0202485,-0.0132038,0.0212176,-0.019573,0.00279741,0.0433999,0.0399198,-0.0324078,-0.0395646,0.137975,0.0711796,-0.0221675,0.0708005,0.0683209,0.0298751,-34366.7
-33718.1,0.991637,0.41144,3,7,0,33736.4,-0.0120503,0.969492,0.127023,-0.0435837,0.2433,0.10138,0.290316,0.164477,0.087259,0.0686634,0.275754,0.173792,-0.0556957,0.101709,0.0968175,0.011821,0.158263,0.134168,0.144903,0.162163,-0.0311603,-0.0612169,0.0415738,-0.0364005,0.0117955,0.0366148,0.0387342,-0.0218737,-0.0411543,0.162573,0.12595,0.00515839,0.200096,0.105329,0.0610625,-34410.1
-33714.1,0.994337,0.41144,4,15,0,33731.7,-0.00762748,0.969019,0.152467,-0.0353176,0.226441,0.126101,0.314897,0.154488,0.0508461,0.0801626,0.242938,0.155085,-0.0267298,0.108951,0.0620102,0.00863915,0.17306,0.1127,0.146798,0.168009,-0.0105513,-0.0208011,0.0462948,-0.0161672,0.00552907,0.0379573,0.0359246,-0.0290795,-0.0340289,0.155628,0.0705383,-0.000282677,0.108233,0.0569532,0.0220066,-34388.1
-33716.2,0.966434,0.41144,3,7,0,33729.4,-0.0102808,0.969982,0.132113,-0.0274949,0.228126,0.122084,0.305914,0.158692,0.0647428,0.100786,0.213186,0.181732,-0.0480244,0.103808,0.0828565,0.00642553,0.152336,0.113794,0.146754,0.169524,-0.0103791,-0.0429257,0.0312527,-0.0263342,0.0190131,0.0324715,0.026121,-0.00889181,-0.0433737,0.121703,0.150634,0.00162192,0.104073,0.0965077,0.0329328,-34368.5
