lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.401043
# Diagonal elements of inverse mass matrix:
# 2.27954e-05, 1.67258e-05, 0.000172751, 0.000109127, 0.00011243, 0.000163357, 0.000137026, 0.000129099, 0.000240645, 0.000158931, 0.000143856, 0.000125985, 0.000138588, 0.00011943, 9.92156e-05, 0.000110189, 9.57134e-05, 0.000153327, 0.000129576, 0.000139507, 0.000170736, 0.000124587, 0.000122148, 0.000187453, 0.000167438, 0.000130722, 0.00017553, 0.000144663, 0.000118926, 0.0027935, 0.0013751, 0.000450861, 0.0845476, 0.0895153, 0.11511
-33823.1,0.902828,0.401043,3,7,0,33844.9,-0.00737473,0.975187,0.217641,-0.0440108,0.275682,0.125939,0.284973,0.13,0.0588087,0.0396718,0.246431,0.165032,-0.0136477,0.083983,0.0693972,0.00213511,0.169605,0.0957679,0.161823,0.166275,-0.0521334,-0.0526474,-0.0857845,-0.11931,0.0260712,-0.0107638,-0.062711,-0.0702898,-0.00900146,0.180189,0.0924497,-0.078791,0.101457,0.0659241,0.0473925,-34264
-33819.6,0.825495,0.401043,3,7,0,33842.8,-0.00506886,0.972208,0.215015,-0.042306,0.269287,0.133469,0.28758,0.133377,0.0678375,0.0371767,0.248665,0.168577,-0.0198088,0.0818767,0.0813117,0.00410059,0.167371,0.100713,0.166892,0.165662,-0.0563374,-0.049195,-0.085906,-0.119905,0.0260343,-0.000426628,-0.0613806,-0.0756799,-0.00323651,0.131169,0.106645,-0.0705831,0.0992359,0.069728,0.0648329,-34284.1
-33818,0.927314,0.401043,3,7,0,33835.4,-0.0115172,0.971362,0.213266,-0.0363385,0.292377,0.11599,0.286857,0.15343,0.0962053,0.0446001,0.248454,0.174467,-0.0237959,0.0635568,0.0585505,0.0176904,0.177597,0.118157,0.154669,0.171365,-0.0783617,-0.0575373,-0.108904,-0.116811,0.000331001,-0.0266885,-0.0674289,-0.0791568,0.00282514,0.156539,0.104475,-0.0839184,0.123041,0.0784977,0.0578166,-34309
-33825.2,0.80966,0.401043,3,7,0,33839.2,-0.0086845,0.97371,0.210959,-0.0404283,0.245698,0.126766,0.268692,0.129716,0.0665134,0.0843561,0.261616,0.188729,-0.0171499,0.0693091,0.0607253,0.018762,0.15888,0.119786,0.134934,0.158856,-0.0693204,-0.068155,-0.084949,-0.130445,-0.0171725,-0.0125617,-0.0248051,-0.0818798,-0.0144926,0.184052,0.0768832,-0.065007,0.098985,0.0836635,0.0579999,-34250
-33826.5,0.874532,0.401043,3,7,0,33845.1,-0.0155287,0.96743,0.225282,-0.0357226,0.279948,0.116031,0.270297,0.136975,0.0837799,0.0495149,0.258003,0.175175,-0.0397477,0.0767912,0.0834081,0.0168804,0.158426,0.125727,0.151236,0.16024,-0.0587186,-0.0547995,-0.0760323,-0.136777,-0.0217091,0.000621261,-0.019234,-0.0788938,-0.00159264,0.106403,0.0915521,-0.0739516,0.159174,0.10722,0.0440456,-34295.7
-33825.1,0.979389,0.401043,3,7,0,33839.3,-0.00269443,0.977351,0.209069,-0.0475598,0.264481,0.115587,0.293081,0.118939,0.0828303,0.0719845,0.240677,0.147673,-0.00777492,0.0795347,0.0792733,0.0195938,0.166912,0.111451,0.156405,0.18091,-0.0621761,-0.0474926,-0.107928,-0.115369,0.0147378,-0.00877542,-0.0792558,-0.0868848,0.00215149,0.186595,0.0851055,-0.021669,0.0916279,0.0549105,0.0621589,-34268.4
-33822.9,0.922366,0.401043,3,7,0,33840,-0.0184181,0.967376,0.215821,-0.0356374,0.272104,0.117163,0.287189,0.141815,0.0963715,0.0601856,0.249878,0.164322,-0.0423776,0.0710905,0.0776015,-0.00309043,0.187626,0.137384,0.153915,0.163217,-0.0515689,-0.0415309,-0.0747148,-0.116594,-0.0207299,-0.0185765,-0.0512304,-0.0820761,-0.00634695,0.120292,0.123984,-0.0626542,0.120474,0.0851437,0.0352998,-34303.2
-33819.6,0.982434,0.401043,3,7,0,33837.3,-0.0170818,0.970334,0.22661,-0.0391483,0.266653,0.12423,0.284183,0.14249,0.0929046,0.0608435,0.25309,0.161076,-0.0322548,0.0668221,0.0812841,0.00474497,0.184455,0.136263,0.156619,0.162539,-0.0528104,-0.0428048,-0.0753711,-0.108772,-0.0230928,-0.0241933,-0.0494939,-0.0858599,-0.00365473,0.136192,0.12375,-0.0551876,0.101841,0.0817688,0.0363028,-34300.5
-33825.7,0.536823,0.401043,4,15,0,33841,-0.00160311,0.969018,0.195655,-0.056016,0.284588,0.122374,0.279165,0.118932,0.0730295,0.055816,0.253484,0.173549,-0.0110702,0.0992136,0.0715846,0.0214138,0.144662,0.108411,0.152001,0.174346,-0.0675471,-0.0548388,-0.111125,-0.139241,0.018768,-0.00107099,-0.0465617,-0.0834756,0.00866804,0.0821805,0.09573,-0.136422,0.151527,0.0676954,0.16246,-34287.9
-33830.5,0.899792,0.401043,3,7,0,33844.6,-0.0118108,0.970652,0.188179,-0.0470491,0.2795,0.131671,0.279894,0.132416,0.088455,0.0669212,0.242883,0.166194,-0.0194851,0.0858364,0.0719415,-0.00707482,0.165115,0.104601,0.170571,0.170148,-0.0460823,-0.0517558,-0.0910469,-0.138427,0.00519918,-0.0126116,-0.0549995,-0.0991575,0.00141832,0.0925421,0.120935,-0.12895,0.314296,0.0600405,0.236018,-34275
-33826.6,0.949288,0.401043,3,7,0,33844.6,-0.0120401,0.974437,0.212284,-0.0472622,0.291701,0.108521,0.278855,0.132785,0.0907745,0.0733102,0.240785,0.166831,-0.0351084,0.063513,0.0637235,-0.00194383,0.154934,0.123862,0.168687,0.170531,-0.064856,-0.042918,-0.0823081,-0.138336,0.00501567,-0.00163564,-0.0703466,-0.0948377,0.0146048,0.150756,0.0524744,-0.111198,0.197599,0.093553,0.172211,-34279.8
-33823.5,0.921357,0.401043,3,7,0,33844.3,-0.00813162,0.973224,0.210463,-0.057913,0.267383,0.104381,0.282652,0.113836,0.10914,0.0678841,0.247848,0.159775,-0.0396608,0.0703187,0.0852394,0.00790721,0.152315,0.130309,0.165969,0.156603,-0.075613,-0.0583316,-0.0872107,-0.140592,0.0092692,0.00498168,-0.0640893,-0.091731,0.00423907,0.161001,0.0711165,-0.0946798,0.147325,0.0753319,0.106968,-34277.6
-33829.1,0.810243,0.401043,3,7,0,33843.9,-0.00909747,0.974557,0.207617,-0.0347183,0.271422,0.13358,0.288114,0.145324,0.0435757,0.0533747,0.24685,0.177664,-0.00427918,0.0936742,0.0663446,0.0183061,0.174208,0.113089,0.144505,0.187942,-0.0547989,-0.0452161,-0.100067,-0.11151,-0.0111998,-0.0233963,-0.0402946,-0.0841561,-0.00142308,0.123597,0.183148,-0.0362071,0.116101,0.127051,0.023399,-34283.6
-33825.5,0.994965,0.401043,4,15,0,33842.7,-0.0063618,0.968664,0.206102,-0.0417538,0.271538,0.133375,0.278083,0.143188,0.0483293,0.0534667,0.244232,0.186686,-0.0174927,0.0860338,0.0641631,0.0194602,0.169501,0.100003,0.14858,0.191321,-0.0576454,-0.0622349,-0.113267,-0.115872,-0.00847827,-0.0238294,-0.0473732,-0.0909912,-0.00390994,0.205471,0.107949,-0.0108007,0.124095,0.106823,0.059743,-34295.5
-33824.9,0.793481,0.401043,3,15,0,33851.3,-0.0111671,0.974891,0.233399,-0.0733705,0.255749,0.122609,0.292707,0.113539,0.089071,0.0542033,0.240373,0.14919,-0.0142944,0.0676995,0.052027,-0.00491559,0.161401,0.126276,0.146676,0.156654,-0.049522,-0.0459523,-0.0947069,-0.128055,0.00919842,-0.0103456,-0.0584322,-0.102522,0.0140121,0.0870019,0.0815486,-0.0758401,0.11332,0.0586146,0.0649976,-34260.9
-33818.4,0.971098,0.401043,3,15,0,33839.8,-0.00861006,0.968475,0.195461,-0.0415859,0.288767,0.119139,0.291696,0.134749,0.0974988,0.0489599,0.262131,0.180393,-0.0133651,0.0856165,0.0769328,0.00974547,0.164558,0.128402,0.158429,0.174265,-0.0670496,-0.049294,-0.0868622,-0.115914,0.00584551,0.00495101,-0.0540922,-0.0729328,0.00122962,0.220003,0.115382,-0.00268314,0.12206,0.0837612,0.0509431,-34318.1
-33820.2,0.888696,0.401043,3,7,0,33832,-0.00784357,0.975872,0.209725,-0.0621016,0.271869,0.124001,0.29303,0.135455,0.0791638,0.0556217,0.245615,0.157936,-0.0364582,0.0739289,0.0666559,0.0227952,0.171686,0.11178,0.16619,0.1578,-0.0535783,-0.0474485,-0.10281,-0.138193,0.0130743,-0.00288391,-0.0283045,-0.0829248,0.01717,0.0864028,0.0879288,-0.0704211,0.177798,0.0719527,0.0643756,-34269.9
-33818.7,0.959508,0.401043,3,15,0,33833.6,-0.00721567,0.973419,0.227086,-0.0537534,0.266566,0.129212,0.291779,0.124062,0.0755905,0.0485736,0.227022,0.165018,-0.0115317,0.101326,0.058599,0.0283111,0.169453,0.123116,0.147885,0.176379,-0.0522415,-0.0501637,-0.113423,-0.133962,0.0113925,-0.00386969,-0.0448282,-0.080315,0.00734886,0.112036,0.139621,-0.0569132,0.13492,0.0864518,0.0629182,-34293.4
-33819.7,0.96231,0.401043,3,15,0,33833.6,-0.00599088,0.974792,0.226311,-0.0570639,0.270935,0.126812,0.292467,0.124366,0.0822011,0.0498003,0.225439,0.166998,-0.0154422,0.0974596,0.0538008,0.0184745,0.161385,0.125126,0.138912,0.184149,-0.0497349,-0.0485522,-0.116889,-0.13213,0.00572952,0.000128057,-0.0461937,-0.0881075,0.00467423,0.0977966,0.135141,-0.0655242,0.131969,0.0918391,0.0645386,-34288.4
-33818.5,0.952449,0.401043,3,7,0,33834.6,-0.0106123,0.971395,0.224934,-0.0500659,0.264724,0.125029,0.294544,0.141802,0.0868469,0.0451879,0.217006,0.17039,-0.0212413,0.086186,0.0616763,0.00720751,0.166484,0.133006,0.164251,0.173703,-0.0623481,-0.0563969,-0.108964,-0.13368,-0.00368631,-0.00590481,-0.0312644,-0.100659,0.0112078,0.100295,0.12361,-0.0499341,0.141149,0.083014,0.0512987,-34296.4
-33819.8,0.85063,0.401043,3,7,0,33835.7,-0.00539069,0.970043,0.197437,-0.0455739,0.287342,0.110452,0.275818,0.118287,0.0703438,0.0781935,0.279611,0.159882,-0.0254693,0.0821052,0.0854909,0.0183072,0.16256,0.1041,0.140743,0.169018,-0.0606248,-0.0484232,-0.0912832,-0.120598,-0.00244036,-0.0142275,-0.0700999,-0.0766709,-0.00643381,0.199153,0.116298,-0.0697607,0.0959948,0.0713525,0.0633849,-34279.7
-33820.4,0.85338,0.401043,3,7,0,33839.8,-0.00838195,0.968356,0.215984,-0.0431822,0.280477,0.112131,0.270641,0.126048,0.0774065,0.0641394,0.267237,0.158912,-0.0197811,0.0647144,0.0824432,0.0109663,0.15572,0.114793,0.136946,0.153006,-0.066835,-0.0398277,-0.0801415,-0.125625,-0.0150762,-0.0150099,-0.0645486,-0.0611085,-0.00743101,0.215197,0.114028,-0.0643399,0.197812,0.0548219,0.0402946,-34259.8
-33815.8,0.999687,0.401043,3,7,0,33832.1,-0.0104521,0.974869,0.207283,-0.0543873,0.273102,0.131146,0.284589,0.135652,0.109602,0.0573011,0.239672,0.176241,-0.0360738,0.0905996,0.0733981,0.0251007,0.15214,0.11492,0.164747,0.174285,-0.0569985,-0.0599937,-0.0845926,-0.122104,0.0094334,-0.00125877,-0.0493314,-0.0999407,0.0104622,0.162264,0.100635,-0.0346214,0.0998357,0.0873738,0.0472257,-34297.1
-33815.7,0.990216,0.401043,3,7,0,33826.4,-0.00958811,0.968332,0.203555,-0.0539961,0.279874,0.107785,0.285823,0.130182,0.0822487,0.0588341,0.269988,0.155077,-0.00922368,0.0727779,0.0631461,0.00868841,0.185399,0.123902,0.150713,0.165012,-0.0781897,-0.0501691,-0.105665,-0.120691,-0.00981962,-0.0297431,-0.0597603,-0.0775362,-0.0025042,0.144787,0.110296,-0.0737435,0.135519,0.0693259,0.0452266,-34293.4
-33815.9,0.959806,0.401043,3,7,0,33827.5,-0.0123422,0.967828,0.202355,-0.0471116,0.274388,0.109473,0.280365,0.123405,0.0842304,0.0556145,0.263271,0.157597,-0.0132733,0.0622909,0.0659285,0.0133508,0.182559,0.128721,0.149495,0.167107,-0.0748469,-0.049477,-0.107407,-0.122325,-0.00731674,-0.0261554,-0.0621072,-0.0786034,-0.0040143,0.166505,0.115361,-0.0820728,0.137199,0.0749793,0.0429927,-34283.6
-33814.2,1,0.401043,3,7,0,33824.7,-0.0104342,0.973466,0.224418,-0.0432371,0.268263,0.124774,0.292554,0.134758,0.0910631,0.0545722,0.260644,0.163894,-0.0244078,0.0675119,0.0632655,0.0117332,0.168873,0.110799,0.134882,0.161585,-0.0723006,-0.0559278,-0.104518,-0.139471,-0.00419431,-0.0209642,-0.0511255,-0.0753356,-0.0158393,0.178143,0.104656,-0.077007,0.104251,0.0776924,0.0614058,-34288.2
