# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 20:42:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/3ory_3us.json
# init = 2 (Default)
# random
#   seed = 55182
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/h-nonsems/hreg-20250511154241_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.497819
# Diagonal elements of inverse mass matrix:
# 3.70079e-05, 2.31188e-05, 0.000147918, 0.000146256, 0.000201922, 0.000233761, 0.000421391, 0.000317037, 0.000151504, 0.000201016, 0.000227636, 0.000164483, 0.000184847, 0.000233746, 0.000373561, 0.00019751, 0.000340407, 0.000337493, 0.000291672, 0.000275593, 0.00199385, 0.000998603, 0.0850421, 0.0783704
-19002.3,0.973751,0.497819,3,7,0,19012.4,-0.00222923,0.976241,0.0991009,-0.0486338,0.259211,0.106965,0.325845,0.15115,-0.00747588,0.11038,0.206743,0.154608,0.00203286,0.0671147,0.0571404,-0.00268017,0.149244,0.138065,0.080963,0.165228,0.148166,0.0670869,0.0928226,0.0708024,-19207.4
-18998.3,0.903532,0.497819,3,7,0,19014.3,-0.00318298,0.978537,0.101819,-0.0492694,0.283153,0.10436,0.313003,0.160518,0.0163823,0.110402,0.213194,0.147802,-0.0104054,0.070066,0.061887,-0.00948793,0.147394,0.135214,0.0931755,0.164689,0.160311,0.0640519,0.120607,0.0601011,-19205.1
-18999.3,0.867797,0.497819,3,7,0,19010.6,-0.0138581,0.969967,0.112761,-0.0621423,0.250359,0.083863,0.32279,0.161865,0.00233274,0.0943974,0.252044,0.127638,-0.0410051,0.113351,0.0597481,-0.0249145,0.16547,0.112805,0.167073,0.186131,0.123222,0.125297,0.160998,0.0838095,-19238.9
-18997.4,0.971166,0.497819,3,7,0,19012.4,-0.0032241,0.980898,0.122191,-0.0211141,0.248824,0.121502,0.317099,0.137001,0.0157902,0.0925987,0.205492,0.144555,-0.0321539,0.0619369,0.0719676,0.0272705,0.146494,0.116479,0.106245,0.175836,0.148366,0.081972,0.103328,0.0755213,-19200.9
-18995.5,0.879469,0.497819,3,7,0,19007.5,-0.00662692,0.976759,0.109847,-0.0617228,0.258007,0.0804673,0.320858,0.152186,0.00152229,0.0989018,0.244075,0.134392,-0.0351318,0.111725,0.0645666,-0.0251024,0.171944,0.115382,0.16581,0.161619,0.126994,0.116525,0.147549,0.0787101,-19221.5
-18994,0.905566,0.497819,3,7,0,19005.8,-0.010267,0.975065,0.125186,-0.0656853,0.250242,0.104103,0.335559,0.149948,0.00432114,0.0624733,0.21898,0.132902,-0.0262499,0.0720474,0.0767384,-0.000524109,0.155262,0.13564,0.122756,0.191191,0.151685,0.0777514,0.127646,0.0717693,-19232.6
-19000,0.759381,0.497819,3,7,0,19009.7,-0.00957723,0.969614,0.137215,-0.0495052,0.223217,0.103639,0.323739,0.162577,0.0407657,0.0834066,0.238374,0.109404,-0.0231163,0.109326,0.0686352,-0.0111267,0.132407,0.127929,0.13742,0.183392,0.149998,0.0994623,0.107987,0.05694,-19226.4
-19003.2,0.921756,0.497819,3,7,0,19013.4,-0.00335015,0.972117,0.146548,-0.0527578,0.232175,0.10179,0.3411,0.162563,0.0399636,0.075034,0.190053,0.119003,-0.0231566,0.0870252,0.0579663,0.00729109,0.158548,0.137246,0.135364,0.185761,0.136329,0.113594,0.088318,0.0648128,-19236.3
-19005,0.974685,0.497819,3,7,0,19015,-0.0108937,0.982271,0.0840149,-0.0353254,0.290535,0.0982728,0.301539,0.127937,-0.0246727,0.103814,0.276547,0.161738,-0.0431032,0.0767692,0.0790979,-0.00414501,0.160753,0.0986703,0.139911,0.158646,0.131273,0.0770582,0.198983,0.0921306,-19205.3
-19003.3,0.990137,0.497819,3,7,0,19020.4,-0.00285427,0.969298,0.118576,-0.0386727,0.24171,0.115745,0.329986,0.145591,0.0565622,0.0668422,0.238361,0.139943,-0.0316399,0.094498,0.0895309,0.0190013,0.134259,0.119432,0.121174,0.166276,0.0472557,0.10576,0.119049,0.0472913,-19228.4
-19000.9,0.90084,0.497819,3,7,0,19013.7,-0.00767603,0.976653,0.110399,-0.0551519,0.269601,0.0839439,0.311398,0.140787,-0.0428135,0.121617,0.240794,0.140568,-0.0397215,0.0819527,0.0460586,-0.0051618,0.181702,0.116542,0.147378,0.174191,0.25039,0.0695011,0.177396,0.114266,-19220.9
-19000.6,0.934581,0.497819,3,7,0,19011.1,-0.0061249,0.973243,0.130311,-0.035108,0.237964,0.0955905,0.321369,0.136217,0.0251542,0.0663735,0.243457,0.151814,-0.0222036,0.0824824,0.10631,0.00642828,0.157974,0.138631,0.109456,0.179065,0.151741,0.0944936,0.235957,0.066274,-19230.6
-18994.5,0.925333,0.497819,3,7,0,19010.3,-0.00502136,0.977423,0.115337,-0.0465989,0.263842,0.0881454,0.332899,0.165718,0.0173608,0.0883359,0.243972,0.144931,-0.0516462,0.0885614,0.0669733,-0.00476488,0.170547,0.114014,0.155739,0.168867,0.218239,0.131221,0.120437,0.102946,-19235.4
-19006.9,0.518824,0.497819,3,7,0,19017.6,-0.011161,0.975849,0.111723,-0.00867474,0.281508,0.118291,0.34234,0.137196,-0.0117551,0.102617,0.255171,0.169418,-0.0341287,0.057397,0.0540563,-0.00844057,0.149368,0.119191,0.175077,0.202143,0.157022,0.109639,0.231369,0.145615,-19253.5
-19004.9,0.933072,0.497819,3,7,0,19022.3,-0.00399965,0.972168,0.118443,-0.0737834,0.23751,0.0837281,0.284023,0.163529,0.0334297,0.0913987,0.215844,0.116929,-0.0477453,0.0984739,0.0812297,0.0073758,0.166413,0.115849,0.0958409,0.154048,0.0849684,0.0783982,0.125477,0.0518174,-19193.1
-19002.8,0.767242,0.497819,3,7,0,19018.7,-0.0064997,0.97544,0.0966579,-0.0686588,0.265551,0.0880558,0.288727,0.161897,0.00325175,0.0928346,0.238875,0.11792,-0.0280364,0.105074,0.0570978,0.0149815,0.154285,0.116801,0.129595,0.139055,0.062426,0.0320165,0.147467,0.0739413,-19188.6
-19003.8,0.808263,0.497819,3,7,0,19018.4,0.00347385,0.97625,0.120714,-0.0534166,0.27836,0.0972255,0.304903,0.169113,-0.0165178,0.076985,0.235822,0.122225,-0.0241696,0.0928121,0.0375329,0.0144871,0.155358,0.113025,0.121241,0.159091,0.157164,0.0576216,0.308389,0.0990965,-19206.5
-18999.1,0.950818,0.497819,3,7,0,19014.5,-0.0182586,0.973054,0.107564,-0.0450756,0.251345,0.115333,0.329389,0.12282,0.0373978,0.110767,0.229555,0.146616,-0.0374434,0.0700712,0.0785704,-0.00200674,0.163216,0.122721,0.137213,0.197806,0.0484976,0.116532,0.117123,0.0619899,-19233.9
-18999.7,0.896282,0.497819,3,7,0,19014.6,-0.0152484,0.977889,0.0959013,-0.0157474,0.239833,0.107304,0.320973,0.139776,0.00242159,0.0653893,0.214354,0.150169,-0.0685105,0.0654089,0.0629773,0.0027689,0.173739,0.123033,0.114393,0.198217,0.137422,0.102609,0.0992752,0.086737,-19211
-18997.9,0.961627,0.497819,3,7,0,19008.6,-0.0172556,0.977644,0.0925123,-0.035638,0.240158,0.110811,0.319237,0.138065,0.00622845,0.0997049,0.231072,0.162228,-0.064299,0.0822319,0.0606092,-0.00283662,0.16714,0.118683,0.132251,0.178017,0.0599695,0.0717413,0.121357,0.0685955,-19214.8
-18998.7,0.984191,0.497819,3,7,0,19004.6,0.0018161,0.972428,0.122343,-0.0356792,0.290503,0.116784,0.314311,0.138077,0.0215662,0.0998954,0.235014,0.129018,-0.000156712,0.069491,0.0554478,0.00409137,0.15967,0.122044,0.136477,0.172231,0.215179,0.11402,0.129479,0.100427,-19220.6
-18996.4,0.943289,0.497819,3,7,0,19009.2,-0.0027187,0.977545,0.114565,-0.0358306,0.253044,0.0956041,0.317449,0.128646,0.00974836,0.0978217,0.206409,0.138496,-0.0312362,0.10909,0.071462,-0.00427147,0.134461,0.119102,0.125606,0.161649,0.0793794,0.0938883,0.0964652,0.0432135,-19194.5
-18998.1,0.545491,0.497819,3,7,0,19008.8,-0.012495,0.974115,0.108012,-0.0315579,0.250778,0.101083,0.320142,0.159807,0.0321285,0.0958197,0.260832,0.150504,-0.0372818,0.0813005,0.0639032,0.00760911,0.18139,0.115465,0.128503,0.191575,0.188818,0.0788223,0.156602,0.181055,-19237.6
-18999.6,0.933843,0.497819,3,7,0,19007.7,-0.000333715,0.977091,0.125073,-0.0466032,0.252023,0.103549,0.313819,0.151582,-0.0188817,0.100969,0.220421,0.110595,-0.0502341,0.0907673,0.0836793,-0.0112315,0.14671,0.108038,0.145291,0.160287,0.164066,0.14062,0.116246,0.0643257,-19203.8
-18999.5,0.990721,0.497819,3,7,0,19011.3,0.00246705,0.976498,0.125026,-0.0445145,0.25589,0.0814091,0.338746,0.149883,0.00507129,0.0919108,0.242859,0.117834,-0.0156029,0.0752446,0.0841197,-0.0184948,0.162483,0.11808,0.135177,0.182683,0.251843,0.0609119,0.205723,0.102529,-19227.9
-19004.6,0.718979,0.497819,3,7,0,19016.3,-0.00388962,0.984217,0.125533,-0.0397272,0.249763,0.101812,0.327705,0.116878,0.0281899,0.0765527,0.264516,0.119066,-0.0157781,0.0724912,0.0710138,-0.00548024,0.132233,0.123463,0.152025,0.17527,0.265164,0.0824884,0.247236,0.0608859,-19205.6
-19004.4,1,0.497819,3,7,0,19012.9,-0.00288038,0.982219,0.116154,-0.050121,0.252649,0.102373,0.329261,0.119172,0.0261643,0.0780702,0.26905,0.111613,-0.0308493,0.0645392,0.0696512,-0.009089,0.131925,0.130781,0.146572,0.164032,0.250287,0.0765369,0.277336,0.0620041,-19204.6
-19000.5,0.979288,0.497819,3,7,0,19013.5,-0.0123944,0.969109,0.125595,-0.042858,0.248394,0.0960043,0.318668,0.17652,-0.0147809,0.115369,0.206039,0.153606,-0.0292779,0.117768,0.0586133,0.00784248,0.170828,0.0936567,0.123886,0.177621,0.0715904,0.0962483,0.118899,0.0663061,-19234
-18996.6,1,0.497819,3,7,0,19009.8,-0.00604292,0.976666,0.101258,-0.053219,0.29165,0.121392,0.323368,0.154024,0.0269713,0.0840722,0.220585,0.145829,-0.0345472,0.0907649,0.0599611,0.00451888,0.140434,0.122735,0.120953,0.178404,0.217028,0.0983153,0.10238,0.056288,-19222.9
-18997.1,0.930841,0.497819,3,7,0,19009.1,-0.0088357,0.973711,0.128828,-0.0491941,0.244915,0.100647,0.312212,0.1509,-0.00710546,0.0950209,0.269884,0.14107,-0.0203212,0.0754441,0.060123,0.0094771,0.177617,0.114837,0.152378,0.149988,0.124958,0.076322,0.264266,0.0944706,-19223.5
-18995,0.699994,0.497819,3,7,0,19011.7,0.00346491,0.975126,0.127648,-0.0584714,0.278068,0.097221,0.327656,0.141743,0.0273861,0.0850294,0.235085,0.129778,-0.0180033,0.0838751,0.0681536,0.00208942,0.157739,0.118637,0.133551,0.17634,0.143595,0.0932475,0.0781567,0.0645756,-19228.5
-18998.2,0.799315,0.497819,3,7,0,19009,0.00786257,0.97618,0.120628,-0.0513478,0.280015,0.10818,0.31412,0.140451,0.0289391,0.08654,0.223025,0.119943,-0.0248948,0.0899278,0.0735853,-0.000492101,0.159505,0.121435,0.11058,0.171012,0.154162,0.0747224,0.0820117,0.0677703,-19212.4
-18998.6,0.955878,0.497819,3,7,0,19010.4,-0.013382,0.976422,0.108891,-0.0407946,0.287834,0.115504,0.31519,0.13485,-0.0148252,0.0602099,0.249448,0.149743,-0.0362201,0.0613013,0.0456469,-0.0101523,0.157731,0.145686,0.132045,0.153447,0.128554,0.0899428,0.140827,0.106375,-19214
-18998.1,0.906229,0.497819,3,7,0,19010.6,-0.00449266,0.979651,0.124103,-0.0408119,0.233028,0.0863266,0.322118,0.15333,0.0333223,0.122836,0.225417,0.129767,-0.0410979,0.10799,0.0904359,0.00632343,0.16091,0.0879749,0.139829,0.194775,0.139401,0.118671,0.136707,0.0562627,-19221.8
-18998.1,0.72283,0.497819,3,7,0,19011.1,-0.0103129,0.973339,0.121001,-0.0186833,0.256817,0.0832293,0.307873,0.143872,0.00735655,0.130169,0.226263,0.136268,-0.0385355,0.089144,0.0575518,-0.00459969,0.144529,0.0853857,0.146898,0.17313,0.113319,0.105604,0.0798697,0.0589799,-19201.2
-19000.6,0.82258,0.497819,3,7,0,19012.9,-0.00577793,0.975748,0.105387,-0.068493,0.229109,0.112605,0.3088,0.160036,0.00899725,0.0806493,0.227599,0.157108,-0.0278745,0.0992533,0.0828018,0.0273443,0.167417,0.144777,0.109951,0.187784,0.150518,0.0980306,0.177075,0.110566,-19231.2
-18995.9,1,0.497819,3,7,0,19008.6,-0.00560398,0.97251,0.11123,-0.0478646,0.248351,0.0926578,0.320778,0.149075,0.0254786,0.102674,0.209314,0.157621,-0.0375482,0.0870091,0.09356,0.0110767,0.168723,0.125991,0.122489,0.193154,0.177775,0.0848741,0.110665,0.142375,-19234.2
-18997.3,0.864837,0.497819,3,7,0,19008.6,-0.000709756,0.976138,0.121546,-0.0457205,0.227081,0.0886354,0.304442,0.155613,0.0126339,0.114606,0.228181,0.157574,-0.0371451,0.084451,0.0856235,-0.0115894,0.149595,0.118118,0.0992779,0.178706,0.132605,0.073248,0.0775258,0.0613215,-19208.1
-18997.4,0.948427,0.497819,3,7,0,19006.5,-0.0149187,0.975089,0.111018,-0.0398456,0.2778,0.112679,0.329874,0.132866,0.00204827,0.0777504,0.219483,0.120253,-0.0363835,0.0902436,0.0505633,0.0144178,0.172982,0.120527,0.167306,0.189425,0.144502,0.114832,0.223423,0.0913365,-19230
-18994.9,0.99813,0.497819,3,7,0,19005.4,2.50475e-06,0.976043,0.119526,-0.0499788,0.251246,0.107247,0.318354,0.169354,0.0122837,0.103854,0.22669,0.155284,-0.0284511,0.0699102,0.0683619,-0.0168143,0.144831,0.113049,0.113973,0.180887,0.211835,0.0788922,0.139073,0.0666327,-19218.5
-18998.7,0.681754,0.497819,3,7,0,19010.5,-0.0128471,0.98281,0.115964,-0.0331197,0.261299,0.0931781,0.316298,0.109902,-0.0208804,0.0887234,0.239915,0.125109,-0.0337423,0.102867,0.0583322,0.0073202,0.154839,0.118912,0.155822,0.162704,0.0921565,0.112495,0.0956968,0.0979915,-19198.1
-18994.2,1,0.497819,3,7,0,19004.4,-0.0091831,0.972957,0.11384,-0.0361119,0.237823,0.109321,0.327615,0.150871,0.00989288,0.0877631,0.243611,0.130464,-0.0288738,0.0822799,0.0512372,-0.00168045,0.16691,0.111927,0.155811,0.18708,0.156269,0.0824006,0.130949,0.0445522,-19225
-18997.2,0.77611,0.497819,3,7,0,19011.9,-0.00812885,0.974223,0.117823,-0.0468344,0.267536,0.0892874,0.33144,0.148458,6.57267e-05,0.103579,0.226715,0.15023,-0.0368509,0.102687,0.0875314,0.0107384,0.146522,0.124754,0.110037,0.169925,0.102168,0.0947579,0.105748,0.196115,-19232.5
-18995.3,0.920923,0.497819,3,7,0,19007,-0.00754662,0.978619,0.119378,-0.0371331,0.262288,0.118449,0.307342,0.147593,0.0180658,0.082457,0.235997,0.129439,-0.0350817,0.0826484,0.0509005,-0.0132414,0.180781,0.108364,0.153381,0.183549,0.132101,0.108304,0.113584,0.0499238,-19212.2
-18998.7,0.923631,0.497819,3,7,0,19008.3,-0.00734714,0.97116,0.108913,-0.0612616,0.233654,0.0936621,0.333116,0.122105,0.00409404,0.104471,0.210267,0.138632,-0.026911,0.0985107,0.0639281,0.015932,0.141602,0.112603,0.0967917,0.181119,0.125545,0.0723722,0.123081,0.131851,-19212.4
-19000.4,1,0.497819,3,7,0,19011,-0.0088151,0.979394,0.12426,-0.0241611,0.258689,0.0899409,0.307156,0.168076,0.012867,0.0834631,0.249814,0.157297,-0.0499517,0.108557,0.0726964,-0.0187221,0.174516,0.126961,0.165128,0.178397,0.137333,0.0633568,0.116435,0.18172,-19232.1
-18999.3,0.927774,0.497819,3,7,0,19011.2,-0.00783746,0.972768,0.125927,-0.0595721,0.225988,0.0795808,0.311653,0.17469,-0.0014322,0.0935469,0.238049,0.137755,-0.0557218,0.0767394,0.0504591,-0.00310424,0.158671,0.132788,0.138706,0.174072,0.189186,0.0612468,0.169949,0.109538,-19222.5
