# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 21:16:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/jsmjgyh8.json
# init = 2 (Default)
# random
#   seed = 2375
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-SBERT_j/hreg-20240928161647_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,mu_beta.1,sigma_beta.1,log_p
# Adaptation terminated
# Step size = 0.508293
# Diagonal elements of inverse mass matrix:
# 2.23256e-05, 1.73943e-05, 0.000112876, 0.000137064, 0.000174517, 0.000135012, 0.000101796, 0.0001513, 0.00011838, 0.000181771, 0.000114352, 0.000362588, 0.0838491
-35857.8,0.93618,0.508293,3,7,0,35860,0.00748935,1.00193,0.00726112,0.0375129,0.113778,-0.00113385,0.0632019,0.0447354,-0.0644833,0.0428363,0.0455907,0.0170375,0.0481711,-101601
-35856.8,0.908624,0.508293,3,7,0,35864.7,-0.00344388,1.00383,0.0164171,0.0400267,0.097387,-0.00178318,0.0735941,0.0338419,-0.0440635,0.0201527,0.044912,0.037986,0.0370036,-101601
-35860.6,0.67182,0.508293,3,7,0,35868.4,0.0062925,0.994941,0.00722556,0.0350383,0.106959,0.0429629,0.0725131,0.0432344,-0.0494248,0.0248501,0.0503548,0.0544293,0.0675994,-101604
-35858,0.96235,0.508293,3,7,0,35867.7,0.00859363,0.997817,-0.0030649,0.0455966,0.115786,-0.0122689,0.069699,0.0465685,-0.0469464,-0.0194918,0.0657909,0.0282266,0.0769994,-101600
-35856.5,0.897792,0.508293,3,7,0,35863.4,0.00304837,1.00092,0.00582759,0.035318,0.10604,0.0390087,0.0714974,0.0349025,-0.0552472,0.0335647,0.0479198,0.0382644,0.0449492,-101601
-35854.4,0.995431,0.508293,3,7,0,35860.1,0.00384053,1.00308,0.00545742,0.0512816,0.132372,0.0245289,0.0607688,0.037901,-0.0548675,-0.00605921,0.0527811,0.0363501,0.0506374,-101598
-35854.9,0.864927,0.508293,3,7,0,35860.1,0.010569,1.00502,-0.00373598,0.0307522,0.0843134,0.0118562,0.0740105,0.0362787,-0.047529,0.0103463,0.0600795,0.0250749,0.0416175,-101600
-35854.5,1,0.508293,3,7,0,35857,-0.000528558,1.00054,0.0120803,0.0527419,0.131708,0.0094491,0.06633,0.0411162,-0.0495658,3.63284e-05,0.0571539,0.0424179,0.0518191,-101598
-35858.6,0.733879,0.508293,3,7,0,35862.8,0.00747376,0.995635,0.00992312,0.0552128,0.122092,0.0119376,0.0485202,0.024772,-0.0599638,-0.000311316,0.0459017,0.0287353,0.052757,-101602
-35857.5,0.994188,0.508293,3,7,0,35863.9,0.00114268,1.006,0.00905651,0.0501902,0.110029,0.000185199,0.0770937,0.0541367,-0.0382621,-0.0161087,0.0623265,0.0331565,0.0379572,-101601
-35858.2,0.959146,0.508293,3,7,0,35863.6,0.0094909,1.00199,0.00443414,0.0288192,0.116435,0.0234381,0.0605617,0.0228757,-0.0712442,0.0138283,0.0442482,0.0260763,0.0872146,-101600
-35858.1,0.922733,0.508293,3,7,0,35866.5,-0.0032267,1.00084,0.000831338,0.0530026,0.105007,-0.00212041,0.0798528,0.0512738,-0.0376516,-0.00682647,0.0693771,0.0218146,0.0429437,-101601
-35856.1,0.988464,0.508293,3,7,0,35863.5,0.0025787,1.0016,0.0119529,0.0508149,0.112681,-0.00282159,0.0748898,0.0630115,-0.0580035,0.000346229,0.059115,0.0301014,0.0770483,-101598
-35863.8,0.894193,0.508293,3,7,0,35866.7,0.00716134,1.00153,0.00521143,0.0267862,0.126329,0.0202731,0.0671218,0.0135558,-0.0413992,-0.00999374,0.046082,-0.0160024,0.178242,-101600
-35854,0.965396,0.508293,3,15,0,35868.2,0.0067611,1.00127,-0.00150679,0.0361639,0.0949454,0.00646939,0.0734401,0.0514079,-0.0581047,0.0182899,0.0601276,0.0416019,0.0355075,-101597
-35855.7,0.727068,0.508293,3,7,0,35860.2,0.00654346,1.00253,0.0102342,0.0408637,0.0960807,0.0110481,0.0696614,0.0213679,-0.0418411,-0.0104152,0.0655907,7.05293e-05,0.067806,-101598
-35854.2,0.977825,0.508293,3,7,0,35858.7,0.00181408,1.00422,-0.00392192,0.049259,0.0927137,0.0149397,0.0710233,0.0321347,-0.0504532,-0.0021547,0.0660947,0.0251002,0.0668582,-101597
-35854.6,0.95562,0.508293,3,7,0,35859.1,0.00701565,1.00072,0.013701,0.0351965,0.125764,0.0101212,0.0689203,0.0460241,-0.0523303,0.0146806,0.0486963,0.0299551,0.0332318,-101597
-35854.3,0.811148,0.508293,3,7,0,35864,0.00720519,1.00263,-0.00530308,0.0496883,0.0905042,0.0140277,0.0700887,0.027065,-0.0516842,-0.00210464,0.0632316,0.0148671,0.0691352,-101597
-35854,0.90218,0.508293,3,7,0,35860.7,0.00414797,1.00284,0.0106157,0.0276697,0.122773,0.00679908,0.0666175,0.0485822,-0.0543879,0.0106454,0.0490337,0.050139,0.0452805,-101597
-35855.6,0.949592,0.508293,3,7,0,35859.2,0.00470301,1.00173,-0.00453748,0.0557241,0.0881186,0.0140114,0.0696974,0.0271202,-0.0491632,-0.00320252,0.0615741,0.0215887,0.0807081,-101598
