lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.528801
# Diagonal elements of inverse mass matrix:
# 3.04423e-05, 2.37887e-05, 0.000136695, 0.000166389, 0.000221866, 0.000181363, 0.000377016, 0.000318203, 0.000213011, 0.000185326, 0.000259672, 0.000150168, 0.00020542, 0.000227116, 0.00052643, 0.000230026, 0.000276288, 0.000343751, 0.000352262, 0.000219373, 0.00202359, 0.000801455, 0.0765079, 0.0816748
-18889.1,0.908161,0.528801,3,7,0,18904.5,-0.0114407,0.969504,0.128196,-0.00392702,0.228659,0.0772179,0.293601,0.167566,0.0965359,0.0685689,0.238442,0.17392,-0.0456426,0.0966984,0.047744,0.0295734,0.133489,0.141445,0.110725,0.159097,0.0205182,0.10121,0.141612,0.0578603,-19380.6
-18880.1,0.892434,0.528801,3,7,0,18900.3,-0.00976666,0.975275,0.108822,-0.0513073,0.236667,0.099694,0.350416,0.138714,0.0163755,0.0555142,0.238912,0.153747,-0.0369478,0.119767,0.0958581,0.00709246,0.193546,0.0997631,0.153425,0.17066,0.174291,0.103727,0.137849,0.0683628,-19406.9
-18880,0.992502,0.528801,3,7,0,18885.5,-0.00572588,0.969036,0.117767,-0.00959022,0.238078,0.105175,0.308046,0.159238,0.0475268,0.0794852,0.270094,0.186405,-0.0366395,0.087772,0.0502359,-0.00250328,0.113305,0.145564,0.113307,0.146461,0.11038,0.116019,0.124274,0.100113,-19395.3
-18878.2,0.869121,0.528801,3,7,0,18894.3,-0.00974401,0.975654,0.118647,-0.0452992,0.242059,0.107494,0.342015,0.134114,0.029214,0.0570666,0.233056,0.144295,-0.0283484,0.10936,0.0854309,0.0110092,0.187433,0.0997415,0.139763,0.173729,0.157523,0.0838434,0.146056,0.0542522,-19395.6
-18876.8,1,0.528801,3,7,0,18884.5,-0.0019306,0.970739,0.112014,-0.00183242,0.218426,0.0951209,0.307848,0.155565,0.0338236,0.0631469,0.26493,0.174732,-0.0595424,0.108626,0.0640299,0.00995986,0.12259,0.131492,0.141621,0.152478,0.0890913,0.111636,0.102424,0.109291,-19385.2
-18875.2,0.885162,0.528801,3,7,0,18885.9,-0.0125631,0.975514,0.12479,-0.0399386,0.260421,0.0923273,0.321497,0.155053,0.0166799,0.0442744,0.242677,0.160006,-0.0365434,0.0901344,0.0856754,0.0262625,0.154798,0.121792,0.145958,0.162528,0.2396,0.070855,0.168303,0.069927,-19392.6
-18873.6,0.862257,0.528801,3,7,0,18885.7,-0.00219089,0.971123,0.105181,-0.021016,0.220918,0.111431,0.329253,0.147918,0.0492359,0.0937604,0.28536,0.176292,-0.0289003,0.115289,0.0651855,-0.00388999,0.151933,0.119631,0.123278,0.138351,0.117841,0.123322,0.137655,0.0969891,-19402.2
-18878.9,0.52726,0.528801,3,7,0,18899.9,-0.0120843,0.979522,0.120523,-0.017305,0.280845,0.111772,0.321597,0.151882,0.0507759,0.0422894,0.224515,0.16081,-0.0441529,0.0868008,0.0842533,0.0161833,0.154073,0.117474,0.11447,0.167703,0.194862,0.139851,0.15224,0.102587,-19385.1
-18877.8,0.948035,0.528801,3,7,0,18890.6,-0.00845513,0.975778,0.111549,-0.0397337,0.199942,0.0950164,0.34722,0.145293,0.0182817,0.0948217,0.286977,0.170909,-0.0330145,0.106855,0.0634063,-0.00273837,0.144497,0.116691,0.153622,0.134989,0.109371,0.0410403,0.0944327,0.0798224,-19396.1
-18883.5,0.921513,0.528801,3,7,0,18892.2,-0.0059942,0.973264,0.107968,-0.0274697,0.219708,0.0989267,0.339138,0.169729,0.0343941,0.0552503,0.260452,0.179001,-0.0295378,0.092524,0.0578697,-0.0110672,0.183989,0.0935876,0.089073,0.134537,0.15034,0.019707,0.145084,0.139443,-19383.8
-18878.2,1,0.528801,3,7,0,18896.1,-0.00972506,0.969681,0.124866,-0.0278567,0.253936,0.109082,0.313992,0.130249,0.0431633,0.0848565,0.260939,0.154592,-0.0513328,0.113464,0.0847816,0.00185897,0.121212,0.14472,0.177376,0.159358,0.134627,0.084379,0.121217,0.0849846,-19410.9
-18879.6,0.831004,0.528801,3,7,0,18895,-0.00658421,0.975404,0.113012,-0.0299901,0.220389,0.0965988,0.329084,0.165746,0.0275849,0.0531481,0.269779,0.180701,-0.0184721,0.0903246,0.0624786,0.00780518,0.169281,0.0799455,0.0920463,0.150647,0.152963,0.104878,0.14455,0.0638903,-19380
-18874.6,0.976647,0.528801,3,7,0,18888.8,-0.00982541,0.974047,0.131285,-0.0130967,0.239101,0.103069,0.317062,0.145602,-0.000344125,0.0898236,0.2767,0.1609,-0.0255554,0.104626,0.0698098,0.00527878,0.156426,0.1096,0.137026,0.138195,0.106074,0.105031,0.0844289,0.0820674,-19391.9
