# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:57:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/qeqyaihp.json
# init = 2 (Default)
# random
#   seed = 350
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/asym_Word2Vec.nondens/multireg-20250420205757_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,sigma,beta.1,beta.2,beta.3,log_p
# Adaptation terminated
# Step size = 0.499946
# Diagonal elements of inverse mass matrix:
# 2.40736e-05, 2.29681e-05, 2.26661e-05, 2.22414e-05, 1.54202e-05
-34045.8,0.899307,0.499946,3,7,0,34049.4,-0.00981368,-0.108459,0.156216,0.131222,0.970752,-0.0887079,0.158056,0.132849,-33061.1
-34044.4,0.998843,0.499946,3,7,0,34046.2,-0.0138063,-0.112844,0.155863,0.130648,0.976877,-0.0931432,0.157745,0.132268,-33062
-34046.3,0.735123,0.499946,2,7,0,34050.1,-0.0189642,-0.107039,0.154973,0.133098,0.976357,-0.0873971,0.156307,0.134749,-33063.3
-34047.3,0.859599,0.499946,3,7,0,34051,-0.00429017,-0.11148,0.155485,0.127097,0.973234,-0.0918789,0.157907,0.128674,-33062
-34046.1,0.939725,0.499946,3,7,0,34050.5,-0.0191868,-0.113355,0.155736,0.132212,0.976928,-0.0936428,0.157336,0.133852,-33062.6
-34046.4,0.970186,0.499946,3,7,0,34048,-0.00669057,-0.107664,0.151433,0.130563,0.972553,-0.0884626,0.152652,0.132182,-33061.9
-34044.1,0.970524,0.499946,2,3,0,34047.1,-0.0149605,-0.110193,0.1539,0.130585,0.974289,-0.0907139,0.155492,0.132204,-33061.6
-34046.3,0.88433,0.499946,3,7,0,34046.6,-0.0061996,-0.107076,0.154401,0.132114,0.976544,-0.0875141,0.155813,0.133752,-33062.8
-34046.4,0.993918,0.499946,2,7,0,34047,-0.0056656,-0.108826,0.155439,0.131801,0.977418,-0.0891523,0.157062,0.133436,-33062.8
-34047.7,0.938675,0.499946,3,7,0,34049,-0.0207066,-0.112762,0.150675,0.128409,0.972374,-0.0936829,0.15214,0.130002,-33062.5
-34045.7,1,0.499946,2,3,0,34048.5,-0.0176833,-0.109954,0.153043,0.129299,0.971872,-0.0905919,0.154721,0.130902,-33061.8
-34044.8,0.966806,0.499946,2,7,0,34046.7,-0.0100855,-0.109124,0.152547,0.133086,0.976661,-0.0897557,0.153512,0.134737,-33062.1
-34049.6,0.64853,0.499946,2,3,0,34050.9,-0.0214576,-0.10941,0.1581,0.132208,0.980331,-0.0894297,0.160063,0.133848,-33065.4
-34048.2,1,0.499946,3,7,0,34051.3,-0.0182515,-0.107721,0.15715,0.135777,0.979583,-0.0877895,0.158367,0.137461,-33064.4
-34046.7,0.951324,0.499946,3,7,0,34050.9,-0.0123973,-0.104496,0.153244,0.128079,0.971456,-0.0851304,0.155157,0.129668,-33062.7
-34047.8,0.966441,0.499946,3,7,0,34048.7,-0.0130906,-0.106064,0.154475,0.126497,0.969441,-0.0865865,0.156844,0.128066,-33062.5
-34046.5,0.967078,0.499946,3,7,0,34050.7,-0.00784598,-0.106719,0.152146,0.127719,0.972516,-0.0874833,0.153953,0.129303,-33062.4
-34045.2,0.987532,0.499946,3,7,0,34048,-0.00803926,-0.109981,0.152276,0.129112,0.976278,-0.0907085,0.153868,0.130714,-33062.4
-34046.9,0.755499,0.499946,3,7,0,34050.9,-0.0171646,-0.111544,0.157508,0.134091,0.970308,-0.0916,0.159064,0.135754,-33061
-34046.8,0.993364,0.499946,3,7,0,34049.5,-0.0164271,-0.106635,0.149679,0.135143,0.973327,-0.0875557,0.149858,0.136819,-33062.3
-34046.8,1,0.499946,3,7,0,34049,-0.0170868,-0.111117,0.15116,0.137327,0.973008,-0.0918355,0.151199,0.13903,-33061.4
-34048.1,0.95686,0.499946,2,3,0,34048.9,-0.0164013,-0.114262,0.1502,0.139047,0.973312,-0.0950611,0.149802,0.140771,-33061.2
-34045.2,0.924542,0.499946,2,7,0,34050.2,-0.00954813,-0.111682,0.158673,0.127963,0.975237,-0.091708,0.161438,0.12955,-33062
-34044.2,0.9931,0.499946,2,3,0,34045.6,-0.0131135,-0.108643,0.15353,0.129997,0.974082,-0.0892142,0.155165,0.131609,-33061.8
-34044.3,0.895486,0.499946,3,7,0,34046,-0.010217,-0.113059,0.155796,0.130969,0.975426,-0.0933597,0.157615,0.132593,-33061.3
-34044.5,0.976906,0.499946,3,7,0,34045.1,-0.0157367,-0.109101,0.153168,0.130503,0.973895,-0.0897052,0.154663,0.132121,-33061.9
-34044.2,0.99547,0.499946,3,7,0,34044.9,-0.0119424,-0.109731,0.156736,0.129405,0.975086,-0.0899507,0.158961,0.13101,-33061.9
-34045.6,0.877091,0.499946,3,7,0,34046.7,-0.015967,-0.109336,0.152975,0.126437,0.977132,-0.0900287,0.155124,0.128005,-33063.6
-34046.8,0.890443,0.499946,3,7,0,34048.7,-0.0125654,-0.114735,0.157266,0.131426,0.969544,-0.0948629,0.159232,0.133056,-33060.3
-34046.4,0.981453,0.499946,3,7,0,34049.3,-0.0151442,-0.109852,0.153954,0.12381,0.972889,-0.0904779,0.156694,0.125345,-33062.8
-34046,0.851833,0.499946,3,7,0,34050.4,-0.0121247,-0.114484,0.152246,0.136299,0.977421,-0.0950976,0.152624,0.137989,-33061.7
-34050.3,0.715741,0.499946,2,3,0,34051.8,-0.00745857,-0.110599,0.144522,0.135527,0.971772,-0.0920956,0.143847,0.137208,-33062
-34049.5,1,0.499946,3,7,0,34051.5,-0.016642,-0.108916,0.164176,0.127341,0.978108,-0.0883313,0.167887,0.12892,-33065.1
-34050,0.937189,0.499946,3,7,0,34054.9,-0.0120877,-0.119371,0.160655,0.134631,0.979608,-0.0990648,0.162601,0.136301,-33063.1
-34044.1,1,0.499946,2,7,0,34049.5,-0.0123628,-0.112512,0.154214,0.132933,0.975377,-0.0929585,0.155459,0.134581,-33061.2
-34044.4,0.976165,0.499946,3,7,0,34044.7,-0.01025,-0.110533,0.155019,0.132934,0.97657,-0.0908888,0.156388,0.134583,-33061.8
-34047.7,0.771288,0.499946,2,3,0,34048.9,-0.0190536,-0.11099,0.149629,0.124873,0.97531,-0.0920858,0.151529,0.126422,-33063.8
-34045.4,0.971831,0.499946,3,7,0,34049.4,-0.0107401,-0.114873,0.158704,0.128693,0.974181,-0.0948841,0.161351,0.130289,-33061.3
-34046,0.944135,0.499946,2,3,0,34047,-0.0113434,-0.113766,0.157909,0.125387,0.976554,-0.0939207,0.16099,0.126942,-33062.7
-34044.3,0.689398,0.499946,2,3,0,34052,-0.0133816,-0.108772,0.15221,0.130581,0.973961,-0.0894829,0.153544,0.1322,-33061.7
-34045.8,0.660275,0.499946,2,7,0,34050.9,-0.0124755,-0.111997,0.155767,0.13626,0.978121,-0.092214,0.156691,0.13795,-33062.2
-34044.4,0.98821,0.499946,3,7,0,34046.8,-0.0143412,-0.109023,0.157017,0.129751,0.974703,-0.0892057,0.159228,0.13136,-33062.1
-34044.7,0.948436,0.499946,3,7,0,34045.6,-0.00958447,-0.113389,0.153851,0.133495,0.975159,-0.0938675,0.154947,0.13515,-33061
-34045.6,0.940927,0.499946,3,7,0,34046.3,-0.0161148,-0.107877,0.151074,0.128983,0.976936,-0.0887417,0.152503,0.130583,-33063.4
-34045.9,0.921725,0.499946,3,7,0,34048.3,-0.010703,-0.113691,0.160553,0.130953,0.973091,-0.0934563,0.163103,0.132577,-33061.1
-34048.3,0.856959,0.499946,2,3,0,34049,-0.0067983,-0.113363,0.162947,0.130156,0.972794,-0.0928708,0.165997,0.13177,-33061.8
-34045.5,0.928245,0.499946,3,7,0,34051.4,-0.0139574,-0.11698,0.155998,0.132979,0.974923,-0.0972258,0.157509,0.134628,-33060.9
-34045.6,0.99829,0.499946,3,7,0,34046,-0.0114802,-0.10467,0.152984,0.129556,0.975448,-0.0853094,0.15461,0.131163,-33063.2
-34046.8,0.916109,0.499946,3,7,0,34048.5,-0.00447179,-0.110898,0.155805,0.133854,0.975488,-0.0911497,0.157139,0.135514,-33061.8
-34045.8,0.911236,0.499946,3,7,0,34049.9,-0.019756,-0.110601,0.154548,0.131574,0.973933,-0.0910321,0.156074,0.133205,-33062.2
-34045.3,0.990216,0.499946,3,7,0,34046.8,-0.0158164,-0.111349,0.1581,0.133196,0.972531,-0.0913536,0.159897,0.134848,-33061.1
-34046,0.96287,0.499946,3,7,0,34047,-0.0147642,-0.110531,0.14988,0.129341,0.978742,-0.0915255,0.151067,0.130945,-33063.6
-34045.8,1,0.499946,3,7,0,34047.4,-0.0123733,-0.111841,0.159802,0.132421,0.971643,-0.0916662,0.161989,0.134063,-33060.9
