lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,log_p
# Adaptation terminated
# Step size = 0.427157
# Diagonal elements of inverse mass matrix:
# 3.0532e-05, 2.14891e-05, 0.000219592, 0.00016063, 0.000147888, 0.000147442, 0.000261561, 0.00022648, 0.000212782, 0.000206429, 0.000419251, 0.000359874, 0.000372692, 0.0003707, 0.000138277, 0.00019167, 0.000205227, 0.000307411, 0.000237332, 0.000213152, 0.000201152, 0.00021001, 0.000269572, 0.000243279, 0.00022811, 0.000378598, 0.000378494, 0.000213636, 0.000192265, 0.000235233, 0.000383309, 0.000400763, 0.000276948, 0.000354765, 0.000338021, 0.000262284, 0.000261586, 0.000273211, 0.00212442, 0.000936298, 0.000376187, 0.00090011, 0.092884, 0.0795005, 0.0875324, 0.0898629
-18762.4,1,0.427157,3,15,0,18783.4,-0.0060828,0.968339,0.203514,-0.0126025,0.256894,0.11519,0.301004,0.187911,0.102522,0.0723766,0.260035,0.166301,-0.03613,0.0730585,0.071203,-0.0435275,0.145265,0.0662731,0.200511,0.127225,-0.0808541,-0.0605558,-0.107481,-0.139334,0.0119406,-0.0215581,-0.110998,-0.0987152,-0.0534068,0.0377659,0.077416,0.0175299,0.00955417,0.0629926,-0.0424684,0.189464,-0.0352481,0.0389954,0.246109,0.112743,-0.12466,0.0236842,0.127033,0.137962,0.0476438,0.0733923,-19198.9
-18758,1,0.427157,3,7,0,18777.5,-0.00682877,0.969362,0.223796,-0.0313994,0.265866,0.100981,0.323721,0.216422,0.13688,0.0461037,0.209595,0.164957,-0.0350172,0.0962129,0.0429023,0.00405804,0.148219,0.0562593,0.163257,0.171186,-0.0618274,-0.0592537,-0.0866221,-0.119679,-0.011569,-0.0383062,-0.133071,-0.09143,0.0108992,0.054754,0.105093,0.00737724,0.0555205,0.0312287,-0.0177482,0.218477,-0.00865622,0.0843155,0.108742,0.165397,-0.0594233,0.0703004,0.112934,0.114797,0.104444,0.0680245,-19229.5
-18755.7,0.892301,0.427157,3,7,0,18778.2,-0.00166295,0.971287,0.217813,-0.00223159,0.271808,0.102534,0.324691,0.200677,0.131931,0.0573412,0.243208,0.154571,-0.0642489,0.1154,0.0406403,-0.011836,0.13134,0.0471857,0.201175,0.152198,-0.0716209,-0.0701992,-0.114085,-0.1222,0.00406414,-0.0415407,-0.0985427,-0.0902885,-0.00834316,0.0406878,0.0995347,-0.00255784,0.0153631,0.0408984,-0.0529624,0.204453,-0.0454055,0.0603001,0.21271,0.114799,-0.0836348,0.0414617,0.172963,0.0849837,0.0800194,0.0993777,-19213.3
-18753.6,0.947572,0.427157,3,15,0,18774.9,-0.0103002,0.968893,0.240012,-0.0291575,0.273216,0.126039,0.316865,0.199361,0.10084,0.0883968,0.197744,0.164031,-0.00073461,0.0598906,0.0490407,-0.020486,0.151695,0.0583591,0.154839,0.166744,-0.060419,-0.0573046,-0.0919178,-0.131858,-0.00251215,-0.0469254,-0.110289,-0.0811995,-0.00595382,0.0791701,0.0841399,0.0190962,0.0614226,0.0335392,-0.0205985,0.212914,-0.000141328,0.0640762,0.192526,0.0996439,-0.0514995,0.0775582,0.158161,0.101538,0.0315122,0.0656655,-19225.4
-18757.1,0.743372,0.427157,3,7,0,18781.7,-0.00660501,0.970241,0.237863,-0.0389665,0.260784,0.129182,0.317345,0.204056,0.0868395,0.0829924,0.207696,0.1619,-0.0165611,0.0506924,0.0457649,-0.00691479,0.159535,0.040262,0.154185,0.163833,-0.055861,-0.063891,-0.0850361,-0.131958,0.00200441,-0.0483074,-0.111709,-0.0894803,-0.0121968,0.0795563,0.0742811,0.0112895,0.0636547,0.0374819,-0.014665,0.215614,0.0114679,0.0677656,0.216004,0.108081,-0.0618627,0.105727,0.170153,0.109895,0.0362202,0.0615134,-19223.6
-18767.5,0.771212,0.427157,3,7,0,18789.6,-0.00048054,0.968661,0.249764,-0.0128986,0.299871,0.114068,0.318586,0.160069,0.0901087,0.0690511,0.256647,0.148824,-0.0462412,0.088869,0.0311901,-0.0190864,0.145262,0.0536557,0.212785,0.135732,-0.0709796,-0.0548678,-0.0968781,-0.114967,-0.0137307,-0.0533264,-0.111299,-0.119433,-0.0504588,0.0622153,0.0978466,-0.0194942,0.0242807,0.0370637,0.0247013,0.199016,-0.0137233,0.0681483,0.147079,0.0947379,-0.0890354,0.0124608,0.157966,0.0692551,0.0434647,0.0634562,-19228.3
-18757.5,0.940057,0.427157,3,7,0,18786.7,-0.0107849,0.971888,0.215767,0.00193503,0.312259,0.0980268,0.295477,0.178616,0.0885026,0.0673461,0.258075,0.144306,-0.0337743,0.0726471,0.0445462,-0.00411289,0.126656,0.0561634,0.166309,0.114986,-0.0704284,-0.0668019,-0.0913271,-0.107303,-0.0198757,-0.0498537,-0.111933,-0.10233,-0.0233264,0.0487245,0.0934292,-0.0105641,0.0156847,0.0389146,-0.0408164,0.211412,-0.0150797,0.100384,0.201638,0.0636639,-0.0634912,0.108948,0.15175,0.070987,0.0328307,0.111092,-19185.2
-18762.6,0.680859,0.427157,4,15,0,18783.5,-0.0110124,0.972055,0.25239,-0.0418518,0.296809,0.107559,0.309883,0.171224,0.121273,0.0847326,0.225119,0.127313,-0.0469337,0.0633252,0.0524844,-0.00705149,0.169718,0.0627142,0.138183,0.150409,-0.0811846,-0.0543673,-0.0771646,-0.109943,-0.00577492,-0.0547811,-0.113103,-0.0903909,-0.0289249,0.0590738,0.111301,-0.0226495,0.0162068,0.0326347,-0.0418164,0.208109,0.0033412,0.074568,0.236975,0.104498,-0.098227,0.0921619,0.111086,0.0569023,0.0478754,0.0698705,-19208.6
-18756,0.987014,0.427157,3,7,0,18783.1,-0.0087348,0.9683,0.249351,-0.0156742,0.25427,0.119548,0.313695,0.185281,0.137787,0.0399923,0.193776,0.172004,-0.0385312,0.0467634,0.0598587,-0.0157274,0.154859,0.0738168,0.193806,0.165768,-0.0832771,-0.0508074,-0.12817,-0.116795,-0.0025368,-0.034897,-0.108528,-0.0721497,-0.0252831,0.062036,0.0799554,0.0137191,0.0335898,0.0547108,-0.0421016,0.189101,-0.0167954,0.0735302,0.163499,0.0717025,-0.0417853,0.0168495,0.150582,0.103474,0.0392761,0.0910585,-19220.7
-18755.4,0.995186,0.427157,3,7,0,18772.7,-0.00751227,0.974687,0.211158,-0.00813441,0.304942,0.106011,0.306571,0.215268,0.0992234,0.0680908,0.235919,0.140334,-0.044962,0.0639189,0.0550148,-0.00401296,0.135818,0.0766903,0.171135,0.164092,-0.0614138,-0.0578368,-0.0966944,-0.137885,-0.0171831,-0.0259004,-0.0988105,-0.062802,-0.0236735,0.0495204,0.0993762,-0.00516385,0.0122079,0.0385081,0.00751102,0.205556,-0.0508759,0.0517212,0.220079,0.107231,-0.0978708,0.0678172,0.0955364,0.125044,0.0502943,0.0497596,-19194.9
