# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-03-23 19:53:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/hciwtidq.json
# init = 2 (Default)
# random
#   seed = 92789
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-BOW-SciBERT.h-nondens/hreg-20250323145307_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,log_p
# Adaptation terminated
# Step size = 0.397761
# Diagonal elements of inverse mass matrix:
# 3.42948e-05, 2.1353e-05, 0.000234114, 0.000190425, 0.000126972, 0.000150794, 0.000239075, 0.000191825, 0.000189804, 0.000217, 0.000439509, 0.000354599, 0.000433308, 0.000423835, 0.000173202, 0.000205545, 0.000202222, 0.000296559, 0.000192918, 0.000193675, 0.000193047, 0.000188743, 0.000302657, 0.000215556, 0.000274848, 0.000397706, 0.000456284, 0.000244072, 0.00022636, 0.000228467, 0.0003147, 0.000396747, 0.000289966, 0.000424466, 0.0002979, 0.000290751, 0.000279834, 0.000240323, 0.00206381, 0.00104961, 0.000371986, 0.000979644, 0.0893476, 0.0823271, 0.0995323, 0.0827744
-18759.4,0.901548,0.397761,3,7,0,18788.7,-0.00438306,0.969705,0.202128,-0.0119706,0.306646,0.115754,0.311678,0.196834,0.10696,0.0574553,0.214074,0.152545,-0.0474281,0.0528693,0.0569759,-0.00540627,0.139505,0.0722592,0.166913,0.145555,-0.0601833,-0.0736756,-0.128676,-0.110087,-0.0126081,-0.0226131,-0.109815,-0.13435,-0.0379673,0.0438201,0.0738416,0.0246781,0.017899,0.0482959,-0.031661,0.198481,-0.0596298,0.0737286,0.129325,0.0909461,-0.0654386,0.0145711,0.112136,0.17007,0.0566295,0.0730029,-19199.3
-18758,0.925648,0.397761,3,7,0,18785.1,-0.011432,0.969539,0.213248,-0.0160666,0.26168,0.0945007,0.304634,0.21726,0.101374,0.0680232,0.226156,0.159955,-0.0311428,0.108646,0.0694714,-0.030785,0.147825,0.0746385,0.183698,0.170556,-0.0716621,-0.0465369,-0.12746,-0.129019,0.0140304,-0.0546734,-0.124748,-0.0650096,0.00120459,0.071854,0.111591,0.0242797,0.0305656,0.0458909,-0.024233,0.202063,0.0297318,0.0584276,0.199489,0.0508867,-0.0900612,0.0916969,0.118504,0.0712791,0.0541983,0.0703357,-19212.3
-18761.9,0.947412,0.397761,3,7,0,18786.6,-0.00784447,0.969813,0.194053,-0.00947159,0.284247,0.108336,0.292774,0.19151,0.142198,0.111939,0.190106,0.141602,-0.0526357,0.0509575,0.0305617,-0.0256217,0.140584,0.0526246,0.15911,0.164855,-0.0574704,-0.0477956,-0.109591,-0.147782,-0.00653116,-0.0455435,-0.110672,-0.118011,-0.035346,0.0313035,0.0837682,0.0179703,0.0302584,0.0619727,-0.0211161,0.220321,-0.035527,0.0795452,0.145915,0.118492,-0.0815084,0.0578862,0.0639309,0.0769195,0.054462,0.102408,-19183.3
-18758.2,0.861641,0.397761,4,15,0,18788.5,-0.00674705,0.969893,0.228983,-0.0511612,0.287617,0.108289,0.301901,0.196177,0.0724621,0.0786184,0.245999,0.133942,-0.030063,0.0734078,0.0340637,-0.0158732,0.135703,0.11402,0.158038,0.145248,-0.0647916,-0.0668074,-0.107703,-0.123629,0.00205862,-0.0295288,-0.131983,-0.0925951,-0.0330358,0.0732635,0.0772829,-0.00200652,0.0435506,0.0361362,-0.0425696,0.189049,-0.0596261,0.0509869,0.136108,0.0506383,-0.0602417,0.0278864,0.111835,0.0832388,0.0548846,0.0955524,-19201.8
-18761.1,0.862593,0.397761,4,15,0,18783.8,-0.0103382,0.967084,0.211298,0.00587009,0.260416,0.111275,0.311875,0.180237,0.131975,0.0728486,0.203403,0.174308,-0.0413334,0.0703392,0.0785338,-0.0102116,0.168041,0.015347,0.170413,0.172667,-0.0566659,-0.0591561,-0.125307,-0.137644,-0.00827988,-0.0454588,-0.100473,-0.0710585,-0.00143344,0.0387202,0.0991049,0.0298211,0.015432,0.045744,-0.0304565,0.222154,0.0205993,0.0735692,0.0908167,0.122993,-0.0639882,0.0743632,0.236037,0.0738759,0.0705632,0.0693732,-19218.1
-18757.8,0.889875,0.397761,4,15,0,18783.5,-0.00792609,0.971669,0.213871,-0.0503818,0.26498,0.117407,0.294286,0.162846,0.10031,0.0741837,0.21204,0.157011,-0.0249684,0.0956631,0.0544776,0.00458541,0.155387,0.0494351,0.142553,0.161467,-0.0589463,-0.079837,-0.12096,-0.141898,-0.014656,-0.0232269,-0.105543,-0.0945731,-0.0120651,0.0538589,0.0970125,0.0514141,0.0137127,0.0640709,0.0160549,0.214976,0.0130382,0.0576157,0.11609,0.0866694,-0.0679647,0.0580478,0.179477,0.0996922,0.0372784,0.060746,-19199.1
