lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,log_p
# Adaptation terminated
# Step size = 0.40902
# Diagonal elements of inverse mass matrix:
# 3.18805e-05, 2.29708e-05, 0.000218411, 0.000174675, 0.000165436, 0.000173386, 0.0002141, 0.000222271, 0.000176231, 0.000223718, 0.000485218, 0.000379417, 0.000334113, 0.000345739, 0.000181572, 0.000238062, 0.000193294, 0.000255296, 0.000204209, 0.000217939, 0.000193636, 0.000153465, 0.000276739, 0.000185406, 0.000248638, 0.000388022, 0.000455387, 0.000186675, 0.000202015, 0.000279244, 0.000373414, 0.000367331, 0.000279688, 0.000379881, 0.000302041, 0.000250316, 0.000256802, 0.000325021, 0.00241515, 0.00102678, 0.000325592, 0.00109635, 0.0807976, 0.099375, 0.0848206, 0.0816852
-18608.5,0.844006,0.40902,3,7,0,18626.6,-0.00290818,0.963867,0.207168,-0.055583,0.347694,0.120935,0.293816,0.180732,0.0439309,0.102952,0.280305,0.129934,-0.0347056,0.0922221,0.0787913,0.0316086,0.136582,0.0739258,0.111774,0.14375,-0.0578111,-0.0443071,-0.143073,-0.129983,0.00417036,-0.0446926,-0.0921825,-0.0456096,-0.027254,0.0544602,0.0822306,0.00630424,0.0762396,0.0370373,-0.0162592,0.213093,-0.0307373,0.0439631,0.0971389,0.115949,-0.0699125,0.00735488,0.232646,0.096005,0.0632948,0.0642459,-55556
-18605.5,0.964937,0.40902,3,7,0,18632.9,-0.00466089,0.968235,0.223156,-0.0384153,0.278712,0.0844554,0.299534,0.195787,0.0869544,0.0932855,0.229088,0.146485,-0.0348351,0.119373,0.0548391,-0.0174696,0.138226,0.0647574,0.171807,0.150448,-0.0534286,-0.039237,-0.137459,-0.143155,-0.0418693,-0.00616953,-0.0996035,-0.0872709,-0.0401856,0.0180328,0.0673378,0.0128347,0.0374896,0.0179113,0.0047449,0.210472,-0.0372174,0.0617784,0.197071,0.0817022,-0.0577414,0.0760037,0.0723668,0.062382,0.0434213,0.104576,-55554.1
-18606.9,0.947851,0.40902,3,15,0,18632.2,-0.00809748,0.96139,0.169226,-0.0490927,0.340444,0.122006,0.293446,0.168844,0.0422361,0.0824761,0.284754,0.165509,-0.0443817,0.0637877,0.0912628,0.0125521,0.164113,0.0529212,0.125527,0.122771,-0.0879628,-0.0604578,-0.144834,-0.154363,-0.00627967,-0.0271531,-0.101374,-0.0587284,-0.0168444,0.064725,0.0975491,0.0166776,0.0506949,0.0347354,-0.0306884,0.220304,-0.0327283,0.0418639,0.0895853,0.1218,-0.0587733,0.0704179,0.268736,0.0834763,0.116526,0.0688696,-55550.9
-18608.4,0.947959,0.40902,3,7,0,18625.8,-0.00423387,0.961978,0.1711,-0.0530499,0.344485,0.115122,0.293079,0.165814,0.0356931,0.0916821,0.285607,0.172154,-0.0467102,0.066404,0.0844002,0.0225292,0.162141,0.0460616,0.122794,0.118696,-0.0907916,-0.0486959,-0.144994,-0.156519,-0.0031948,-0.0304922,-0.109711,-0.0589089,-0.0114661,0.0593569,0.101687,0.0265236,0.0489768,0.0387096,-0.0365026,0.224632,-0.0300095,0.0436011,0.0581054,0.103042,-0.0554194,0.0640022,0.245829,0.100435,0.110153,0.0802153,-55553.1
-18605.8,0.955171,0.40902,3,15,0,18632.3,-0.00350173,0.967204,0.19884,-0.0236669,0.280155,0.0965457,0.294521,0.212473,0.095948,0.0692939,0.256622,0.16577,-0.0209239,0.0976494,0.0750427,0.00606344,0.132534,0.0754466,0.176719,0.133786,-0.0798471,-0.0735429,-0.131786,-0.161305,-0.0234675,-0.0359025,-0.113047,-0.0237348,-0.0184322,0.0336332,0.0830642,-0.00320884,0.0445928,0.0246181,-0.0111181,0.210412,-0.0584408,0.0465827,0.115558,0.0416176,-0.0572194,0.0178874,0.111443,0.0932578,0.127455,0.0804769,-55552.3
-18617.2,0.774446,0.40902,3,7,0,18642.3,-0.00176027,0.968901,0.209206,-0.0290204,0.316494,0.11375,0.268002,0.143649,0.107445,0.0844539,0.247564,0.149604,-0.0734257,0.090604,0.0717666,0.00898794,0.144149,0.0520785,0.0887884,0.141412,-0.0753202,-0.0414455,-0.151461,-0.174877,-0.00379442,-0.0188409,-0.083757,-0.0558029,-0.0111364,0.0575521,0.114007,0.0218008,0.0580554,0.0614333,0.0212798,0.229847,-0.0353267,0.045523,0.216653,0.0976387,-0.0201518,0.105415,0.0904624,0.096628,0.0589126,0.0727585,-55562.2
-18612,0.980015,0.40902,3,7,0,18642.9,0.00543254,0.960757,0.229963,-0.0400211,0.32345,0.110551,0.297319,0.180674,0.107598,0.121344,0.221225,0.132272,-0.041406,0.078507,0.0536456,0.0123744,0.143776,0.0697857,0.105704,0.155152,-0.0740378,-0.0433845,-0.117503,-0.170118,-0.0127944,-0.0185535,-0.074759,-0.0721312,-0.00840714,0.0407233,0.139234,0.036649,0.0626736,0.0335306,0.00952623,0.224036,-0.0210408,0.062188,0.156667,0.0951784,-0.0662098,0.0496602,0.101372,0.0707024,0.0597338,0.0675081,-55565
-18599.4,0.996656,0.40902,3,7,0,18629.9,-0.00796383,0.965624,0.189299,-0.0558008,0.284261,0.110132,0.287153,0.183403,0.0337274,0.0956354,0.253682,0.151537,-0.0403701,0.112484,0.0458947,0.0131647,0.153828,0.0494401,0.146281,0.144756,-0.0650514,-0.0680642,-0.13436,-0.12833,-0.00300129,-0.00893664,-0.0972787,-0.0946887,-0.0198625,0.0184676,0.0988527,-0.0112469,0.0550102,0.0166713,-0.0371602,0.211018,-0.00454325,0.0600645,0.193863,0.069342,-0.0474425,0.053924,0.13567,0.0547864,0.0487391,0.0821235,-55550
-18597.4,0.636843,0.40902,4,15,0,18621,-0.00979842,0.964717,0.209257,-0.0523463,0.280813,0.101172,0.31483,0.199591,0.0286337,0.0908322,0.259045,0.154536,-0.0418152,0.0829711,0.0773318,-0.020187,0.167695,0.0595959,0.171517,0.145204,-0.076644,-0.0520084,-0.136565,-0.135349,-0.0123986,0.00011633,-0.101444,-0.0703355,-0.0400216,0.02227,0.088713,0.00582114,0.0174179,0.0449681,0.00542823,0.218055,-0.0386052,0.0635481,0.211819,0.0877703,-0.0927632,0.0681691,0.133479,0.0569246,0.0785843,0.0752689,-55545.6
-18592.9,0.805605,0.40902,3,7,0,18618.3,-0.00318481,0.964547,0.200266,-0.048084,0.28429,0.103451,0.319227,0.185955,0.0418723,0.0926876,0.251,0.15534,-0.0445166,0.081979,0.0838175,-0.0216497,0.160251,0.0637314,0.172135,0.137247,-0.0764721,-0.0428773,-0.143488,-0.142724,-0.0112638,-0.00818737,-0.100606,-0.0791958,-0.044037,0.0296769,0.0939945,0.00525236,0.024922,0.0400402,0.0033457,0.216832,-0.049393,0.0579901,0.209553,0.0710348,-0.0808118,0.0687683,0.118705,0.0702109,0.0821257,0.0661797,-55541.7
-18609.5,0.542704,0.40902,3,7,0,18625.9,-0.00740414,0.966705,0.196031,-0.0263587,0.36898,0.114576,0.301285,0.187231,0.0700512,0.0982605,0.228214,0.145771,-0.0394971,0.0699463,0.0503066,0.0161315,0.126826,0.0981375,0.140111,0.162626,-0.0645756,-0.0505965,-0.126643,-0.178214,-0.0392072,-0.0259039,-0.0985095,-0.0599878,-0.0291019,0.061496,0.0898658,0.00438721,0.099567,0.0237387,0.0135669,0.19834,-0.0493605,0.0757988,0.116703,0.104219,-0.0752908,0.00768779,0.133942,0.0768558,0.0361058,0.12949,-55558.1
-18606.8,0.84805,0.40902,4,15,0,18639.2,-0.00827832,0.967446,0.196545,-0.014943,0.289506,0.108572,0.293939,0.18368,0.079869,0.108854,0.245877,0.160028,-0.048975,0.125694,0.0594486,0.00814718,0.134209,0.0850436,0.140708,0.157518,-0.0657527,-0.0409281,-0.114708,-0.173514,-0.0262114,-0.0332645,-0.115559,-0.0541715,-0.00868074,0.0488897,0.101474,0.00687537,0.0768353,0.0463865,-0.023983,0.239225,-0.0635951,0.0602321,0.123312,0.128515,-0.0838137,-0.0309552,0.115843,0.110886,0.0481129,0.267553,-55550.4
-18603.6,0.907174,0.40902,4,15,0,18630.3,-0.00424819,0.96543,0.204598,-0.0436653,0.296959,0.108844,0.334193,0.182478,0.0470561,0.0762711,0.271612,0.137487,-0.0357397,0.0781257,0.0742689,-0.00961103,0.173273,0.0271569,0.153281,0.114574,-0.0659546,-0.0538444,-0.137902,-0.121812,-0.0342069,-0.021565,-0.0834993,-0.0576788,-0.0609303,0.0372386,0.0762746,0.00730332,0.0304835,0.0199217,-0.0110256,0.211404,-0.0366647,0.0668352,0.193786,0.0348222,-0.0630001,0.0761263,0.118122,0.0650779,0.0504575,0.0478086,-55551.6
-18602.4,0.967122,0.40902,3,7,0,18624.4,0.000511789,0.964039,0.21058,-0.0486779,0.310805,0.117206,0.33803,0.187465,0.0499365,0.0710113,0.272905,0.134335,-0.0371339,0.0763932,0.0847019,0.00150629,0.163284,0.0292378,0.149317,0.119177,-0.0659021,-0.0666494,-0.138955,-0.121809,-0.0310701,-0.0204383,-0.089476,-0.0599547,-0.0579281,0.0391198,0.074421,0.0185311,0.0215608,0.0254379,-0.00809077,0.208448,-0.0447857,0.0654132,0.183537,0.0319225,-0.069228,0.0467092,0.116328,0.0632003,0.0433287,0.0557628,-55553.7
