# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 22:03:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/kun1jomc.json
# init = 2 (Default)
# random
#   seed = 21512
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-BOW-SciBERT.h-nondens/hreg-20240928170319_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,log_p
# Adaptation terminated
# Step size = 0.372508
# Diagonal elements of inverse mass matrix:
# 3.14125e-05, 2.10939e-05, 0.000207693, 0.0001714, 0.000148471, 0.000140069, 0.000243709, 0.000206534, 0.000186096, 0.000249502, 0.000451632, 0.000342357, 0.000357429, 0.000345407, 0.000147385, 0.000236, 0.000212892, 0.000279546, 0.000199814, 0.000201405, 0.000165792, 0.000157318, 0.000278211, 0.000220932, 0.000255686, 0.000472939, 0.000392118, 0.000217534, 0.000224898, 0.000242846, 0.000285835, 0.000391693, 0.000273064, 0.00042368, 0.000347694, 0.000267531, 0.000257538, 0.000309803, 0.00347852, 0.00121961, 0.000429334, 0.00080223, 0.0946733, 0.0928104, 0.099289, 0.0810904
-18608,0.878204,0.372508,3,15,0,18628.9,-0.00367832,0.967983,0.197427,-0.0215266,0.310156,0.114401,0.32982,0.181769,0.102359,0.108499,0.242089,0.13476,-0.0621292,0.108496,0.0673017,0.0220149,0.157297,0.0471512,0.170562,0.125397,-0.0626927,-0.0747,-0.14329,-0.156596,-0.0355645,-0.0298517,-0.103099,-0.0239738,-0.0191714,0.0416564,0.125342,-0.0110755,0.0437599,0.0511132,-0.0155933,0.226359,-0.0723158,0.0799193,0.135007,0.0766989,-0.0714079,0.0399199,0.100583,0.0649262,0.0527259,0.0772911,-55558.5
-18602.7,0.980608,0.372508,4,15,0,18627.2,-0.00628306,0.967064,0.208429,-0.075287,0.31161,0.0951915,0.30444,0.179559,0.0269389,0.0742677,0.264689,0.167681,-0.0337217,0.0877965,0.0809373,0.00379369,0.137146,0.0747518,0.138151,0.157297,-0.0733993,-0.0282646,-0.125317,-0.136865,0.00019045,-0.00889504,-0.105878,-0.109455,-0.0340241,0.0538251,0.0671035,0.0339922,0.0572868,0.027608,-0.00938598,0.213422,0.0121569,0.0451197,0.0723094,0.0685249,-0.0662727,0.0590207,0.159274,0.0921533,0.042136,0.0981432,-55552.1
-18597.8,0.979814,0.372508,4,15,0,18625.4,-0.0147053,0.96697,0.189479,-0.0302641,0.326459,0.117385,0.309396,0.176173,0.100273,0.0931168,0.246228,0.158223,-0.0569853,0.101526,0.073687,0.0044046,0.139729,0.0345225,0.156892,0.158859,-0.0541826,-0.0631489,-0.118405,-0.152535,-0.0327691,-0.0410995,-0.105757,-0.0336645,-0.0201911,0.0488854,0.0983047,0.00113335,0.0369282,0.047391,-0.00346633,0.236811,-0.0572483,0.0577233,0.141877,0.103772,-0.0675151,0.0447385,0.101852,0.0590845,0.0387198,0.103624,-55548.1
-18594.3,0.932966,0.372508,3,7,0,18611.6,0.000154776,0.963246,0.183736,-0.0298112,0.308937,0.100532,0.299653,0.186481,0.0675743,0.10979,0.250732,0.13908,-0.0276028,0.0845614,0.0726901,0.00707869,0.149781,0.0472933,0.167982,0.136793,-0.0637669,-0.0490916,-0.125749,-0.133991,-0.0311857,-0.00808853,-0.100381,-0.0901542,-0.0376766,0.0250204,0.0967078,0.00781732,0.0487755,0.0234652,-0.00736888,0.245947,-0.0387732,0.0544408,0.194498,0.0533557,-0.0897559,0.070371,0.133517,0.103115,0.0642117,0.0901309,-55544.8
-18598.1,0.849232,0.372508,4,15,0,18613,-0.0137844,0.965394,0.208885,-0.0453297,0.313693,0.102138,0.302082,0.17874,0.0625062,0.0674455,0.257561,0.16106,-0.0459363,0.115051,0.0500934,-0.0045744,0.149705,0.0913026,0.116519,0.149759,-0.0772804,-0.0421755,-0.112798,-0.147254,-0.0209979,-0.030708,-0.0804331,-0.0597698,-0.0235695,0.0658549,0.0950987,0.0200628,0.0337194,0.0376004,-0.0271682,0.22223,-0.0465365,0.0615222,0.189764,0.129342,-0.0532495,0.0323638,0.143992,0.0737611,0.0371911,0.0655674,-55548.4
-18593.2,1,0.372508,4,15,0,18610,-0.00713367,0.960955,0.215954,-0.0361648,0.289715,0.106856,0.30892,0.172461,0.0555103,0.0785604,0.253398,0.152979,-0.0452879,0.124681,0.063053,-0.00607426,0.149895,0.0817501,0.125675,0.134656,-0.0714971,-0.0666121,-0.107484,-0.150685,-0.0299034,-0.0133013,-0.0820198,-0.0704698,-0.0162252,0.0617286,0.11245,-0.00417106,0.0513305,0.0407328,-0.0167337,0.207691,-0.0256618,0.045139,0.175821,0.0528047,-0.0660732,0.0410175,0.0898483,0.067249,0.0395023,0.0863978,-55545.2
