# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 22:03:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/kun1jomc.json
# init = 2 (Default)
# random
#   seed = 21512
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-BOW-SciBERT.h-nondens/hreg-20240928170319_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,log_p
# Adaptation terminated
# Step size = 0.448212
# Diagonal elements of inverse mass matrix:
# 3.34641e-05, 2.52084e-05, 0.000213664, 0.000166531, 0.000187625, 0.000158445, 0.000215143, 0.000176847, 0.000177656, 0.0002089, 0.00048444, 0.000356262, 0.000337205, 0.000359991, 0.000166407, 0.000220231, 0.000199316, 0.0002558, 0.000193831, 0.000186705, 0.000179608, 0.000168917, 0.000249483, 0.000249355, 0.000288306, 0.000387901, 0.000393715, 0.000202655, 0.000193376, 0.00021987, 0.000343516, 0.000366267, 0.000312199, 0.000383458, 0.000345518, 0.000300503, 0.000269921, 0.000291396, 0.00226216, 0.000892503, 0.000442324, 0.000902126, 0.0824822, 0.0840688, 0.0954295, 0.0829965
-18598.5,0.989701,0.448212,3,7,0,18628.1,-0.00285803,0.969826,0.208156,-0.0332567,0.299235,0.101874,0.298677,0.180304,0.0531611,0.120727,0.275652,0.142559,-0.0449025,0.0915105,0.0718567,0.0212267,0.152172,0.0681836,0.148591,0.148736,-0.066694,-0.0370443,-0.102872,-0.138903,-0.0344822,-0.021374,-0.103544,-0.0717692,-0.0587243,0.0385313,0.0830573,0.0133824,0.0334576,0.0363804,-0.0382325,0.249966,-0.0107501,0.0663444,0.0823382,0.074841,-0.0506718,0.0419235,0.148169,0.0680642,0.0328735,0.0954096,-55549.2
-18599.3,0.988814,0.448212,3,7,0,18615.6,-0.00980915,0.964191,0.203954,-0.0542446,0.270468,0.104537,0.298712,0.161951,0.108652,0.0906425,0.240534,0.161357,-0.0255688,0.0824179,0.087908,-0.00241458,0.135119,0.0573135,0.137651,0.122844,-0.0776222,-0.0742095,-0.120948,-0.129409,-0.0221647,-0.0375505,-0.0829111,-0.093175,-0.0401597,0.0571907,0.0989291,-0.00110088,0.0558739,0.0338192,0.00169779,0.19942,-0.0213256,0.0714514,0.217015,0.103501,-0.0795518,0.0260299,0.102035,0.0605783,0.0391168,0.0752483,-55554.3
-18597.3,0.901569,0.448212,3,7,0,18622.1,-0.00687113,0.969328,0.217865,-0.0319193,0.279988,0.0739855,0.314441,0.197711,0.0605154,0.0896329,0.25496,0.124894,-0.0177497,0.128605,0.0787411,0.00560716,0.158069,0.0648635,0.131991,0.146207,-0.075994,-0.0510811,-0.10835,-0.144604,-0.0202106,-0.00177292,-0.0764009,-0.0860691,-0.0270522,0.0529106,0.0773743,0.000147496,0.0347793,0.0376615,-0.0191339,0.20921,-0.0198505,0.0641883,0.103893,0.0981742,-0.064339,0.0571452,0.110259,0.0656042,0.0448687,0.067237,-55551.3
-18594.1,0.989158,0.448212,3,7,0,18609.7,-0.00666604,0.96227,0.197786,-0.0496017,0.321234,0.136831,0.287494,0.166832,0.0684256,0.0852903,0.265952,0.158434,-0.0505726,0.0777857,0.065742,-0.0072576,0.141794,0.0500888,0.143097,0.124329,-0.0488484,-0.0519948,-0.132947,-0.144866,-0.0171096,-0.0412752,-0.112886,-0.0786658,-0.0287126,0.0505186,0.100175,0.00334407,0.0530463,0.0353522,0.00375595,0.227558,-0.00751116,0.0543812,0.18555,0.0719512,-0.07521,0.0532564,0.171483,0.0644602,0.0531248,0.0723883,-55546.7
-18594,0.913692,0.448212,3,7,0,18609.6,-0.00660831,0.968507,0.210581,-0.0382781,0.282213,0.0823718,0.322998,0.185596,0.0481485,0.107815,0.253319,0.152818,-0.0382438,0.110182,0.0623239,0.00435994,0.164209,0.0632978,0.164263,0.143963,-0.0930271,-0.0471841,-0.117785,-0.139976,-0.0345173,-0.00959978,-0.0876433,-0.0609425,-0.0320956,0.0416949,0.0949585,0.0233339,0.0552684,0.0430381,0.00125425,0.214477,-0.0646419,0.0734466,0.148156,0.0928396,-0.075006,0.0670297,0.0857172,0.0903318,0.0365273,0.0692405,-55545.7
-18594.6,0.503906,0.448212,3,7,0,18620,-0.00694965,0.965863,0.206024,-0.048576,0.293025,0.093843,0.333817,0.1663,0.0426524,0.103156,0.249905,0.160298,-0.0412751,0.0946464,0.0747441,-0.00471327,0.161477,0.0557735,0.149768,0.136361,-0.0837965,-0.042568,-0.117998,-0.140652,-0.0292766,-0.00722125,-0.0864745,-0.0564728,-0.0381022,0.0499526,0.0992599,0.023576,0.0640474,0.0401215,0.000153886,0.216014,-0.0585419,0.0723642,0.110605,0.098047,-0.0898719,0.0549752,0.0944952,0.107403,0.0353642,0.0718614,-55542.9
-18593.8,0.926808,0.448212,3,7,0,18614.6,-0.00883834,0.967456,0.202981,-0.042449,0.294381,0.0832355,0.324091,0.172972,0.0398023,0.103825,0.250831,0.166406,-0.0396592,0.101048,0.0665823,-0.0131932,0.165705,0.0555101,0.14709,0.13493,-0.0915884,-0.0393273,-0.126696,-0.135905,-0.0325834,-0.0038851,-0.0833214,-0.0593848,-0.02736,0.0380516,0.0971104,0.0379178,0.0586779,0.0485174,0.00647902,0.208085,-0.0508724,0.0592088,0.115218,0.0885271,-0.0739737,0.0606396,0.102929,0.0875546,0.0408252,0.068501,-55545.9
-18607.4,0.583363,0.448212,3,7,0,18621.7,-0.0107893,0.9663,0.17993,-0.00799208,0.295775,0.112387,0.318955,0.174653,0.0779636,0.123273,0.252715,0.145163,-0.0482752,0.106587,0.0723801,-0.0105315,0.164168,0.0754403,0.153613,0.137198,-0.0528189,-0.0582808,-0.161841,-0.160949,-0.00921313,-0.0225171,-0.0862625,-0.111938,-0.0343335,0.0695839,0.0828073,0.00756151,0.0606355,0.0234342,-0.0447661,0.206664,0.0173173,0.0471705,0.190838,0.118908,-0.0411935,0.0493203,0.139289,0.0872116,0.0863098,0.0633307,-55557.2
-18609,0.983763,0.448212,3,15,0,18631,-0.00639024,0.96806,0.170068,-0.0155875,0.315832,0.116762,0.339122,0.171203,0.0357385,0.104158,0.236738,0.166372,-0.0359686,0.0943205,0.0657476,-0.00416868,0.144777,0.0426931,0.128614,0.155046,-0.0720438,-0.0360793,-0.13452,-0.168947,-0.0286936,-0.0370873,-0.0913848,-0.10309,-0.0271706,0.0474068,0.112022,-0.00253073,0.0508599,0.0413309,0.0137927,0.206156,-0.0120002,0.0748331,0.26667,0.0858233,-0.0112992,0.0708593,0.218694,0.0824666,0.100991,0.0792214,-55554.7
-18607,0.877504,0.448212,3,7,0,18632.9,-0.00877249,0.962439,0.219433,-0.0564137,0.357492,0.124681,0.316748,0.178851,0.0743894,0.0857195,0.284396,0.141419,-0.0706525,0.12376,0.0846431,0.0112703,0.164516,0.0824876,0.174844,0.124791,-0.0761335,-0.0547518,-0.159755,-0.145695,-0.0384177,-0.0121133,-0.0817038,-0.0703392,-0.00301782,0.0417706,0.106035,0.0196485,0.0391302,0.0307095,-0.0343666,0.212518,-0.0341836,0.0456099,0.228199,0.0792095,-0.0376718,0.0448285,0.167382,0.11725,0.0847489,0.0573125,-55553.2
-18605.8,0.979919,0.448212,3,7,0,18629.2,-0.00456924,0.968852,0.167896,-0.0260391,0.285185,0.0898479,0.301099,0.158991,0.0879297,0.0893563,0.259285,0.167862,-0.0291312,0.0546811,0.0545485,-0.0154485,0.147152,0.0448334,0.150558,0.140416,-0.0670221,-0.0291266,-0.122591,-0.127488,-0.0333055,-0.0366573,-0.114993,-0.0731236,-0.05639,0.0564041,0.0787576,0.0135605,0.0623132,0.0475384,-0.00882733,0.222739,-0.0477806,0.0623431,0.0952965,0.107814,-0.091987,0.0561472,0.106354,0.0709449,0.0291095,0.114922,-55555
-18603.2,0.915168,0.448212,3,7,0,18636.1,-0.00679264,0.963018,0.215656,-0.0456919,0.307849,0.108171,0.308948,0.171499,0.0691934,0.0889035,0.23889,0.14485,-0.057999,0.106031,0.0751503,0.00474094,0.151949,0.0687756,0.171535,0.15487,-0.0811077,-0.0848605,-0.126101,-0.12482,-0.0200713,-0.00748556,-0.0814028,-0.0746267,-0.00660353,0.0348002,0.125372,0.0373099,0.0510664,0.0347495,-0.0401876,0.22678,-0.0350671,0.0440356,0.155668,0.0233865,-0.0562727,0.0872518,0.19038,0.13899,0.0505232,0.0824412,-55550.2
-18607.1,0.945558,0.448212,3,7,0,18626.4,-0.00910232,0.968748,0.190179,-0.0596151,0.314673,0.103596,0.308078,0.224674,0.0457167,0.0882408,0.264084,0.161733,-0.028553,0.077069,0.0738319,-0.00523041,0.122547,0.0839676,0.151216,0.141354,-0.0772233,-0.046358,-0.119413,-0.169005,-0.0255431,-0.0359344,-0.110276,-0.0700378,-0.0238586,0.0640496,0.0818006,-0.0251111,0.0307157,0.0225707,0.00444339,0.182286,-0.0304637,0.0603682,0.107052,0.118981,-0.0981775,0.0609193,0.103473,0.0448214,0.0502292,0.120874,-55552.1
-18607.6,1,0.448212,3,7,0,18630,-0.00657883,0.964711,0.196101,-0.04963,0.312386,0.0978951,0.303463,0.166734,0.0361381,0.101875,0.261964,0.172393,-0.0364105,0.0911752,0.0639241,0.0117256,0.139498,0.0812298,0.124965,0.112019,-0.0801793,-0.0425062,-0.0678529,-0.160726,-0.0231671,0.015301,-0.114796,-0.0654577,-0.0238247,0.026462,0.0856827,-0.0183171,0.0576915,0.0239877,0.0242032,0.231764,-0.0267828,0.0593437,0.0944874,0.0347976,-0.0573364,0.0624487,0.257579,0.0954129,0.0653542,0.0519839,-55553.1
-18610.9,0.824856,0.448212,3,7,0,18629.2,-0.00182719,0.96811,0.198218,-0.0496228,0.28798,0.118997,0.30035,0.163343,0.049777,0.0957102,0.262673,0.169413,-0.0485987,0.0720282,0.0699288,-0.00516403,0.119013,0.0848041,0.115157,0.114417,-0.0888485,-0.0413535,-0.0886292,-0.162671,-0.0220513,-0.00465128,-0.117839,-0.103868,-0.00698495,0.0166552,0.0826866,-0.00286226,0.0498199,0.0252271,0.0174736,0.218725,-0.025515,0.0586552,0.0619532,0.0779011,-0.0421255,0.0437705,0.189974,0.143913,0.0620037,0.0534426,-55556.7
-18602,0.980752,0.448212,3,7,0,18629.2,-0.0140384,0.967561,0.206261,-0.0223089,0.312947,0.129278,0.310226,0.176398,0.045671,0.0647298,0.270691,0.163163,-0.0461831,0.0949845,0.0670915,-0.00515606,0.140772,0.0858597,0.169922,0.133047,-0.0828959,-0.0438793,-0.126302,-0.150147,-0.0231041,-0.0315115,-0.0937441,-0.0796977,-0.0301811,0.0579825,0.0862835,-0.0190916,0.0423741,0.0287298,0.00644251,0.203053,-0.0368239,0.0695741,0.0760268,0.0695454,-0.089594,0.0874499,0.184639,0.222063,0.0411208,0.0830107,-55546.5
-18603.1,0.758342,0.448212,3,7,0,18626.3,-0.0130823,0.96716,0.211932,-0.0197502,0.296074,0.125356,0.31138,0.173552,0.0496597,0.079163,0.267341,0.156386,-0.045986,0.0931973,0.0671765,-0.0127583,0.14494,0.0795584,0.17864,0.134089,-0.0876885,-0.0357073,-0.124998,-0.149654,-0.0144917,-0.0188483,-0.100725,-0.0906256,-0.0154301,0.0559083,0.0909863,-0.02165,0.0294151,0.026982,0.0208965,0.210425,-0.0192024,0.0701446,0.109018,0.0894912,-0.0690837,0.0770519,0.182534,0.224872,0.0460424,0.0811605,-55548.7
-18610.7,0.803929,0.448212,3,7,0,18628.9,-0.000422429,0.966731,0.205276,-0.0151356,0.341454,0.0956463,0.314891,0.185978,0.054342,0.102346,0.244279,0.139267,-0.0713164,0.0824778,0.0667165,-0.0116794,0.156035,0.0789668,0.14103,0.160114,-0.0688104,-0.0489932,-0.151053,-0.124892,-0.0367681,0.0214874,-0.118637,-0.0695967,-0.032557,0.036744,0.0916932,0.0371243,0.0486954,0.0510273,-0.0265654,0.214808,-0.0575929,0.0373553,0.258307,0.0467626,-0.097206,0.0620148,0.0940505,0.179257,0.102176,0.0806614,-55551.2
-18613.6,0.969193,0.448212,3,7,0,18640.7,-0.0146659,0.966964,0.199687,-0.0713907,0.266682,0.113331,0.283023,0.177818,0.0643655,0.085216,0.25832,0.170957,-0.00951691,0.103219,0.0740348,0.000959745,0.145939,0.0538028,0.16584,0.126375,-0.0676771,-0.0463307,-0.102125,-0.158226,-0.0197815,-0.0648155,-0.0761993,-0.0748377,-0.0215741,0.0573365,0.0872469,-0.0203757,0.0425301,0.00457016,0.00179813,0.21613,-0.0244012,0.0722352,0.00540206,0.119308,-0.0470625,0.0543111,0.307614,0.0468858,0.0508128,0.0599869,-55558.8
-18607.1,0.940891,0.448212,3,7,0,18634.8,-0.00524036,0.970126,0.208304,-0.0619953,0.305511,0.077419,0.293968,0.185396,0.0706936,0.0843752,0.243528,0.152555,-0.0170983,0.117407,0.0882455,0.00260461,0.138118,0.0744588,0.12647,0.161303,-0.0591189,-0.0682325,-0.0945168,-0.140101,-0.016646,-0.0111641,-0.0775222,-0.0835225,-0.0502329,0.0377159,0.0541226,-0.00436709,0.0162562,0.0429516,-0.0276655,0.208362,-0.0260358,0.0556489,-0.0181592,0.104356,-0.0883747,0.0369983,0.232106,0.0911289,0.0333609,0.0578902,-55554.9
-18599.9,0.940856,0.448212,3,7,0,18629.1,-0.00666505,0.961451,0.213889,-0.0479299,0.265778,0.124633,0.309197,0.199605,0.0699547,0.090435,0.275983,0.138364,-0.0505947,0.0912996,0.0607658,0.0124646,0.142746,0.055092,0.146209,0.117701,-0.0815546,-0.0498049,-0.146934,-0.138175,-0.0433698,-0.0370391,-0.118583,-0.0636618,-0.0158845,0.0570778,0.116548,0.0376791,0.0483412,0.0145297,0.0340329,0.225052,-0.0241266,0.0632864,0.170328,0.0720244,-0.0705357,0.0523602,0.145728,0.0622877,0.0612338,0.107817,-55552.3
-18597.6,0.902143,0.448212,3,7,0,18619.2,-0.00516261,0.97209,0.20783,-0.0428599,0.334878,0.106541,0.297699,0.168985,0.0655254,0.0869628,0.244868,0.155955,-0.058372,0.0850182,0.067324,-0.000383786,0.150929,0.0444172,0.148504,0.140547,-0.0848224,-0.0564578,-0.150945,-0.144275,-0.00310872,-0.0119394,-0.073757,-0.0689534,-0.0143922,0.0542037,0.106888,0.000231609,0.0619863,0.0332847,0.00445107,0.219851,-0.0177221,0.0341109,0.100465,0.0888523,-0.0923347,0.0671046,0.121498,0.0747148,0.0539403,0.047466,-55545.3
-18594.7,0.948499,0.448212,3,7,0,18614.2,-0.00721179,0.961652,0.199774,-0.0454342,0.304674,0.119267,0.292218,0.182979,0.0488743,0.0812892,0.250554,0.142322,-0.0371213,0.0984373,0.0853961,0.00290648,0.13967,0.0646726,0.12696,0.163912,-0.0586202,-0.0469996,-0.134249,-0.142852,-0.0454155,-0.0201055,-0.0965209,-0.0713125,-0.0333968,0.0622086,0.0797861,0.00326081,0.0396917,0.0349622,0.0191238,0.1901,-0.0318855,0.0678306,0.215187,0.0802332,-0.0520373,0.0374839,0.101643,0.060257,0.0660059,0.0812285,-55546.9
-18597.9,0.799385,0.448212,3,7,0,18621.4,-0.00432584,0.969379,0.199696,-0.022951,0.31831,0.105085,0.299764,0.165381,0.0533615,0.0954991,0.270005,0.134294,-0.0489079,0.0894053,0.0635103,0.0153295,0.156469,0.0765165,0.165708,0.118361,-0.0704319,-0.0405787,-0.140647,-0.133339,-0.00404504,-0.00544047,-0.108603,-0.0687768,-0.02885,0.0379996,0.108486,0.0203994,0.0750923,0.0297002,-0.0190307,0.229742,-0.0336332,0.0315692,0.093916,0.103239,-0.109263,0.0403386,0.140013,0.068937,0.0651032,0.0802306,-55546.5
-18605.8,0.722885,0.448212,3,7,0,18626.1,0.00465548,0.972892,0.209971,-0.032677,0.306826,0.0951446,0.311346,0.180606,0.110279,0.0946388,0.274272,0.145029,-0.0532696,0.0637821,0.0660947,0.00957702,0.143682,0.0800005,0.152281,0.140011,-0.072643,-0.0332555,-0.111618,-0.143966,-0.045315,-0.0322058,-0.068769,-0.0691746,-0.00958629,0.0468172,0.110895,0.00839253,0.0676626,0.0121446,-0.0232466,0.175562,-0.0418071,0.0630285,0.120918,0.0902186,-0.0678091,0.0280616,0.148695,0.0886556,0.0449462,0.0658164,-55559.6
-18598.9,1,0.448212,3,7,0,18624.6,-0.0147618,0.959226,0.202522,-0.0409851,0.309089,0.0964087,0.300791,0.171109,0.00888463,0.0714337,0.260533,0.16807,-0.0408892,0.115363,0.0876222,-0.00397271,0.158909,0.0611534,0.142303,0.125046,-0.0843467,-0.0514243,-0.125388,-0.153657,-0.00964691,-0.00380583,-0.0948556,-0.0578065,-0.0433717,0.042885,0.0768258,-0.00142721,0.0201471,0.0554639,0.00495018,0.219359,-0.0299365,0.0541186,0.188166,0.100973,-0.0573792,0.0714022,0.111827,0.0649711,0.0535233,0.0683076,-55550
