# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 17:22:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/v_xickjj.json
# init = 2 (Default)
# random
#   seed = 5918
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/nonsems/multireg-20250511122209_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.495271
# Diagonal elements of inverse mass matrix:
# 1.8039e-05, 1.86783e-05, 1.99744e-05, 1.5165e-05
-49349.4,0.979257,0.495271,3,7,0,49352.7,0.00419059,0.158162,0.125384,0.980148,0.146682,0.126595,-47997.9
-49349.4,0.995129,0.495271,3,7,0,49350.6,-0.00240944,0.153271,0.118112,0.980703,0.142626,0.119252,-47996.1
-49348,0.982941,0.495271,3,7,0,49350.1,0.00198112,0.155217,0.118987,0.979859,0.144525,0.120136,-47997.8
-49349.4,0.694486,0.495271,2,3,0,49352.3,0.00412528,0.153853,0.124977,0.981239,0.142261,0.126184,-47994.6
-49349.5,0.909573,0.495271,3,7,0,49352,0.00548453,0.154491,0.119432,0.982839,0.143707,0.120585,-47997.9
-49350.7,0.944705,0.495271,3,7,0,49352,0.0053679,0.156534,0.114555,0.980185,0.146521,0.115661,-48002.4
-49348.1,1,0.495271,2,3,0,49350.6,0.0018275,0.155126,0.118507,0.979847,0.144498,0.11965,-47997.9
-49349.4,0.879934,0.495271,2,3,0,49349.9,-0.000529197,0.160294,0.122736,0.978365,0.149273,0.123921,-48000
-49349.4,0.933278,0.495271,3,7,0,49350.9,-0.000187126,0.154758,0.118106,0.983311,0.144172,0.119246,-47997.4
-49354,0.780128,0.495271,2,7,0,49354.9,-0.0048365,0.148239,0.118684,0.978232,0.137314,0.11983,-47993.3
-49350.8,1,0.495271,2,7,0,49354.6,0.00366372,0.160745,0.125649,0.982516,0.14933,0.126862,-47999.8
-49350.9,0.818548,0.495271,3,7,0,49355.8,-0.00316452,0.152904,0.11579,0.979785,0.142573,0.116908,-47997.4
