# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_model
# start_datetime = 2025-03-23 20:04:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/6ti7noxb.json
# init = 2 (Default)
# random
#   seed = 69587
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens/h2reg-20250323150456_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,mu_inner_beta,sigma_inner_beta,log_p,rmse
# Adaptation terminated
# Step size = 0.282821
# Diagonal elements of inverse mass matrix:
# 1.20107e-05, 1.14404e-05, 0.000121927, 0.000113965, 0.000112308, 0.000106295, 0.000120243, 0.000124833, 0.00011534, 0.000135078, 0.000108385, 0.000105052, 0.000148484, 0.000170755, 0.00018905, 0.000168303, 0.000165962, 0.000114945, 0.000136449, 0.000189712, 0.000128222, 0.000131849, 0.000124748, 0.00010743, 0.00011067, 0.000114344, 9.8978e-05, 0.000160555, 0.000147589, 0.000125172, 0.000131388, 0.000139109, 0.000114778, 0.000125439, 9.50393e-05, 0.000118903, 0.000119433, 0.000151336, 0.000190383, 0.000177282, 0.000174594, 0.000169568, 0.00012437, 0.000117032, 0.000126783, 0.000118384, 0.000118187, 0.000721965, 0.000255566, 0.000360757, 0.000521144, 0.000439093, 0.0959838, 0.106491, 0.0777297, 0.0869418, 0.0764243, 0.000785236, 0.424027
-178200,0.789317,0.282821,4,15,0,178247,-0.00882735,0.997581,-0.0477494,-0.0411652,-0.0862329,-0.136899,0.0374363,0.00325803,-0.0266129,-0.0554249,0.0149156,0.0691755,0.0948435,0.0405999,0.0725857,0.0209971,0.0219716,0.0860482,0.0309763,0.0175663,0.0109166,0.0182085,0.112,-0.00420707,0.0900485,0.0348147,-0.0653836,0.00966757,0.0582336,0.0674387,0.0577742,0.0466081,0.0390317,0.0464807,0.00685629,0.198869,0.00540775,0.114334,-0.00309943,-0.0171278,0.098539,0.0714299,0.0509801,0.0395048,0.035461,-0.0804767,0.0998712,-0.0429983,0.0271477,0.0320316,0.068674,0.0431763,0.0770469,0.0540341,0.0437753,0.0924217,0.0630299,-0.0179575,0.0503437,-167994,0.993182
-178202,0.780699,0.282821,4,15,0,178226,-0.006732,0.997897,-0.042194,-0.0645789,-0.0543656,-0.113261,0.0504461,0.0290659,-0.0342868,-0.0954066,0.0027873,0.104359,0.107664,0.0535377,0.0689001,0.0084226,-0.00357547,0.0891686,0.0235882,0.00494369,0.00859954,0.0556345,0.110946,0.0148512,0.07039,0.0316332,-0.0693058,0.00864041,0.0483102,0.0489407,0.0645765,0.0339513,0.035595,0.0451479,-0.0073782,0.195626,0.0130376,0.102182,-0.0115417,-0.0384008,0.0858767,0.0317517,0.0610985,0.0245998,0.0201659,-0.0853217,0.0867177,-0.0138845,0.0695883,0.0487837,0.0497088,-0.00317773,0.0462588,0.0381715,0.0923655,0.0464067,0.0789568,0.0987078,0.10213,-168021,0.993406
-178199,0.997302,0.282821,4,15,0,178220,-0.00873956,0.997767,-0.0510629,-0.053469,-0.0710979,-0.141476,0.037152,0.00378363,-0.0250899,-0.0680468,0.0162852,0.0759278,0.118899,0.0490737,0.0803631,0.0172317,0.0331815,0.0932961,0.0254354,0.0216574,0.00715184,0.0198305,0.115589,-0.0176097,0.0854253,0.0268781,-0.0561392,0.00526392,0.0617196,0.0536277,0.0530908,0.0403329,0.040401,0.0541128,0.0084052,0.191392,-0.00305272,0.109472,0.000675816,-0.00628229,0.0914745,0.0732369,0.0487883,0.0329854,0.024916,-0.0828687,0.0948462,0.00138509,0.0254509,0.00742765,0.054978,0.00738238,0.0597145,0.0374783,0.0394609,0.0916416,0.0569862,0.0185531,0.0298713,-168026,0.993451
-178202,0.954243,0.282821,4,15,0,178224,-0.00863114,0.997619,-0.0403242,-0.0479116,-0.0582347,-0.128592,0.0533539,0.0205173,-0.0247318,-0.0789882,0.00752633,0.103893,0.112224,0.0443165,0.061227,0.0128888,-0.000436898,0.0917124,0.0271507,-0.00255047,0.0161185,0.0485937,0.106752,0.0221497,0.0721235,0.0360655,-0.0803286,-0.0132013,0.0413861,0.0667212,0.0613651,0.0312932,0.0233416,0.0351578,-0.00358122,0.185172,-0.00439883,0.117018,-0.0100605,-0.0319983,0.0805478,0.0316861,0.0399726,0.0284246,0.0324253,-0.0868435,0.0889894,-0.0316099,0.0683426,0.0352631,0.0380912,0.0277425,0.0551321,0.06017,0.10267,0.0523975,0.0807217,0.0234236,0.129349,-168018,0.993387
-178203,0.776541,0.282821,4,15,0,178229,-0.0086049,0.998118,-0.0460596,-0.0743147,-0.0552158,-0.118776,0.0210874,0.0321669,-0.0250174,-0.0812546,0.00672387,0.0921683,0.123168,0.0629518,0.0688404,-0.00411812,0.00920388,0.103702,0.037603,0.0026636,-0.0046241,0.0385491,0.100285,0.00178932,0.0860688,0.0280308,-0.0619664,-0.00379604,0.0381578,0.0412972,0.0595802,0.0507381,0.0405128,0.0568418,0.00412882,0.198616,-0.00378562,0.122857,-0.0183585,-0.0202524,0.0987831,0.0626438,0.056225,0.0121049,0.0209873,-0.0570836,0.0836251,-0.00668655,0.0530208,0.0505768,0.0610505,0.022228,0.0571204,0.0442425,0.0515838,0.0683626,0.0648081,0.0251549,0.0246183,-168023,0.993422
-178207,0.841857,0.282821,4,15,0,178239,-0.00632077,0.997757,-0.0487776,-0.0722993,-0.0728308,-0.123531,0.0229667,0.0269837,-0.0242847,-0.0846813,0.0109908,0.0906072,0.123163,0.0621494,0.072148,-0.000862658,0.0186032,0.104761,0.0484308,0.000945674,-0.00835862,0.041028,0.0930405,0.0081759,0.0751443,0.0220688,-0.06072,-0.00862375,0.0283859,0.05854,0.061332,0.0534265,0.0383289,0.0434853,0.00670812,0.195871,0.0001914,0.121136,-0.0156871,-0.0203718,0.108064,0.0549124,0.0647459,0.00215435,0.0390942,-0.0734995,0.0864654,-0.012202,0.0492669,0.0395924,0.0662345,0.0368213,0.073732,0.040797,0.0539437,0.0722023,0.0715172,0.0189995,0.0513992,-168038,0.993548
-178211,0.772864,0.282821,4,15,0,178235,-0.00672247,0.99754,-0.0442512,-0.0420361,-0.0516377,-0.131535,0.0634123,0.0082801,-0.0319451,-0.0715369,0.0118717,0.0894979,0.0908495,0.0374412,0.0744133,0.0388239,0.00452723,0.0695037,0.0120777,0.0271118,0.0267415,0.030801,0.129961,-0.00264483,0.0851559,0.0431443,-0.0703043,0.0130026,0.0797606,0.0525463,0.0585332,0.0240509,0.0289739,0.0485072,-0.000958313,0.19798,0.0035701,0.0942087,0.0035568,-0.0331893,0.0628768,0.0450209,0.0376072,0.0534635,0.0131572,-0.0886119,0.0923522,-0.0472942,0.055694,0.0216777,0.0517857,0.0247968,0.0528789,0.0562449,0.0607032,0.0525084,0.051584,0.11348,0.159804,-168000,0.993234
