# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_model
# start_datetime = 2025-04-21 06:30:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/5iltbdvk.json
# init = 2 (Default)
# random
#   seed = 55229
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens/h2reg-20250421013040_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,mu_inner_beta,sigma_inner_beta,log_p,rmse
# Adaptation terminated
# Step size = 0.270742
# Diagonal elements of inverse mass matrix:
# 1.12906e-05, 1.06249e-05, 0.000114441, 9.75529e-05, 0.000110482, 0.000129883, 9.86323e-05, 0.00011193, 0.000108602, 0.000132455, 0.000110611, 9.87264e-05, 0.000125205, 0.000121496, 0.000101683, 0.000123, 0.000158661, 0.000115124, 0.000140701, 0.000109061, 0.000135536, 0.000124893, 0.000165389, 0.000150745, 0.000202419, 0.000170732, 0.00020182, 0.000210598, 0.000178385, 0.000184217, 0.000161351, 0.000192725, 0.000123456, 0.000129125, 0.000106965, 0.000142429, 0.000121019, 0.000154056, 0.000118239, 0.00012494, 0.000140285, 0.000111946, 0.000100455, 8.47159e-05, 0.000105517, 0.000116154, 0.000109808, 0.000116266, 0.000104368, 0.000122789, 0.000118077, 9.94869e-05, 0.000149233, 0.000121425, 0.000156095, 0.000131646, 0.000135513, 0.000155531, 0.000142486, 0.000138578, 0.000134981, 0.00012287, 0.000133391, 9.3794e-05, 0.000108841, 0.000111419, 0.000114058, 0.000105962, 0.000103158, 0.000119135, 0.00012911, 0.000126344, 0.000157619, 0.000132133, 0.000154642, 0.000187338, 0.000164217, 0.000153799, 0.000158965, 0.000172377, 0.000172576, 0.000164709, 0.000122818, 9.83378e-05, 0.000115099, 0.000126738, 0.000109638, 0.000115756, 0.000126774, 0.000124582, 0.000133977, 0.000114419, 0.000239371, 9.66655e-05, 0.000202176, 0.000133547, 0.000378195, 0.000431935, 0.000316551, 0.000356301, 0.000586982, 0.000359438, 0.076463, 0.118784, 0.113621, 0.0969022, 0.0829009, 0.105158, 0.107441, 0.0874998, 0.0696131, 0.0862439, 0.000255662, 0.116373
-355722,0.99752,0.270742,4,15,0,355797,-0.00652959,0.997264,-0.00599358,-0.0425679,0.0817377,-0.024488,-0.00068523,0.0532675,0.0252138,-0.0207955,-0.0459165,-0.0404402,-0.0838957,0.00662438,-0.0287718,-0.0253982,-0.0163216,-0.0296656,-0.0165349,0.0042923,-0.0530296,-0.0593166,-0.105676,-0.0486955,-0.0912714,-0.02818,-0.0226896,-0.0283489,-0.0424229,-0.0143536,-0.0449376,-0.0484694,0.0574017,0.0179201,-0.0109667,-0.0675059,0.00558865,-0.0247558,0.00861451,0.0207182,-0.0852692,-0.0129165,-0.0212354,-0.029693,-0.0319035,0.0253357,-0.116701,-0.0407176,-0.0412575,-0.068234,-0.1303,0.0276255,0.000756529,-0.0112556,-0.0711946,0.0174505,0.0698244,0.113854,0.0378803,0.076046,0.0233233,0.0262977,0.0909544,0.0333461,0.0236817,0.00836073,0.019957,0.123625,0.0141467,0.0757222,0.0266672,-0.0626632,-0.00711136,0.0655939,0.0493186,0.0610048,0.0387254,0.0322471,0.0272117,0.000580352,0.206293,-0.0116465,0.11167,-0.0162662,-0.0280687,0.106437,0.0577502,0.0809127,0.0397909,0.0201916,-0.0606154,0.0744933,0.000849924,-0.0372785,-0.0540045,-0.0113737,0.0123283,-0.0342493,0.0378456,0.0368842,0.0549538,0.0171838,0.0469566,0.0210913,0.0468811,0.0294338,0.0714956,0.0841872,0.037544,0.0381819,0.0991365,0.0758216,0.0051957,0.0291978,-337317,0.996855
-355723,0.737639,0.270742,4,15,0,355792,-0.00791549,0.99697,-0.0231483,-0.0374818,0.064629,-0.0246602,-0.0118232,0.0767419,0.0356374,-0.0300504,-0.0371237,-0.0340952,-0.056152,-0.0362266,-0.00816793,-0.0109298,0.00662812,-0.0304132,-0.00826661,0.00941628,-0.049263,-0.0790601,-0.0908034,-0.0566477,-0.0966251,-0.0353616,-0.0606032,-0.0243403,-0.064063,-0.00625766,-0.0530559,-0.0312077,0.0264687,0.0120907,-0.0123739,-0.0279142,0.0104742,-0.0421306,0.00278326,0.0458603,-0.110899,0.00106608,-0.0220386,-0.0698576,-0.0644643,0.0430962,-0.106715,-0.0462368,-0.0745231,-0.0472266,-0.132309,0.0371608,0.0192827,-0.0290957,-0.061586,0.00716132,0.0826678,0.113183,0.0766642,0.0759859,0.00977762,0.0238803,0.0878121,0.0329632,0.00295654,0.00752808,0.0494014,0.100652,0.00600595,0.0712124,0.0158518,-0.0637871,0.00705708,0.0360142,0.0391983,0.074561,0.0416266,0.052366,0.0524821,-0.0024417,0.184165,-0.0121398,0.10176,0.0142353,-0.015463,0.0894274,0.0472342,0.0106642,0.0100856,0.0358689,-0.0898179,0.104519,-0.0108216,-0.0084813,-0.0683233,-0.0450912,-0.036248,-0.018516,0.0683578,-0.002695,0.0669647,-0.00107119,0.0431929,0.0260427,0.0321707,0.0710905,0.0621252,0.0656595,0.0521329,0.088042,0.0465158,0.0616482,-0.0152903,0.0575497,-337317,0.996853
-355722,0.80885,0.270742,4,15,0,355780,-0.00636344,0.9977,-0.0060738,-0.0403765,0.0848301,-0.0209004,-0.00182388,0.0633661,0.0152592,-0.0187374,-0.044795,-0.0351693,-0.080514,0.00393114,-0.0292837,-0.0259943,-0.0208264,-0.0294233,-0.0140176,-0.00647661,-0.0541158,-0.0639813,-0.138524,-0.0510986,-0.0974758,-0.0207984,-0.0255875,-0.0232077,-0.0445884,-0.0135351,-0.0366178,-0.0428211,0.0442984,0.0143116,-0.00553828,-0.0530829,0.00533523,-0.0221326,0.0130684,0.0237203,-0.0854986,-0.00851959,-0.0183159,-0.0303838,-0.031825,0.034031,-0.121425,-0.0449488,-0.0432188,-0.0699271,-0.127897,0.0369215,0.00990675,-0.0119225,-0.0747596,0.017161,0.0717186,0.118688,0.033221,0.0769759,0.0236897,0.0302359,0.0920807,0.0281021,0.0240876,0.00476091,0.0212389,0.131792,0.0161352,0.0756695,0.0265867,-0.0615966,-0.00747368,0.0642863,0.0508351,0.0564062,0.0376256,0.0343852,0.0281819,0.00111526,0.214092,-0.0192453,0.115445,-0.0236615,-0.028961,0.102525,0.0589644,0.0770375,0.038142,0.0173374,-0.0581881,0.073277,0.0267389,-0.0294641,-0.0383367,-0.00117171,-0.0105487,-0.0169545,0.0453935,0.0394012,0.0105638,0.0290598,0.0623393,0.0397272,0.0293939,0.0341704,0.0463267,0.0485752,0.0355593,0.0431999,0.145695,0.0745272,0.00401897,0.0246362,-337338,0.996942
-355721,0.666637,0.270742,4,15,0,355768,-0.00541155,0.998789,-0.0196879,-0.043803,0.0510211,-0.0304293,-0.00471696,0.0708564,0.0319109,-0.0223074,-0.0470346,-0.0338935,-0.0393721,-0.014965,-0.0139549,-0.0205923,-0.00555157,-0.0239837,-0.0247854,0.0121837,-0.0471824,-0.0789615,-0.127039,-0.0519283,-0.100044,-0.0270207,-0.048903,-0.032941,-0.0564745,-0.0152599,-0.0568651,-0.0362849,0.0340693,0.0077735,-0.0164119,-0.043334,-0.000549696,-0.0267453,0.00607408,0.0435334,-0.102192,-0.0157149,-0.0225391,-0.0649418,-0.0680201,0.0472815,-0.102657,-0.047858,-0.0762451,-0.0594555,-0.124831,0.0321726,0.0177874,-0.0175584,-0.0582687,0.0136363,0.0769133,0.124111,0.0786929,0.058167,0.0158769,0.00731057,0.0870744,0.0399596,0.0126751,0.0142291,0.0488474,0.119109,0.00575253,0.0774143,0.0153815,-0.0705188,-0.00790504,0.0344778,0.0522794,0.0631066,0.0540447,0.046625,0.0278025,-0.0167903,0.183877,0.00312186,0.106707,-0.00204082,-0.0104147,0.0910934,0.0446456,0.020835,0.0175081,0.03237,-0.0849347,0.100081,0.0196166,-0.0110479,-0.0594497,-0.0131411,-0.011075,-0.0397543,0.0419747,0.015906,0.0452367,0.0274359,0.052968,0.0248168,0.0185119,0.0248709,0.0739852,0.0397617,0.0415881,0.0454544,0.0362413,0.0673538,-0.0133067,0.0359455,-337318,0.996856
-355724,0.979302,0.270742,4,15,0,355773,-0.00601934,0.997208,-0.0204801,-0.0445354,0.0937362,-0.0213241,-0.0156275,0.0571333,0.0344733,-0.0447573,-0.051038,-0.0401482,-0.0760951,-0.00688873,-0.0147153,-0.00362606,0.00879955,-0.0350401,0.0052542,0.0171648,-0.057434,-0.0737629,-0.0733796,-0.0514217,-0.0941347,-0.0473754,-0.0358081,-0.0384786,-0.0639033,-0.0116121,-0.0271581,-0.0335216,0.0217689,0.0205082,0.00253139,-0.0421695,-0.00935931,-0.0295562,-0.00678591,0.0414929,-0.0932511,0.00739106,-0.049944,-0.0444051,-0.0465556,0.0399504,-0.109756,-0.047297,-0.0381518,-0.0464875,-0.130568,0.033275,0.0152859,-0.0185444,-0.061241,0.0306258,0.0940671,0.125588,0.0610085,0.0841566,0.0129671,0.0255336,0.0767065,0.0314302,0.0106546,-0.00522947,0.0208745,0.100384,-0.000962874,0.0682974,0.0136101,-0.0618935,0.014827,0.0478349,0.0306163,0.0671234,0.0213719,0.0536259,0.0523638,0.00928619,0.203659,-0.0260137,0.109265,-0.00919637,-0.0408698,0.089634,0.068208,0.0524099,0.0110252,0.0189747,-0.0683924,0.095687,-0.00764185,-0.0171963,-0.0626623,-0.0165173,-0.0345482,-0.029924,0.0649535,0.0398259,0.071416,0.0249339,0.0683139,0.0249355,0.044287,0.0235153,0.0559488,0.0792533,0.0482022,0.0608532,0.099685,0.0523125,0.0106875,0.0527337,-337316,0.996848
-355721,0.932608,0.270742,4,15,0,355777,-0.00726625,0.997325,-0.0101665,-0.029651,0.0648171,-0.0156087,0.00285535,0.071849,0.0223598,-0.014942,-0.0251864,-0.0362909,-0.0649112,-0.0213647,0.00102499,-0.0208664,-0.0217602,-0.0191402,-0.0261191,-0.00306325,-0.0473067,-0.0701852,-0.128791,-0.0489164,-0.0900051,-0.0507638,-0.0430899,-0.0181118,-0.062435,-0.00836791,-0.0580913,-0.04304,0.0408051,0.00523352,-0.0151239,-0.0439578,0.0205096,-0.0296731,0.023901,0.0186968,-0.112903,-0.0133549,0.00322895,-0.0520341,-0.051933,0.0367778,-0.107674,-0.0344681,-0.062339,-0.0541568,-0.137808,0.0243821,0.00985223,-0.0222382,-0.0619599,-0.0112629,0.0619515,0.11169,0.0507728,0.0651189,0.0163509,0.0336497,0.099485,0.0334428,0.0140693,0.0153294,0.0412763,0.116136,0.00926003,0.0711288,0.0137627,-0.0720275,-0.0136352,0.052876,0.0523782,0.0845598,0.0543747,0.0386069,0.0359882,0.0114549,0.201757,-0.000124548,0.114662,0.00207697,-0.00762976,0.0901443,0.0438423,0.0362137,0.0265758,0.0393397,-0.0773516,0.0825693,0.0014762,-0.0239901,-0.0263965,-0.0069808,-0.019953,-0.0381937,0.0311289,0.0170118,0.0465304,0.0224277,0.0275062,0.014106,0.0720201,0.0911469,0.0596694,0.0499548,0.0257221,0.0456169,0.0571772,0.0512989,-0.00352257,0.017445,-337323,0.996879
