# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_model
# start_datetime = 2025-04-21 06:30:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/5iltbdvk.json
# init = 2 (Default)
# random
#   seed = 55229
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens/h2reg-20250421013040_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,mu_inner_beta,sigma_inner_beta,log_p,rmse
# Adaptation terminated
# Step size = 0.244145
# Diagonal elements of inverse mass matrix:
# 1.14559e-05, 1.05691e-05, 0.000128781, 0.000102708, 0.000119311, 0.000105135, 0.000102704, 0.000126844, 0.000113876, 0.000112475, 0.000126834, 0.000131126, 0.000123299, 0.000128814, 0.00012792, 0.000118823, 0.000117495, 0.000141552, 0.000138401, 0.000117401, 0.000122525, 0.000121696, 0.000223379, 0.000125863, 0.000178688, 0.000147208, 0.000183735, 0.000225487, 0.00017073, 0.000167392, 0.000197593, 0.000185929, 0.000138887, 0.000104628, 0.000132607, 0.000120973, 0.000129376, 0.000127267, 0.000118322, 0.000110184, 0.000138167, 0.00014702, 0.000114589, 0.00010525, 0.000111842, 9.3308e-05, 0.000102297, 0.000113059, 9.9864e-05, 9.77382e-05, 0.000110403, 0.00010638, 0.000139882, 0.000123245, 0.000131788, 0.000134944, 0.00014961, 0.000136239, 0.000135753, 0.000131057, 0.000155341, 0.00015198, 0.000122753, 0.00010359, 0.000107366, 0.000102519, 0.000118578, 0.000134638, 0.000125634, 0.000109956, 0.00011489, 0.000100354, 0.000131631, 0.000162381, 0.000188308, 0.000155181, 0.000166234, 0.000136228, 0.000128067, 0.000176355, 0.000162043, 0.000158846, 0.000125289, 0.000126859, 0.000136074, 0.000127251, 0.000124093, 0.000116747, 0.000131677, 0.000136081, 0.000132317, 0.000132476, 0.000326801, 0.000116722, 0.000240172, 0.000158981, 0.000326886, 0.000389148, 0.000256577, 0.000299426, 0.000597461, 0.000403095, 0.103748, 0.116376, 0.135394, 0.0849007, 0.0819901, 0.0830418, 0.0984425, 0.0682379, 0.0792115, 0.091926, 0.000265682, 0.103807
-355732,0.58343,0.244145,4,15,0,355801,-0.00647849,0.99578,-0.0233441,-0.0614833,0.0671377,-0.0315909,-0.00891861,0.08334,0.0251239,-0.0136123,-0.0201571,-0.0287275,-0.0652314,-0.00971029,0.00691658,-0.0331691,-0.00606237,-0.0252125,-0.0103713,0.0198453,-0.0595399,-0.0825503,-0.119806,-0.059342,-0.108984,-0.0403259,-0.0326338,-0.0344693,-0.0489021,-0.0127411,-0.040275,-0.0360506,0.0325051,0.0125462,-0.00852944,-0.0413217,0.0267347,-0.0257027,0.00577871,0.0371588,-0.104462,0.00159745,-0.00668096,-0.0452818,-0.0482225,0.037895,-0.122645,-0.0571852,-0.0621187,-0.0265579,-0.133667,0.0386655,0.0152121,-0.0142773,-0.0557881,0.0299918,0.0753205,0.113628,0.0456355,0.0751213,-0.00397207,0.0319113,0.09281,0.0221782,0.0260546,-0.00444672,0.0253863,0.0976974,0.00592975,0.0861561,0.00131294,-0.0755821,-0.00367119,0.0579731,0.0439604,0.0564829,0.0412363,0.0554968,0.0370893,0.0164949,0.183072,-0.0188213,0.0980979,0.00749857,-0.0289483,0.0899809,0.0478109,0.0416333,0.0372459,0.0381365,-0.0953713,0.0911668,-0.0314524,-0.00481504,-0.0453272,-0.0280526,-0.0486693,0.00618815,0.0543736,0.00892056,0.0535316,-0.00396083,0.0850667,0.0343328,0.0522063,0.0603482,0.080238,0.0701575,0.037399,0.049462,0.0521295,0.050254,0.0221832,0.0318669,-337305,0.9968
-355732,0.983388,0.244145,4,15,0,355782,-0.00625135,0.999012,-0.00635663,-0.0229851,0.071818,-0.0166168,-0.00400485,0.039398,0.0354177,-0.0476004,-0.0684662,-0.0434088,-0.0760087,-0.016482,-0.0297978,0.000987693,-0.00903209,-0.0354045,-0.00598408,-0.00763364,-0.0431015,-0.0662424,-0.110512,-0.0422996,-0.0841209,-0.0279482,-0.0370209,-0.0181735,-0.053018,-0.00740258,-0.049333,-0.0285006,0.0372882,0.0213439,-0.00861032,-0.045802,0.00942452,-0.040577,0.016175,0.0302566,-0.0823595,-0.0172221,-0.0302897,-0.0528243,-0.0465169,0.0280612,-0.107432,-0.0312727,-0.0523105,-0.0813034,-0.125247,0.0304357,0.0214103,-0.0248685,-0.0718049,0.00598738,0.0837819,0.133641,0.0654996,0.0803094,0.0270649,0.0221066,0.0936051,0.064416,0.0227156,0.0237588,0.0446863,0.103194,-0.00201783,0.0578588,0.0223059,-0.0549461,0.0137652,0.0490414,0.0570437,0.0870594,0.0489726,0.0299241,0.0446696,-0.0179866,0.199076,0.0089246,0.124165,-0.0112735,-0.020193,0.0964143,0.0574663,0.0447744,0.00909146,0.0220825,-0.0616037,0.0867931,0.0114846,-0.0246448,-0.0584438,-0.0152614,0.0112133,-0.0458391,0.073032,0.0482449,0.0540093,0.0290542,0.0387872,0.0251226,0.0240566,0.0562503,0.0493116,0.0452819,0.0500631,0.062071,0.0614076,0.116368,-0.0175569,0.0667202,-337363,0.997041
-355723,0.96445,0.244145,4,15,0,355781,-0.00732296,0.997699,-0.0260557,-0.0301783,0.0813787,-0.0184439,-0.0215897,0.0644712,0.0244188,-0.00629226,-0.0169972,-0.0414562,-0.0528861,-0.0185385,-0.00282577,-0.017796,0.000552148,-0.0331001,-0.021421,0.0199209,-0.0476897,-0.0857922,-0.0843897,-0.0653631,-0.107667,-0.0173445,-0.0514504,-0.0358711,-0.0514369,-0.0019547,-0.0529495,-0.0419866,0.0406189,0.00943529,-0.0066016,-0.0403983,-0.00245681,-0.0362285,-0.00554699,0.0493173,-0.0941718,0.00831541,-0.0118758,-0.0539051,-0.0582888,0.0327364,-0.114042,-0.0458148,-0.0618052,-0.0516043,-0.139215,0.0288802,0.00106457,-0.001132,-0.0832279,0.0140401,0.0770679,0.126039,0.0679074,0.0913949,0.0136218,0.0240803,0.1001,0.0261312,0.0196581,-0.00613318,0.0195198,0.116358,0.0118862,0.0765968,0.0196899,-0.069616,-0.016478,0.0567168,0.0337798,0.0559759,0.0225707,0.0385168,0.0456071,-0.00436755,0.196793,-0.00815605,0.0938811,-0.00817425,-0.0151284,0.125154,0.0450466,0.0428524,0.0437104,0.0130578,-0.0778094,0.0978821,0.00883348,-0.0159979,-0.041837,-0.0151212,-0.0601695,-0.0321395,0.0817205,0.0098034,0.0580415,0.0276605,0.100528,0.0247157,0.0465915,0.0304166,0.0594323,0.0576642,0.0504116,0.0412612,0.0892781,0.0455745,-0.00176679,0.0535843,-337361,0.997036
-355730,0.987768,0.244145,4,15,0,355778,-0.00731857,0.996823,-0.015736,-0.0473422,0.0659186,-0.0124719,0.0127053,0.0660939,0.0279639,-0.0332044,-0.0590365,-0.0409639,-0.084212,-0.0250403,-0.0456814,-0.0208936,0.00197422,-0.0458505,-0.0060371,-0.000126559,-0.0429226,-0.0706695,-0.137863,-0.0328762,-0.102187,-0.0485344,-0.0378624,-0.0107837,-0.0622196,-0.00418531,-0.0505325,-0.0203581,0.0326129,0.00577242,-0.000201858,-0.04873,0.0294892,-0.0239362,-0.0028278,0.0332563,-0.0835035,-0.0147252,-0.0378981,-0.0514567,-0.037381,0.0464539,-0.117904,-0.0384261,-0.0611358,-0.0497229,-0.138384,0.0316026,0.0281291,-0.0281051,-0.0427025,0.0119397,0.0853053,0.115279,0.0557468,0.0756438,0.0138499,0.0213125,0.0909412,0.0384304,0.0109312,-0.00312708,0.0419675,0.0992459,0.0304815,0.0780656,0.0389467,-0.051775,-0.00464172,0.0407072,0.0498613,0.0747996,0.0467595,0.0301749,0.0309453,0.0073748,0.205473,-0.0193789,0.115657,0.000840392,-0.028545,0.0625609,0.0639353,0.0465231,0.0170524,0.018467,-0.0906183,0.0963692,-0.0371433,-0.0352091,-0.0728785,-0.00782007,-0.0166603,-0.0182408,0.0812037,0.0376172,0.0471065,0.0256551,0.0542614,0.0291936,0.0317378,0.0307033,0.059981,0.081903,0.0610231,0.0553672,0.0497746,0.0810138,-0.014537,0.0551895,-337322,0.996875
-355730,0.880262,0.244145,4,15,0,355809,-0.00742834,0.997819,-0.00234941,-0.0246418,0.0935037,-0.0252892,-0.0210221,0.0609499,0.0225443,-0.0143529,-0.0271054,-0.0258989,-0.0366214,-0.0149024,0.000399908,-0.00998834,-0.0082298,-0.00421999,-0.00558854,-0.000479922,-0.0606549,-0.0579754,-0.0801011,-0.0680696,-0.0975877,-0.0156684,-0.051136,-0.0287778,-0.0470139,-0.0134599,-0.0480151,-0.0584611,0.0472484,0.0260484,-0.0196376,-0.0454446,-0.0108138,-0.0370648,0.0105658,0.0294529,-0.0895032,0.00976802,-0.010649,-0.0454595,-0.0611074,0.0268817,-0.112157,-0.0365417,-0.0464379,-0.0671231,-0.119012,0.0316131,-0.00913875,-0.0178171,-0.0921259,0.00979771,0.0594297,0.115287,0.0571752,0.0730823,0.015915,0.0381153,0.0756194,0.0270758,0.0105056,0.0113793,0.0189395,0.113064,-0.0139109,0.0677668,0.00596144,-0.0652205,-0.00448096,0.0481579,0.0428827,0.0588901,0.0355418,0.0501945,0.0403476,-0.0079774,0.196743,-0.00869731,0.104032,-0.0149569,-0.0156539,0.12365,0.0566165,0.0542357,0.0331598,0.0366579,-0.0497115,0.0754521,0.0164464,-0.0126247,-0.0485221,-0.00795068,-0.0191732,-0.0333332,0.0713347,0.0496433,0.0235326,0.00128699,0.0815266,0.00971182,0.0290187,0.0364953,0.0725547,0.0684694,0.0427581,0.0903874,0.079658,0.0701891,0.0194852,0.0336322,-337284,0.996712
-355730,0.471325,0.244145,4,15,0,355801,-0.00450928,0.995895,-0.0190968,-0.049376,0.0561068,-0.0168511,0.00243719,0.0902794,0.0384591,-0.031415,-0.0412853,-0.0255313,-0.0792237,-0.00369574,-0.0299058,-0.017299,0.00155099,-0.0513075,-0.0135176,0.00732854,-0.0441765,-0.0797355,-0.122903,-0.0399972,-0.0858309,-0.0533458,-0.0450955,-0.0294539,-0.0618402,-0.00983478,-0.0467601,-0.0182973,0.0275484,0.00646321,-0.0103192,-0.0461096,0.00344863,-0.0261283,0.00587382,0.043167,-0.104384,-0.0215461,-0.0278985,-0.0538767,-0.0372516,0.0499133,-0.116731,-0.0577091,-0.0641794,-0.0542628,-0.145944,0.0490161,0.028735,-0.0198526,-0.0700932,0.0153972,0.0863756,0.110334,0.0378834,0.06338,0.0181663,0.0112832,0.106666,0.0275906,0.00704012,0.00349346,0.0472788,0.124518,0.029274,0.0778577,0.0285216,-0.0589389,0.0108524,0.0429391,0.0442345,0.0896143,0.0521865,0.0396817,0.0487538,0.00291655,0.208167,-0.0095043,0.109278,0.00178875,-0.0292458,0.0810126,0.0434712,0.0423054,0.0216326,0.0144716,-0.0920848,0.101416,0.00371567,-0.0163164,-0.0505779,-0.0233578,-0.0353509,-0.00831245,0.0137509,0.0654582,0.0799704,0.0104146,0.0341526,0.030698,0.0303188,0.0295494,0.0562105,0.0694023,0.0562748,0.10584,0.0632958,0.0705813,-0.0320938,0.0657539,-337379,0.997112
