# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_model
# start_datetime = 2025-04-21 06:30:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/5iltbdvk.json
# init = 2 (Default)
# random
#   seed = 55229
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens/h2reg-20250421013040_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,mu_inner_beta,sigma_inner_beta,log_p,rmse
# Adaptation terminated
# Step size = 0.298307
# Diagonal elements of inverse mass matrix:
# 1.10476e-05, 1.05757e-05, 0.000126627, 0.000106231, 0.000102132, 0.000100804, 0.000137421, 0.000121358, 0.000102621, 0.000110874, 0.000108432, 0.000106817, 0.000110483, 0.000148877, 0.000127168, 0.000125589, 0.000126929, 0.000120199, 0.000118677, 0.000128441, 9.93191e-05, 0.000124309, 0.000190915, 0.000152168, 0.000187801, 0.000162266, 0.000199434, 0.000183069, 0.000182551, 0.000165647, 0.000176264, 0.000174093, 0.000130224, 0.000126904, 0.000110458, 0.00013109, 0.000150804, 0.00013748, 0.000135656, 0.00012551, 0.000136942, 0.000139055, 0.000106512, 9.88954e-05, 9.48218e-05, 9.1509e-05, 0.000118481, 9.17705e-05, 0.000103626, 9.8056e-05, 0.000100717, 0.000112471, 0.000155943, 0.000123352, 0.000126816, 0.0001294, 0.000156918, 0.000148431, 0.000131734, 0.000143063, 0.000109871, 0.000146679, 0.000112769, 0.00012626, 0.000111308, 0.000108538, 0.000105967, 0.00012869, 0.000112753, 0.000108882, 0.000127351, 0.000100302, 0.000132811, 0.000125076, 0.000133665, 0.000177884, 0.000187907, 0.000139654, 0.000174954, 0.000173747, 0.000177955, 0.000144755, 0.000122382, 0.000118955, 0.00010511, 0.000121496, 0.000149147, 0.00014951, 0.000106816, 0.000154066, 0.000143165, 0.000139879, 0.000287885, 9.28538e-05, 0.000191921, 0.000177185, 0.000340752, 0.000397862, 0.000282362, 0.000399086, 0.000693917, 0.000387614, 0.0898549, 0.0992979, 0.11577, 0.101885, 0.0881777, 0.0827683, 0.0872778, 0.0808413, 0.095892, 0.0812847, 0.000270022, 0.103447
-355734,0.895606,0.298307,4,15,0,355796,-0.00874393,0.997091,-0.0114964,-0.0512394,0.0415704,-0.0346836,-0.00895689,0.0577991,0.0362887,-0.0279534,-0.0457092,-0.0474842,-0.0652863,-0.009806,-0.0286297,-0.0178861,-0.00394159,-0.0338292,-0.0168948,0.0126868,-0.0561046,-0.0667354,-0.110337,-0.0696209,-0.0839531,-0.029908,-0.0346577,-0.0285423,-0.0537383,-0.0280348,-0.0441112,-0.0572341,0.0297839,0.00524079,-0.0166803,-0.0347238,0.0210952,-0.0591567,0.019154,0.0183218,-0.114453,0.014861,-0.0128469,-0.055926,-0.0384054,0.0288474,-0.0917006,-0.0415735,-0.0411316,-0.0384203,-0.114899,0.0505077,0.0119991,-0.0062474,-0.0573431,0.0201851,0.0793999,0.0975674,0.0444818,0.0988407,-0.00593197,0.0178152,0.0885648,0.0496995,-0.00184853,0.00548932,0.0364522,0.109738,0.0119999,0.0822266,0.0281434,-0.0690125,-0.00991409,0.0424115,0.0426162,0.0969172,0.0437459,0.0348678,0.0384918,0.0175751,0.176385,-0.0197989,0.101119,-0.00611701,-0.0343382,0.106616,0.046031,0.0346577,0.0191028,0.0187061,-0.0569578,0.0973181,0.0127594,-0.0174703,-0.0626807,-0.0356831,-0.0176273,-0.0026203,0.0432998,-0.00700865,-0.00947196,0.0277012,0.0660022,0.0342972,0.0250885,0.0372948,0.0586203,0.0577565,0.0416858,0.0657024,0.081333,0.0443151,-0.0183212,0.0246969,-337284,0.996715
-355729,0.870088,0.298307,4,15,0,355801,-0.00678059,0.996918,-0.0119988,-0.0441677,0.0448348,-0.0239885,-0.0131305,0.0343006,0.0352489,-0.0221903,-0.0566478,-0.0358949,-0.0585896,-0.0258948,-0.0238794,-0.0207353,0.0166054,-0.0308832,-0.0135584,0.00391411,-0.0435519,-0.0703522,-0.108929,-0.0483996,-0.0726801,-0.0382291,-0.0248772,-0.00869141,-0.0470676,-0.00935325,-0.0291499,-0.0503389,0.0263821,0.00859208,-0.0239906,-0.0420537,0.0105601,-0.0351675,0.010605,0.0180286,-0.114643,-0.00321655,-0.016636,-0.0604999,-0.0385762,0.0235166,-0.0942629,-0.0395872,-0.0515808,-0.037315,-0.129114,0.0536226,0.00351602,-0.0250725,-0.0684425,0.0242558,0.0853217,0.102108,0.0398195,0.0863342,-0.00885191,0.0138386,0.0862313,0.0370204,-0.000477258,0.00258838,0.0384041,0.100015,0.018619,0.0728284,0.0293566,-0.076337,-0.0174193,0.0323618,0.0485708,0.086199,0.0459372,0.0622363,0.0489438,0.00186249,0.189413,-0.0347706,0.115309,-0.0163151,-0.0136209,0.0841431,0.05619,0.0352643,0.0280958,0.0121305,-0.0730194,0.094164,0.00390962,-0.0053815,-0.0627315,-0.0226387,-0.00408557,-0.013809,0.0519256,0.0214843,0.0646538,0.0233579,0.0630761,0.0224899,0.0341032,0.022885,0.079557,0.0496625,0.0330764,0.0604567,0.0695846,0.0376239,0.004613,0.0421355,-337311,0.996828
-355729,0.926163,0.298307,4,15,0,355783,-0.0061148,0.998025,-0.0125354,-0.0504596,0.0902757,-0.0284893,-0.00526555,0.0854592,0.0227624,-0.0171131,-0.0389214,-0.0435296,-0.0796636,-0.012529,-0.00658735,-0.0222161,-0.0187786,-0.029297,-0.00987083,0.00241822,-0.0653031,-0.0630832,-0.104374,-0.0577723,-0.110818,-0.0240747,-0.0558707,-0.0382522,-0.0659535,-0.0162158,-0.0639715,-0.029562,0.0403003,0.00570076,-0.0106832,-0.0409786,-0.000230576,-0.0158791,0.00664079,0.0509324,-0.0788191,-0.0125216,-0.0306288,-0.0355615,-0.0510086,0.0548264,-0.124679,-0.0454651,-0.0502379,-0.0670942,-0.127641,0.0186418,0.0221072,-0.0178931,-0.0634194,0.00376963,0.0696188,0.127203,0.0768378,0.0778429,0.0390785,0.0167332,0.0988466,0.0197716,0.0346538,0.00656345,0.0311347,0.13929,-0.00275854,0.0731602,0.0107256,-0.054169,0.0117784,0.0651235,0.047763,0.0715713,0.0278594,0.0213371,0.0294675,-0.00663283,0.217407,-0.00524611,0.0921204,0.0153703,-0.0260153,0.0881344,0.0435804,0.0552472,0.0197513,0.0344288,-0.0644817,0.0765141,-0.00609298,-0.0365628,-0.0446606,-0.0119318,-0.0308065,-0.0234485,0.0225583,0.00681069,-0.011232,-0.00274184,0.0363305,0.037668,0.0556098,0.0343855,0.0497955,0.0562891,0.0622633,0.0561464,0.111542,0.0629567,-0.0190177,0.0178414,-337361,0.997038
-355729,0.74325,0.298307,4,15,0,355798,-0.00715455,0.997453,-0.0141181,-0.0431521,0.0882167,-0.0205973,-0.00020818,0.0549769,0.0275105,-0.0214256,-0.0219709,-0.0258411,-0.0515242,-0.0183281,-0.00734785,-0.0034303,-0.0135832,-0.0446484,0.00195083,0.0292869,-0.0556265,-0.0773392,-0.0855905,-0.0677316,-0.0785899,-0.0342382,-0.0278754,-0.000380624,-0.0472289,-0.00665873,-0.0418791,-0.0368404,0.0336954,0.0233128,-0.0293042,-0.0388535,-0.00461323,-0.0465031,0.0241463,0.0262843,-0.100947,-0.0190269,-0.0196321,-0.0483175,-0.0673298,0.0342138,-0.100344,-0.0449039,-0.0617656,-0.0540582,-0.136235,0.0401524,0.0391012,-0.0188254,-0.0601111,0.00739095,0.0763538,0.0955735,0.0648319,0.0831681,0.0016327,0.049808,0.0923858,0.0383604,0.00742868,-0.00517161,0.0549433,0.100728,-0.00323333,0.0595649,0.0321643,-0.0874001,-0.0210738,0.0389457,0.0488793,0.0684553,0.0526482,0.0560655,0.0480354,0.0140987,0.185904,-0.032071,0.09503,-0.00927319,-0.0134897,0.0910982,0.0575383,0.0382538,0.018007,0.0291112,-0.080734,0.114121,-0.00251102,-0.0178268,-0.0457488,-0.0158857,-0.00729721,-0.0278721,0.0501091,0.0378016,0.0555506,0.031524,0.0396935,0.0229711,0.0311088,0.0304277,0.069451,0.0649002,0.0411013,0.0498317,0.0483708,0.0487841,0.00140061,0.0307172,-337322,0.996874
-355718,0.935182,0.298307,4,15,0,355773,-0.00745358,0.99708,-0.0158521,-0.0415934,0.0818179,-0.0299775,-0.0110008,0.0616977,0.032788,-0.0167009,-0.0357331,-0.0305547,-0.0603681,-0.0282206,-0.0237187,-0.00603769,-0.00961065,-0.0365537,-0.00517905,0.0133652,-0.0479855,-0.089074,-0.117094,-0.0565521,-0.0759407,-0.0317912,-0.0242501,-0.00935272,-0.058689,-0.000574862,-0.0420425,-0.0507353,0.0395236,0.0218671,-0.0192715,-0.0396175,-0.0127755,-0.0491396,0.00859328,0.0221468,-0.0912577,-0.00705834,-0.0139102,-0.0430147,-0.0646226,0.0429056,-0.125468,-0.0465393,-0.0699533,-0.0652949,-0.133188,0.0304659,0.00641095,-0.0236311,-0.0779155,0.00413373,0.0824869,0.107831,0.041388,0.100344,0.0143244,0.03867,0.106972,0.0203896,-0.00172759,0.00482085,0.0554826,0.123188,-0.00421908,0.0625173,0.0372588,-0.0642355,-0.00634241,0.0490163,0.0463724,0.0813391,0.0556792,0.0350543,0.0366057,0.00137006,0.180043,-0.00861827,0.0988267,-0.00131178,-0.0140265,0.0899496,0.057282,0.0374189,0.0273251,0.0126695,-0.094839,0.0791366,-0.0035014,-0.0288985,-0.0518722,-0.0208287,0.00519878,-0.0392573,0.0425121,0.00234291,0.0363136,0.0290722,0.0440943,0.0297561,0.0294886,0.0327384,0.0538645,0.0521517,0.0498709,0.0607658,0.051643,0.0734349,0.0275357,0.0464009,-337361,0.997039
-355723,0.633794,0.298307,4,15,0,355786,-0.00577916,0.997198,-0.0111914,-0.0442418,0.0599301,-0.00874,-0.00360032,0.0551692,0.0168622,-0.0472982,-0.0541973,-0.0501393,-0.0769926,-0.0125774,-0.0135036,-0.0212775,0.00159195,-0.0225324,-0.027098,-0.00936672,-0.055764,-0.0593511,-0.102829,-0.0568603,-0.112594,-0.0472143,-0.0648967,-0.0259929,-0.0488777,-0.0210491,-0.0477854,-0.0183667,0.027414,0.0135702,-0.0221122,-0.0590712,0.0264446,-0.00922458,0.00585055,0.0382446,-0.0944814,-0.00254071,-0.0244578,-0.0402262,-0.0251245,0.0384925,-0.100707,-0.0394291,-0.0461766,-0.0539876,-0.125228,0.01682,0.0105219,-0.0271362,-0.064276,0.014887,0.073085,0.127705,0.0764652,0.060056,0.00878327,0.0275264,0.0780095,0.0418578,0.0143761,0.0215609,0.0148894,0.106663,0.0165378,0.0770813,0.0165692,-0.0500559,-0.0124567,0.0487565,0.054452,0.0536311,0.0321437,0.0536534,0.0518618,9.41236e-05,0.211856,-0.0227827,0.116153,0.00275765,-0.0157614,0.10333,0.0465241,0.0582492,0.025669,0.0399005,-0.085951,0.104676,-0.0086457,-0.0189632,-0.0616218,-0.0181454,-0.0424224,-0.0312961,0.0582701,0.0376831,0.0601369,0.0355148,0.0532147,0.0221051,0.0394075,0.0359119,0.0589535,0.0447952,0.0413412,0.0533116,0.0792352,0.0606934,-0.0305035,0.0506156,-337302,0.996792
