# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_model
# start_datetime = 2025-03-23 20:04:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/6ti7noxb.json
# init = 2 (Default)
# random
#   seed = 69587
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens/h2reg-20250323150456_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,mu_inner_beta,sigma_inner_beta,log_p,rmse
# Adaptation terminated
# Step size = 0.278402
# Diagonal elements of inverse mass matrix:
# 1.27415e-05, 1.12891e-05, 0.000115549, 0.000115664, 0.000120559, 0.0001098, 0.000122599, 0.000118853, 0.000120583, 0.000148535, 0.000104589, 0.000127982, 0.000184681, 0.000147405, 0.000180099, 0.000184404, 0.000194311, 0.000110595, 0.00012431, 0.000150317, 0.000151145, 0.00012373, 8.97979e-05, 0.00010532, 0.000110749, 0.000115846, 9.80452e-05, 0.000159681, 0.000125341, 0.00014199, 0.000122991, 0.000175317, 0.000135581, 0.000110396, 0.000107756, 9.72133e-05, 0.000100904, 0.000146187, 0.000164338, 0.000177791, 0.00017471, 0.000155806, 0.000140661, 0.000129087, 0.000139875, 0.000147854, 0.000124028, 0.00075335, 0.000236233, 0.000310131, 0.00055651, 0.000477839, 0.0984185, 0.0875957, 0.0882778, 0.0776334, 0.0792298, 0.000979848, 0.493222
-178211,0.696006,0.278402,4,15,0,178236,-0.00399574,0.997298,-0.0637676,-0.0448,-0.0736796,-0.110199,0.0435451,0.0143973,-0.0260945,-0.0715368,-0.011096,0.088845,0.114926,0.0389674,0.065577,0.0155194,0.0227101,0.0753055,0.0314274,0.0203873,0.000777447,0.0454195,0.113959,0.0176429,0.0939281,0.0215573,-0.070048,-0.0132625,0.0659406,0.0681099,0.0527629,0.0507667,0.031052,0.049589,-0.0237557,0.197878,0.0231702,0.117324,-0.0213089,-0.0269787,0.085743,0.0428949,0.0507997,0.0446083,0.0286605,-0.0543911,0.0911976,-0.0302812,0.0453913,0.00707324,0.0597006,-0.0123832,0.0628025,0.0409772,0.0916807,0.0760788,0.122153,0.00203274,0.0439653,-167988,0.993132
-178205,0.976674,0.278402,4,15,0,178241,-0.0061444,0.997271,-0.0240896,-0.0656582,-0.0662691,-0.117213,0.0501686,0.0111465,-0.0271303,-0.0790664,0.0320331,0.0885972,0.0924159,0.0655207,0.0911314,0.0135555,0.0093735,0.088788,0.0272547,0.00777224,0.023705,0.0281754,0.110757,0.00248213,0.0658497,0.0269666,-0.0579055,-0.00295707,0.0439084,0.0384092,0.0708164,0.0389492,0.0214854,0.0372222,0.0210319,0.200191,0.00518043,0.106844,0.00299769,-0.0283992,0.0888193,0.0454601,0.04709,0.00562041,0.0401809,-0.1063,0.0900553,0.0189421,0.0450846,0.0198135,0.0289963,0.0260962,0.0621849,0.0402251,0.0570711,0.124001,0.0531764,0.0131644,0.0500446,-168008,0.993302
-178202,0.999551,0.278402,4,15,0,178226,-0.00943118,0.997434,-0.0638842,-0.0470843,-0.0598375,-0.134447,0.0343285,0.00288156,-0.034607,-0.075729,-0.000797633,0.086943,0.122994,0.0301167,0.0565305,0.014437,0.0220609,0.085263,0.0274176,0.0215741,0.0151597,0.0317834,0.11215,0.0010307,0.0848004,0.042973,-0.0629724,0.012493,0.0548832,0.0764339,0.048693,0.0317258,0.049476,0.0594649,-0.00733107,0.187906,0.00422412,0.100877,-0.0165673,-0.0224865,0.0828758,0.0513158,0.0587689,0.040205,0.014038,-0.0593622,0.0986675,0.038767,0.0454497,0.0227654,0.0652174,0.0171385,0.109589,0.0419455,0.0681299,0.0414822,0.0584919,0.0400109,0.033489,-168011,0.993323
-178204,0.880227,0.278402,4,15,0,178233,-0.00848317,0.9989,-0.0279113,-0.0658755,-0.0666474,-0.116299,0.0559524,0.0310261,-0.0204059,-0.0784442,0.0259585,0.0896047,0.0878268,0.0695336,0.089428,0.0182425,0.00384603,0.0873667,0.0319368,0.00995144,0.00520845,0.0398583,0.107973,0.00870637,0.0735735,0.0226845,-0.058544,-0.00435908,0.055457,0.0347811,0.071718,0.047748,0.0139734,0.0356433,0.014525,0.204441,0.00527008,0.111135,0.00353619,-0.030517,0.0932194,0.0501968,0.0435073,0.0123483,0.0350359,-0.109072,0.0820385,-0.0145338,0.0576285,0.0377843,0.0333611,0.0476137,0.0980497,0.05952,0.0455815,0.0976298,0.0697163,0.0246248,0.0223321,-168018,0.993375
-178203,0.723628,0.278402,4,15,0,178233,-0.00987976,0.996972,-0.0365409,-0.0663524,-0.0767431,-0.126627,0.0604391,0.0120804,-0.00455929,-0.0584069,0.0175128,0.0869765,0.0961356,0.0540649,0.0870577,0.0309378,0.0182032,0.0747406,0.0275652,-0.00933038,0.0115906,0.0367946,0.130083,-0.0168516,0.0846347,0.0247504,-0.0592187,-0.0108224,0.0605976,0.0750995,0.0667532,0.0285032,0.0312224,0.037291,0.0074794,0.197747,0.0242132,0.110066,0.0116015,-0.0275318,0.0821234,0.0475169,0.0574429,0.0104803,0.0275803,-0.081952,0.0957617,0.0257398,0.0453483,0.0246284,0.0112926,0.0382143,0.0887245,0.0406712,0.0642401,0.0845037,0.061864,0.0295853,0.0228367,-168008,0.99331
-178209,0.134465,0.278402,4,15,0,178232,-0.00795443,0.99805,-0.0326942,-0.0703013,-0.0778845,-0.12117,0.055169,0.0204203,-0.00981377,-0.0574987,0.0284144,0.0931901,0.0835055,0.0456177,0.0857678,0.025993,0.0213255,0.0670241,0.0268063,-0.0114977,0.0026817,0.0441381,0.118987,-0.0212588,0.0825135,0.0205507,-0.0538756,-0.00771419,0.0627267,0.0760771,0.0631228,0.0365418,0.0359798,0.0393988,-0.00483163,0.198419,0.0204039,0.108495,0.011624,-0.031971,0.0826381,0.0462891,0.0629913,0.0182919,0.0312418,-0.0699663,0.0985277,0.0262948,0.0398065,0.0140354,0.00141214,0.0321781,0.120885,0.043925,0.0725467,0.0776214,0.062558,0.0198426,0.0114666,-167996,0.993192
-178210,0.143195,0.278402,4,15,0,178242,-0.0091293,0.997412,-0.0469428,-0.0681033,-0.0750116,-0.111673,0.0350248,0.0259298,-0.0147195,-0.109882,-0.000285119,0.0899364,0.102714,0.0378171,0.0878691,0.00646655,0.00191264,0.0895502,0.0355631,0.0160341,0.0125435,0.034994,0.11261,-0.0217968,0.0852298,0.0400115,-0.0658163,0.00265088,0.0729931,0.0543179,0.0639993,0.0493186,0.0420551,0.0397168,0.000822603,0.201574,0.0145852,0.119918,-0.0292798,-0.0398421,0.104029,0.0564326,0.0537751,0.0411794,0.0288325,-0.0483806,0.100343,-0.0303868,0.0356283,0.0364217,0.0338713,0.0244118,0.110628,0.0390974,0.0869496,0.083793,0.0606601,0.0395426,0.0578128,-168023,0.99343
-178209,0.981508,0.278402,4,15,0,178231,-0.00819329,0.998355,-0.0436256,-0.0439457,-0.0497818,-0.135923,0.0529077,0.00687781,-0.0382634,-0.0428405,0.0220074,0.0925869,0.113415,0.0604425,0.0614718,0.0275736,0.0217758,0.0876504,0.0208264,0.010404,0.00882164,0.0411282,0.112712,0.032076,0.0746655,0.0301354,-0.0554794,0.00738494,0.0372902,0.0572832,0.0564843,0.0311317,0.0274475,0.0533749,0.00530706,0.188004,-0.0043691,0.0956906,0.0184312,-0.0140231,0.0683325,0.043349,0.0475167,0.0178421,0.0233801,-0.118087,0.0785779,-0.0577457,0.060523,0.0147337,0.0661805,0.0487293,0.0450544,0.0397712,0.0460752,0.0440811,0.0715463,0.00972903,0.0544493,-168009,0.993301
-178214,0.973438,0.278402,4,15,0,178233,-0.0084632,0.999117,-0.0445164,-0.0614402,-0.0763476,-0.102863,0.0273245,0.0235925,-0.0118268,-0.110258,-0.0021058,0.0869193,0.0854445,0.0391787,0.0729612,0.00776174,0.0104702,0.081503,0.0368586,0.010858,0.00898264,0.0284298,0.104264,-0.0325679,0.0834548,0.0373136,-0.070063,0.007024,0.0700013,0.059611,0.0680292,0.0472779,0.0363959,0.04575,-0.00097447,0.204397,0.00798955,0.115072,-0.0305496,-0.0466114,0.111438,0.0556062,0.0545131,0.0385612,0.0348328,-0.0525638,0.101646,-0.00788292,0.0416,0.0425228,0.0457339,0.00395154,0.0887574,0.0293227,0.0626929,0.0954921,0.0694392,0.00728504,0.023649,-167989,0.993121
