# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_model
# start_datetime = 2025-03-23 20:04:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/6ti7noxb.json
# init = 2 (Default)
# random
#   seed = 69587
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens/h2reg-20250323150456_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,mu_inner_beta,sigma_inner_beta,log_p,rmse
# Adaptation terminated
# Step size = 0.288658
# Diagonal elements of inverse mass matrix:
# 1.26711e-05, 1.14691e-05, 0.000121817, 9.21581e-05, 0.000105052, 0.00012113, 0.000126008, 0.000131759, 0.000131201, 0.000151781, 0.000121373, 0.00011614, 0.000170516, 0.000187367, 0.000166812, 0.000163536, 0.000173707, 0.000150726, 0.000121086, 0.000174976, 0.000127876, 0.000133453, 0.000101008, 9.79999e-05, 0.000121221, 9.9448e-05, 9.90416e-05, 0.000146909, 0.00013019, 0.000147491, 0.000109443, 0.000163327, 0.000121956, 0.000112751, 0.000115318, 0.000117429, 0.000101956, 0.000164308, 0.000165639, 0.000202286, 0.000185607, 0.000150738, 0.000141187, 0.000119371, 0.000115042, 0.000128435, 0.000125826, 0.000665324, 0.000229488, 0.000378487, 0.000439615, 0.000455018, 0.0982225, 0.0689928, 0.0801931, 0.0849574, 0.094682, 0.000608589, 0.337856
-178206,0.77989,0.288658,4,15,0,178238,-0.00978487,1.00024,-0.0515886,-0.0588212,-0.0627301,-0.130846,0.041548,0.022495,-0.0241605,-0.107215,0.00855313,0.0897079,0.100401,0.0427423,0.080316,0.0195349,0.00337417,0.083064,0.0382622,0.00157073,0.000306903,0.0597394,0.104623,-0.00419041,0.07455,0.028797,-0.0605765,-0.00384873,0.0363933,0.0556674,0.0499407,0.053663,0.0307669,0.0439129,-0.00691839,0.20788,-0.0135843,0.0911948,-0.0235464,-0.00277132,0.0855699,0.0572942,0.0394671,0.0249894,0.0451666,-0.0977551,0.106087,-0.0349303,0.0298821,0.0196804,0.0219525,0.0108603,0.0590032,0.0432693,0.0381908,0.0939327,0.0665736,0.0299632,0.045246,-168037,0.993514
-178203,0.999006,0.288658,4,15,0,178229,-0.00737205,0.999525,-0.037809,-0.0540525,-0.0702792,-0.108473,0.048192,0.0125793,-0.0326284,-0.0484778,0.0185068,0.0792594,0.108097,0.0463072,0.068679,0.0216331,0.0153792,0.0916037,0.0263171,0.0222175,0.0246076,0.0122959,0.12441,0.00767715,0.0940008,0.0459435,-0.0604033,0.00820529,0.0531521,0.0548872,0.062743,0.0419488,0.0310081,0.0455446,-0.00121935,0.193447,0.0149963,0.126608,0.0100843,-0.047182,0.104324,0.0501203,0.0696912,0.0271162,0.0290921,-0.0562394,0.0793759,-0.00671902,0.0561998,0.0243823,0.031574,0.0323527,0.0482922,0.0311111,0.0894931,0.0708721,0.0531802,0.0320651,0.0384617,-167981,0.99305
-178204,0.961993,0.288658,4,15,0,178227,-0.0104841,0.996646,-0.0511806,-0.0524165,-0.0589755,-0.1438,0.041787,0.0128041,-0.0248039,-0.101338,0.00902717,0.0852387,0.114544,0.0582282,0.0756791,0.00633928,0.000334362,0.087832,0.0333362,0.00593589,-0.00184117,0.0514476,0.0984788,0.0138285,0.0669332,0.0274823,-0.0537898,0.0184999,0.0564215,0.0449607,0.0628779,0.0351743,0.0413903,0.0514928,0.00184704,0.189232,-0.00535007,0.0936691,-0.0159592,-0.0144743,0.0733516,0.0641852,0.031798,0.0413972,0.0195323,-0.109382,0.101658,-0.04253,0.0525962,0.00693616,0.0475095,0.00787168,0.0761057,0.0549195,0.0522138,0.0679959,0.0492626,0.0253834,0.0825663,-168045,0.993619
-178205,0.979089,0.288658,4,15,0,178233,-0.0107384,0.997867,-0.0421964,-0.0582614,-0.0621511,-0.110527,0.0471567,0.0292838,-0.0278826,-0.0527291,0.0200212,0.0999513,0.100147,0.0454508,0.0764958,0.0285314,0.0162712,0.0980974,0.0193814,0.0174987,0.012318,0.0154763,0.124797,-0.0109796,0.0888495,0.0334126,-0.0707062,-0.0130368,0.0560017,0.0641366,0.0584499,0.0535019,0.0223082,0.0429746,0.010121,0.203701,0.0115986,0.118257,0.00498812,-0.0272806,0.107827,0.0424447,0.0767982,0.0132601,0.031882,-0.0755425,0.0778004,0.00346276,0.0474313,0.0448712,0.0535244,0.0440353,0.0604676,0.0360234,0.0635166,0.10355,0.0999574,0.0700321,0.0474694,-168001,0.993239
-178202,0.77898,0.288658,4,15,0,178225,-0.00829369,0.998736,-0.0458193,-0.0529813,-0.0686276,-0.138065,0.03832,0.0114303,-0.0313988,-0.0936118,0.00707863,0.0853982,0.107145,0.0477024,0.0582867,0.0259721,0.0108875,0.0911335,0.0419981,0.00757463,-0.00965885,0.0500295,0.118105,0.0192258,0.0775779,0.0346104,-0.062807,0.0204783,0.0601933,0.0497178,0.0681554,0.0436778,0.0277704,0.0433925,0.00378847,0.192288,0.00115026,0.108102,-0.0159757,-0.020306,0.0739485,0.0709363,0.0437202,0.0357985,0.0213159,-0.0756632,0.0789575,-0.066643,0.0725344,0.0471626,0.0398644,0.0588518,0.0459746,0.0403343,0.0742351,0.0472311,0.0562003,0.0459379,0.155603,-168028,0.993462
-178204,0.952452,0.288658,4,15,0,178230,-0.00790416,0.997789,-0.0463594,-0.0546933,-0.0636487,-0.139755,0.0363409,0.0201372,-0.0284302,-0.0942548,0.00822116,0.0804949,0.106031,0.0461468,0.0627897,0.0305441,0.010057,0.0981617,0.0555463,0.0242475,-0.00863979,0.0454499,0.122703,0.0145852,0.0764682,0.036077,-0.0600885,0.0335975,0.0630612,0.0390367,0.0646511,0.0436537,0.0354292,0.041404,0.00798248,0.185758,-0.00247577,0.112212,-0.0134597,-0.0227106,0.0722492,0.0675095,0.0631202,0.0287073,0.0183114,-0.0700256,0.0828748,-0.0452801,0.0712077,0.0252559,0.0412772,0.0489741,0.0464344,0.0358327,0.0772966,0.0555776,0.0735501,0.0259252,0.126781,-168037,0.993545
-178207,0.913842,0.288658,4,15,0,178235,-0.00898001,0.998914,-0.0411114,-0.0520828,-0.0618745,-0.131174,0.0278071,0.0432958,-0.00698255,-0.0733806,0.0270864,0.0815436,0.108691,0.0406644,0.0764116,0.022661,-0.00429292,0.0999649,0.0219503,0.0201454,0.0100509,0.042746,0.109715,-0.00874033,0.0849913,0.039913,-0.0576216,-0.0125025,0.0435305,0.0561759,0.0676111,0.0461886,0.0227719,0.0350489,0.0147214,0.210054,-0.0116391,0.115872,0.0144748,-0.0192743,0.080068,0.0608012,0.0400821,0.0358822,0.0447246,-0.109699,0.0983842,0.0051145,0.06143,0.0430347,0.0450934,0.0116447,0.0709115,0.0466985,0.0806607,0.0630486,0.0542222,0.0554143,0.0206211,-168021,0.993398
-178208,0.682149,0.288658,4,15,0,178236,-0.0079258,0.996055,-0.0395728,-0.0750887,-0.0361654,-0.130366,0.0451233,0.0129529,-0.0328921,-0.0795884,0.0116867,0.0835729,0.103377,0.0506252,0.0682656,0.0052557,0.0181945,0.0911753,0.0207504,0.0324356,0.00407063,0.0455182,0.0979837,-0.00887587,0.0893312,0.0342455,-0.067404,-0.0110477,0.0649625,0.0423251,0.0588476,0.00575086,0.0294034,0.0396314,0.0171226,0.185805,-0.022396,0.115485,-0.0146405,-0.0238245,0.0757595,0.0482358,0.0435373,0.00639025,0.027817,-0.0917976,0.101413,-0.0193697,0.0559297,0.0479757,0.0200991,0.0184807,0.0615957,0.0555715,0.0452347,0.0804475,0.0834486,-0.0253338,0.0754231,-168003,0.993273
-178210,0.975694,0.288658,4,15,0,178240,-0.00714224,0.998642,-0.0368083,-0.0666106,-0.0372745,-0.127886,0.0447789,0.0195666,-0.0377691,-0.0872949,0.0134483,0.0855518,0.101868,0.0424588,0.0739892,0.00195077,0.0195512,0.0831923,0.0289831,0.0274912,0.00518236,0.040501,0.099312,-0.0182482,0.086651,0.0359732,-0.0641141,-0.0111077,0.0505181,0.043217,0.0604133,0.00709287,0.0306782,0.0390251,0.025722,0.188882,-0.0154718,0.113806,-0.0174016,-0.026847,0.0761692,0.0665702,0.0555967,0.013652,0.0158078,-0.0760984,0.0982863,-0.0056212,0.0565697,0.0501922,0.021093,0.0170894,0.0765487,0.0414336,0.0464164,0.0985982,0.0750094,-0.0654935,0.0687781,-168003,0.993247
-178216,0.948194,0.288658,4,15,0,178240,-0.00677258,0.998472,-0.0612612,-0.0494628,-0.0566748,-0.129456,0.0375891,0.0267424,-0.0103898,-0.0750514,0.0236954,0.0969492,0.0922988,0.0542422,0.0892318,0.0285963,0.0267322,0.102777,0.022557,0.00206909,0.0107395,0.0372375,0.115859,0.00963183,0.0730926,0.0412489,-0.0420297,0.0189952,0.0703085,0.0652675,0.0571072,0.0597117,0.0428086,0.0515011,-0.020998,0.193172,0.00965254,0.104092,0.00548809,-0.0326168,0.0873917,0.0343943,0.049805,0.0404704,0.0137963,-0.0978969,0.0765731,-0.047529,0.0157793,0.00987446,0.0698877,-0.00782161,0.0763398,0.0931916,0.0511829,0.0461462,0.0547046,-0.0631482,0.233292,-168026,0.993445
