lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.493503
# Diagonal elements of inverse mass matrix:
# 3.21717e-05, 2.28865e-05, 0.000159267, 0.000178839, 0.000229997, 0.00017963, 0.000353981, 0.000404175, 0.00020459, 0.00018601, 0.000208207, 0.000191658, 0.000213216, 0.000237463, 0.000364669, 0.000200613, 0.000315578, 0.000376041, 0.000342617, 0.000308373, 0.00269254, 0.00114395, 0.0860117, 0.0967717
-18997.1,1,0.493503,3,7,0,19006.1,-0.00813056,0.976248,0.122542,-0.045913,0.265822,0.0889489,0.311259,0.11716,-0.00339946,0.0868347,0.268801,0.156466,-0.0330646,0.0701995,0.0644221,0.0133602,0.192919,0.114684,0.126157,0.156545,0.136192,0.0776972,0.160667,0.0920843,-19220.8
-18997.4,0.92098,0.493503,3,7,0,19007,-0.00808322,0.97413,0.109016,-0.0212859,0.250756,0.114737,0.312018,0.161782,0.0207614,0.099037,0.212105,0.110889,-0.0486201,0.104608,0.061524,-0.000980119,0.128441,0.124097,0.14361,0.178562,0.139346,0.123878,0.0846238,0.0823016,-19203.8
-19001.5,0.893024,0.493503,3,7,0,19010.6,-0.00986537,0.979867,0.129527,-0.0178131,0.238963,0.120858,0.317314,0.134343,6.46188e-05,0.108596,0.223531,0.128037,-0.0680463,0.07142,0.0570147,0.0194606,0.132652,0.118487,0.110546,0.158576,0.140892,0.0513871,0.114295,0.055861,-19197.2
-19000.2,0.915324,0.493503,3,7,0,19016.8,-0.000290275,0.971046,0.117152,-0.0196641,0.239124,0.112003,0.341615,0.13863,-0.0151878,0.105172,0.22406,0.130529,-0.0497505,0.0633759,0.0943886,-0.012692,0.140423,0.102053,0.139546,0.15033,0.141983,0.0942896,0.12894,0.0824148,-19215.1
-19000.2,0.91946,0.493503,3,7,0,19013.4,-0.00920128,0.974826,0.132436,-0.0443871,0.267613,0.121802,0.334392,0.140866,0.00499052,0.0789717,0.249736,0.119761,-0.029564,0.11878,0.061799,-0.00546026,0.157745,0.151103,0.130011,0.175804,0.194143,0.0330733,0.15843,0.0808941,-19244.4
-18999.8,0.994321,0.493503,3,7,0,19008.4,-0.00637911,0.97576,0.0996197,-0.0277205,0.245756,0.0845542,0.305049,0.152968,0.0103888,0.117397,0.224044,0.151873,-0.0443968,0.0485819,0.0573299,0.00384329,0.161457,0.0967341,0.146666,0.169905,0.0828202,0.155233,0.0932753,0.0956987,-19195.5
-18996.4,0.981609,0.493503,3,7,0,19010.4,-0.00999444,0.977318,0.131445,-0.0583418,0.262668,0.111256,0.327296,0.139282,-0.00301971,0.0856524,0.245058,0.12532,-0.0327911,0.109757,0.0644397,-0.0170286,0.156542,0.125643,0.138671,0.170379,0.202848,0.170135,0.171349,0.107759,-19227.4
-18995.9,0.889962,0.493503,3,7,0,19003.6,-0.00446603,0.973911,0.100651,-0.0273842,0.256852,0.0918622,0.31364,0.147511,0.0176854,0.100166,0.221435,0.155598,-0.0394391,0.0649628,0.0621205,0.00161889,0.165481,0.111368,0.13459,0.194041,0.0837711,0.0326244,0.0990855,0.0717292,-19214.4
-19000.4,0.5289,0.493503,3,7,0,19011.9,-0.000549626,0.975386,0.136773,-0.0507336,0.251809,0.111763,0.33612,0.136052,-0.00366998,0.0902545,0.251797,0.139227,-0.0295472,0.106619,0.0679964,0.00385414,0.146463,0.130012,0.14154,0.168499,0.316994,0.133893,0.312241,0.113302,-19239.1
-19002.1,0.834713,0.493503,3,7,0,19011.3,-0.0123606,0.977366,0.10064,-0.0251043,0.253628,0.101178,0.302972,0.157711,0.0117081,0.108035,0.203944,0.14616,-0.0332819,0.048914,0.0668102,-0.0100057,0.164469,0.0989949,0.140655,0.16444,0.0676408,0.100816,0.0727982,0.0615697,-19187.9
-19000.7,1,0.493503,3,7,0,19016.7,-0.00156273,0.972352,0.12547,-0.0491684,0.26752,0.104967,0.346778,0.143882,0.0216424,0.0871391,0.260773,0.131781,-0.029217,0.123391,0.0805534,0.00304486,0.157703,0.115788,0.129184,0.187452,0.281907,0.0820619,0.269106,0.102985,-19258.4
-18999.8,0.939515,0.493503,3,7,0,19015.9,-0.018857,0.975213,0.105831,-0.0235507,0.237996,0.106527,0.327905,0.135156,0.0306005,0.0785002,0.252466,0.127383,-0.0378191,0.117116,0.0882657,-0.0108409,0.171909,0.116553,0.152589,0.177535,0.195242,0.0479332,0.148699,0.0996508,-19225.6
-18999.3,0.918932,0.493503,3,7,0,19015.3,0.00112333,0.971906,0.122517,-0.0623765,0.263131,0.100322,0.322525,0.149949,-0.0216458,0.105735,0.217032,0.152888,-0.0235613,0.0817433,0.0468715,0.0190777,0.151064,0.123203,0.117,0.163812,0.074635,0.086887,0.111272,0.115599,-19224.9
-19000.2,0.766808,0.493503,3,7,0,19019.5,-0.0153626,0.972442,0.108276,-0.0195417,0.246301,0.101958,0.333181,0.135772,0.0423715,0.0797279,0.236349,0.121932,-0.0468884,0.0867838,0.0807038,-0.0166028,0.171777,0.110239,0.153542,0.164136,0.108515,0.126929,0.255877,0.0886931,-19217.4
-18999.1,0.964338,0.493503,3,7,0,19011.7,-0.00959595,0.976411,0.11471,-0.0486201,0.278109,0.102747,0.307727,0.14308,-0.0178518,0.0657328,0.22814,0.125304,-0.0348319,0.108381,0.0685512,0.0184549,0.157542,0.0959297,0.144173,0.149902,0.15884,0.0682177,0.22589,0.0489028,-19201.8
-18998.2,0.789412,0.493503,3,7,0,19020.5,-0.0131769,0.97763,0.117395,-0.0273987,0.288508,0.105655,0.317263,0.137306,-0.0283259,0.0955637,0.234835,0.115574,-0.0392094,0.124803,0.0709138,0.0107588,0.160512,0.0998421,0.135904,0.161634,0.14002,0.0786639,0.149592,0.061284,-19214.7
-18994.2,0.974473,0.493503,3,7,0,19006.6,-0.012397,0.973474,0.107081,-0.0222215,0.256086,0.0828423,0.315388,0.150525,-0.0017194,0.0941297,0.232668,0.133243,-0.0337978,0.101639,0.0442408,0.0204189,0.165715,0.119863,0.153394,0.164238,0.119345,0.0822506,0.123119,0.0741909,-19212.1
-18995.6,0.876529,0.493503,3,7,0,19005.2,-0.00399309,0.976366,0.124843,-0.0597011,0.253706,0.126249,0.320179,0.14279,0.0211998,0.0942623,0.261101,0.146203,-0.0344842,0.0763694,0.0856829,-0.00777792,0.152066,0.110921,0.117636,0.182885,0.111523,0.0889186,0.119851,0.0546558,-19231.5
-18994.7,0.872431,0.493503,3,7,0,19005.2,-0.00147574,0.977127,0.109861,-0.0274015,0.254529,0.120579,0.327927,0.1425,0.0176073,0.0750206,0.250909,0.138674,-0.0542481,0.0793855,0.0706802,-0.00786976,0.16304,0.112466,0.14922,0.179289,0.101577,0.100196,0.16122,0.0556398,-19224.3
-18994.1,0.930693,0.493503,3,7,0,19004.7,-0.0139551,0.975523,0.121657,-0.0498386,0.250082,0.0892416,0.300984,0.145192,0.00241095,0.11019,0.221716,0.142211,-0.0122838,0.0929784,0.0580644,0.00665082,0.156516,0.117435,0.124912,0.163615,0.164557,0.0757769,0.109487,0.114661,-19199.6
-19003.6,0.726283,0.493503,3,7,0,19010,-0.00209906,0.977105,0.0969958,-0.0219172,0.290332,0.106034,0.326136,0.16337,0.018752,0.0877357,0.245005,0.140345,-0.0562294,0.0641251,0.0616307,-0.0203279,0.154123,0.0878599,0.116423,0.195659,0.0916801,-0.0125035,0.138699,0.120223,-19221
-18996.8,0.915639,0.493503,3,7,0,19013.7,-0.0117789,0.974642,0.124733,-0.0561201,0.251693,0.10541,0.327643,0.134194,-0.00600412,0.115198,0.223978,0.134862,-0.0143444,0.0944969,0.0611686,0.00917039,0.169725,0.125306,0.133432,0.153056,0.195867,0.153278,0.121551,0.0661801,-19221.2
-18995,0.873594,0.493503,3,7,0,19008.5,-0.00325712,0.975526,0.104268,-0.0309272,0.256422,0.0915149,0.301056,0.161047,0.0212137,0.0789942,0.229478,0.142069,-0.0549336,0.0798327,0.0667596,-0.00160901,0.147,0.107927,0.126718,0.19588,0.105362,0.0389139,0.119193,0.108051,-19204.7
-18999.7,0.746692,0.493503,3,7,0,19006.9,-0.0145,0.978435,0.120065,-0.0319339,0.257444,0.099242,0.329618,0.144151,0.00909525,0.116033,0.186287,0.145971,-0.0521071,0.0859574,0.0697766,-0.00808927,0.159835,0.0932276,0.135783,0.18837,0.157924,0.139709,0.0763815,0.142144,-19214.9
-18995,1,0.493503,3,7,0,19005.1,-0.00655848,0.972392,0.105054,-0.0550538,0.232777,0.0982448,0.308651,0.125283,0.0178027,0.0913331,0.226936,0.138603,-0.0418752,0.103181,0.0728362,0.00387266,0.178285,0.105767,0.119169,0.191006,0.109081,0.134915,0.13291,0.143265,-19211.1
-18996.5,0.768544,0.493503,3,7,0,19010.7,-0.00904186,0.976927,0.124611,-0.0347142,0.23662,0.118625,0.322047,0.142237,0.0212281,0.0912222,0.207069,0.132224,-0.0606434,0.0883961,0.0703225,0.00436275,0.153533,0.0987132,0.126625,0.176407,0.0960524,0.0271064,0.1273,0.0777635,-19207.2
