# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 21:44:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/hy26d6o8.json
# init = 2 (Default)
# random
#   seed = 56219
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/h-BOW-SciBERT.h-nonsems/hreg-20250511164415_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.516745
# Diagonal elements of inverse mass matrix:
# 3.15647e-05, 2.30959e-05, 0.000153756, 0.000162129, 0.000223956, 0.000180281, 0.00040609, 0.000371569, 0.000169178, 0.000194358, 0.000205304, 0.000167301, 0.000240462, 0.000241244, 0.000372593, 0.00021355, 0.000318811, 0.00036034, 0.000299117, 0.000292318, 0.00272917, 0.000926625, 0.0898227, 0.0914539
-19001.5,0.898519,0.516745,3,7,0,19010.6,-0.0111888,0.975944,0.113416,-0.0366356,0.260936,0.114778,0.333615,0.143942,-0.00694012,0.0927614,0.201182,0.126095,-0.0329589,0.0557751,0.0620071,0.00349344,0.170784,0.0913291,0.128372,0.187299,0.239807,0.00344269,0.189252,0.0872663,-19212.8
-18995.2,0.986255,0.516745,3,7,0,19008.6,-0.0105109,0.976095,0.133236,-0.0430149,0.273673,0.105972,0.349334,0.152862,0.0162545,0.081481,0.245241,0.13864,-0.0412697,0.07661,0.0568171,-0.0138413,0.16776,0.107173,0.124398,0.188108,0.200103,0.0701951,0.191047,0.105996,-19246.7
-18992.7,0.888898,0.516745,3,7,0,19005.5,-0.00726946,0.97715,0.0991091,-0.0452317,0.244363,0.102652,0.295291,0.136495,-0.00947976,0.104425,0.22739,0.142475,-0.0308341,0.0984503,0.0735239,0.0189316,0.151577,0.121243,0.143987,0.161151,0.127599,0.119171,0.123261,0.0555942,-19194.2
-18994.7,0.740255,0.516745,3,7,0,19004.6,-0.00671307,0.97626,0.135758,-0.0371309,0.233006,0.078058,0.324106,0.141958,-0.000496446,0.0672978,0.230094,0.130654,-0.0332947,0.106102,0.0761853,-0.00442397,0.164178,0.132309,0.112493,0.175313,0.112679,0.0703353,0.110686,0.0821909,-19216.3
-18994,0.872815,0.516745,3,7,0,19004.2,-0.00791347,0.973908,0.103097,-0.0490941,0.252648,0.113636,0.305251,0.129353,0.0214207,0.104404,0.207901,0.132931,-0.0561399,0.0719553,0.061516,0.0147891,0.167538,0.101218,0.125433,0.183734,0.155736,0.091238,0.120228,0.0830417,-19201.3
-18998.7,0.695195,0.516745,3,7,0,19011.3,-0.00878495,0.97468,0.127185,-0.0243842,0.249529,0.0957574,0.308323,0.16455,-0.0109192,0.0730592,0.264912,0.143578,-0.010386,0.103514,0.0658323,0.00846569,0.135019,0.144607,0.15038,0.157536,0.162439,0.0722886,0.117059,0.0637628,-19221
-18999.8,0.659956,0.516745,3,7,0,19015.6,-0.0129478,0.976334,0.0969189,-0.0530029,0.214863,0.111137,0.334248,0.132375,0.00756661,0.12078,0.236687,0.12252,-0.0391328,0.0829972,0.0789907,0.0124108,0.174857,0.110518,0.135901,0.150649,0.0606394,0.122442,0.156663,0.0805978,-19211
-18997.4,0.991875,0.516745,3,7,0,19008.8,-0.00943996,0.979394,0.117565,-0.0558146,0.237839,0.104579,0.313939,0.139636,0.0354611,0.0918168,0.274419,0.127433,-0.0526683,0.105498,0.0565716,-0.0172008,0.164547,0.109514,0.119876,0.166675,0.177199,0.0818953,0.0933011,0.0719954,-19211.2
-18999.9,0.48284,0.516745,3,7,0,19013.5,-0.00251024,0.983679,0.115208,-0.0515284,0.223164,0.109201,0.310853,0.160951,0.0301017,0.105637,0.240199,0.126442,-0.0435188,0.0861459,0.0901558,-0.00678859,0.150962,0.138008,0.152097,0.170679,0.142072,0.0784543,0.0849398,0.105429,-19211.7
-18996.6,1,0.516745,3,7,0,19009.1,-0.00941183,0.977998,0.111018,-0.0188666,0.276707,0.0989641,0.330647,0.15154,-0.011529,0.0860847,0.217289,0.157176,-0.0271957,0.0825591,0.0493347,0.00348612,0.180388,0.102018,0.128248,0.163633,0.140775,0.123928,0.181027,0.0716397,-19217.4
-18998.5,0.961518,0.516745,3,7,0,19007.9,-0.00843805,0.974222,0.106015,-0.066481,0.214515,0.121023,0.332077,0.127574,0.0238476,0.107677,0.247638,0.146401,-0.0533487,0.0926121,0.0578885,0.0018292,0.150517,0.128581,0.149728,0.187922,0.134018,0.0819826,0.0862082,0.0952264,-19233.5
-18996.7,1,0.516745,3,7,0,19007.3,-0.00743748,0.976418,0.125189,-0.0249263,0.27945,0.0878706,0.318918,0.162995,-0.00766199,0.0843826,0.241607,0.129009,-0.00858142,0.0678432,0.0947808,0.00750396,0.162385,0.117829,0.123967,0.188665,0.142907,0.0669735,0.12885,0.0700136,-19228.4
-19000.3,0.866928,0.516745,3,7,0,19008.3,-0.00711665,0.975593,0.115178,-0.0548177,0.24552,0.0932998,0.304996,0.138585,0.0262829,0.098379,0.199496,0.133287,-0.0634559,0.115266,0.0567309,0.00406253,0.151718,0.107154,0.16396,0.19911,0.210046,0.148932,0.166965,0.0957524,-19211.3
-18997.8,0.871154,0.516745,3,7,0,19016.2,-0.00914991,0.975208,0.111363,-0.0227339,0.234938,0.102433,0.334294,0.157633,-0.00144867,0.0773665,0.264458,0.141895,-0.00508869,0.0826706,0.0932079,-0.0039796,0.162762,0.134725,0.137717,0.154157,0.161337,0.0939505,0.1215,0.0947584,-19228
-18994.4,1,0.516745,3,7,0,19004.1,-0.00782046,0.974812,0.12029,-0.0462928,0.261729,0.0819988,0.321259,0.127901,0.0275462,0.105813,0.244005,0.134183,-0.038958,0.0691844,0.0877214,-0.0158461,0.157125,0.136086,0.151304,0.169808,0.152503,0.0647423,0.139126,0.0788114,-19222.4
-18998.3,0.876156,0.516745,3,7,0,19005.8,-0.00850464,0.975416,0.11744,-0.0413705,0.248605,0.097551,0.308284,0.149563,0.00433681,0.106442,0.214425,0.154318,-0.00630032,0.114433,0.0695499,0.0235129,0.151492,0.0923513,0.0944832,0.197738,0.135069,0.127668,0.108833,0.0622633,-19213.2
-19001.3,0.500952,0.516745,3,7,0,19017.2,-0.00810844,0.981201,0.129342,-0.0325357,0.22692,0.0905238,0.297997,0.143079,0.00811049,0.11307,0.227163,0.144729,-0.0140963,0.125214,0.069035,0.0184116,0.145565,0.112347,0.106422,0.199442,0.112417,0.148971,0.0992753,0.0575127,-19204.4
-18995.6,1,0.516745,3,7,0,19010.9,-0.0045516,0.971511,0.111723,-0.0276549,0.278215,0.113591,0.313795,0.153465,0.0175722,0.0834523,0.215456,0.14612,-0.038618,0.0778191,0.0637391,0.0115997,0.193682,0.107574,0.142504,0.185378,0.143018,0.0813426,0.114406,0.134277,-19231.1
-18999.6,0.75101,0.516745,3,7,0,19010.4,-0.0106284,0.980527,0.124611,-0.0318571,0.229455,0.101909,0.344709,0.132337,-0.00570308,0.0865451,0.255175,0.11852,-0.00646393,0.0946391,0.0623984,-0.00328297,0.136108,0.125454,0.131085,0.176055,0.165854,0.111663,0.152529,0.0462442,-19215.6
-18999.6,0.235583,0.516745,3,7,0,19013.3,-0.0106284,0.980527,0.124611,-0.0318571,0.229455,0.101909,0.344709,0.132337,-0.00570308,0.0865451,0.255175,0.11852,-0.00646393,0.0946391,0.0623984,-0.00328297,0.136108,0.125454,0.131085,0.176055,0.165854,0.111663,0.152529,0.0462442,-19215.6
-18994.4,0.958583,0.516745,3,7,0,19009,-0.0163552,0.976262,0.110179,-0.0550597,0.247044,0.0954187,0.31964,0.158879,0.00923526,0.106087,0.253629,0.142864,-0.0216905,0.0783737,0.0711604,0.00158521,0.158599,0.129686,0.14104,0.165313,0.186799,0.0687368,0.122692,0.0500827,-19223.5
-18995.4,0.833014,0.516745,3,7,0,19008.6,0.00228749,0.971282,0.123828,-0.0281866,0.262078,0.105557,0.313449,0.135018,0.0107852,0.0891644,0.210502,0.140356,-0.0495062,0.0793079,0.0579163,-0.00972211,0.164934,0.106916,0.123611,0.183362,0.101235,0.125245,0.152696,0.114445,-19211.6
-18999.2,0.965317,0.516745,3,7,0,19006,-0.0172543,0.97932,0.109597,-0.0439554,0.243325,0.0920913,0.310724,0.15936,0.000235121,0.103972,0.232308,0.142111,-0.0442873,0.104211,0.0568496,0.0074169,0.156615,0.117938,0.116083,0.191458,0.0531134,0.180681,0.163945,0.175777,-19213.8
