# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-03-23 18:39:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/iiqe13_v.json
# init = 2 (Default)
# random
#   seed = 57965
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/base/base-20250323133906_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.50353
# Diagonal elements of inverse mass matrix:
# 1.84647e-05, 1.44808e-05
-51591.2,0.866368,0.50353,2,3,0,51592.7,-0.00311645,1.00033,-48420.6
-51591.1,0.992534,0.50353,2,3,0,51591.4,-0.00420515,1.00165,-48421.5
-51590.9,0.988334,0.50353,3,7,0,51591.4,-0.00190434,1.00302,-48421.7
-51591.1,0.989835,0.50353,3,7,0,51591.1,-0.000521232,1.00332,-48421.5
-51590.9,0.94653,0.50353,2,7,0,51591.5,-0.000925291,1.00091,-48420.3
-51591.7,0.840961,0.50353,1,3,0,51592.6,0.00177148,1.00358,-48421.3
-51591.7,0.965693,0.50353,2,7,0,51592.8,-0.00446025,1.00412,-48423.1
-51593.3,0.741635,0.50353,3,7,0,51594.9,-0.000503109,1.00679,-48424.1
-51591,1,0.50353,2,3,0,51593,-7.11948e-05,1.00143,-48420.4
-51591.3,0.972198,0.50353,2,3,0,51591.3,0.000556295,1.00327,-48421.3
-51595.3,0.564251,0.50353,2,3,0,51597.7,-0.0110117,1.00288,-48425.2
-51594.5,1,0.50353,3,7,0,51595.4,0.00658087,1.00065,-48419.6
-51591,1,0.50353,2,3,0,51594.5,-0.00350978,1.00167,-48421.3
-51590.8,0.99999,0.50353,3,7,0,51591,-0.00137141,1.00238,-48421.2
-51591,0.937561,0.50353,1,3,0,51591.4,-0.0026141,1.0006,-48420.6
-51591,0.999312,0.50353,2,7,0,51591.1,-0.00194633,1.00329,-48421.8
-51591.1,0.901841,0.50353,1,3,0,51592.1,0.000341357,1.0008,-48420
-51593,0.720985,0.50353,2,3,0,51595,0.00470661,1.00257,-48420.5
-51593.9,0.883839,0.50353,1,1,0,51594,0.00593016,1.00312,-48420.9
-51592.4,0.999265,0.50353,2,5,0,51593.9,-0.00707563,1.00078,-48422.2
-51591.5,0.969351,0.50353,2,7,0,51593,0.001861,1.00174,-48420.3
