# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-04-21 01:30:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/rju1mrte.json
# init = 2 (Default)
# random
#   seed = 74994
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/base/base-20250420203021_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.565249
# Diagonal elements of inverse mass matrix:
# 1.84411e-05, 1.45688e-05
-51474.2,1,0.565249,2,3,0,51475.2,-0.00423809,0.997906,-48538.8
-51472.7,0.972022,0.565249,1,3,0,51474.4,-0.000920075,1.00038,-48538.5
-51473.3,0.927298,0.565249,2,3,0,51473.3,-0.00122427,1.00316,-48539.3
-51474,0.829774,0.565249,1,1,0,51474.1,-0.000636614,1.00445,-48539.8
-51473.8,0.980411,0.565249,2,3,0,51474.7,-0.00487511,0.999205,-48539
-51473.7,1,0.565249,3,7,0,51473.9,-0.00470832,0.999226,-48539
-51473.2,1,0.565249,2,3,0,51473.7,0.00173586,1.00237,-48538.8
-51473.2,0.757004,0.565249,2,3,0,51475.9,0.00136938,0.998939,-48538.1
-51473.5,0.707034,0.565249,3,7,0,51476.5,0.00251178,1.00239,-48538.8
-51473.8,0.959677,0.565249,2,3,0,51474.4,0.00356107,0.999378,-48538.2
-51472.7,0.95347,0.565249,1,3,0,51474.5,-0.00088395,1.00033,-48538.5
-51472.8,0.99029,0.565249,3,7,0,51472.8,0.000559621,1.0012,-48538.5
-51473.8,0.8697,0.565249,3,7,0,51474.3,-0.0053647,1.00045,-48539.3
-51472.9,1,0.565249,2,3,0,51473.9,0.000449763,1.00208,-48538.8
-51472.8,1,0.565249,1,1,0,51472.9,0.000399072,1.00169,-48538.7
-51473,0.990395,0.565249,2,3,0,51473,0.00135417,0.999948,-48538.3
-51473.5,0.820541,0.565249,2,3,0,51474.2,-0.000753205,0.997855,-48538.2
-51472.7,0.955362,0.565249,1,3,0,51473.9,-0.00103714,1.00143,-48538.7
-51472.7,0.665612,0.565249,2,3,0,51475.7,-0.00134666,1.00063,-48538.6
-51472.9,0.819348,0.565249,2,3,0,51474.1,0.00130045,1.00065,-48538.4
-51472.8,0.95819,0.565249,1,3,0,51473.3,-0.00140973,0.999909,-48538.5
-51473.4,0.852176,0.565249,1,3,0,51474.3,0.00284577,0.999752,-48538.2
-51472.8,0.926757,0.565249,2,3,0,51474.2,-0.001362,1.00162,-48538.8
-51475.8,0.703981,0.565249,2,3,0,51476.2,0.0064954,1.00301,-48539.4
-51472.8,0.966532,0.565249,3,7,0,51476.2,-0.00222558,1.00051,-48538.7
-51472.8,0.94665,0.565249,3,7,0,51473.4,0.000638167,1.00162,-48538.6
-51473,0.974752,0.565249,2,3,0,51473.1,0.000131863,0.99913,-48538.2
-51473.3,0.982203,0.565249,2,3,0,51473.5,0.00233571,0.999662,-48538.2
-51472.9,0.785154,0.565249,2,3,0,51475.4,0.000458721,1.00222,-48538.8
-51473.2,0.840832,0.565249,3,7,0,51474.7,0.00214527,0.99954,-48538.2
-51473,0.97666,0.565249,2,7,0,51473.6,-0.00215186,1.00218,-48539.1
-51473.4,0.912355,0.565249,2,3,0,51474,0.00273825,0.99956,-48538.2
-51474.1,0.914033,0.565249,2,3,0,51474.8,0.00454364,1.00162,-48538.7
-51474.3,0.982844,0.565249,3,7,0,51474.6,-0.00580187,0.99908,-48539.2
-51472.7,1,0.565249,2,3,0,51474.1,-0.000816376,1.00159,-48538.7
-51473,0.980036,0.565249,2,3,0,51473,-0.001429,1.00239,-48539
