# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 20:41:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/wxoef64k.json
# init = 2 (Default)
# random
#   seed = 85172
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/sems.nonsems/multireg-20250511154142_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,log_p
# Adaptation terminated
# Step size = 0.639984
# Diagonal elements of inverse mass matrix:
# 3.64647e-05, 3.18572e-05, 3.17328e-05, 3.14869e-05, 3.28874e-05, 3.31452e-05, 2.93451e-05, 3.34782e-05, 2.31717e-05
-19270.6,0.860846,0.639984,3,7,0,19273.3,-0.00354788,0.146231,0.135808,0.0754909,0.107557,0.0307428,-0.0403127,-0.0511741,0.981764,0.135875,0.124826,0.0626661,0.11809,0.153331,-0.0447768,-0.0627655,-18694.4
-19269.2,0.825979,0.639984,2,7,0,19275.6,-0.0147434,0.148379,0.135639,0.0764652,0.102639,0.0308119,-0.0428498,-0.0501385,0.987352,0.137877,0.125217,0.0635811,0.113762,0.154405,-0.0479465,-0.0614953,-18693.8
-19265.9,1,0.639984,3,7,0,19270,-0.0171254,0.147712,0.130855,0.0680159,0.103914,0.0277257,-0.0324257,-0.0533392,0.978164,0.13972,0.12091,0.0574956,0.112524,0.142434,-0.0350103,-0.065421,-18693.5
-19267.1,0.731263,0.639984,2,3,0,19270,-0.0216632,0.152154,0.125735,0.0671034,0.103952,0.0282672,-0.0435896,-0.0570709,0.985474,0.144622,0.117208,0.0561575,0.115802,0.155978,-0.048273,-0.0699981,-18694.5
-19270.3,0.811366,0.639984,3,7,0,19272,-0.0248477,0.148998,0.124515,0.0633367,0.09728,0.0395244,-0.0346023,-0.0501983,0.983088,0.140951,0.113866,0.0464138,0.104475,0.168363,-0.0379158,-0.0615687,-18695.7
-19268.9,1,0.639984,3,7,0,19273.1,-0.018662,0.146477,0.129348,0.0757753,0.106416,0.0305651,-0.0394691,-0.0607963,0.985108,0.137952,0.119692,0.064744,0.116805,0.161866,-0.0429563,-0.0745673,-18696.3
-19272.8,0.617682,0.639984,3,7,0,19278.8,-0.0183822,0.158877,0.131821,0.059235,0.104631,0.0241223,-0.0353686,-0.0444819,0.972572,0.151593,0.122048,0.0485128,0.11459,0.127494,-0.0393196,-0.0545575,-18689.6
-19267.5,1,0.639984,3,7,0,19273.6,-0.0115782,0.148256,0.134898,0.0665361,0.0956531,0.0303385,-0.0383412,-0.0546295,0.976174,0.139046,0.126449,0.0549295,0.105386,0.154325,-0.0420947,-0.0670036,-18692.4
-19266.7,0.870951,0.639984,2,7,0,19271.3,-0.0140345,0.147493,0.133293,0.0668789,0.104407,0.0320341,-0.0377482,-0.0558062,0.9876,0.138507,0.123649,0.054177,0.11395,0.15898,-0.0412767,-0.0684468,-18695.3
-19267.6,0.893615,0.639984,3,7,0,19270.3,-0.0111916,0.155359,0.127409,0.0623707,0.0987586,0.025109,-0.0365261,-0.0496815,0.977072,0.14843,0.118702,0.0523732,0.108803,0.135858,-0.0402971,-0.0609349,-18691
-19268.5,0.839229,0.639984,2,7,0,19272,-0.0080038,0.14471,0.132998,0.0600429,0.0990485,0.0300997,-0.0385742,-0.0565713,0.977186,0.135857,0.125004,0.0484237,0.109,0.155886,-0.0422175,-0.0693853,-18696
-19273.7,0.652689,0.639984,2,3,0,19276.7,-0.0237969,0.140328,0.135107,0.0690563,0.112556,0.0360782,-0.0375459,-0.053012,0.988766,0.12977,0.123393,0.0535052,0.121599,0.165427,-0.0412615,-0.0650197,-18700.5
-19271.3,0.966853,0.639984,3,7,0,19279.8,-0.0022302,0.151585,0.123189,0.0696085,0.104571,0.0238822,-0.0392861,-0.0562243,0.976382,0.144961,0.114434,0.0610716,0.115848,0.141652,-0.0431115,-0.0689596,-18694.6
