# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 20:41:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/wxoef64k.json
# init = 2 (Default)
# random
#   seed = 85172
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/sems.nonsems/multireg-20250511154142_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,log_p
# Adaptation terminated
# Step size = 0.582021
# Diagonal elements of inverse mass matrix:
# 3.52271e-05, 3.20305e-05, 3.4992e-05, 3.4426e-05, 3.04044e-05, 3.29477e-05, 3.17115e-05, 3.46604e-05, 2.3017e-05
-19269.2,0.855483,0.582021,3,7,0,19273.4,-0.0170666,0.151142,0.126703,0.0687518,0.0971353,0.0242003,-0.0404355,-0.0528732,0.990247,0.143533,0.118532,0.0598121,0.108462,0.139931,-0.0447857,-0.0648495,-18696
-19267.2,1,0.582021,3,7,0,19270.7,-0.015612,0.14885,0.131665,0.0667862,0.108054,0.0371514,-0.0368179,-0.0520509,0.976523,0.139706,0.120296,0.050749,0.116583,0.166402,-0.040456,-0.063841,-18692.3
-19269.7,0.743675,0.582021,3,7,0,19274.1,-0.0190586,0.147192,0.121932,0.0673311,0.1069,0.023198,-0.0440125,-0.0496412,0.988285,0.139498,0.112658,0.0575373,0.119663,0.137125,-0.049401,-0.0608854,-18698.9
-19269.7,0.968644,0.582021,3,7,0,19272,-0.0122726,0.148879,0.120665,0.0700987,0.102477,0.0274742,-0.04138,-0.0486299,0.989422,0.141276,0.110728,0.0585099,0.113668,0.144024,-0.0462845,-0.059645,-18697.6
-19270.8,0.691935,0.582021,3,7,0,19279.8,-0.015334,0.154515,0.131738,0.0593766,0.103716,0.0309341,-0.0358543,-0.0554146,0.970849,0.147055,0.122729,0.0470407,0.112851,0.154583,-0.0390067,-0.0679665,-18690.9
-19266.4,0.978775,0.582021,3,7,0,19273.1,-0.0193711,0.151333,0.125921,0.0649533,0.0979147,0.0345013,-0.0384034,-0.0507323,0.978363,0.143297,0.116139,0.0504242,0.107034,0.160151,-0.0424923,-0.0622236,-18692.3
