# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 20:41:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/wxoef64k.json
# init = 2 (Default)
# random
#   seed = 85172
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/sems.nonsems/multireg-20250511154142_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,log_p
# Adaptation terminated
# Step size = 0.563854
# Diagonal elements of inverse mass matrix:
# 3.68297e-05, 3.37079e-05, 3.69892e-05, 3.47976e-05, 3.3147e-05, 3.35977e-05, 3.16669e-05, 3.12511e-05, 2.33582e-05
-19267.4,0.893057,0.563854,3,7,0,19271.4,-0.0163924,0.147685,0.118602,0.0682802,0.101314,0.0332256,-0.0402072,-0.0504063,0.982372,0.140167,0.108321,0.0541599,0.111251,0.158248,-0.044712,-0.0618238,-18696.3
-19270.5,0.832113,0.563854,3,7,0,19273.2,-0.0117286,0.156672,0.139669,0.0660697,0.106373,0.0370884,-0.0362414,-0.0483642,0.976625,0.146919,0.128103,0.0495645,0.114656,0.162136,-0.0400598,-0.0593191,-18687.8
-19267.4,0.913843,0.563854,3,7,0,19274.8,-0.0127656,0.152417,0.130633,0.0636766,0.100006,0.0396762,-0.0370936,-0.0500385,0.97848,0.143524,0.119879,0.0463505,0.107982,0.170468,-0.0409574,-0.0613727,-18690.9
-19269.9,0.840336,0.563854,3,7,0,19272.5,-0.0149898,0.147545,0.13813,0.0634299,0.099729,0.0411076,-0.0355684,-0.0523391,0.977668,0.137211,0.127524,0.0458654,0.107051,0.174915,-0.0389133,-0.0641944,-18692.7
-19268.9,0.921247,0.563854,2,3,0,19273,-0.0174572,0.146085,0.139732,0.0663569,0.106184,0.0370727,-0.0334596,-0.0537361,0.981382,0.135874,0.128679,0.0509415,0.113706,0.165323,-0.0362343,-0.0659078,-18693.9
-19266.7,1,0.563854,3,7,0,19270.8,-0.0138703,0.152035,0.133027,0.066598,0.109619,0.0313049,-0.0431284,-0.0548937,0.985009,0.143074,0.123217,0.0534631,0.120989,0.160505,-0.0478923,-0.0673276,-18692.7
-19266.2,0.922864,0.563854,3,7,0,19269.6,-0.0167188,0.149942,0.127647,0.0673274,0.0953807,0.0282268,-0.0338441,-0.0502535,0.982421,0.14225,0.118355,0.0564054,0.104065,0.141609,-0.0369895,-0.0616363,-18693.5
-19266.7,0.735072,0.563854,3,7,0,19272.2,-0.0139036,0.151869,0.132278,0.0624796,0.108199,0.0340486,-0.0435981,-0.0489056,0.980456,0.142465,0.121821,0.0468756,0.119174,0.161264,-0.048958,-0.0599831,-18691.8
-19270.9,0.759189,0.563854,3,7,0,19273.5,-0.0117478,0.156779,0.137365,0.0584996,0.11007,0.0305146,-0.0437825,-0.0489154,0.976995,0.147532,0.127576,0.0444083,0.121701,0.153211,-0.0491813,-0.0599952,-18689.9
-19268.3,0.984553,0.563854,3,7,0,19274.3,-0.018472,0.159506,0.134818,0.0629159,0.106984,0.0296228,-0.0398781,-0.0469801,0.980186,0.151031,0.124496,0.0495502,0.117502,0.146215,-0.0445951,-0.0576215,-18688.2
-19273.3,0.714535,0.563854,2,7,0,19276.1,-0.0200544,0.157059,0.138554,0.0573875,0.101431,0.0189729,-0.0417372,-0.0523818,0.988136,0.148975,0.131732,0.0502423,0.114067,0.128304,-0.0464087,-0.0642467,-18693.8
-19267.9,0.914757,0.563854,2,3,0,19277.9,-0.0169182,0.140832,0.132975,0.0702109,0.101687,0.0292191,-0.0454461,-0.0513833,0.979536,0.130165,0.123776,0.057978,0.11381,0.15394,-0.0509998,-0.0630221,-18696.9
-19269.9,0.794811,0.563854,3,7,0,19274.1,-0.0118779,0.15158,0.12373,0.0614998,0.106633,0.0350895,-0.0421269,-0.0446153,0.987714,0.143231,0.112573,0.0448153,0.116924,0.158273,-0.047524,-0.0547211,-18695.7
-19268.3,1,0.563854,3,7,0,19272.1,-0.0102016,0.152959,0.123651,0.0672024,0.103062,0.0347699,-0.0411224,-0.0437914,0.983969,0.144566,0.112267,0.0510245,0.113001,0.155939,-0.0463711,-0.0537105,-18693
-19269.2,0.946818,0.563854,3,7,0,19272.9,-0.0220617,0.147579,0.135778,0.0640291,0.106793,0.0222359,-0.0403076,-0.0608683,0.978837,0.13922,0.12835,0.0566788,0.118738,0.143245,-0.0439696,-0.0746556,-18695.5
-19271.8,0.864628,0.563854,3,7,0,19275.7,-0.0201097,0.142177,0.139125,0.0790905,0.101476,0.0298377,-0.0361826,-0.0509882,0.979876,0.13115,0.128334,0.0674343,0.110769,0.147875,-0.0397715,-0.0625375,-18695.4
-19269.2,0.958929,0.563854,3,7,0,19276.6,-0.0136594,0.157078,0.121119,0.0669087,0.109553,0.0349478,-0.0413918,-0.0575543,0.978797,0.150569,0.110884,0.0525046,0.119872,0.170283,-0.0455614,-0.0705909,-18691.8
-19269.3,0.996978,0.563854,3,7,0,19271.9,-0.0177845,0.141667,0.137931,0.0653967,0.0983968,0.0267997,-0.0366762,-0.045755,0.983958,0.131107,0.128377,0.054031,0.108168,0.135983,-0.0408039,-0.056119,-18697.2
-19267,0.996682,0.563854,3,7,0,19271.4,-0.0165945,0.146,0.124722,0.0658263,0.106872,0.0266097,-0.0357202,-0.0495663,0.986381,0.138357,0.114442,0.0547879,0.116663,0.138609,-0.0393269,-0.0607936,-18697.6
-19268.8,0.828531,0.563854,3,7,0,19271.6,-0.0129005,0.154719,0.128077,0.0631211,0.105562,0.0297134,-0.0450415,-0.055498,0.989355,0.146905,0.119443,0.0508545,0.117639,0.158881,-0.0501679,-0.0680688,-18694.3
-19266.1,1,0.563854,2,7,0,19269.3,-0.0172513,0.148094,0.130172,0.0642269,0.104129,0.0324366,-0.0345692,-0.050811,0.976496,0.139658,0.119726,0.0506265,0.112613,0.152494,-0.0378249,-0.0623202,-18693.1
-19267.4,0.911168,0.563854,3,7,0,19269.2,-0.0194859,0.15323,0.132814,0.0620426,0.0993184,0.0290798,-0.0355145,-0.0513227,0.987339,0.14519,0.123753,0.0503378,0.108479,0.145937,-0.0389317,-0.0629478,-18693.1
