# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 20:41:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/wxoef64k.json
# init = 2 (Default)
# random
#   seed = 85172
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/sems.nonsems/multireg-20250511154142_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,log_p
# Adaptation terminated
# Step size = 0.582674
# Diagonal elements of inverse mass matrix:
# 3.50909e-05, 3.03763e-05, 3.42891e-05, 3.27334e-05, 3.20412e-05, 3.0736e-05, 3.51749e-05, 3.42134e-05, 2.42771e-05
-19268.2,0.914457,0.582674,3,7,0,19271.8,-0.0171988,0.158199,0.122434,0.0704411,0.102556,0.0355739,-0.038726,-0.0562886,0.982947,0.151531,0.112252,0.0562115,0.11179,0.168429,-0.0424254,-0.0690385,-18690.9
-19270.3,0.898147,0.582674,3,7,0,19273.7,-0.018631,0.154111,0.11997,0.0693324,0.0923524,0.0232146,-0.0391238,-0.0487174,0.981721,0.147682,0.111669,0.0605817,0.103271,0.132492,-0.0435345,-0.0597524,-18694
-19270.1,0.973118,0.582674,3,7,0,19274.2,-0.0120496,0.148646,0.134299,0.0591783,0.107387,0.0317259,-0.043264,-0.0642972,0.978726,0.140106,0.126676,0.0472037,0.118775,0.170964,-0.0472802,-0.0788611,-18695.4
-19265.7,0.981923,0.582674,2,3,0,19271.4,-0.0103402,0.151747,0.127765,0.07083,0.100902,0.0297614,-0.0350679,-0.0515707,0.980715,0.143979,0.117607,0.059098,0.109871,0.147424,-0.0383683,-0.0632519,-18691.8
-19267.7,0.68969,0.582674,3,7,0,19272.7,-0.0235282,0.14827,0.132135,0.0590016,0.103459,0.0316425,-0.0389183,-0.0570267,0.978731,0.139879,0.123588,0.0463736,0.113395,0.160186,-0.0425982,-0.0699438,-18694.7
-19270.3,0.883176,0.582674,3,7,0,19272.8,-0.00838091,0.148835,0.134719,0.0546703,0.103742,0.0279124,-0.0373749,-0.0592479,0.984678,0.140886,0.127213,0.044203,0.113839,0.152557,-0.0405384,-0.0726682,-18696.8
-19267.6,0.925217,0.582674,3,7,0,19274.9,-0.00935485,0.147413,0.128736,0.0739271,0.0980955,0.0277065,-0.0383392,-0.053781,0.97722,0.138897,0.119517,0.0636516,0.108295,0.147367,-0.0421624,-0.0659629,-18693.6
-19269,0.804392,0.582674,3,7,0,19273.4,-0.0119363,0.154836,0.12622,0.0670225,0.108535,0.0235044,-0.0317829,-0.0576823,0.977054,0.149084,0.116867,0.0590846,0.117788,0.136473,-0.0338701,-0.0707479,-18692.5
-19268.4,0.933083,0.582674,3,7,0,19273.5,-0.0150542,0.144438,0.130405,0.0649852,0.0946643,0.0344339,-0.0428001,-0.0456205,0.983188,0.134155,0.120732,0.0495487,0.104942,0.15827,-0.0482594,-0.0559539,-18696
-19268.7,0.956695,0.582674,3,7,0,19272.5,-0.0109423,0.145585,0.124665,0.0693111,0.0949605,0.0291804,-0.04187,-0.0457393,0.984247,0.136616,0.115146,0.0567462,0.105794,0.145479,-0.047119,-0.0560996,-18696.7
-19269.4,0.701517,0.582674,3,7,0,19278.8,-0.0134774,0.155629,0.13278,0.0672888,0.108615,0.0377626,-0.0338145,-0.0605366,0.978038,0.147902,0.122164,0.0525166,0.116275,0.173978,-0.0361039,-0.0742487,-18690.3
-19265.4,0.990109,0.582674,2,3,0,19270.3,-0.0137163,0.148155,0.130026,0.0648235,0.0995113,0.0319765,-0.0432671,-0.0507455,0.98253,0.138884,0.12087,0.0511566,0.110498,0.158034,-0.0484037,-0.0622398,-18693.8
-19265.7,0.929991,0.582674,3,7,0,19267.4,-0.0150837,0.151674,0.129905,0.06701,0.106469,0.0264584,-0.0347127,-0.0570292,0.97905,0.144457,0.120612,0.0574023,0.116059,0.144927,-0.0374855,-0.0699468,-18692.4
-19265.5,0.99414,0.582674,3,7,0,19267,-0.0176916,0.148624,0.129537,0.0642839,0.0995988,0.0307457,-0.0412516,-0.0477606,0.983084,0.139561,0.119984,0.0508536,0.110154,0.150654,-0.0462002,-0.0585788,-18693.8
-19269.3,0.643605,0.582674,3,7,0,19273,-0.0133351,0.152673,0.130284,0.0673572,0.105417,0.0277138,-0.0366143,-0.0624969,0.973611,0.145623,0.121851,0.0579604,0.115403,0.154753,-0.0393454,-0.076653,-18692.1
-19269.3,0.924303,0.582674,2,7,0,19273,-0.013371,0.152237,0.132344,0.0755448,0.105263,0.0320685,-0.0348444,-0.0550496,0.98886,0.143757,0.121484,0.0631728,0.113963,0.156078,-0.0378092,-0.0675189,-18693.2
-19266.1,0.780931,0.582674,2,7,0,19276.5,-0.0163541,0.153527,0.126896,0.066355,0.0975383,0.0294366,-0.0409901,-0.0562409,0.98498,0.146057,0.118712,0.0551818,0.108259,0.155871,-0.0451816,-0.06898,-18692.8
-19266.1,0.800136,0.582674,2,3,0,19270.3,-0.015285,0.147692,0.130852,0.067968,0.095572,0.0274156,-0.0423476,-0.0504539,0.981175,0.138496,0.122386,0.0569468,0.10689,0.14645,-0.04731,-0.0618821,-18693.7
-19270.6,0.65826,0.582674,2,3,0,19273.4,-0.0149149,0.145843,0.138293,0.0634094,0.0951887,0.0240254,-0.0468057,-0.0465961,0.979965,0.135023,0.130646,0.0530204,0.108293,0.138152,-0.0530481,-0.0571505,-18695.1
-19267.2,1,0.582674,3,7,0,19272.8,-0.0159915,0.15701,0.131923,0.0620766,0.0996797,0.0341137,-0.0381177,-0.0479821,0.978692,0.148625,0.121897,0.0471036,0.108793,0.156289,-0.0423723,-0.0588504,-18688.9
-19267.4,0.98481,0.582674,3,7,0,19269.9,-0.0183887,0.153905,0.129297,0.0636093,0.095135,0.0343321,-0.0407514,-0.0469794,0.981604,0.14516,0.1197,0.0485014,0.104854,0.157817,-0.0456567,-0.0576207,-18691.2
-19269.2,0.716356,0.582674,3,7,0,19274.8,-0.0109684,0.146566,0.131233,0.0689079,0.114417,0.0268902,-0.0351833,-0.0586783,0.982713,0.138621,0.121067,0.0589527,0.124312,0.147935,-0.0379213,-0.0719695,-18696.6
-19267.5,0.98843,0.582674,3,7,0,19272.2,-0.0208101,0.153624,0.128009,0.0644483,0.0955699,0.0329798,-0.0427015,-0.0478711,0.980602,0.144994,0.118743,0.0500475,0.106095,0.157063,-0.0479536,-0.0587144,-18691.5
-19269.2,0.91198,0.582674,3,7,0,19271.8,-0.0158744,0.156347,0.133976,0.0548192,0.10179,0.0289187,-0.0351838,-0.0477017,0.983328,0.148542,0.124744,0.0422124,0.110906,0.141698,-0.0388289,-0.0585065,-18691.7
-19267.3,0.840501,0.582674,3,7,0,19274.5,-0.00822759,0.150511,0.130775,0.0678702,0.0946704,0.0312646,-0.0409506,-0.056614,0.983799,0.141943,0.122655,0.0560578,0.105021,0.160456,-0.0451028,-0.0694376,-18693.4
-19267.1,0.979295,0.582674,3,7,0,19269.7,-0.0184186,0.153341,0.126393,0.0644909,0.0957237,0.0286549,-0.0436507,-0.0532734,0.98505,0.145571,0.118494,0.053082,0.107266,0.153138,-0.0486611,-0.0653403,-18693.4
-19269.9,0.822449,0.582674,3,7,0,19272.7,-0.0138996,0.14329,0.131567,0.0758352,0.0950438,0.0261476,-0.0352733,-0.0475905,0.984493,0.133747,0.121658,0.0657726,0.104434,0.135223,-0.0389469,-0.0583702,-18696.7
-19270.3,0.861995,0.582674,3,7,0,19277.1,-0.0173484,0.15039,0.127574,0.0591754,0.115014,0.0341554,-0.0425626,-0.05738,0.977997,0.142472,0.117619,0.0444679,0.125947,0.169168,-0.0469991,-0.0703771,-18695.3
-19266.8,0.966674,0.582674,2,7,0,19272.7,-0.0187224,0.149754,0.128653,0.0619117,0.109261,0.0315617,-0.0451532,-0.0508661,0.981263,0.140899,0.118811,0.0476981,0.121132,0.158638,-0.0506864,-0.0623877,-18694.2
-19267.2,0.65925,0.582674,2,3,0,19273.4,-0.0157,0.146094,0.128925,0.0587991,0.102639,0.0280751,-0.0376922,-0.0499271,0.976161,0.137814,0.119827,0.0469218,0.112671,0.143884,-0.0416943,-0.0612361,-18695.4
-19266.7,0.888057,0.582674,3,7,0,19270.5,-0.014912,0.154011,0.129798,0.0734996,0.102055,0.0321632,-0.0413447,-0.0527013,0.985616,0.145363,0.119678,0.0603727,0.112537,0.158943,-0.0459051,-0.0646386,-18691.3
-19265.7,0.919202,0.582674,3,7,0,19269.5,-0.0125259,0.147783,0.128383,0.0617195,0.102438,0.0300744,-0.0357557,-0.0538286,0.978094,0.139977,0.119166,0.0497231,0.111627,0.15093,-0.0390179,-0.0660213,-18694.3
-19266,0.874765,0.582674,2,7,0,19268.9,-0.0187523,0.142815,0.128775,0.0639134,0.104268,0.0312326,-0.036499,-0.0545262,0.981052,0.134239,0.119167,0.0513816,0.113552,0.154884,-0.0398638,-0.0668769,-18697.2
-19266.3,0.932379,0.582674,3,7,0,19268.4,-0.0142153,0.155233,0.125065,0.0674108,0.107457,0.034638,-0.0393829,-0.0539182,0.982422,0.147828,0.114445,0.0528339,0.117137,0.164396,-0.0434198,-0.0661311,-18691.4
-19267.4,0.775554,0.582674,3,7,0,19271.8,-0.0134536,0.143783,0.135753,0.0658491,0.0959577,0.0257576,-0.0393285,-0.0515661,0.980508,0.134013,0.1276,0.0559389,0.106669,0.141393,-0.043548,-0.0632463,-18695.6
-19265.5,1,0.582674,3,7,0,19268.1,-0.0132787,0.151173,0.132917,0.0677124,0.106575,0.0280582,-0.0430258,-0.0520509,0.98005,0.142108,0.123394,0.0559641,0.118307,0.150054,-0.0480024,-0.0638409,-18691.6
-19265.6,0.798856,0.582674,3,7,0,19270,-0.0212517,0.149484,0.126597,0.066732,0.100973,0.0334634,-0.0382864,-0.0522815,0.982054,0.141299,0.116653,0.052884,0.11032,0.159196,-0.042222,-0.0641238,-18693.6
-19269.3,0.706376,0.582674,2,3,0,19270.7,-0.024225,0.150377,0.128624,0.0662198,0.100749,0.0385521,-0.0391114,-0.0548392,0.986815,0.141731,0.118531,0.0501691,0.109567,0.174193,-0.0430136,-0.0672608,-18694.9
-19270.6,0.957443,0.582674,3,7,0,19273.5,-0.0230153,0.160911,0.129413,0.0724723,0.100375,0.0356253,-0.0376525,-0.0489112,0.984868,0.152893,0.118271,0.0572776,0.109145,0.160368,-0.0417299,-0.05999,-18688.8
-19271.1,0.929318,0.582674,3,7,0,19277.4,-0.0287116,0.14239,0.128623,0.06933,0.105422,0.0280643,-0.037753,-0.043268,0.982284,0.132826,0.117364,0.05661,0.115475,0.137265,-0.0423185,-0.0530686,-18698.3
-19269.8,0.989485,0.582674,3,7,0,19274,-0.00416435,0.157853,0.122959,0.0647073,0.10348,0.0336085,-0.0338582,-0.0552396,0.980988,0.151851,0.112863,0.0513427,0.111603,0.159086,-0.0365947,-0.0677519,-18691.7
-19270.5,0.931956,0.582674,3,7,0,19275,-0.0165921,0.145223,0.142652,0.0643297,0.105055,0.0261287,-0.0374316,-0.0535684,0.975275,0.134967,0.133707,0.0541209,0.11542,0.142796,-0.0410766,-0.0657022,-18694.1
-19274.3,0.871345,0.582674,2,3,0,19276.3,-0.0170117,0.146355,0.149203,0.0649712,0.105846,0.0306331,-0.040098,-0.0516558,0.976108,0.134448,0.139556,0.0519894,0.116292,0.153392,-0.0444759,-0.0633563,-18693.3
-19271.9,1,0.582674,3,7,0,19277,-0.017788,0.154046,0.112489,0.0695039,0.0974435,0.0305473,-0.0379508,-0.0536564,0.984413,0.14873,0.1031,0.0576718,0.107066,0.15354,-0.0417005,-0.06581,-18696.4
-19274.4,0.885912,0.582674,3,7,0,19279.6,-0.0161326,0.148618,0.146495,0.065755,0.0960374,0.0339694,-0.0316532,-0.0494116,0.975816,0.137676,0.136429,0.0518519,0.10319,0.15242,-0.0343958,-0.0606038,-18691.8
-19273.5,1,0.582674,3,7,0,19280.7,-0.0168251,0.15109,0.113255,0.0637367,0.0973815,0.0273065,-0.0478272,-0.048046,0.977356,0.144443,0.104868,0.0517579,0.110349,0.147999,-0.05417,-0.0589289,-18697.4
-19273.2,0.958271,0.582674,3,7,0,19280.4,-0.0112073,0.153526,0.144746,0.0712823,0.108234,0.033186,-0.0314664,-0.0593923,0.983653,0.144045,0.134223,0.0589518,0.115895,0.160411,-0.033344,-0.0728452,-18691.4
-19270.3,0.991349,0.582674,3,7,0,19276,-0.0152644,0.152152,0.118729,0.0640379,0.103054,0.0325954,-0.0478264,-0.044451,0.982565,0.144128,0.108511,0.0485056,0.115311,0.156692,-0.0544661,-0.0545195,-18695.2
