# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 18:39:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/_zb9yqh2.json
# init = 2 (Default)
# random
#   seed = 87313
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/h-sems.h-nonsems/hreg-20250511133922_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,log_p
# Adaptation terminated
# Step size = 0.292662
# Diagonal elements of inverse mass matrix:
# 3.47053e-05, 2.12012e-05, 0.00013667, 0.00018389, 0.000165817, 0.000115891, 0.000157933, 0.000147682, 0.000184359, 0.000193466, 0.00015411, 0.000176378, 0.000168748, 0.000167237, 0.000203296, 0.000178487, 0.000405732, 0.000300218, 0.000298622, 0.000149908, 0.000309834, 0.00027554, 0.000392609, 0.000197231, 0.000191751, 0.00019487, 0.000138779, 0.000218719, 0.000176289, 0.000227783, 0.000247641, 0.00019696, 0.000141513, 0.00012644, 0.000189144, 0.000161576, 0.000170171, 0.000264365, 0.000222218, 0.000195565, 0.000133848, 0.000235906, 0.000206936, 0.000257627, 0.000404694, 0.00019866, 0.000167259, 0.000133372, 0.000183182, 0.000205168, 0.000180384, 0.000320465, 0.000376331, 0.000373651, 0.000183124, 0.000284732, 0.00033342, 0.000371323, 0.000357741, 0.000258521, 0.000202296, 0.000178038, 0.000281336, 0.000231658, 0.00031433, 0.00179197, 0.000951226, 0.00015416, 6.41294e-05, 0.0002482, 0.000203949, 0.000434685, 0.0855536, 0.0869077, 0.183301, 0.344168, 0.112985, 0.122807, 0.112412
-18652.9,0.979294,0.292662,4,15,0,18703.4,0.0013883,0.973113,0.129201,-0.0286005,0.208519,0.093806,0.304688,0.201565,0.0393304,0.0665911,0.226403,0.14638,-0.0472237,0.105298,0.0864908,-0.00570823,0.152762,0.112324,0.14913,0.197253,0.0191428,-0.0191067,0.00857229,0.00952095,0.010249,0.00143896,0.014333,-0.0101629,0.0182243,-0.0331261,-0.0475987,-0.0241421,-0.010596,-0.0102533,-0.0209046,-0.0294146,-0.0310605,-0.0251347,-0.0601633,-0.0501974,-0.0718977,-0.0508514,-0.0611672,0.0254403,-0.0613654,-0.0711254,0.00705742,0.0121266,-0.0219372,0.00354976,0.02978,0.0132173,0.00253318,-0.0147364,0.0187792,-0.0288916,0.0574383,0.0241385,-0.0209995,0.0227757,-0.00831574,-0.0424291,-0.00770572,0.0999327,-0.071976,0.0729249,0.0747977,0.0130384,-0.0261607,-0.0562189,0.00436609,-0.0110052,0.132496,0.124391,0.0142216,0.0231717,0.0393824,0.027046,0.0465357,-19380
-18658.7,0.965145,0.292662,4,15,0,18702.2,-0.0134477,0.968481,0.115489,-0.00106404,0.288957,0.0648521,0.311195,0.199712,0.0391442,0.0609754,0.198487,0.13702,-0.0568885,0.0767042,0.0789486,0.00208856,0.180987,0.14062,0.153096,0.193327,-0.0415972,-0.020071,0.01634,-0.0286268,0.0145902,0.00762804,0.00736529,-0.0130957,0.00519857,-0.0347209,-0.0222734,-0.0309606,-0.0315649,-0.0213736,-0.0234274,-0.029356,-0.0194755,-0.0145518,-0.054267,-0.0591568,-0.0644356,-0.0165005,-0.0835508,0.0294999,-0.0111261,-0.0585324,-0.00702994,0.0171898,-0.0531512,-0.0127489,0.0250681,-0.00326527,0.0100863,-0.0381821,0.0112692,0.00439626,0.0367236,0.0375007,-0.0343957,0.00674736,0.0010352,-0.0416374,-0.0351198,0.133697,-0.0964449,0.119115,0.0770945,-0.0126043,-0.0324026,-0.0439791,-0.00627607,-0.00902245,0.176643,0.0614163,0.016324,0.0120728,0.0411717,0.0175872,0.07734,-19416.3
-18663.4,0.676193,0.292662,4,15,0,18705.3,0.00182591,0.971991,0.107833,-0.0147936,0.253141,0.097263,0.292389,0.20398,-0.0435321,0.0768844,0.23692,0.150778,-0.0355553,0.0716806,0.0743925,0.0317084,0.0976654,0.139624,0.142884,0.150924,-0.00125036,-0.0504704,-0.000668804,-0.0112866,0.00374541,0.00841667,0.0352316,-0.0497281,0.00682501,-0.0338837,-0.0547869,-0.0174889,-0.0197347,-0.00159557,-0.018718,-0.035007,-0.0459391,-0.00428195,-0.0402062,-0.068828,-0.0743987,-0.0408055,-0.118706,0.0255737,-0.061883,-0.0148886,-0.00600347,-0.0140124,-0.00645532,-0.0171436,0.0336912,0.0394498,-0.00941961,-0.0342973,0.0021328,-0.0280674,0.0304438,-0.00144167,0.00186364,0.033992,0.0244126,-0.0440541,-0.0374763,0.049845,-0.0348248,0.1225,0.131648,0.000534487,-0.0243631,-0.0305345,0.00295411,0.00582351,0.107207,0.0999381,0.0405923,0.0138277,0.0471303,0.0309245,0.0300391,-19384.5
-18659.7,0.885047,0.292662,4,15,0,18699.4,-0.0044178,0.970044,0.126308,-0.0201127,0.213357,0.102679,0.311943,0.192643,0.0616679,0.0654825,0.170451,0.143099,-0.0232698,0.119425,0.0567843,0.010538,0.163133,0.131374,0.133148,0.182558,-0.00916981,-0.0153824,0.0176579,-0.0100742,0.0181937,0.0315033,0.00812004,-0.0261733,-0.00209069,-0.0111308,-0.0247637,-0.0236108,-0.00561145,-0.00249414,-0.024845,-0.0169815,-0.0321095,-0.0112453,-0.0526902,-0.0826205,-0.0668343,-0.0206287,-0.0526559,-0.00857995,-0.0404388,-0.0894224,-0.00611439,0.0444886,-0.0566285,-0.00797197,0.042038,0.0101951,0.0178105,-0.0444571,-0.00797677,0.0115879,0.0274383,0.0472556,-0.0114528,0.00586448,-0.00782342,-0.0362444,-0.0209428,0.114457,-0.10091,0.164658,0.0511541,0.0194444,-0.0175554,-0.033236,0.00882418,0.0134143,0.134399,0.0749202,0.035546,0.00799332,0.0320964,0.0569506,0.103842,-19382.4
-18660.6,0.596139,0.292662,4,15,0,18703.8,-0.0160117,0.967894,0.111844,0.00348958,0.245296,0.0972426,0.304416,0.186027,0.00255651,0.092091,0.227181,0.141618,-0.0389084,0.094875,0.0900295,0.00505666,0.107996,0.130097,0.12661,0.19628,-0.0280646,-0.0365247,0.0458149,-0.0135865,0.0263718,0.0207066,0.0500989,-0.0492834,0.0121498,-0.061914,-0.0430526,-0.00466905,-0.030044,-0.0173776,0.00102075,-0.0301166,0.0135233,-0.000376472,-0.037447,-0.0756467,-0.0506272,-0.0581278,-0.100897,0.00261977,-0.0413466,-0.0217699,0.0060348,-0.00339146,-0.0359241,-0.0409635,0.0504537,0.0190653,0.00214017,-0.0497797,0.0500423,-0.0173045,0.0400139,0.0388502,-0.0287603,0.0463313,0.00877174,0.00262567,-0.0380096,0.0799339,-0.0525466,0.0767911,0.149927,-0.00408772,-0.0122333,-0.0524988,-0.0053621,0.014239,0.10618,0.0818511,0.0359323,0.0319498,0.0321362,0.0281873,0.038271,-19404.6
-18658.6,0.972528,0.292662,4,15,0,18696,-0.000336885,0.970849,0.124886,-0.043341,0.237302,0.112287,0.2936,0.21277,0.049217,0.0631889,0.182428,0.131024,-0.0300946,0.0744206,0.0315655,0.026362,0.151399,0.130018,0.157947,0.162573,-0.0210439,-0.0287093,0.0105436,-0.022184,0.00239044,0.0409787,0.0162465,-0.0138037,0.00917197,-0.0180093,-0.0406172,-0.00128221,-0.0100125,0.00678095,-0.00758702,-0.0285445,-0.0418258,0.0050745,-0.0537113,-0.0709235,-0.0778943,-0.0285215,-0.0797145,0.0109304,-0.0720074,-0.0792778,-0.0257818,0.0293481,-0.0290452,-0.0294,0.0331429,0.0184247,-0.0146486,-0.0328928,-0.00504617,0.000214543,0.0191652,0.0188453,-0.00686393,0.0137433,0.0160714,-0.0442955,0.0101045,0.100218,-0.0996226,0.189712,0.0433914,0.00735413,-0.0193286,-0.0492217,-0.0197903,-0.00129864,0.140679,0.0755298,0.0271204,0.0237698,0.0531482,0.0648898,0.0573538,-19382.8
