# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 18:39:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/_zb9yqh2.json
# init = 2 (Default)
# random
#   seed = 87313
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/h-sems.h-nonsems/hreg-20250511133922_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,log_p
# Adaptation terminated
# Step size = 0.210764
# Diagonal elements of inverse mass matrix:
# 3.29378e-05, 2.26749e-05, 0.000145054, 0.00014997, 0.000152674, 0.000131369, 0.000176692, 0.000161445, 0.000217186, 0.000225413, 0.000223885, 0.000179963, 0.000169508, 0.000206787, 0.000214177, 0.000174221, 0.000435812, 0.00033824, 0.000301346, 0.000182833, 0.00033482, 0.000273262, 0.000383844, 0.000187084, 0.000199735, 0.000170874, 0.000112338, 0.000195988, 0.000236833, 0.000220667, 0.000222701, 0.000164989, 0.000137355, 0.000112324, 0.000194855, 0.000183466, 0.000157286, 0.000266258, 0.000202523, 0.000205896, 0.000140932, 0.000224691, 0.000206032, 0.000267892, 0.000341583, 0.000173325, 0.000208403, 0.000124155, 0.000195599, 0.000179971, 0.000222652, 0.000269903, 0.000364868, 0.000294699, 0.000199881, 0.000387433, 0.000283426, 0.000378381, 0.000333804, 0.000255614, 0.000188515, 0.000161555, 0.00026459, 0.000204996, 0.000261746, 0.00214738, 0.000948249, 0.000133082, 7.90486e-05, 0.000246925, 0.000188866, 0.000431893, 0.0798783, 0.0900164, 0.166199, 0.263764, 0.113143, 0.134432, 0.0946483
-18643.4,0.989852,0.210764,4,15,0,18679.4,-0.00265206,0.970153,0.102603,-0.0190673,0.227064,0.111627,0.294971,0.209052,0.0301095,0.0576151,0.221882,0.145988,-0.00916708,0.107968,0.0881858,0.00998801,0.148762,0.110177,0.14887,0.14098,-0.00421936,-0.0141895,0.0329289,-0.0069909,0.0107542,0.00837394,0.0380679,-0.0378205,-0.00590147,-0.0353559,-0.0348873,-0.0319936,-0.00908615,-0.0168736,-0.0193697,-0.0277846,-0.0205941,-0.0294152,-0.0388166,-0.0599928,-0.0872574,-0.0249567,-0.079301,0.00255277,-0.0392118,-0.0437603,-0.00132031,0.000834036,-0.0209815,-0.0316934,0.0411257,0.0390777,0.00467604,-0.060054,0.0283275,0.0158144,0.0315323,0.0396779,-0.0356014,0.0170896,0.00757949,-0.0370003,0.00649201,0.0822275,-0.0547928,0.145187,0.126757,0.00721358,-0.0278147,-0.0500951,0.00186969,0.0296999,0.0982154,0.0798539,0.0322902,0.00891516,0.0553365,0.0291007,0.053262,-19372.2
-18641.3,0.997973,0.210764,4,15,0,18670.1,-0.0100391,0.968509,0.11099,-0.0366184,0.25601,0.110726,0.291815,0.217012,0.0264589,0.0757883,0.249376,0.146842,-0.036625,0.0787918,0.044056,0.0319052,0.144147,0.127447,0.149661,0.161519,-0.0133063,-0.0404721,0.000430746,-0.00507564,0.00213372,0.0296625,0.0156011,-0.00247369,0.0242632,-0.0221676,-0.0272726,4.93538e-05,-0.02711,-0.00791123,-0.0143326,-0.0262825,-0.0211888,0.00199105,-0.0506286,-0.0755174,-0.0929734,-0.0353933,-0.0851546,0.00280016,-0.0277956,-0.0485792,-0.0118102,0.00149039,-0.0261631,-0.00964503,0.0271906,0.0214291,0.00983029,-0.0621719,0.0349635,-0.015804,0.04415,0.00878108,0.0230127,0.0258069,-0.00801979,0.00198476,-0.0399287,0.0832038,-0.0753132,0.0951056,0.0737917,-0.00234518,-0.0184015,-0.0439276,-0.00490291,-0.00553562,0.14521,0.0520614,0.0144106,0.0102725,0.0254226,0.0452761,0.0364073,-19406.3
-18644.7,0.972716,0.210764,4,15,0,18679.9,-0.00437255,0.970524,0.113557,-0.00116579,0.236115,0.0977236,0.275911,0.1752,-0.00173819,0.0750085,0.21403,0.147119,-0.0318746,0.100857,0.0945604,0.0295564,0.15449,0.128416,0.13582,0.159617,-0.0100634,-0.0234082,0.042019,-0.0121349,0.0139466,0.00319331,0.0203655,-0.0359317,-0.0119488,-0.0245372,-0.0311376,-0.0201289,-0.00443714,-0.0129125,-0.0124822,-0.0150686,-0.0108013,-0.0186779,-0.0360743,-0.0627585,-0.0407685,-0.0228364,-0.075712,0.00770941,-0.0672834,-0.056579,-0.0147591,0.0217456,-0.0343368,-0.0220872,0.0417298,0.0342778,0.0173185,-0.026739,0.0341666,-0.00344334,0.0213225,0.0400772,-0.0475851,0.0146084,-0.00030321,-0.058035,-0.00271523,0.0982512,-0.0353826,0.203868,0.131901,0.00590621,-0.0156658,-0.0504079,0.0141757,0.0311069,0.116789,0.0960203,0.0280861,0.00755078,0.0533824,0.0270121,0.0567845,-19354.3
-18640.8,0.993639,0.210764,4,15,0,18673.4,-0.0101217,0.973162,0.117979,-0.0223438,0.270194,0.0930674,0.289065,0.188077,0.00742319,0.090411,0.226311,0.141619,-0.0260961,0.105695,0.0866052,0.0293647,0.131291,0.129447,0.125482,0.195785,-0.0152888,-0.0319934,0.0490935,-0.00424176,0.0118406,0.00533355,0.021405,-0.0290965,-0.00215375,-0.025948,-0.0324172,-0.0114368,-0.0116514,-0.0206437,-0.0223876,-0.0212642,-0.0257004,-0.0131318,-0.0493819,-0.0588429,-0.0553439,-0.0492169,-0.083365,0.00242736,-0.0557663,-0.0664546,0.00548377,0.0160437,-0.0386366,-0.0157797,0.0486866,0.0227827,0.0144062,-0.0252374,0.0158798,-0.0112386,0.0262667,0.0534274,-0.0382828,0.000690317,0.00293319,-0.0373107,-0.0218326,0.0813373,-0.0699525,0.191879,0.117607,-0.0112984,-0.0220836,-0.0718412,-0.00492314,0.0445669,0.141172,0.0880424,0.0216215,0.00924759,0.0499134,0.0264545,0.0632801,-19390.8
-18651.8,0.646119,0.210764,4,15,0,18688.2,-0.00549948,0.976584,0.111144,0.00465025,0.265449,0.120614,0.298567,0.198154,0.0261454,0.0947729,0.250565,0.142831,-0.0459475,0.1041,0.0675315,0.0162231,0.147431,0.127527,0.130302,0.181503,-0.0101179,-0.0349847,0.0142185,-0.0131873,0.00398393,0.00627304,0.00358779,-0.028072,0.00514928,-0.0357818,-0.00600104,-0.0236628,-0.010817,-0.00423926,-0.0120407,-0.0318883,-0.0107074,-0.0291497,-0.0385676,-0.0819784,-0.0856783,-0.0411244,-0.0935337,0.00865668,-0.0274849,-0.0397244,0.00267459,0.0141697,-0.0490142,-0.043651,0.0361283,0.0187814,0.00307073,-0.0578959,-0.00716402,-0.0021137,0.0233104,0.0215314,-0.0256866,0.0232608,0.00497583,-0.0384002,-0.00347919,0.0838995,-0.0517109,0.120418,0.115203,-0.00077829,-0.0220349,-0.0757904,0.00863996,-0.035104,0.0898723,0.0703894,0.0311652,0.0191042,0.0447975,0.0326691,0.052274,-19392.4
-18645.7,1,0.210764,4,15,0,18686.8,-0.00722236,0.968576,0.113035,-0.00404403,0.228484,0.109144,0.304863,0.193209,0.0638898,0.0703623,0.210027,0.168511,-0.0139698,0.0957308,0.0538707,0.0106584,0.132348,0.127385,0.119132,0.158002,-0.0189076,-0.0213227,0.0101457,-0.0216403,0.02219,0.0491452,0.0398275,-0.01635,-0.00142895,-0.0249488,-0.049564,-0.0179768,-0.019429,-0.0146294,-0.0178232,-0.0307538,-0.0127512,-0.012565,-0.0394611,-0.0755695,-0.0593912,-0.044214,-0.0881673,0.000151431,-0.0732782,-0.0435718,-0.0164293,-0.0035834,-0.0469519,-0.0210853,0.0321471,0.0311919,0.00244979,-0.0433579,0.018603,-0.00583074,0.0256306,0.0139828,-0.00763873,0.0163981,0.00493301,-0.00829649,-0.010275,0.0650812,-0.0711505,0.200751,0.153708,-0.000244996,-0.0199203,-0.0356598,-0.0142614,0.031379,0.105462,0.123376,0.0203476,0.00842694,0.0276264,0.0348694,0.0349846,-19386.1
