# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-05-11 21:47:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/5vk7soz6.json
# init = 2 (Default)
# random
#   seed = 44119
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/h-sems.h-nonsems/hreg-20250511164716_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,log_p
# Adaptation terminated
# Step size = 0.331516
# Diagonal elements of inverse mass matrix:
# 3.2408e-05, 2.12069e-05, 0.000158432, 0.000174792, 0.000217566, 0.00017927, 0.000188613, 0.000230614, 0.000250156, 0.000217407, 0.000216331, 0.000278982, 0.000205704, 0.000306293, 0.000266242, 0.000335064, 0.000438957, 0.000368191, 0.000476353, 0.000327357, 0.000484724, 0.000649115, 0.000675663, 0.000171099, 0.000207229, 0.000256633, 0.000213618, 0.00226957, 0.000378205, 0.000250336, 0.000247056, 0.000205597, 0.000205588, 0.000169803, 0.000248779, 0.000211069, 0.000313368, 0.00020577, 0.000245229, 0.000331176, 0.000238627, 0.000230455, 0.000403708, 0.000293371, 0.000351197, 0.00026927, 0.000203226, 0.000179287, 0.000289841, 0.000269524, 0.000300501, 0.000286613, 0.000458787, 0.000411014, 0.000330066, 0.00380495, 0.000457193, 0.000475779, 0.000288911, 0.000326007, 0.000283677, 0.000285826, 0.000467834, 0.000408207, 0.000573772, 0.00221802, 0.00127033, 0.000595371, 0.00034555, 0.000722873, 0.0010078, 0.000729643, 0.0852351, 0.0987982, 0.0777603, 0.103236, 0.115667, 0.0773433, 0.0984472
-18553,0.950051,0.331516,4,15,0,18593,-0.0159846,0.966057,0.124191,-0.04451,0.256232,0.109563,0.362197,0.136557,0.0221001,0.0840944,0.212822,0.135826,-0.0656321,0.0995388,0.0403484,-0.0184197,0.177831,0.0526827,0.179673,0.174543,-0.045525,-0.0398346,-0.155329,-0.153872,-0.0101415,-0.0486925,-0.0783255,-0.0356892,0.00382006,0.0976081,0.0819761,0.0309382,0.00704886,-0.0167644,-0.00964092,0.0385697,0.0229449,-0.0594367,-0.00901621,0.0814504,0.0349342,-0.0511557,0.0199175,-0.00646318,-0.0366938,0.00851929,-0.033148,0.0105678,0.019036,0.00824788,0.0257728,0.0714195,-0.0203798,0.255057,-0.0248596,0.105983,-0.0352122,-0.0328529,0.0557006,0.0887857,-0.0600358,0.00846998,-0.0644217,-0.109241,-0.0482386,0.0785235,0.10879,-0.0732886,0.0176128,-0.0150599,0.0764629,-0.00362324,0.121878,0.0969778,0.0789697,0.106793,0.0417447,0.130685,0.126516,-19402.8
-18551.6,0.716916,0.331516,4,15,0,18606.4,-0.00577146,0.967765,0.108463,-0.0098343,0.253901,0.112245,0.312043,0.150193,0.0369011,0.110468,0.273083,0.156697,-0.0363798,0.0549757,0.0216934,0.00612434,0.151965,0.117888,0.143969,0.195465,-0.0612591,-0.0401021,-0.0811914,-0.16958,-0.00305208,-0.0318005,-0.073431,-0.00690152,0.00923847,0.0551905,0.0758605,0.07762,0.0385854,0.0108977,-0.00567696,0.0613872,-0.0243665,-0.0272871,-0.00701783,0.103163,0.0470744,0.0325845,0.0124558,-0.00991043,-0.0657293,0.15497,-0.00686682,0.0478285,0.00563841,-0.0575051,-0.00847504,0.0626509,0.00599631,0.191218,-0.0126583,0.0656845,-0.0325846,-0.0491906,0.0778824,0.0965339,-0.0546082,-0.000841512,-0.0438714,-0.13468,-0.0422762,0.219108,0.0645551,-0.0108832,0.0357455,0.0298687,-0.0223908,-0.0200037,0.123999,0.074531,0.1114,0.0292948,0.0958735,0.135044,0.0673896,-19361.9
-18552.7,0.923263,0.331516,4,15,0,18579,-0.00895041,0.97159,0.105083,-0.0126033,0.266898,0.099954,0.32168,0.153623,0.0170553,0.124513,0.268791,0.15185,-0.0382578,0.058563,0.0321721,0.0150227,0.149841,0.124205,0.165178,0.190107,-0.0483096,-0.0294243,-0.0763408,-0.164747,-0.00370113,-0.0290473,-0.0821346,0.00122766,0.0191367,0.0547966,0.0709399,0.0712437,0.0432782,0.00520924,-0.0114745,0.0544973,-0.00890874,-0.0324939,-0.00940345,0.101612,0.0378295,0.0125199,0.0210859,0.00425458,-0.0648741,0.153678,-0.022553,0.0226377,0.00569091,-0.0767166,0.00730163,0.061685,-0.00699845,0.190181,-0.0112437,0.0634368,-0.0255734,-0.0543809,0.0996179,0.0924252,-0.0427254,-0.00560602,-0.0538681,-0.135807,-0.0578701,0.186965,0.0681687,0.000555042,0.0195402,0.0398977,-0.0375518,-0.0107258,0.13987,0.0707346,0.0968328,0.0282094,0.114593,0.118105,0.0670098,-19357.3
-18555.6,0.935167,0.331516,4,15,0,18594.7,-0.0029963,0.967645,0.129571,-0.0521203,0.250668,0.102772,0.348573,0.118277,0.044958,0.0665277,0.208866,0.147042,-0.0677401,0.100972,0.028876,-0.0186702,0.179238,0.0604946,0.157809,0.173261,-0.0363298,-0.0557123,-0.143048,-0.169075,-0.00498632,-0.0453338,-0.0702802,-0.00984747,0.00234837,0.0840916,0.0793595,0.0448134,0.0198647,0.00980527,-0.0131068,0.0590202,0.015568,-0.0668624,-0.00112477,0.112127,0.0544546,-0.00366185,0.023351,-0.0208823,-0.0655112,-0.00161051,-0.018535,0.0207046,0.0242814,-0.00599003,0.0381113,0.0785354,-0.0313496,0.257742,-0.0236622,0.0840083,-0.0412706,-0.0205182,0.0581475,0.0843778,-0.0554493,0.017252,-0.0768495,-0.108765,-0.00945044,0.0800624,0.0970546,-0.104697,0.0503802,-0.0187496,0.112399,0.0748832,0.129797,0.0771295,0.0688286,0.0584135,0.0690409,0.0862449,0.183132,-19400.9
-18558.6,0.904014,0.331516,4,15,0,18596.8,-0.00530567,0.967652,0.11561,0.00363881,0.268892,0.104302,0.317506,0.149803,0.0223406,0.0966541,0.263161,0.142958,-0.0747904,0.0732164,0.0395708,-0.0146991,0.162679,0.111531,0.160363,0.144808,-0.0570605,-0.0449164,-0.138971,-0.152338,-0.0100739,-0.0138454,-0.0616116,0.0176689,0.0189812,0.0634948,0.0703295,0.0447939,0.0243468,0.0026976,-0.0078713,0.0581838,0.00602215,-0.0246292,0.00155048,0.109321,0.0539702,-0.076257,0.0012966,-0.0150491,-0.0691512,0.0787825,0.021503,0.0258495,0.0306291,-0.0487671,0.0338437,0.0665811,-0.00862051,0.197595,7.37356e-05,0.0657827,-0.0136484,-0.0623496,0.0497029,0.0765465,-0.0508395,-0.00433579,-0.0517145,-0.14493,-0.057573,0.0902883,0.0943807,-0.0765158,0.018292,-0.0288713,-0.0416345,-0.18317,0.11648,0.0634157,0.0621033,0.0424669,0.0748179,0.0749418,0.129603,-19353.3
-18557.7,0.934493,0.331516,4,15,0,18597.4,-0.0135607,0.96145,0.129674,-0.064611,0.238065,0.106706,0.336754,0.145528,0.0417024,0.102727,0.228987,0.159378,-0.0373677,0.0828431,0.042285,0.0119779,0.160062,0.0788714,0.178279,0.196147,-0.00324847,-0.0486326,-0.089203,-0.144292,0.00124316,-0.0579487,-0.0742017,-0.034077,-0.00200223,0.0596295,0.0822681,0.0788284,0.0312358,0.00299859,-0.00456551,0.0476107,0.00545861,-0.0473414,-0.0231997,0.0844642,-0.00585957,-0.0429737,0.0205247,-0.0156944,-0.0640873,0.0347929,-0.0859825,0.0314125,-0.00912551,-0.0375676,0.016796,0.0566743,0.00944077,0.248665,-0.0183638,0.115986,-0.040111,-0.0409685,0.0742092,0.0897194,-0.0957701,0.0302458,-0.0558808,-0.100845,0.000804933,0.199225,0.0790908,-0.0280532,0.0320647,-0.0147293,0.144164,0.0491908,0.148857,0.11002,0.060644,0.0377885,0.108042,0.119906,0.0834925,-19397.1
