# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_hreg_model
# start_datetime = 2025-04-21 08:03:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/rumovfi5.json
# init = 2 (Default)
# random
#   seed = 11565
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens.h-nondens/h2reg-hreg-20250421030307_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg-hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,mu_inner_beta,sigma_inner_beta,betad.1.1,betad.2.1,betad.3.1,betad.4.1,betad.5.1,betad.6.1,betad.7.1,betad.8.1,betad.9.1,betad.1.2,betad.2.2,betad.3.2,betad.4.2,betad.5.2,betad.6.2,betad.7.2,betad.8.2,betad.9.2,mu_betad.1,mu_betad.2,sigma_betad.1,sigma_betad.2,log_p,rmse
# Adaptation terminated
# Step size = 0.266673
# Diagonal elements of inverse mass matrix:
# 1.12137e-05, 1.06281e-05, 0.000104538, 0.000109751, 9.49325e-05, 9.78166e-05, 0.000104856, 0.000101434, 9.94893e-05, 0.00011197, 0.000109129, 0.000111843, 0.000122835, 0.00012925, 0.000101915, 0.000114096, 0.000117268, 0.000110623, 0.000120182, 0.000123804, 0.000112526, 0.000111785, 0.000160011, 0.000150981, 0.000163908, 0.000175904, 0.000180184, 0.000187177, 0.000162683, 0.000223674, 0.000147644, 0.000198391, 0.000120797, 9.74056e-05, 8.37612e-05, 0.000115125, 0.00010749, 0.000127628, 0.00012873, 0.000138496, 0.000148741, 0.00011485, 7.90199e-05, 8.43967e-05, 9.33634e-05, 0.000113296, 9.45832e-05, 9.37394e-05, 0.000106328, 0.000102114, 0.00010084, 0.000138576, 0.000127398, 0.000119107, 0.000116695, 0.000114706, 0.000126665, 0.000128188, 0.000132947, 0.000133261, 0.000136652, 0.000134821, 0.000105019, 9.86263e-05, 0.000104114, 0.000111812, 0.000109381, 0.000118195, 0.000110671, 0.000123784, 0.000115908, 0.000123363, 0.000139967, 0.000123444, 0.000150075, 0.000168302, 0.000141405, 0.000126394, 0.000153373, 0.000157843, 0.00017436, 0.000169416, 0.000107262, 8.93385e-05, 9.85355e-05, 0.000117523, 0.000116394, 0.000112007, 0.000100202, 0.000128256, 0.000102739, 0.000112126, 0.000136442, 7.99236e-05, 0.000104835, 0.000129019, 0.000248164, 0.000285337, 0.000385308, 0.000192465, 0.000506056, 0.000205552, 0.104427, 0.108071, 0.136072, 0.0808193, 0.0746962, 0.101821, 0.0813208, 0.0959824, 0.0923584, 0.0805351, 0.000148721, 0.137722, 1.88958e-05, 1.98258e-05, 2.19629e-05, 2.3518e-05, 2.53601e-05, 2.48814e-05, 2.20081e-05, 2.14938e-05, 2.23109e-05, 2.06719e-05, 2.04415e-05, 2.27512e-05, 2.41818e-05, 2.02046e-05, 2.58699e-05, 2.67139e-05, 2.37295e-05, 2.40914e-05, 0.00239143, 0.00075299, 0.0942277, 0.0677845
-338782,1,0.266673,4,15,0,338852,-0.0049519,0.973689,-0.0244289,-0.0306006,0.0320808,-0.0318753,0.00289005,0.0484912,0.0260273,-0.0268859,-0.0134682,-0.0234406,-0.0605069,-0.0179559,-0.0179752,-0.00913777,-0.0108482,-0.0222498,0.00190921,-0.00426109,-0.0442885,-0.0655121,-0.0623784,-0.039944,-0.0529039,-0.0244891,-0.0501439,-0.0399818,-0.0419385,0.00610887,-0.0400596,-0.0640954,0.0588337,-0.00460362,-0.00892067,-0.067639,0.0225412,-0.0464687,0.0248794,0.0268739,-0.0589382,0.0158694,0.000875552,-0.0207304,-0.0628262,0.0736808,-0.0972634,-0.0597575,-0.0474596,-0.0930637,-0.140749,-0.0156404,-0.00222099,-0.0539622,-0.0642755,-0.0145051,0.0724585,0.109075,0.0535638,0.0950605,0.0196276,-0.00660569,0.0917242,0.0126554,-0.0342004,-0.0167144,0.0320413,0.0589171,-0.0146709,0.0237865,-0.00334827,-0.100137,-0.0042059,-0.0358351,0.0548418,0.0758539,0.0126468,0.0166957,0.0482824,0.00535878,0.177167,-0.0706169,0.0561866,-0.0316556,0.0113992,0.0265192,0.0195143,-0.0280427,-0.0151076,0.0179525,-0.0819755,0.00386401,0.000426702,-0.0237441,-0.0506179,-0.0130001,-0.0248988,-0.073106,0.0127754,-0.0156008,0.0289596,-0.0241053,0.0381203,0.0186476,0.0181251,0.0661471,0.0635329,0.0397316,0.047047,0.0564877,0.0683027,0.0323753,-0.0162987,0.0259322,0.132581,-0.0409264,0.266975,0.122625,0.292262,0.126701,0.0434119,0.0615,0.24108,0.156876,-0.0450143,0.0948907,0.0734332,0.0064333,0.165712,0.087587,0.15212,0.149001,0.107752,0.095259,0.12122,0.0766778,-343627,1.02121
-338790,0.88973,0.266673,4,15,0,338854,-0.00501876,0.973352,-0.0162072,-0.0327307,0.047943,0.000941495,0.0246576,0.0310165,0.0331158,-0.0135782,-0.0351144,-0.0446524,-0.0534618,-0.01113,-0.0175013,-0.0127816,-0.0179932,-0.0281948,-0.027687,0.00815414,-0.054128,-0.0544464,-0.0691806,-0.0505503,-0.0570232,-0.0348448,-0.0377088,-0.027944,-0.0458373,0.00527324,-0.0566619,-0.00330972,0.0341831,0.028482,-0.0183362,-0.0194564,0.00596676,0.00460515,-0.00191821,0.0288107,-0.0650399,0.00794801,-0.0172498,-0.0338569,-0.0348081,0.0398214,-0.0673509,-0.0589778,-0.0461994,-0.0808803,-0.124218,-0.00606953,-0.0158662,-0.020642,-0.0828249,0.0221869,0.0904098,0.121841,0.0663878,0.0381812,-0.00333228,0.0204248,0.0756903,-0.0137797,-0.00318828,-0.0245272,0.0613503,0.051971,0.0191887,0.0191535,0.00303981,-0.0595578,-0.0143524,-0.00693362,0.0210031,0.0835027,0.0045411,0.0518871,0.0220892,-0.00916233,0.17022,-0.0153591,0.0550381,-0.0284954,-0.0287569,0.0399976,0.0118081,-0.00066361,0.00973849,-0.0258817,-0.105845,0.00864991,-0.0159337,-0.0211618,-0.0420649,-0.00337595,-0.0202665,-0.00396626,0.0489516,0.0226365,0.000577067,-0.0111546,0.0340881,0.0262016,0.0260846,0.0223342,0.0353488,0.0522907,0.0490894,0.0323066,0.0571469,0.0573218,0.00367005,0.0382595,0.131717,-0.04106,0.247818,0.120969,0.301492,0.134935,0.04858,0.0716548,0.23966,0.151801,-0.0475004,0.114855,0.084219,0.000230002,0.16242,0.0914412,0.14634,0.146188,0.198965,0.0955494,0.137068,0.0818864,-343628,1.02118
-338781,1,0.266673,4,15,0,338849,-0.00543843,0.974423,-0.0302651,-0.0372956,0.0356028,-0.0258704,-0.0012894,0.0406468,0.0259841,-0.0300166,-0.0119778,-0.0348489,-0.0877546,-9.40221e-05,-0.0166023,-0.0131281,-0.0182346,-0.0216463,-0.0135577,0.000585681,-0.0196678,-0.0788422,-0.0759643,-0.0374418,-0.0599353,-0.0105514,-0.0413375,-0.00837413,-0.0302743,-0.0144871,-0.039886,-0.0598835,0.0422575,-0.00844598,0.0024151,-0.0611327,0.0123923,-0.0362304,0.0176975,0.0242219,-0.0605249,0.0274391,-0.00739061,-0.0170484,-0.0570134,0.0709268,-0.0957104,-0.0615188,-0.0380309,-0.0944616,-0.128694,-0.00407143,0.00834269,-0.0441114,-0.0751908,-0.00323553,0.0799246,0.0999393,0.0522224,0.0929342,0.0212855,0.00087366,0.0857151,0.015487,-0.0266823,-0.00906302,0.0412403,0.066582,-0.00812928,0.0241375,-0.00563541,-0.0954932,-0.0230425,-0.0241748,0.0627517,0.0786606,0.0112324,0.0151529,0.0407061,0.0102635,0.182521,-0.0538742,0.0547827,-0.0371969,0.0136307,0.0353897,0.0116001,-0.0358837,-0.0032765,0.0259758,-0.0915754,0.00487894,0.013754,-0.0184565,-0.0361493,-0.00780524,0.00065566,-0.0496389,0.040941,-0.0173986,0.0418816,0.00230778,0.0424544,0.0272848,0.0232433,0.0473195,0.0562308,0.0532543,0.0488885,0.0568554,0.0718105,0.0360288,-0.000870855,0.028148,0.129388,-0.0471876,0.26178,0.124601,0.287456,0.126289,0.0461315,0.0624332,0.243819,0.149641,-0.0497009,0.0906315,0.0711093,0.00451975,0.162794,0.085313,0.146299,0.153554,0.0850861,0.0911867,0.0962285,0.0667357,-343482,1.02071
-338777,0.982002,0.266673,4,15,0,338839,-0.00337121,0.974605,-0.0169148,-0.0332904,0.0303539,-0.0115718,0.0239695,0.027755,0.0256878,-0.0178869,-0.0356554,-0.0400083,-0.0425992,-0.0309456,-0.0233294,-0.0124496,-0.0120377,-0.0337213,-0.0133061,0.00133026,-0.0680325,-0.0619127,-0.0785981,-0.0371694,-0.0626743,-0.035141,-0.045567,-0.0337627,-0.0503456,0.0203373,-0.0574267,-0.00639498,0.0498933,0.0313924,-0.0253031,-0.0257699,0.0183625,-0.00535505,0.00759289,0.0361983,-0.0683657,0.0124209,-0.0130994,-0.0353815,-0.042763,0.0537168,-0.0737254,-0.0592355,-0.061604,-0.0803373,-0.134959,-0.0170647,-0.0302278,-0.0305643,-0.0782253,0.0096944,0.0879767,0.135973,0.0691261,0.0414897,-0.00550599,0.0151289,0.0834489,-0.0233711,-0.0128187,-0.0360661,0.0518629,0.0609687,0.016088,0.0175319,0.00377381,-0.0666711,4.93872e-05,-0.0168671,0.01741,0.0819728,-0.00560409,0.0506336,0.028197,-0.0140083,0.166445,-0.0349777,0.0580122,-0.0256473,-0.031638,0.0280069,0.021578,-0.00402267,-0.00346415,-0.0303895,-0.107917,0.0125725,0.00725018,-0.0285417,-0.0497623,-0.00464991,-0.0238538,-0.0434151,0.00557953,0.00277975,-0.0103792,-0.0282384,0.0297988,0.0169221,0.0187386,0.0269221,0.0499699,0.0407635,0.0753837,0.027161,0.0655107,0.0499704,-0.0152062,0.0305243,0.127754,-0.0418593,0.247741,0.120089,0.299869,0.130561,0.0442025,0.0676939,0.243897,0.153562,-0.0488973,0.113325,0.0810802,-0.00346499,0.16146,0.093646,0.143873,0.151845,0.197985,0.0795791,0.160736,0.0970521,-343608,1.02122
-338785,0.826071,0.266673,4,15,0,338855,-0.003315,0.974406,-0.0104692,-0.019377,0.0302431,-0.0159328,0.00955206,0.0360416,0.015177,-0.0228773,-0.0105191,-0.0386754,-0.0905954,-0.0112192,-0.0137345,-0.00237891,-0.00503185,-0.0265455,-0.0112186,0.00927818,-0.0273794,-0.0598017,-0.0492853,-0.0473967,-0.0465001,-0.0328225,-0.0462071,-0.0328473,-0.0374991,-0.0235707,-0.0474977,-0.0570202,0.0420357,-0.00457435,-0.00725826,-0.0603291,0.00508404,-0.043504,-0.00394108,0.0136468,-0.0500311,0.0216631,0.00538246,-0.0358029,-0.0412986,0.0714631,-0.0853472,-0.047585,-0.0418894,-0.0756225,-0.11659,-0.0109644,0.00345751,-0.0449041,-0.069676,-0.0115719,0.0966904,0.105427,0.0522144,0.101232,0.027956,0.0220938,0.0887378,0.000986983,-0.0251905,-0.0122617,0.0424386,0.0460814,-0.0102568,0.0183581,-0.0174695,-0.0969561,-0.0205807,-0.0309763,0.0502008,0.0706839,0.0167564,0.0012401,0.0309204,-0.00489341,0.175365,-0.0447061,0.0673029,-0.0426423,0.00973975,0.0452311,0.0398795,-0.0306543,-0.00819008,0.0186422,-0.101273,0.0099157,-0.00485239,-0.0139335,-0.0390786,-0.0214199,-0.00383548,-0.0394491,0.00281176,-0.0241462,-0.0074975,-0.000656002,0.0217325,0.0333432,0.0118472,0.0438363,0.0395045,0.0496712,0.0639382,0.0669509,0.107396,0.0611917,-0.0119909,0.0118873,0.132286,-0.0449465,0.256449,0.125409,0.290182,0.13026,0.048715,0.0668459,0.240411,0.150093,-0.0476144,0.0974208,0.0716559,0.00650835,0.162564,0.0874507,0.151304,0.144762,0.0997604,0.0809496,0.0838075,0.0632871,-343476,1.02069
-338773,0.479437,0.266673,4,15,0,338854,-0.00487744,0.975424,-0.0216058,-0.0352019,0.0248717,-0.00548363,0.010811,0.0202022,0.0259945,0.00307964,-0.0368717,-0.0456661,-0.0821379,-0.00508566,-0.0211382,-0.0080724,-0.0112098,-0.03818,-0.0314093,0.0155172,-0.0386701,-0.0746303,-0.0675837,-0.0352006,-0.059449,-0.0198611,-0.0351161,-0.02293,-0.0446434,-0.0037882,-0.0314254,-0.0378615,0.0350633,-0.00453356,0.00437052,-0.0468901,0.0392419,-0.0423672,-0.00748665,0.0254378,-0.0368204,0.0195186,0.00159318,-0.0164163,-0.0404365,0.0608308,-0.075338,-0.0607864,-0.0388139,-0.0908177,-0.145472,-0.0107362,-0.00981501,-0.0179161,-0.074552,-0.0165834,0.0857875,0.126161,0.0463238,0.0713625,-0.00193408,0.00825822,0.0796966,-0.00875388,-0.0355706,-0.00506378,0.0263045,0.0734725,0.00816583,0.0229366,0.00676143,-0.0826452,-0.0348473,-0.0181404,0.0462207,0.0775281,-0.0115722,0.0206292,0.0275613,0.00266046,0.174183,-0.0531725,0.0602669,-0.0459123,-0.00209354,0.036058,0.0202882,-0.017234,-0.00683883,-0.00214841,-0.0901346,0.00268443,-0.000260508,-0.013062,-0.0385995,-0.00589423,-0.0222708,-0.0172783,0.000519944,-0.00674945,-0.0162051,0.000275061,0.0183126,0.0321322,0.0308122,0.0329933,0.0664271,0.0800822,0.0705527,0.0665628,0.106844,0.0415468,-0.0152995,0.0166137,0.13366,-0.0382106,0.254775,0.121862,0.290304,0.132664,0.0479611,0.0645527,0.241216,0.150161,-0.0489034,0.101436,0.0804744,0.000646943,0.159214,0.0954896,0.14496,0.154345,0.218311,0.0622014,0.179713,0.0819041,-343533,1.02101
