# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_hreg_model
# start_datetime = 2025-03-23 20:43:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/tv311lc7.json
# init = 2 (Default)
# random
#   seed = 72236
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens.h-nondens/h2reg-hreg-20250323154325_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg-hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,mu_inner_beta,sigma_inner_beta,betad.1.1,betad.2.1,betad.3.1,betad.4.1,betad.5.1,betad.6.1,betad.7.1,betad.8.1,betad.9.1,betad.1.2,betad.2.2,betad.3.2,betad.4.2,betad.5.2,betad.6.2,betad.7.2,betad.8.2,betad.9.2,mu_betad.1,mu_betad.2,sigma_betad.1,sigma_betad.2,log_p,rmse
# Adaptation terminated
# Step size = 0.279022
# Diagonal elements of inverse mass matrix:
# 1.28658e-05, 1.12208e-05, 0.000103, 0.000105517, 0.000110602, 0.000105657, 0.00010194, 0.000115733, 0.000117885, 0.000124274, 0.000123854, 0.000131943, 0.000183589, 0.000174309, 0.000184518, 0.000162288, 0.000155114, 0.00012014, 0.000116002, 0.000160052, 0.000108309, 0.000163579, 9.06559e-05, 9.90257e-05, 9.87455e-05, 0.000101385, 9.56922e-05, 0.000154288, 0.000118994, 0.000109718, 0.000117199, 0.000125125, 0.000100746, 0.000129836, 0.000107568, 0.00010338, 0.000107316, 0.00013887, 0.000166608, 0.000190591, 0.00017204, 0.000149317, 0.000126689, 0.000110948, 0.000145625, 0.000121087, 0.000129956, 0.000418618, 0.000384272, 0.000313298, 0.000546494, 0.000234731, 0.102033, 0.0734875, 0.0992178, 0.0922968, 0.1034, 0.000702126, 0.350734, 4.31153e-05, 3.33838e-05, 4.06161e-05, 3.61789e-05, 5.13338e-05, 4.36422e-05, 2.92294e-05, 3.28699e-05, 2.72421e-05, 2.76184e-05, 3.91567e-05, 3.70603e-05, 3.37683e-05, 2.90433e-05, 4.40632e-05, 4.23345e-05, 3.65964e-05, 3.35284e-05, 0.00194219, 0.00110134, 0.0706091, 0.0802978
-169564,0.863636,0.279022,4,15,0,169606,-0.00935375,0.974117,-0.0545674,-0.0401508,-0.0932229,-0.133343,0.0102669,-0.0178353,-0.0412174,-0.0845515,0.0160335,0.092944,0.111911,0.0355204,0.0790269,-0.00292978,-0.00690938,0.101341,-0.0267486,-0.0312975,-0.0311016,0.0449896,0.0607604,-0.0203104,0.0388947,-0.00968289,-0.0957821,-0.0150379,-0.0223192,0.0530593,0.0522132,0.0100261,0.0180368,0.0277442,0.00984769,0.163263,-0.0199905,0.0587858,-0.0462791,-0.00275902,0.0396299,0.00924296,-0.0214856,0.00439007,0.00861282,-0.111627,0.0225833,-0.0169315,0.0197249,0.00298176,0.0332744,-0.0230978,0.0529574,0.0691151,0.0414704,0.0659757,0.0518397,0.00455149,0.0475061,0.213798,-0.049375,0.256289,0.121313,0.2828,0.134208,0.0474232,0.0514137,0.223001,0.150867,-0.0558295,0.0813548,0.0690916,0.00838391,0.169243,0.0855525,0.147275,0.161994,0.152725,0.0565967,0.0783845,0.105983,-171095,1.01745
-169573,0.877911,0.279022,4,15,0,169617,-0.00362309,0.97445,-0.0590235,-0.0284187,-0.0818396,-0.138781,-0.000768064,-0.0147444,-0.0313968,-0.0902448,0.0148092,0.0951673,0.0990505,0.0549814,0.0824488,-0.0104635,0.000617418,0.0874299,-0.00502351,-0.0147226,-0.0322807,0.0433513,0.0945062,-0.01158,0.0554033,0.0156999,-0.0889352,0.00938679,-0.0198979,0.049794,0.0748163,0.025567,0.0308957,0.0415337,-0.00171159,0.160632,-0.0132304,0.0607362,-0.0281382,-0.00320393,0.00623937,0.0201095,-0.0084207,-0.0111938,0.0335969,-0.118898,0.00743586,0.000746774,0.0529418,-0.00375578,0.0326544,-0.0307558,0.0759783,0.0782932,0.0582194,0.0649436,0.0847853,0.0128494,0.0237362,0.197732,-0.0457367,0.252992,0.123285,0.284568,0.14946,0.0465099,0.0557987,0.23054,0.161592,-0.0368006,0.0835079,0.0744658,0.00511197,0.16598,0.0817561,0.156912,0.163073,0.11386,0.126471,0.150088,0.0976255,-171125,1.01771
-169571,0.982663,0.279022,4,15,0,169613,-0.00785776,0.973052,-0.0776448,-0.0368726,-0.102111,-0.144766,0.00152994,-0.0155049,-0.0459659,-0.0756567,0.0205913,0.0973212,0.093019,0.0542933,0.0818156,0.000416271,-0.00207958,0.0698977,0.00412317,-0.0242031,-0.014326,0.0328238,0.0691404,0.0187322,0.037348,0.0250243,-0.0838232,0.012268,-0.00600608,0.0563739,0.0566268,0.0117333,0.0139144,0.0373629,0.0160112,0.171909,-0.0260368,0.0501397,-0.0336459,-0.0161267,0.0287729,0.0121776,-0.0306995,-0.0029812,-0.00283204,-0.118608,0.00406165,-0.00146791,0.0115931,0.0196402,0.0155417,0.0219791,0.0886073,0.106511,0.0351849,0.08628,0.0304366,0.00650735,0.0170058,0.204612,-0.0560392,0.243727,0.118097,0.287279,0.137159,0.0452985,0.0459589,0.225402,0.152381,-0.0477126,0.084027,0.0660799,0.00451131,0.161585,0.0746512,0.144094,0.158527,0.137188,0.046802,0.0966039,0.0570801,-171030,1.01685
-169558,0.204334,0.279022,4,15,0,169602,-0.00406722,0.973425,-0.076648,-0.0296422,-0.114259,-0.14204,0.00117448,-0.0174549,-0.0504404,-0.0697742,0.0202369,0.0977489,0.0901918,0.0594855,0.072784,0.00219381,0.00692746,0.0702156,0.0023821,-0.0240981,-0.0179243,0.0371369,0.0559816,0.0128944,0.0357426,0.0178643,-0.0774001,0.0176131,-0.0159628,0.0504844,0.0598528,0.0170459,0.00902641,0.037411,0.0131727,0.168516,-0.0164108,0.0534216,-0.0313604,-0.0223348,0.0236461,0.0122528,-0.0307127,0.00858729,0.000399107,-0.116725,0.00678532,-0.000556146,0.0182001,0.0178605,0.0217493,0.0139142,0.0818297,0.10502,0.0452084,0.0910558,0.0386508,0.0194398,0.0123483,0.20592,-0.0474762,0.248483,0.122094,0.28653,0.138304,0.0461451,0.0515626,0.227718,0.154185,-0.0426974,0.0763404,0.0640888,0.00276013,0.162223,0.0742625,0.147992,0.157873,0.105692,0.0825909,0.111769,0.0728302,-171035,1.01691
-169557,0.710894,0.279022,4,15,0,169593,-0.00498368,0.973822,-0.0725557,-0.0289538,-0.0964806,-0.141614,-0.00180998,-0.0190408,-0.0500541,-0.0723153,0.00857973,0.0980635,0.100708,0.0555722,0.0652928,0.000648463,0.0110486,0.0785416,-0.0122854,-0.0258014,-0.0207668,0.0331369,0.0543812,0.00607164,0.0457281,0.020361,-0.0830954,-0.00140757,-0.0311014,0.047921,0.0568626,0.0290177,0.0124814,0.0249363,0.00273954,0.167336,-0.0296404,0.0505748,-0.0310716,-0.0232081,0.0222657,-0.00512304,-0.0282674,0.0202619,-0.00388316,-0.104002,0.0180418,0.0103064,0.0263021,0.0121927,0.0289063,-0.00415075,0.0616751,0.0756461,0.0608621,0.0553069,0.0433198,0.0190382,0.012728,0.210685,-0.0489288,0.257673,0.117395,0.283298,0.131496,0.0544998,0.0474665,0.23287,0.158501,-0.0339586,0.0741898,0.0726121,0.00385946,0.162844,0.0763126,0.157968,0.158362,0.106469,0.0904954,0.12081,0.0823376,-171074,1.01726
-169557,0.434053,0.279022,4,15,0,169599,-0.00517596,0.974087,-0.0529451,-0.060049,-0.0929852,-0.119615,0.00310354,-0.00172104,-0.0429082,-0.0993035,7.47006e-05,0.0959442,0.107236,0.0539952,0.0703509,0.00878016,-0.0190209,0.0823856,-0.00040183,-0.00946018,-0.00544695,0.0665225,0.063526,-0.0107589,0.00327827,0.00279221,-0.0671404,-0.00849084,-0.0018634,0.059567,0.0833278,-0.0197051,0.0257436,0.0452059,-0.00267639,0.172765,-0.0187418,0.0655457,-0.032756,-0.00403666,0.0248241,0.0320807,0.000640415,-0.0270466,0.00307879,-0.0975006,0.00142316,-0.0260372,0.0500785,-0.00217219,0.0383947,-0.0272301,0.108373,0.0461537,0.0334078,0.0681169,0.0442998,-0.0126955,0.0368445,0.200837,-0.050469,0.258193,0.114428,0.287271,0.143702,0.0419166,0.0550268,0.227539,0.154918,-0.0510615,0.0867804,0.0673905,0.0100536,0.170679,0.0901049,0.153594,0.161376,0.148531,0.066279,0.124059,0.0786439,-171136,1.01777
