# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_hreg_model
# start_datetime = 2025-04-21 08:03:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/rumovfi5.json
# init = 2 (Default)
# random
#   seed = 11565
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens.h-nondens/h2reg-hreg-20250421030307_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg-hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,mu_inner_beta,sigma_inner_beta,betad.1.1,betad.2.1,betad.3.1,betad.4.1,betad.5.1,betad.6.1,betad.7.1,betad.8.1,betad.9.1,betad.1.2,betad.2.2,betad.3.2,betad.4.2,betad.5.2,betad.6.2,betad.7.2,betad.8.2,betad.9.2,mu_betad.1,mu_betad.2,sigma_betad.1,sigma_betad.2,log_p,rmse
# Adaptation terminated
# Step size = 0.236789
# Diagonal elements of inverse mass matrix:
# 1.12915e-05, 1.05339e-05, 9.86364e-05, 0.000101452, 8.41962e-05, 9.55454e-05, 0.000122635, 8.78821e-05, 0.000111147, 9.97156e-05, 0.000127124, 0.000136867, 0.000103892, 0.00011866, 0.000119599, 0.000134534, 0.000127377, 0.000114313, 0.00010548, 0.000127685, 0.000139713, 0.000123696, 0.000171254, 0.000147542, 0.000148298, 0.0001692, 0.000165116, 0.000183634, 0.000202837, 0.00016546, 0.000216492, 0.000159498, 0.000137321, 0.000103725, 0.000100398, 0.000110958, 0.000115812, 0.000124168, 0.000115829, 0.000128243, 0.000136636, 0.0001309, 9.8602e-05, 8.11789e-05, 0.000103559, 8.95447e-05, 0.000122721, 9.14873e-05, 9.85089e-05, 0.000100477, 0.000103993, 9.46579e-05, 0.000125235, 0.000118589, 0.000121076, 0.000157625, 0.0001464, 0.000123273, 0.000134083, 0.00012489, 0.000130436, 0.000129121, 0.00011271, 8.63694e-05, 0.000109737, 0.000106271, 0.000118012, 0.000123536, 0.000103798, 0.000110309, 0.000117213, 9.02169e-05, 0.000121569, 0.00011491, 0.000160742, 0.00017724, 0.000160473, 0.000130181, 0.000182073, 0.000155352, 0.000174256, 0.000191972, 0.000115361, 0.000114759, 0.00012462, 0.000112521, 0.000125657, 0.00011317, 0.000118991, 9.31224e-05, 0.000144961, 0.000129511, 0.000128725, 8.7445e-05, 0.000137465, 0.000154538, 0.000289616, 0.000300224, 0.000481688, 0.000236276, 0.00058057, 0.000187137, 0.0802763, 0.114228, 0.158535, 0.107244, 0.0914123, 0.0780763, 0.114981, 0.0905773, 0.0925959, 0.0864894, 0.000142044, 0.165938, 2.02109e-05, 2.08709e-05, 2.1067e-05, 2.22641e-05, 2.67399e-05, 2.65589e-05, 2.64495e-05, 2.34721e-05, 2.03952e-05, 1.96414e-05, 2.09663e-05, 2.27626e-05, 2.28605e-05, 2.05452e-05, 2.52771e-05, 2.58846e-05, 2.45394e-05, 2.19434e-05, 0.00167951, 0.000753895, 0.0687631, 0.0700448
-338773,0.966257,0.236789,4,15,0,338847,-0.00534233,0.973148,-0.0191286,-0.0319173,0.0107809,-0.0205628,0.0177595,0.0352379,0.0155147,-0.0289836,-0.0236857,-0.0441553,-0.0671954,-0.00591823,-0.0133593,-0.00174897,-0.021375,-0.0366883,-0.014757,0.0142153,-0.0541502,-0.0664716,-0.0790686,-0.0321532,-0.0579541,-0.0313536,-0.059842,-0.019281,-0.0455333,0.00943502,-0.040162,-0.032096,0.0405741,0.00189513,-0.0150754,-0.0427988,0.00874376,-0.0175308,0.0343649,0.0441123,-0.0544879,0.00831396,0.00821153,-0.0369233,-0.0362221,0.0487463,-0.0818962,-0.0715558,-0.0372711,-0.0990784,-0.148033,-0.0148794,0.0035186,-0.0296809,-0.0661205,0.00480005,0.0697046,0.133131,0.0524804,0.0847505,0.00327665,0.0179069,0.0901834,-0.000259822,-0.0262303,-0.0164623,0.0327901,0.065439,0.0175576,0.0389375,0.0126987,-0.0831505,-0.0158738,-0.015014,0.0307105,0.0956244,0.00533163,0.034143,0.036522,-0.0100888,0.168541,-0.0263626,0.0610539,-0.016361,-0.0303896,0.0262222,0.0041766,-0.00748509,0.010326,0.0147893,-0.0760737,-0.00140738,0.00338256,-0.022467,-0.0413582,-0.0154064,0.0195689,-0.0271381,0.0512004,-0.0295497,0.0593853,-0.00805461,0.0263874,0.029369,0.0154508,0.0293514,0.0573401,0.0960789,0.0936982,0.0425222,0.0654031,0.037653,0.00192473,0.0460525,0.128923,-0.0421254,0.251834,0.123025,0.292791,0.129503,0.0454538,0.0661952,0.243424,0.151904,-0.0535421,0.101793,0.073103,-0.00278389,0.166701,0.0865955,0.139936,0.145911,0.0879632,0.121062,0.101706,0.100091,-343544,1.02083
-338767,0.970955,0.236789,4,15,0,338833,-0.00395511,0.974886,-0.0271427,-0.0328073,0.062777,-0.0230747,0.0232409,0.0405028,0.040521,-0.0230601,-0.0327635,-0.0247245,-0.065862,-0.023618,-0.0253691,-0.0140639,-0.00615969,-0.012407,-0.00747122,-0.0103988,-0.0277781,-0.0718343,-0.0674502,-0.0577454,-0.0652238,-0.0198009,-0.0280551,-0.0306519,-0.0349602,0.00248645,-0.0569388,-0.0366936,0.0528443,0.0163424,-0.0101477,-0.041081,0.0083075,-0.0280775,0.00148085,0.010843,-0.071664,0.022016,-0.0236818,-0.0163354,-0.063428,0.0679372,-0.0770572,-0.0582107,-0.0546565,-0.0741855,-0.126115,-0.0121239,-0.0032049,-0.0496732,-0.0785098,-0.0127878,0.0843449,0.105994,0.0697601,0.0608536,0.0102653,0.00365319,0.0870994,-0.0122498,-0.0135615,-0.0198661,0.0658281,0.0548208,-0.00627469,0.0133755,-0.0243705,-0.0823472,0.00427874,-0.0361785,0.0507802,0.0715596,0.0219587,0.0349344,0.0248791,0.0056958,0.187227,-0.0397161,0.0483566,-0.0405081,0.0103448,0.0200811,0.0283212,-0.0278553,-0.0219302,-0.0229094,-0.100438,0.0182833,-0.0144163,-0.0159073,-0.0416603,-0.00252404,-0.0327116,-0.0492962,0.0136927,0.0246936,0.00744307,-0.0208997,0.0461067,0.0202845,0.0236606,0.0432832,0.0512919,0.0367965,0.0416681,0.0639963,0.0719931,0.0311317,-0.0147537,0.0206917,0.132147,-0.0449397,0.256111,0.121531,0.294139,0.131383,0.0494396,0.0669479,0.242287,0.150415,-0.0429539,0.105203,0.0805617,0.00371865,0.158709,0.0931945,0.15344,0.153555,0.211156,0.0807642,0.131889,0.0912547,-343587,1.02117
-338772,0.687597,0.236789,4,15,0,338838,-0.00635853,0.972481,-0.0340212,-0.0246786,0.059817,-0.0246011,0.0226245,0.0558038,0.0329891,-0.0163595,-0.0377578,-0.0301912,-0.0627317,-0.00825219,-0.0287104,-0.00495811,-0.0188758,-0.0169824,-0.00426027,0.00225323,-0.0343268,-0.0693353,-0.0679694,-0.0514705,-0.0658642,-0.0281952,-0.0296896,-0.0294357,-0.0299472,0.00104231,-0.0466525,-0.0432804,0.0436277,0.0112784,-0.0115411,-0.0506065,0.0139447,-0.0282562,0.00226792,0.0204692,-0.0686835,0.0205417,-0.0301607,-0.0202347,-0.0490256,0.0740391,-0.0697167,-0.0600704,-0.0508752,-0.0908307,-0.121968,-0.0265761,-0.00300022,-0.0557156,-0.0676687,0.00305284,0.0684052,0.105704,0.0629647,0.0584938,0.00857784,0.0107191,0.104805,-0.00677324,-0.0118879,-0.0141622,0.0627288,0.0646937,-0.00754136,0.00430038,-0.0153181,-0.0914108,0.00271013,-0.0311084,0.049987,0.0580606,0.0186026,0.0344347,0.0277157,0.00769678,0.172532,-0.0315595,0.048629,-0.0450037,-0.00461162,0.0357186,0.0137892,-0.0317046,-0.0190307,-0.0239614,-0.0969234,0.0264636,-0.0308456,-0.0265415,-0.0503068,-0.00286487,-0.0325981,-0.037815,0.02706,0.0322439,0.00482836,-0.0255816,0.063719,0.0199858,0.0170218,0.0313526,0.0562706,0.03075,0.0426505,0.0601718,0.0726143,0.0350233,-0.0226502,0.0287019,0.12934,-0.0442894,0.258744,0.122339,0.293096,0.131684,0.0461038,0.0697831,0.240492,0.153703,-0.0454538,0.108684,0.081896,0.00258767,0.163783,0.0963592,0.146806,0.149394,0.166541,0.100315,0.130272,0.105816,-343630,1.02111
-338773,0.933736,0.236789,4,15,0,338839,-0.00302982,0.973206,-0.00817894,-0.0352161,0.0540394,-0.00660258,0.0105845,0.0592102,0.0146329,-0.0276154,-0.03535,-0.0425927,-0.0572091,-0.014627,-0.0367405,-0.0124428,-0.0298326,-0.0301433,-0.0255268,0.0152428,-0.0416088,-0.0642538,-0.0812533,-0.0414797,-0.0741528,-0.0302244,-0.0300669,-0.031052,-0.0442499,0.00694458,-0.0361096,-0.0439385,0.0579256,0.00782105,-0.0147792,-0.0519383,-0.00344544,-0.023805,0.00915444,0.0278297,-0.0650195,0.00490856,-0.0183707,-0.0362833,-0.0565609,0.0703716,-0.085397,-0.0568912,-0.0510843,-0.0604015,-0.127245,-0.00780109,-0.0134285,-0.0350675,-0.0919593,-0.00372446,0.0963581,0.107662,0.0742299,0.0548135,0.0176079,0.0232735,0.0773815,-0.006279,0.000776447,-0.0199265,0.0531122,0.0754657,0.0177263,0.0124038,0.0137061,-0.095668,0.012882,-0.0377088,0.0496315,0.0472336,0.0118215,0.0312532,0.0203898,0.01057,0.172263,-0.0568464,0.0679802,-0.0360194,-0.00658264,0.0156075,0.00592916,-0.0052308,-0.0221389,-0.00868645,-0.0897638,0.0144452,-0.0191815,-0.0209503,-0.0418861,-0.00250938,-0.0250156,-0.0188496,0.0421528,0.0206931,-0.00990808,-0.000719828,0.0436648,0.0231976,0.0188832,0.0329132,0.0476039,0.0598042,0.0603917,0.0452054,0.0765181,0.0399027,-0.00404873,0.0251621,0.133162,-0.0425631,0.254727,0.122016,0.292768,0.132088,0.0432589,0.0666399,0.243966,0.152907,-0.0498549,0.105843,0.085663,0.00612023,0.163877,0.0926298,0.147002,0.150941,0.15844,0.101032,0.0933098,0.0864339,-343677,1.02136
-338778,0.787627,0.236789,4,15,0,338848,-0.00285896,0.975662,-0.0417096,-0.0314978,0.0302707,-0.0305634,0.0211611,0.020529,0.0470965,-0.0269078,-0.0170736,-0.0345083,-0.0667225,-0.0181925,-0.00978894,-0.0127361,-0.00597959,-0.0226971,-0.00369195,-0.0155631,-0.0392194,-0.075151,-0.0845168,-0.0268703,-0.047001,-0.00821416,-0.0604075,-0.0075429,-0.0342969,-0.000915174,-0.058769,-0.0197942,0.0261669,0.0103822,-0.0105522,-0.0380873,0.0288328,-0.0262289,0.0235888,0.0331734,-0.0564747,0.0328183,0.00192975,-0.0241089,-0.0498675,0.0551061,-0.0865845,-0.0681888,-0.0505798,-0.10561,-0.138319,-0.010354,-0.00175556,-0.0422038,-0.0730235,0.0171688,0.0672101,0.135133,0.0433883,0.0847391,0.00278009,-0.0165273,0.084521,0.00622935,-0.0375392,-0.0200479,0.0446015,0.0477795,-0.00757597,0.0237935,-0.0120921,-0.0699451,-0.0210807,-0.00839691,0.0243472,0.110845,-0.00203295,0.034617,0.0477328,-0.0161553,0.174213,-0.0326574,0.0451582,-0.0283672,-0.013736,0.0389444,0.0191364,-0.0237302,0.0180685,-0.00661978,-0.100376,-0.00600441,0.00787639,-0.01779,-0.0341658,-0.0217604,0.00410376,-0.0531757,0.0282537,-0.0269084,0.00128422,-0.0268451,0.0360367,0.0184106,0.0281491,0.0295113,0.066523,0.0460508,0.0986949,0.0498239,0.134645,0.0527897,-0.0223078,0.025301,0.125079,-0.0447807,0.253954,0.12526,0.295869,0.12958,0.05181,0.0674382,0.240078,0.148118,-0.0452625,0.0991034,0.0721334,-0.00310817,0.163107,0.0906131,0.147938,0.149761,0.121496,0.0866907,0.129145,0.0689641,-343473,1.02079
-338773,0.947628,0.236789,4,15,0,338846,-0.00555962,0.975941,-0.00319236,-0.0437565,0.0515013,-0.00346179,0.00702874,0.0650883,0.014667,-0.0197905,-0.0278448,-0.0404424,-0.0606576,-0.00704914,-0.0261533,-0.0113625,-0.0208745,-0.0271216,-0.0229089,0.0249842,-0.0469945,-0.060318,-0.0653256,-0.0466923,-0.0749139,-0.0399405,-0.0266364,-0.0369377,-0.0456219,0.0055467,-0.0355808,-0.0391261,0.0561125,0.00805404,-0.0126572,-0.0432584,-0.00578125,-0.0127199,0.00339395,0.0280108,-0.0698682,0.00216706,-0.0208625,-0.0308095,-0.0474132,0.0668555,-0.0848895,-0.051622,-0.0503049,-0.0750767,-0.130152,-0.00914366,-0.0124518,-0.03257,-0.0822718,-0.00945707,0.0983758,0.0998052,0.0757919,0.0533454,0.00954308,0.0306136,0.0831423,-0.0108471,-0.00564279,-0.026104,0.0492962,0.0710092,0.0136097,0.0214708,0.00812884,-0.100257,-0.0066255,-0.0405223,0.0521288,0.0474735,0.0136269,0.0291382,0.0223624,0.0121993,0.172503,-0.050111,0.0667163,-0.0346257,-0.00524787,0.0226239,0.010565,-0.0151167,-0.0199513,0.00272424,-0.0906451,0.019625,-0.00328759,-0.0299686,-0.0516661,-0.00103417,-0.0115866,-0.0274092,0.0216464,0.00357139,0.0505466,0.000812557,0.0392117,0.027073,0.0168067,0.028275,0.0485441,0.0593973,0.0421925,0.0704312,0.0486294,0.03097,-0.00711445,0.0215424,0.132741,-0.043045,0.254963,0.119682,0.297483,0.130813,0.0411992,0.0687171,0.242694,0.150932,-0.0522716,0.102403,0.0773613,0.00733804,0.162288,0.0888759,0.14741,0.146861,0.161272,0.0974275,0.131987,0.0831474,-343546,1.0211
