# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_hreg_model
# start_datetime = 2025-03-23 20:43:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/tv311lc7.json
# init = 2 (Default)
# random
#   seed = 72236
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens.h-nondens/h2reg-hreg-20250323154325_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg-hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,mu_inner_beta,sigma_inner_beta,betad.1.1,betad.2.1,betad.3.1,betad.4.1,betad.5.1,betad.6.1,betad.7.1,betad.8.1,betad.9.1,betad.1.2,betad.2.2,betad.3.2,betad.4.2,betad.5.2,betad.6.2,betad.7.2,betad.8.2,betad.9.2,mu_betad.1,mu_betad.2,sigma_betad.1,sigma_betad.2,log_p,rmse
# Adaptation terminated
# Step size = 0.248143
# Diagonal elements of inverse mass matrix:
# 1.27886e-05, 1.13281e-05, 0.000108442, 0.000103279, 0.000121909, 0.000118622, 0.000109756, 0.000135457, 0.000111746, 0.000128121, 0.000131776, 0.000106493, 0.000185898, 0.000185529, 0.000132191, 0.000148891, 0.000162347, 0.000125461, 0.000113996, 0.000154806, 0.000120746, 0.0001366, 0.000107904, 8.7135e-05, 9.59902e-05, 0.000105257, 9.73368e-05, 0.000118354, 0.000129354, 0.000140266, 0.000104697, 0.000117309, 0.000100335, 0.000103896, 0.000118208, 0.000119795, 0.000104523, 0.000149629, 0.000156346, 0.000182801, 0.000196162, 0.000153385, 0.000122081, 0.000134999, 0.000113691, 0.000142033, 0.000120679, 0.000372493, 0.000397492, 0.000247172, 0.00053013, 0.000234167, 0.0900503, 0.088654, 0.0960484, 0.0828644, 0.0718051, 0.000938293, 0.350949, 4.21849e-05, 2.94827e-05, 3.74477e-05, 3.41321e-05, 5.35134e-05, 5.04025e-05, 3.0629e-05, 3.23743e-05, 2.7155e-05, 3.19545e-05, 3.97318e-05, 3.75535e-05, 3.45244e-05, 3.3099e-05, 3.81411e-05, 3.82127e-05, 3.62068e-05, 3.2876e-05, 0.00241115, 0.000906002, 0.0920227, 0.078426
-169553,0.843765,0.248143,4,15,0,169589,-0.0073565,0.972375,-0.0545871,-0.0378829,-0.0709248,-0.116341,-0.0176416,0.00330923,-0.0567187,-0.0768824,0.00566373,0.0894983,0.102426,0.0408281,0.0805319,0.00706854,-0.00510289,0.0718595,-0.00559562,-0.0214057,-0.0128322,0.0495345,0.0512672,-0.0149114,0.0259722,0.0235169,-0.0663931,-0.00214742,0.00178586,0.0383561,0.076472,0.0152423,0.0419027,0.0331975,0.00469798,0.166232,-0.0489436,0.0428967,-0.0406312,-0.0169999,0.022159,0.0149072,-0.00159085,0.000163596,0.0154946,-0.121333,0.0101126,-0.048445,0.030641,-0.017245,0.0150065,-0.00326123,0.0423088,0.0447031,0.0494259,0.0722193,0.0400693,0.0123652,0.0340473,0.210656,-0.0532361,0.259347,0.116588,0.289642,0.138924,0.0464716,0.0472432,0.229412,0.1514,-0.0510662,0.0759581,0.0670593,0.00594131,0.166312,0.0850784,0.161832,0.152979,0.166275,0.109292,0.105916,0.064649,-171090,1.01725
-169551,0.95452,0.248143,4,15,0,169588,-0.00779465,0.976096,-0.0669147,-0.0533823,-0.113001,-0.136667,0.0104268,-0.0244906,-0.0302136,-0.0971889,0.00373351,0.106639,0.108138,0.0682578,0.0560316,0.00599318,0.000479325,0.0900691,-0.00522423,-0.02089,-0.011873,0.041464,0.0627173,0.012924,0.0253521,-0.00307877,-0.0866853,-0.00677302,-0.0322998,0.06661,0.0705781,-0.00492152,0.0151588,0.0411082,-0.00379625,0.181034,-0.00907036,0.0700084,-0.0284858,-0.0132848,0.0320537,0.0151857,-0.0227699,-0.00333312,-0.0133451,-0.100282,0.0124229,-0.0411019,0.0415733,0.0209749,0.0575949,-0.0135767,0.0534624,0.0489229,0.0525239,0.0534798,0.0603735,0.0230939,0.0394585,0.206773,-0.0520911,0.250511,0.118866,0.284994,0.144683,0.0469672,0.0535365,0.233593,0.167604,-0.0389866,0.0776889,0.0731941,0.00918596,0.16624,0.0799508,0.152474,0.164524,0.134893,0.0870024,0.114827,0.0983618,-171175,1.01825
-169553,0.889894,0.248143,4,15,0,169594,-0.00880244,0.975468,-0.0535711,-0.041504,-0.0621311,-0.122208,-0.014277,-0.000718953,-0.0498086,-0.0848122,0.00208311,0.0949483,0.0938199,0.0464722,0.0746719,0.00673744,0.00326365,0.0771557,-0.00347838,-0.00677188,-0.0234228,0.0566621,0.0641714,-0.010936,0.0290241,0.0202217,-0.0666851,-0.00772008,-0.000397123,0.0469932,0.0686857,-0.000669145,0.0441576,0.0293521,-0.00692913,0.15438,-0.0468272,0.0538893,-0.0466929,-0.00968507,0.00808007,0.0240603,-0.000108917,-0.00205281,0.0145293,-0.108137,0.0111053,-0.0455194,0.0485224,-0.00542687,0.00979538,-0.0146193,0.0526531,0.0479634,0.0423937,0.0679483,0.0372538,-0.0263789,0.0494255,0.203928,-0.0529259,0.262797,0.115679,0.285683,0.133624,0.0459269,0.0514664,0.229609,0.151247,-0.0477554,0.0775397,0.0642161,0.00170682,0.169057,0.0838803,0.156849,0.151114,0.149125,0.0676848,0.122128,0.078091,-171001,1.01682
-169555,0.879942,0.248143,4,15,0,169589,-0.00461294,0.972462,-0.0576211,-0.0535405,-0.0913419,-0.140078,0.0133171,-0.0105329,-0.0444456,-0.0739952,-0.0116853,0.0990442,0.107105,0.0742322,0.0884587,0.0123501,0.0130201,0.0748895,-0.0168361,-0.00644766,-0.0136647,0.04434,0.046972,-0.0196247,0.0285656,-0.00371256,-0.0738469,0.0142045,-0.0170695,0.0643348,0.0638566,0.014323,0.0322926,0.0434541,-9.57168e-05,0.173798,-0.0381998,0.0636858,-0.0266005,-0.027933,0.00269854,0.0171505,-0.0234229,-0.0108347,-0.00266412,-0.112581,0.0188967,-0.0188765,0.0355119,-0.0238832,0.0188302,-0.0269042,0.0516052,0.038428,0.0558085,0.066935,0.0492955,0.00974413,0.0250412,0.212487,-0.054264,0.25805,0.123698,0.290458,0.141795,0.0453655,0.0559909,0.2351,0.16177,-0.0388291,0.07794,0.0705095,0.000723087,0.161742,0.0798007,0.151168,0.15769,0.144965,0.095893,0.0935749,0.0883939,-171204,1.01815
-169561,0.816201,0.248143,4,15,0,169596,-0.00636361,0.97339,-0.0584813,-0.0459553,-0.102941,-0.108075,-0.0188148,-0.0129027,-0.0474922,-0.0741906,0.0129835,0.102203,0.116602,0.0698374,0.0457655,0.0149236,-0.000852694,0.0748798,0.000979526,-0.019967,-0.0242045,0.0540562,0.0746392,-0.0121467,0.0206202,0.00120078,-0.063862,0.00936083,-0.00909721,0.0632664,0.0811201,0.00740494,0.0355518,0.0312003,-0.00708135,0.168885,-0.0488352,0.0451953,-0.0398503,-0.018345,0.038452,0.031431,-0.00726367,0.000376647,0.0125858,-0.105106,0.0191969,-0.0202791,0.0455771,0.0129503,0.0241646,0.0160227,0.0696011,0.0489493,0.0541369,0.0863629,0.0347808,-0.00728312,0.0292868,0.204872,-0.0599278,0.260152,0.114015,0.284781,0.143263,0.0446096,0.040882,0.230306,0.162753,-0.0424112,0.0862233,0.0653816,0.0152172,0.172388,0.0869875,0.162287,0.167273,0.173266,0.0640295,0.147897,0.0745822,-171177,1.01802
-169562,0.999126,0.248143,4,15,0,169598,-0.00518605,0.974871,-0.0605946,-0.0632797,-0.0984017,-0.121564,0.00135883,-0.0243788,-0.0368522,-0.082513,0.019887,0.108619,0.102708,0.0505412,0.0733389,0.0212658,0.00544421,0.104929,-0.00454277,-0.0162926,-0.0209477,0.0471416,0.0621261,0.00872458,0.0328146,0.0140719,-0.0730837,-0.00606914,0.000525283,0.075854,0.0754706,0.0033696,0.0358243,0.0390668,0.0115661,0.180419,-0.0340543,0.0520379,-0.0236586,-0.0156528,0.0347975,0.0203587,-0.0188843,-0.0216723,0.00267533,-0.112888,0.0201027,-0.0460949,0.0406542,0.0282614,0.0133565,0.00489994,0.0760439,0.0358811,0.0352751,0.0886413,0.0594102,0.0344254,0.0330539,0.201655,-0.0575488,0.253147,0.123336,0.275619,0.130314,0.0456976,0.0492675,0.226076,0.157816,-0.0423086,0.0840641,0.0738438,0.0127718,0.170399,0.0822217,0.16165,0.157571,0.0834244,0.0930147,0.0825686,0.122345,-171062,1.01725
-169563,1,0.248143,4,15,0,169604,-0.00522834,0.974412,-0.0549872,-0.050498,-0.106587,-0.106287,0.00890194,0.00107589,-0.0431457,-0.0848635,-0.0196957,0.08302,0.109225,0.058046,0.0362064,0.0273286,0.00464256,0.0655626,0.00875021,-0.0224826,-0.0198804,0.056099,0.0423811,-0.00732162,0.0351092,0.0043176,-0.0627644,-0.00831358,-0.025711,0.0504306,0.0722159,-0.00251505,0.0162369,0.0444191,0.0202355,0.164848,-0.00872371,0.0640266,-0.0319966,-0.00460637,0.0327257,0.0033794,-0.00970326,0.01383,-0.00480281,-0.0994606,0.0165581,-0.0394732,0.0475455,-0.011596,0.0313112,-0.00337794,0.0423054,0.051551,0.0440096,0.0516746,0.0327453,-0.0232946,0.056462,0.21077,-0.0495516,0.251622,0.1108,0.285006,0.139648,0.0479346,0.049581,0.223238,0.157621,-0.0438172,0.0871232,0.0691624,0.00635051,0.16734,0.0848092,0.147475,0.166271,0.200978,0.0934688,0.145424,0.0413956,-171051,1.01713
-169554,0.993084,0.248143,4,15,0,169594,-0.00597388,0.974096,-0.0863007,-0.0404113,-0.0970077,-0.13572,-0.00167446,0.0036273,-0.0418416,-0.0679586,0.000723405,0.10921,0.111173,0.0507275,0.0809451,0.019253,0.0116208,0.0737996,0.00909815,-0.00558044,-0.0190488,0.0499288,0.0469536,-0.000903266,0.0171316,0.0347532,-0.0862816,-0.0108026,-0.00948349,0.0507065,0.0602577,0.000533976,0.0278503,0.0544873,0.0105333,0.183987,-0.030504,0.0487766,-0.0310253,-0.0248823,0.0253718,0.0257205,0.00219586,-0.00667589,-0.00717585,-0.0988573,0.00385455,-0.0435911,0.0474722,0.0207473,0.0662015,-0.01963,0.0678588,0.0442689,0.036802,0.0621747,0.0442744,0.0425595,0.0414015,0.205745,-0.0520847,0.251668,0.11444,0.286144,0.142767,0.0468338,0.0550212,0.228161,0.157112,-0.0421386,0.0780529,0.0688284,0.00296929,0.162818,0.0772108,0.154965,0.156773,0.10645,0.0891077,0.0826266,0.114793,-171086,1.01737
-169559,0.959729,0.248143,4,15,0,169591,-0.00593405,0.973708,-0.0340303,-0.0492715,-0.0855911,-0.11302,-0.000973196,-0.0255994,-0.0443951,-0.100122,0.00410072,0.0871337,0.0981303,0.0614486,0.0527319,-0.005344,-0.016092,0.0884422,-0.0223734,-0.0260491,-0.00830884,0.0492544,0.0772976,-0.00424727,0.0362051,-0.0104882,-0.0661705,0.00125995,-0.0200048,0.0594395,0.0831155,0.0119301,0.0290751,0.016479,-0.0105082,0.160584,-0.0260342,0.0690793,-0.0315468,-0.00116736,0.0198358,0.00771093,-0.0282683,0.00215993,0.00571237,-0.0976059,0.0131875,-0.0564861,0.0203293,-0.0106784,0.00958792,-0.0269966,0.0366505,0.0526273,0.0674548,0.0680201,0.0325811,-0.00332834,0.023094,0.208228,-0.0493568,0.256814,0.120825,0.284695,0.138258,0.0464838,0.0448494,0.232322,0.159906,-0.040798,0.0781644,0.0760275,0.00407483,0.172639,0.0852191,0.157371,0.161495,0.19402,0.0941085,0.191549,0.0543688,-171113,1.01755
