# 1.19366e-05, 1.13007e-05, 0.000117935, 0.000122483, 0.00012618, 0.00012983, 0.000105553, 0.000114989, 9.95591e-05, 0.00010793, 0.0001273, 0.000130278, 0.000188925, 0.00016025, 0.000169098, 0.000171604, 0.000169899, 0.000124076, 0.000114281, 0.000152402, 0.000132888, 0.000149585, 0.000103395, 8.10213e-05, 0.000126763, 9.04205e-05, 0.000117556, 0.000140216, 0.000119817, 0.000145971, 0.000121737, 0.000141471, 0.000123053, 0.000107777, 0.000110272, 0.000115072, 0.000109193, 0.000153452, 0.000137276, 0.000168856, 0.000180585, 0.000162369, 0.000116322, 0.000121292, 0.000135589, 0.000120549, 0.000115129, 0.000446702, 0.000355705, 0.000282115, 0.00062704, 0.000237117, 0.0946411, 0.0806278, 0.0839312, 0.0920801, 0.0845805, 0.0012872, 0.379434, 3.76163e-05, 2.94852e-05, 3.12888e-05, 3.84305e-05, 4.44044e-05, 4.45319e-05, 2.74517e-05, 3.3879e-05, 3.26728e-05, 3.37381e-05, 3.55135e-05, 3.97912e-05, 3.6401e-05, 3.49658e-05, 4.25643e-05, 4.5372e-05, 3.98037e-05, 4.0609e-05, 0.00187547, 0.000751454, 0.0734054, 0.06561
-169578,0.995068,0.27095,4,15,0,169620,-0.00688323,0.975513,-0.0849948,-0.0614452,-0.108232,-0.126504,-0.0150782,-0.00702831,-0.056813,-0.116157,0.0210671,0.110855,0.093397,0.0343668,0.0578051,0.0147926,0.015575,0.0914372,-0.00882891,-0.0135921,-0.00858273,0.0558403,0.0539978,0.00989071,0.021322,0.0173164,-0.103884,-0.012703,0.00199629,0.0367596,0.0739451,0.0175067,0.0154504,0.0378951,0.00560507,0.173799,-0.023431,0.0753833,-0.0396239,-0.013158,0.0509012,0.0337705,-0.00689932,-0.00359713,-0.00169134,-0.101669,0.0144402,-0.0812424,0.0374939,-0.00719729,0.0663948,-0.0421707,0.0605824,0.0727375,0.0841223,0.0552373,0.0827017,0.00616361,0.0410759,0.206654,-0.0519223,0.253146,0.120128,0.276761,0.139868,0.0567748,0.0467396,0.235882,0.14714,-0.0490419,0.0789764,0.0714654,0.00167671,0.16855,0.0796446,0.158549,0.153191,0.148292,0.106774,0.0865072,0.0925961,-171074,1.0174
-169560,0.990843,0.27095,4,15,0,169615,-0.00409039,0.972944,-0.068748,-0.0676585,-0.117319,-0.133241,-0.00376098,0.0144593,-0.0466701,-0.0928637,0.0121326,0.105726,0.0947321,0.0378031,0.0719804,0.00926554,0.00835825,0.10484,0.00155358,-0.0201324,-0.0163997,0.0542288,0.0599749,0.0220568,0.017002,0.0159396,-0.0918391,-0.00239208,-0.00591322,0.026568,0.056039,0.00534367,0.0349382,0.04676,0.000621104,0.177309,-0.0171254,0.0790536,-0.0380958,-0.0281085,0.0259078,0.0184559,-0.0144126,-0.00306057,0.0120896,-0.123277,0.0137515,-0.0344472,0.0606338,0.00846772,0.0476646,-0.00838952,0.0829971,0.0481792,0.03584,0.0614854,0.0566483,0.00812669,0.062095,0.204372,-0.0611261,0.256037,0.113541,0.281595,0.14141,0.0450297,0.0480123,0.232759,0.156963,-0.035655,0.0788825,0.0677215,0.0139432,0.166655,0.0821141,0.162092,0.157797,0.174946,0.100972,0.109143,0.0807345,-171165,1.01789
-169565,0.90875,0.27095,4,15,0,169605,-0.00513889,0.975568,-0.0548271,-0.0308583,-0.0794693,-0.121039,0.00322781,-0.0414815,-0.0531458,-0.0878927,-0.00460561,0.0915256,0.111604,0.0644671,0.0621801,0.00366469,-0.0130399,0.0540892,-0.0148378,-0.0146168,-0.014487,0.0419469,0.0622159,-0.0264619,0.0301539,0.0116973,-0.0609533,-0.00831409,-0.0300315,0.0821006,0.0834426,0.00646164,0.0229417,0.0261561,-0.00441331,0.174926,-0.0393473,0.0351578,-0.0299732,-0.00368697,0.022197,0.0135311,-0.0123274,0.0037806,-0.0100424,-0.0893588,0.00739973,-0.0418975,0.0583208,-0.00914861,0.028503,-0.0274002,0.0366957,0.0858576,0.0452121,0.0497203,0.0482736,0.00067384,0.0328452,0.209738,-0.0438037,0.253164,0.119757,0.294367,0.144281,0.049822,0.0535854,0.227655,0.159302,-0.0560286,0.0757841,0.0732533,-0.0013555,0.167028,0.0841773,0.151987,0.155973,0.104203,0.0576658,0.119197,0.09328,-171089,1.01753
-169560,0.901435,0.27095,4,15,0,169599,-0.00581404,0.973704,-0.067452,-0.0405475,-0.0801382,-0.103687,-0.0179159,-0.024286,-0.0476529,-0.0809641,-0.00107444,0.0901658,0.0976362,0.0724947,0.073147,0.00654951,-0.00978928,0.0769951,-0.0312615,-0.0273252,-0.012452,0.0446607,0.0595202,-0.00610112,0.0262788,0.00544092,-0.061151,-0.00220171,-0.0197995,0.0520589,0.0893394,0.0173347,0.015273,0.0305379,-0.00219968,0.197265,-0.0387503,0.0475561,-0.0353345,-0.0144668,0.0353807,0.0207978,-0.00274875,0.00939842,-0.00166507,-0.115846,-0.000110171,-0.0421886,0.0224192,0.0135255,0.0699875,-0.0243291,0.0420157,0.0812107,0.0642214,0.077496,0.0489646,0.0449534,0.0994822,0.212295,-0.0555015,0.25534,0.115236,0.287845,0.135217,0.0486064,0.0535439,0.239873,0.154476,-0.046725,0.0777152,0.0780025,0.00531295,0.170489,0.0775513,0.151579,0.169379,0.147028,0.0613088,0.17749,0.10525,-171138,1.01775
-169563,0.895293,0.27095,4,15,0,169602,-0.00485986,0.974011,-0.0472658,-0.0492343,-0.0904319,-0.153967,0.00455656,-0.00970029,-0.0283722,-0.0883187,-0.00606014,0.109067,0.0948377,0.0550449,0.0646165,0.00383094,-0.00300782,0.0707932,-0.023619,-0.0202584,-0.0172533,0.0412144,0.0714296,0.0163484,0.0358072,0.0131301,-0.0724499,-0.0202334,-0.0167869,0.0479008,0.065778,0.0118849,0.037821,0.040407,0.0160767,0.16999,-0.00893896,0.0746782,-0.0106047,-0.0186267,0.0228765,0.0289205,-0.0105422,-0.0162165,-0.00515572,-0.0928543,0.0135589,-0.037244,0.0105471,-0.0121814,0.00792754,0.00306484,0.0714954,0.0462548,0.0324406,0.0534596,0.0307026,-0.00939443,0.0222094,0.202228,-0.0509859,0.256291,0.121677,0.282806,0.143365,0.0555455,0.0456721,0.227103,0.155867,-0.0374321,0.0733751,0.0640401,0.00426854,0.165478,0.0800222,0.169576,0.146796,0.188249,0.0946864,0.101249,0.11035,-171057,1.01714
-169565,0.77229,0.27095,4,15,0,169612,-0.00562688,0.973747,-0.065961,-0.0558526,-0.101451,-0.105842,-0.00407533,-0.00206305,-0.0613419,-0.0935729,0.0129783,0.0981451,0.120111,0.064636,0.0666597,0.00625661,-0.00520815,0.0925134,0.00555346,-0.0133321,-0.0213947,0.0462972,0.0312398,-0.0307371,0.00790662,0.0097599,-0.0860504,0.00867279,-0.00980982,0.0588507,0.0749848,-0.0012113,0.023293,0.0299881,-0.00132475,0.176582,-0.0531549,0.0571076,-0.0398942,-0.0139776,0.0379817,0.00652117,-0.0158308,0.022882,0.00304389,-0.114695,0.0175332,-0.0522046,0.080899,0.0239798,0.0800326,-0.0225858,0.0483122,0.0896703,0.0745816,0.0752247,0.0604432,0.0230634,0.0863162,0.212035,-0.0538342,0.258863,0.111513,0.288702,0.13359,0.0409219,0.0526,0.231082,0.157606,-0.0443383,0.0819018,0.0745199,0.00726916,0.167866,0.0832038,0.146266,0.166076,0.0823552,0.10845,0.142004,0.142292,-171160,1.01792
-169561,0.662769,0.27095,3,15,0,169606,-0.00816766,0.974,-0.0585028,-0.0514362,-0.0829307,-0.132783,-8.38555e-05,-0.0112056,-0.0479603,-0.0811999,0.00426723,0.105625,0.103778,0.0427205,0.0637185,0.0173574,0.00608168,0.08262,-0.0204405,-0.0126098,-0.031039,0.038582,0.071079,-0.00304868,0.0503456,0.0178697,-0.0829556,-0.013502,-0.017504,0.0504619,0.0642569,-0.00540953,0.0307919,0.0487798,0.000765656,0.172905,0.000473495,0.040548,-0.0180622,-0.0318952,0.0354253,0.0203353,-0.0157058,0.0157255,-0.000399673,-0.111955,0.0233039,-0.0478756,0.0157614,0.00148754,0.0268294,-0.014835,0.0405591,0.06935,0.0356726,0.0576575,0.0525884,0.0155436,0.0444775,0.205512,-0.0407453,0.262611,0.121156,0.278738,0.139573,0.0544296,0.0471341,0.233188,0.159957,-0.0431271,0.0690318,0.0699023,0.0089089,0.16658,0.0797471,0.163876,0.145837,0.179285,0.0692086,0.105526,0.109206,-171063,1.01718
-169572,0.776061,0.27095,4,15,0,169605,-0.00838741,0.97245,-0.0618281,-0.0378699,-0.116622,-0.122033,-0.00409516,-0.00617126,-0.0411296,-0.0974525,0.00317245,0.09029,0.121462,0.0676521,0.0706564,-0.00972247,-0.0141516,0.0790082,0.00427477,-0.0292384,-0.000899387,0.0397233,0.0478497,-0.0050266,-0.0018698,-0.00675977,-0.0661898,-0.00355888,-0.0167948,0.0648537,0.0803157,0.0176548,0.0293523,0.0198682,-0.00454585,0.174382,-0.0528315,0.0753467,-0.0432988,2.84445e-05,0.0257455,0.0153804,-0.0134346,-0.013591,-0.00752335,-0.12314,-0.00391773,-0.0413303,0.0172789,-0.00534618,0.0274328,-0.0121932,0.0767721,0.0637928,0.0517611,0.0679299,0.0470538,0.00171911,0.0797665,0.213125,-0.0668482,0.248044,0.11555,0.294491,0.134193,0.0419144,0.0544026,0.226498,0.151033,-0.0421163,0.0879863,0.0656667,0.00490803,0.170755,0.0827046,0.151159,0.172399,0.140742,0.0608918,0.169637,0.111029,-171201,1.01813
-169563,1,0.27095,4,15,0,169610,-0.00676258,0.975183,-0.0756317,-0.0326124,-0.102141,-0.115147,-0.0159045,0.0103673,-0.0426976,-0.0820462,0.00642375,0.102056,0.105419,0.0679299,0.0674512,-0.00446313,-0.0105191,0.0842758,0.0111502,-0.0241787,-0.00936874,0.0346099,0.0416288,-0.00683452,0.00127184,0.0066787,-0.0762394,-0.0198068,-0.0153094,0.0484266,0.0731236,0.00848306,0.0366757,0.0259446,0.00307882,0.173836,-0.0573273,0.055519,-0.0550759,-0.0011018,0.0291108,0.00998271,-0.0152377,-0.021588,0.00322694,-0.117546,0.00619274,-0.0423718,0.0370524,0.00031867,0.0322947,-0.0102438,0.0540726,0.0658884,0.0476207,0.0787618,0.0396971,0.0276786,0.0467847,0.201635,-0.060209,0.253183,0.119123,0.2877,0.137223,0.0465081,0.0613533,0.227914,0.15669,-0.0381215,0.0833124,0.0683813,0.00535588,0.170897,0.0912145,0.159227,0.170004,0.155166,0.0724637,0.210392,0.141409,-171148,1.01796
-169561,0.850835,0.27095,4,15,0,169613,-0.00360287,0.973819,-0.0453271,-0.0566499,-0.0771172,-0.137407,0.00970332,-0.0322597,-0.0470089,-0.0824765,-0.0019087,0.0946174,0.0984465,0.0440499,0.0474445,0.0166425,0.000413309,0.0804271,-0.0238679,-0.0154924,-0.0250663,0.0493833,0.0709579,-0.0165237,0.0518843,0.0166867,-0.0967026,0.00731184,-0.0155092,0.061331,0.0670048,0.00868644,0.0290777,0.0436708,0.006414,0.181635,0.00581947,0.0526674,-0.0216677,-0.0226258,0.0150668,0.019527,-0.0139764,0.0127909,-0.00918259,-0.0880991,0.01451,-0.0492835,0.0344019,-0.00264949,0.0599637,-0.0126473,0.0367329,0.0433519,0.0510387,0.0470439,0.0323079,-0.00177189,0.0448444,0.209699,-0.0509618,0.251394,0.11271,0.28506,0.140604,0.0483753,0.0405743,0.234986,0.161654,-0.0453435,0.0806079,0.0723778,0.00565768,0.164018,0.0718479,0.150924,0.152817,0.155331,0.0411258,0.0842358,0.0835043,-171054,1.0171
