# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = h2reg_hreg_model
# start_datetime = 2025-03-23 20:43:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/tv311lc7.json
# init = 2 (Default)
# random
#   seed = 72236
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h2-dens.h-nondens/h2reg-hreg-20250323154325_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=h2reg-hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,mu_inner_beta,sigma_inner_beta,betad.1.1,betad.2.1,betad.3.1,betad.4.1,betad.5.1,betad.6.1,betad.7.1,betad.8.1,betad.9.1,betad.1.2,betad.2.2,betad.3.2,betad.4.2,betad.5.2,betad.6.2,betad.7.2,betad.8.2,betad.9.2,mu_betad.1,mu_betad.2,sigma_betad.1,sigma_betad.2,log_p,rmse
# Adaptation terminated
# Step size = 0.307181
# Diagonal elements of inverse mass matrix:
# 1.2448e-05, 1.13428e-05, 0.000116978, 0.000117003, 0.000135486, 0.000108065, 0.000113571, 0.000103733, 0.000111309, 0.000132056, 0.000129236, 0.000122732, 0.000185323, 0.00017405, 0.00013743, 0.000157879, 0.000157967, 0.000135729, 0.000117521, 0.000183174, 0.000121987, 0.000110553, 9.78728e-05, 9.45387e-05, 0.00011665, 0.000110792, 9.15726e-05, 0.000142136, 0.000120441, 0.00012956, 0.000115107, 0.000124343, 0.000102424, 0.00011733, 0.000116147, 0.000106386, 0.000111034, 0.0001553, 0.000181885, 0.000141533, 0.000193543, 0.000183892, 0.000133673, 0.000112646, 0.00012022, 0.000121963, 0.000118732, 0.000424927, 0.000511413, 0.000324843, 0.00055529, 0.000343561, 0.107086, 0.093975, 0.094534, 0.091815, 0.0889344, 0.000948739, 0.339866, 3.25028e-05, 3.1667e-05, 3.90653e-05, 3.73305e-05, 4.53403e-05, 4.1889e-05, 3.00387e-05, 3.59815e-05, 2.78858e-05, 3.36013e-05, 3.55377e-05, 3.55451e-05, 2.88938e-05, 3.25762e-05, 3.80365e-05, 4.32083e-05, 3.57675e-05, 3.74926e-05, 0.00249753, 0.000876543, 0.0826855, 0.0830809
-169573,0.980995,0.307181,4,15,0,169613,-0.00588543,0.973056,-0.0824503,-0.0434684,-0.0652385,-0.108839,-0.00657961,-0.00984287,-0.0351539,-0.100881,-0.000684561,0.102121,0.104989,0.0358657,0.0427805,0.0112693,-0.00116012,0.0801089,0.00369448,-0.0309113,-1.53306e-05,0.0462087,0.0632304,-0.00718786,0.03034,0.0256855,-0.0794196,-0.00100061,-0.0298339,0.0654879,0.0734472,-0.00124449,0.0129577,0.0457265,0.00233308,0.187829,-0.0320773,0.0572868,-0.0466661,-0.0100046,0.0329057,0.0373319,-0.0127438,-0.0140093,-0.023483,-0.11736,0.0335498,-0.0445259,0.0523379,-0.0151043,0.0273759,-0.00214479,0.0378193,0.0617074,0.0488952,0.0738936,0.0788185,-0.0258648,0.0429098,0.20668,-0.0497011,0.242549,0.109214,0.288561,0.144703,0.037739,0.0537965,0.226178,0.1625,-0.0429269,0.0922653,0.0668695,0.0112701,0.166404,0.0797611,0.154211,0.163086,0.329957,0.0936447,0.286487,0.0806802,-171082,1.01725
-169562,0.718418,0.307181,4,15,0,169613,-0.00598289,0.973802,-0.0678517,-0.0445059,-0.0789942,-0.115609,-0.00537482,0.00394036,-0.0528934,-0.0913923,0.00313513,0.0953624,0.0993226,0.0677607,0.0683254,-0.00248991,-0.00890537,0.07355,-0.0281201,-0.0375274,-0.0279661,0.0337305,0.0600015,0.00372697,0.0321882,0.0251347,-0.0788093,-0.00697549,-0.00475081,0.054675,0.0625041,0.0227751,0.0363471,0.022158,0.00130202,0.157887,-0.0258811,0.0547231,-0.0345701,-0.0165203,0.0333579,0.0217697,-0.015597,-0.00587751,0.0190366,-0.112574,0.0223834,-0.0461833,0.0392924,-4.068e-05,-0.0105397,0.0136098,0.066619,0.0726648,0.0510524,0.0616693,0.0529269,0.00908869,0.0393214,0.209397,-0.0570277,0.243007,0.111045,0.287894,0.141498,0.046912,0.045375,0.233859,0.161893,-0.0368111,0.0700285,0.074162,0.00665282,0.163784,0.081622,0.165579,0.165478,0.259691,0.0763299,0.269802,0.081055,-171118,1.01759
-169567,0.822828,0.307181,4,15,0,169607,-0.00685791,0.974303,-0.0500784,-0.0356956,-0.122725,-0.132834,0.00614845,-0.0270714,-0.0372189,-0.0839606,0.00583723,0.104732,0.110332,0.0358373,0.0657499,0.0158245,0.00256894,0.0860566,0.00486937,-0.0138992,-0.00928357,0.0719425,0.0539315,-0.0142692,0.0146136,0.000191157,-0.0744856,0.00968644,-0.0230537,0.0609698,0.0817433,-0.00140984,0.0347779,0.0488503,0.00214954,0.177716,-0.0343528,0.062657,-0.0270664,-0.0166572,0.0148613,0.00841879,-0.0124727,0.0183492,-0.0174452,-0.120553,-0.00295844,-0.0412905,0.00340748,0.000946629,0.012389,-0.0381109,0.0448708,0.0605064,0.0525579,0.123847,0.0472571,0.00430829,0.0175796,0.205134,-0.0461995,0.264929,0.124887,0.282136,0.13498,0.0467877,0.0560895,0.223993,0.152206,-0.048062,0.0935396,0.0627178,0.00698152,0.170303,0.084189,0.149947,0.154194,0.228626,0.105198,0.153612,0.0789375,-171082,1.01736
-169570,0.75805,0.307181,4,15,0,169613,-0.00645985,0.973671,-0.047123,-0.0401096,-0.114854,-0.137722,0.00601443,-0.0273622,-0.0316688,-0.084906,0.0101936,0.102637,0.112881,0.0397094,0.0719209,0.017285,0.00420615,0.0871884,0.00767955,-0.0137385,-0.013112,0.0721428,0.060585,-0.0123388,0.0152648,-0.00390431,-0.0712198,0.00901338,-0.0286271,0.0640896,0.0741983,-0.00358961,0.0325467,0.0463751,0.0059923,0.179357,-0.0394893,0.0664653,-0.0217538,-0.01048,0.0172503,0.0127191,-0.00498828,0.0137732,-0.013772,-0.118152,0.000236081,-0.0401758,0.00952516,-0.0111186,0.0195501,-0.0406642,0.0454576,0.0614491,0.05789,0.12522,0.0472884,0.0054925,0.0197501,0.204245,-0.0479763,0.263329,0.122605,0.284159,0.133355,0.0466869,0.0581387,0.223406,0.151033,-0.0473568,0.0937325,0.0584047,0.00859609,0.17016,0.0861817,0.148469,0.153172,0.225009,0.115651,0.179444,0.0701487,-171084,1.01732
-169567,1,0.307181,4,15,0,169605,-0.00263126,0.973648,-0.0723172,-0.0442512,-0.0953642,-0.131449,-0.00350974,0.0119546,-0.0475483,-0.0743884,-0.0138204,0.0771293,0.10331,0.0686126,0.0745,-0.00248705,-0.00563272,0.068381,-0.0221897,-0.016492,-0.0247312,0.0361022,0.0537176,-0.0031578,0.0306094,0.0165497,-0.0760859,-0.00914064,0.00216115,0.037242,0.0874401,-0.00413484,0.0267234,0.0221438,-0.00824275,0.172178,-0.0304702,0.0517325,-0.0522717,-0.0118116,0.0254573,0.0259511,-0.0148369,0.0011691,0.00709227,-0.104008,0.0236749,0.0101079,0.053444,0.00918769,0.00708038,0.0182102,0.139409,0.0409603,0.0332695,0.054754,0.0447311,0.0196836,0.0501976,0.205031,-0.0535304,0.25634,0.112792,0.291001,0.139478,0.0514173,0.0513662,0.234091,0.165373,-0.0466941,0.0673575,0.0774375,0.00302786,0.163437,0.0761846,0.161072,0.166728,0.160762,0.0847269,0.125092,0.100057,-171167,1.01797
-169564,0.964309,0.307181,4,15,0,169602,-0.00395562,0.975267,-0.052238,-0.0558255,-0.0905116,-0.131588,-0.000971315,-0.0269708,-0.0373524,-0.106443,0.027793,0.122628,0.11335,0.0418381,0.0611553,0.0281139,-0.00238592,0.0924869,0.00858777,-0.016489,-0.00220031,0.053433,0.0607656,0.00543468,0.0230442,0.0129313,-0.0732985,0.00132824,-0.0233269,0.065222,0.0585825,0.00587405,0.0288251,0.0505692,0.0034015,0.171077,-0.0359499,0.0660457,-0.0196817,-0.00941474,0.0357266,0.00395181,-0.00348731,0.0111684,-0.0074588,-0.114476,0.00396569,-0.0264231,0.029468,0.0105333,0.0699353,-0.0150551,0.0508564,0.0895795,0.0486187,0.079411,0.0701513,0.000182324,0.0283592,0.210654,-0.0495422,0.256377,0.122024,0.285088,0.138974,0.0433438,0.0441644,0.226626,0.149672,-0.0435947,0.0891584,0.0616401,0.0111776,0.168223,0.0874085,0.155996,0.152154,0.127452,0.118578,0.101266,0.0726854,-171105,1.01762
