# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 20:31:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/yaoes4ef.json
# init = 2 (Default)
# random
#   seed = 31061
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/nonsems/multireg-20250511153149_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.483137
# Diagonal elements of inverse mass matrix:
# 1.9309e-05, 1.93408e-05, 2.05619e-05, 1.45622e-05
-49723.2,0.890391,0.483137,3,7,0,49725,-0.00132309,0.142283,0.121857,0.98259,0.122901,0.122872,-47622.6
-49723.5,0.980766,0.483137,3,7,0,49723.8,8.57084e-05,0.143143,0.126013,0.98199,0.123241,0.127062,-47620.8
-49725.6,0.839002,0.483137,3,7,0,49727.2,-0.0012549,0.136957,0.123578,0.982426,0.11756,0.124607,-47628.5
-49723.5,1,0.483137,2,3,0,49725.6,0.00106329,0.146848,0.122081,0.985328,0.127279,0.123098,-47620.4
-49723.3,0.95104,0.483137,3,7,0,49724.9,0.00248966,0.144956,0.123651,0.982587,0.125268,0.12468,-47619.6
-49725.2,0.883668,0.483137,2,3,0,49725.5,0.00626763,0.145174,0.123578,0.985107,0.125487,0.124607,-47622.1
-49725.6,0.976652,0.483137,2,7,0,49726.5,0.00539366,0.147595,0.124497,0.986099,0.127715,0.125533,-47620.6
-49726.7,0.961306,0.483137,3,7,0,49727.5,-0.00747148,0.140662,0.12212,0.981707,0.121307,0.123137,-47624.8
-49723.7,0.932711,0.483137,3,7,0,49729.1,0.00108558,0.140911,0.121117,0.984936,0.121665,0.122125,-47626.2
-49724.4,0.962992,0.483137,3,7,0,49725.2,-0.00376524,0.139829,0.121909,0.984178,0.120528,0.122924,-47627
-49723.6,0.911556,0.483137,3,7,0,49726.9,0.00225268,0.145443,0.126382,0.984039,0.125417,0.127435,-47620.3
-49723.1,0.99418,0.483137,2,3,0,49724,0.00125852,0.143424,0.125375,0.984701,0.123587,0.126419,-47622.9
-49728,0.653302,0.483137,2,3,0,49728.1,0.00382258,0.143665,0.13157,0.980994,0.12309,0.132666,-47620.3
-49725.7,1,0.483137,2,3,0,49729.2,0.000749255,0.144854,0.128285,0.979952,0.124624,0.129353,-47617.8
