,alpha,beta[asym_BOW],"beta[asym_BOW_j,Economics]","beta[asym_BOW_j,Education]","beta[asym_BOW_j,Geology]","beta[asym_BOW_j,Linguistics]","beta[asym_BOW_j,Materials Science]","beta[asym_BOW_j,Mathematics]","beta[asym_BOW_j,Medicine]","beta[asym_BOW_j,Philosophy]","beta[asym_BOW_j,Physics]",beta[asym_GPT2],"beta[asym_GPT2_j,Economics]","beta[asym_GPT2_j,Education]","beta[asym_GPT2_j,Geology]","beta[asym_GPT2_j,Linguistics]","beta[asym_GPT2_j,Materials Science]","beta[asym_GPT2_j,Mathematics]","beta[asym_GPT2_j,Medicine]","beta[asym_GPT2_j,Philosophy]","beta[asym_GPT2_j,Physics]",beta[asym_SBERT],"beta[asym_SBERT_j,Economics]","beta[asym_SBERT_j,Education]","beta[asym_SBERT_j,Geology]","beta[asym_SBERT_j,Linguistics]","beta[asym_SBERT_j,Materials Science]","beta[asym_SBERT_j,Mathematics]","beta[asym_SBERT_j,Medicine]","beta[asym_SBERT_j,Philosophy]","beta[asym_SBERT_j,Physics]",beta[asym_SciBERT],"beta[asym_SciBERT_j,Economics]","beta[asym_SciBERT_j,Education]","beta[asym_SciBERT_j,Geology]","beta[asym_SciBERT_j,Linguistics]","beta[asym_SciBERT_j,Materials Science]","beta[asym_SciBERT_j,Mathematics]","beta[asym_SciBERT_j,Medicine]","beta[asym_SciBERT_j,Philosophy]","beta[asym_SciBERT_j,Physics]",beta[asym_Word2Vec],"beta[asym_Word2Vec_j,Economics]","beta[asym_Word2Vec_j,Education]","beta[asym_Word2Vec_j,Geology]","beta[asym_Word2Vec_j,Linguistics]","beta[asym_Word2Vec_j,Materials Science]","beta[asym_Word2Vec_j,Mathematics]","beta[asym_Word2Vec_j,Medicine]","beta[asym_Word2Vec_j,Philosophy]","beta[asym_Word2Vec_j,Physics]",beta[references],"beta[references_j,Economics]","beta[references_j,Education]","beta[references_j,Geology]","beta[references_j,Linguistics]","beta[references_j,Materials Science]","beta[references_j,Mathematics]","beta[references_j,Medicine]","beta[references_j,Philosophy]","beta[references_j,Physics]",beta[year],"beta[year_j,Economics]","beta[year_j,Education]","beta[year_j,Geology]","beta[year_j,Linguistics]","beta[year_j,Materials Science]","beta[year_j,Mathematics]","beta[year_j,Medicine]","beta[year_j,Philosophy]","beta[year_j,Physics]",log_ppd,mu_beta[asym_BOW_j],mu_beta[asym_GPT2_j],mu_beta[asym_SBERT_j],mu_beta[asym_SciBERT_j],mu_beta[asym_Word2Vec_j],mu_beta[references_j],mu_beta[year_j],sigma,sigma_beta[asym_BOW_j],sigma_beta[asym_GPT2_j],sigma_beta[asym_SBERT_j],sigma_beta[asym_SciBERT_j],sigma_beta[asym_Word2Vec_j],sigma_beta[references_j],sigma_beta[year_j],y_col,rmse,$R^2$,1-MAE,1-RMSE,1-MAPE,1-MedAE,1-MPinL,$D^2_{pin}$,$D^2_{abs}$,$R^2$_descaled,1-MAE_descaled,1-RMSE_descaled,1-MAPE_descaled,1-MedAE_descaled,1-MPinL_descaled,$D^2_{pin}$_descaled,$D^2_{abs}$_descaled
asym_SciBERT.nonsems,-0.008242035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02941655,,,,,,,,,,,,,,,,,,,,0.153595,,,,,,,,,,0.1336,,,,,,,,,,-32992.80970703375,,,,,,,,0.9786835,,,,,,,,log_cpy,0.9829061298652132,0.017033528378733176,0.22756154382025862,0.008659673288771264,-0.6432590828250389,0.3622640226464242,0.6137807719101294,0.017528847552396365,0.017528847552396365,0.03385689737405162,0.47942588629050686,0.3354221124983554,-80012782356506.95,0.5733403771938813,0.7397129431452534,0.02243485552961144,0.02243485552961144
asym_Word2Vec.nonsems,-0.0113509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0923303,,,,,,,,,,0.14837050000000002,,,,,,,,,,0.1318745,,,,,,,,,,-33294.42864684492,,,,,,,,0.97367,,,,,,,,log_cpy,0.9795858234262658,0.013541034238921168,0.22627515977694157,0.0069001115558013915,-0.6875209285361745,0.3608527866948905,0.6131375798884708,0.015892684563077575,0.015892684563077575,0.04037323267461013,0.4818281497046166,0.33766709009286533,-78423753012034.05,0.5759193966688805,0.7409140748523083,0.026945969162858074,0.026945969162858074
sems.nonsems,-0.020396249999999998,0.08606925,,,,,,,,,,-0.02271765,,,,,,,,,,8.00361e-06,,,,,,,,,,-0.01538705,,,,,,,,,,-0.07969915,,,,,,,,,,0.13488250000000002,,,,,,,,,,0.127259,,,,,,,,,,-18711.990139839363,,,,,,,,0.982418,,,,,,,,log_cpy,0.9767307301382592,0.009629579529346843,0.22339967387860904,0.004933165962081043,-0.6895450590337651,0.3572130620755509,0.6116998369393045,0.01223532918184278,0.01223532918184278,0.04595892234485133,0.4825734510259445,0.3395975204852607,-77789554511242.38,0.5761538935009467,0.7412867255129723,0.028345540472053843,0.028345540472053843
h-nonsems,-0.0072689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111808,-0.03278135,0.2528285,0.0999244,0.31495300000000004,0.200926,0.02561575,0.0747243,0.228547,,0.14551150000000002,-0.028853200000000002,0.09421135,0.06198755,0.008438945,0.14265650000000002,0.13004349999999998,0.131549,0.167268,-19286.66413904633,,,,,,0.14169500000000002,0.0948181,0.972591,,,,,,0.128558,0.07713505,log_cpy_j,0.9764533151142919,0.04633437963949416,0.23669941249106863,0.023546684885708102,-0.542257711788035,0.37380670275623795,0.6183497062455343,0.02915138173890841,0.02915138173890841,0.1606462023617009,0.5178062379625408,0.38056222271764095,-65013912876084.7,0.6078416102195441,0.7589031189812704,0.09450777087252438,0.09450777087252438
h-asym_BOW_j,-0.0105625,,-0.020524300000000002,-0.041489,0.0741024,-0.0275731,-0.009461335,0.05167,0.02959685,-0.02635125,-0.04102315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34033.61620228713,-0.00162258,,,,,,,0.994242,0.04898525,,,,,,,log_cpy_j,0.999188310915088,0.001408539800193731,0.2142045987954131,0.0008116890849120262,-0.062306873623991565,0.3499426377582179,0.6071022993977065,0.000540033664697237,0.000540033664697237,0.12485907084590075,0.504375096458563,0.36749471910153975,-60956198654621.44,0.5913183511485693,0.7521875482292815,0.06928597163402939,0.06928597163402939
h-asym_GPT2_j,-0.005519015,,,,,,,,,,,,-0.02239695,-0.0473847,-0.02157175,-0.014008449999999999,-0.0223025,-0.00264408,-0.03011165,-0.0159695,0.0021133000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34018.1957936175,,-0.01923575,,,,,,0.998873,,0.01959115,,,,,,log_cpy_j,0.9997609282069357,0.0002636613449419345,0.21376282020071935,0.00023907179306426052,-0.056598139729543195,0.34769740176855557,0.6068814101003597,-2.186835038631152e-05,-2.186835038631152e-05,0.12408763736132944,0.5041158868515844,0.3672160049792884,-61563251475705.83,0.5905828874334158,0.7520579434257921,0.0687992123614859,0.0687992123614859
h-asym_SBERT_j,0.00691961,,,,,,,,,,,,,,,,,,,,,,-0.0663555,-0.073364,-0.10539,-0.05581365,-0.1015725,-0.03444395,-0.0599784,-0.033571050000000005,-0.05312105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33860.12236619201,,,-0.06493765,,,,,0.9993965,,,0.03084515,,,,,log_cpy_j,0.9987332465517276,0.0023179177466564616,0.21477071591676755,0.0012667534482724285,-0.13854684472169687,0.34602029397993406,0.6073853579583838,0.0012600829271177671,0.0012600829271177671,0.1253789420799024,0.5046800724226989,0.3676826146380957,-62155392020008.66,0.59255154714608,0.7523400362113495,0.06985867370389609,0.06985867370389609
h-asym_SciBERT_j,-0.010817199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0062822,-0.0463441,-0.045952099999999996,0.03496415,0.00413561,-0.01845105,-0.0608415,0.005918325,-0.0235188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33537.81250688048,,,,-0.01746365,,,,0.995057,,,,0.036108,,,,log_cpy_j,0.9997035093925182,0.00037849285166857705,0.21371712429137757,0.0002964906074818252,-0.06896751433692128,0.34830727181934806,0.6068585621456888,-7.998937265552009e-05,-7.998937265552009e-05,0.12402214249705845,0.504065738942026,0.3671923477454513,-61079016045328.81,0.5906185971395904,0.752032869471013,0.06870504162352309,0.06870504162352309
h-asym_Word2Vec_j,-0.009662464999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02338195,0.0165507,-0.104945,-0.0003036195,-0.03279665,-0.05758405,-0.0514818,0.0425784,-0.1158725,,,,,,,,,,,,,,,,,,,,,-33968.82415917433,,,,,-0.0308532,,,0.992515,,,,,0.0641379,,,log_cpy_j,0.9986205035251331,0.0025431537626091627,0.21466586228037066,0.0013794964748669036,-0.08866802366135373,0.35041298256800335,0.6073329311401854,0.001126718680212302,0.001126718680212302,0.12543900968209887,0.5045930805356231,0.3677043282939566,-60937934676016.1,0.5903729858388613,0.7522965402678116,0.06969531514568639,0.06969531514568639
h-asym_BOW_j.h-nonsems,-0.0073230050000000005,,-0.027434300000000002,-0.035995349999999995,0.04319525,-0.02268055,0.01026285,0.026517449999999998,0.03046265,-0.02402365,-0.02451745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13362649999999998,-0.03660665,0.259039,0.11415800000000001,0.3001735,0.180119,0.053854849999999996,0.0725764,0.24616349999999998,,0.15174100000000001,-0.04173255,0.09286915,0.07486765000000001,0.0174483,0.157311,0.123834,0.132596,0.156929,-34614.95290659902,-0.002837605,,,,,0.147051,0.09633285,0.9705315,0.0355138,,,,,0.12337100000000001,0.0782976,log_cpy_j,0.9755090095936546,0.04817802386662262,0.23762320066835407,0.024490990406345392,-0.5656129434931036,0.3754372806071582,0.618811600334177,0.030326355910499703,0.030326355910499703,0.16233306606067366,0.5184160725849596,0.3811849831217401,-65008725436081.7,0.6084924800838092,0.7592080362924798,0.09565295472832491,0.09565295472832491
h-asym_GPT2_j.h-nonsems,-0.00252956,,,,,,,,,,,,-0.02492405,-0.0470681,-0.02244625,-0.0150257,-0.02134005,-0.009948140000000001,-0.02873845,-0.0169362,0.00384868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1307935,-0.0523785,0.25624749999999996,0.1161565,0.2986105,0.183265,0.036043450000000005,0.0674544,0.22700749999999997,,0.151372,-0.0384852,0.0945161,0.07202900000000001,0.01602905,0.158554,0.07479330000000001,0.133233,0.1412545,-34549.39402140158,,-0.020465749999999998,,,,0.141488,0.0887954,0.97559,,0.0183644,,,,0.126839,0.0753742,log_cpy_j,0.9753115926523152,0.04856323152298847,0.23756814897255518,0.02468840734768485,-0.5282930015682761,0.3728145661508966,0.6187840744862776,0.030256335182527128,0.030256335182527128,0.1628559834891793,0.5184140416109086,0.38137816233206034,-65400969388977.03,0.6086012132565055,0.7592070208054543,0.09564914084402076,0.09564914084402076
h-asym_SBERT_j.h-nonsems,0.0054465,,,,,,,,,,,,,,,,,,,,,,-0.057858400000000004,-0.07090955,-0.0748974,-0.04465875,-0.0678758,-0.0234398,-0.05966200000000001,-0.0305155,-0.040661699999999995,,,,,,,,,,,,,,,,,,,,,,0.1163495,-0.05311585,0.2390065,0.113967,0.2893335,0.1826565,0.03497965,0.04152435,0.2234795,,0.122865,-0.03889545,0.102763,0.06878655,0.008546330000000001,0.1656155,0.07875555000000001,0.1209795,0.14321050000000002,-34411.7642919173,,,-0.0521683,,,0.13285000000000002,0.0852694,0.9770625,,,0.0229438,,,0.1255575,0.07347275,log_cpy_j,0.9749911505222802,0.049188324759244395,0.23767111060530666,0.025008849477719752,-0.5215822232377907,0.37274741253397015,0.6188355553026533,0.03038729297363385,0.03038729297363385,0.16291833987487458,0.5184035619784466,0.3814012024180611,-65327413850810.22,0.6088232460382487,0.7592017809892233,0.0956294615646407,0.0956294615646407
h-asym_SciBERT_j.h-nonsems,-0.0075812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00569697,-0.0469334,-0.04359545,0.038457649999999996,0.00156551,-0.017096649999999998,-0.05649755,0.01158965,-0.0157913,,,,,,,,,,,,0.13042150000000002,-0.03600815,0.2565135,0.113788,0.298698,0.182929,0.057463299999999995,0.061546000000000003,0.248677,,0.151245,-0.04766135,0.09150205,0.0769997,0.016401850000000003,0.1580375,0.12191099999999999,0.14229350000000002,0.155457,-34043.89388478185,,,,-0.013207650000000001,,0.14645049999999998,0.0960343,0.9709445,,,,0.0366636,,0.1229565,0.08044319999999999,log_cpy_j,0.9757102464281482,0.0477852824443149,0.23735586652703533,0.024289753571851813,-0.5786725895779468,0.3734189555587204,0.6186779332635177,0.029986331304255986,0.029986331304255986,0.16200180171706124,0.5182487727709211,0.3810626367095922,-65072135685984.08,0.6089656145319203,0.7591243863854605,0.09533878915117966,0.09533878915117966
h-asym_Word2Vec_j.h-nonsems,-0.006190495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02918085,0.01266295,-0.07186525,0.018521,-0.017147299999999997,-0.03279555,-0.05266865,0.069123,-0.08662125,,0.134663,-0.03688975,0.25632350000000004,0.1167565,0.297871,0.180379,0.0549986,0.07448455,0.23261749999999998,,0.1511855,-0.0419622,0.0920926,0.07625445,0.01691095,0.15604849999999998,0.1241595,0.142484,0.16070849999999998,-34493.936850901155,,,,,-0.01481825,0.1458815,0.09787645,0.9690915,,,,,0.058417250000000004,0.12161849999999999,0.0799752,log_cpy_j,0.9750843545133214,0.0490065309479093,0.23783670920648425,0.024915645486678573,-0.5590043720808924,0.3751091872816037,0.6189183546032422,0.030597919266565188,0.030597919266565188,0.1627701250002609,0.5185039255969428,0.38134643984861716,-65131983897492.34,0.6083596806610037,0.7592519627984714,0.09581793035828778,0.09581793035828778
h-BOW-SciBERT.h-nonsems,-0.0073291599999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11148949999999999,-0.0323679,0.2530775,0.09979589999999999,0.31448,0.199956,0.0260463,0.07454745,0.229052,,0.1458155,-0.028751449999999998,0.09473100000000001,0.06203885,0.008486085,0.1423565,0.130115,0.1322325,0.166945,-19292.390508850538,,,,,,0.1412635,0.09532555,0.972642,,,,,,0.12986599999999998,0.0771496,log_cpy_j,0.9764379691504934,0.04636435506762371,0.23669459866128895,0.023562030849506588,-0.5425609054383387,0.37379653688006553,0.6183472993306445,0.029145258987181677,0.029145258987181677,0.16066806381957965,0.517802647283468,0.3805702895787738,-65020719626791.78,0.6077689075013615,0.758901323641734,0.09450102808102911,0.09450102808102911
h-sems.h-nonsems,-0.00742199,,-0.01677265,-0.02940245,0.013932400000000001,-0.00830417,0.01092985,0.01602505,0.0180865,-0.0241964,0.004565665,,-0.03156855,-0.033504000000000006,-0.01323015,-0.017941949999999998,-0.01228905,-0.0160167,-0.02527325,-0.019104,-0.008990585,,-0.04754475,-0.0698539,-0.0714702,-0.0379805,-0.0863005,0.009778479999999999,-0.04728255,-0.048492350000000004,-0.0125664,,0.0111494,-0.028976050000000003,-0.01499765,0.03731505,0.0218226,0.00477237,-0.0393032,0.0155356,-0.0007934655000000001,,0.0326853,0.025759249999999997,-0.02126835,0.01964875,0.0030716349999999996,-0.02848855,-0.027531899999999998,0.0978372,-0.0661669,,0.11310100000000001,-0.024216750000000002,0.2371475,0.09915109999999999,0.30122,0.197351,0.02485215,0.08098015,0.2154485,,0.144925,-0.030657900000000002,0.09293860000000001,0.06291805,0.015266950000000001,0.141028,0.1306405,0.1429685,0.171984,-19333.49381517956,-0.002215905,-0.019495600000000002,-0.0453644,-6.1164e-05,0.003334385,0.13980599999999999,0.09649935,0.969374,0.0245855,0.01490845,0.03688635,0.03165445,0.056341199999999994,0.1220725,0.0774158,log_cpy_j,0.974620311343493,0.049911472174557825,0.23818012593871463,0.02537968865650697,-0.5728537603694384,0.3726009365762727,0.6190900629693573,0.031034713978150053,0.031034713978150053,0.16362711263474006,0.5187362612553094,0.3816631474870579,-64537156053706.58,0.6093849444299689,0.7593681306276547,0.0962542241259865,0.0962542241259865
