# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 23:21:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/cugew0cc.json
# init = 2 (Default)
# random
#   seed = 45848
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/sems.nonsems/multireg-20250511182132_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,log_p
# Adaptation terminated
# Step size = 0.478112
# Diagonal elements of inverse mass matrix:
# 3.41706e-05, 3.2473e-05, 3.1448e-05, 3.32193e-05, 3.22528e-05, 3.34813e-05, 3.47296e-05, 3.34523e-05, 3.22529e-05, 3.0282e-05, 3.40687e-05, 3.39075e-05, 3.15858e-05, 2.24308e-05
-18781.5,0.623261,0.478112,3,7,0,18788.7,-0.013735,0.157956,0.137868,0.0706046,0.110365,0.0410625,-0.0472318,-0.0547335,0.0696099,-0.0151599,-0.00718415,-0.0205264,-0.107486,0.97423,0.146599,0.135314,0.012417,0.121298,0.215627,-0.0455304,-0.145688,0.0680423,-0.014144,0.0109242,-0.0125536,-0.137649,-18745.4
-18782.5,0.869525,0.478112,3,7,0,18788.6,-0.0129226,0.150764,0.131579,0.0669086,0.0976298,0.027243,-0.0295504,-0.0551274,0.069687,-0.0148661,-0.00849885,-0.0209986,-0.101964,0.961483,0.142779,0.130554,0.0179218,0.105425,0.167659,-0.0246264,-0.142133,0.0687337,-0.0138182,0.00875426,-0.0135836,-0.130578,-18746.6
-18782.9,0.99443,0.478112,3,7,0,18788.3,-0.0180088,0.159544,0.134021,0.0774616,0.102557,0.0328562,-0.0463095,-0.050645,0.0709578,-0.022323,-0.0100834,-0.0142139,-0.110073,0.976864,0.148959,0.132876,0.0228895,0.114196,0.18957,-0.042946,-0.142219,0.0696062,-0.0215854,0.00772192,-0.00538867,-0.140962,-18745.4
-18783.9,0.967525,0.478112,3,7,0,18790.7,-0.0162144,0.152571,0.137179,0.0734313,0.112776,0.033593,-0.040651,-0.0640327,0.062289,-0.0101848,-0.0166967,-0.0260603,-0.103908,0.967679,0.142523,0.136172,0.0256094,0.123177,0.199922,-0.0404059,-0.156853,0.0608415,-0.00867922,0.000999707,-0.0189564,-0.133067,-18750.1
-18781.3,0.99226,0.478112,3,7,0,18788.8,-0.0232524,0.154734,0.133081,0.0663119,0.0993065,0.0218691,-0.0376587,-0.0576132,0.0734162,-0.0124605,-0.0107924,-0.0118046,-0.10772,0.974598,0.146561,0.134162,0.0174564,0.111407,0.162543,-0.0295716,-0.148175,0.0725208,-0.0116257,0.0064005,-0.00296365,-0.137949,-18747.7
-18781.3,0.995976,0.478112,3,7,0,18784.8,-0.0086935,0.155901,0.138533,0.07452,0.105743,0.0392948,-0.0394738,-0.0538657,0.0687797,-0.0186386,-0.0100861,-0.0288482,-0.105786,0.964976,0.144874,0.135783,0.0190608,0.113775,0.204823,-0.0403065,-0.144933,0.0674914,-0.0173273,0.00841835,-0.0218407,-0.135472,-18744.8
-18778,1,0.478112,3,7,0,18783.1,-0.0206373,0.151698,0.135076,0.0683414,0.103805,0.0243425,-0.0359013,-0.0589657,0.0718781,-0.0147956,-0.00982781,-0.0166321,-0.105445,0.973383,0.142896,0.135004,0.0193537,0.114507,0.169419,-0.0298571,-0.148845,0.0709583,-0.0138599,0.00750183,-0.00847059,-0.135035,-18746.7
-18782.6,0.862712,0.478112,3,7,0,18785.1,-0.0124659,0.150459,0.141625,0.0688276,0.111666,0.0374852,-0.0427911,-0.0607204,0.0712522,-0.012607,-0.00683236,-0.0273552,-0.106258,0.965569,0.138715,0.139614,0.0128891,0.12186,0.211105,-0.0418632,-0.152683,0.0699085,-0.0113138,0.0117348,-0.0201591,-0.136077,-18748.5
-18783.4,0.742615,0.478112,2,7,0,18795.6,-0.010481,0.152835,0.135015,0.0709151,0.0879051,0.0318751,-0.0308004,-0.0542569,0.0704844,-0.0198592,-0.00834693,-0.0241273,-0.10044,0.970268,0.143868,0.134134,0.0198846,0.0943674,0.179588,-0.0280495,-0.140337,0.0697925,-0.0187973,0.00896844,-0.0171573,-0.128626,-18744.4
-18784.8,0.943295,0.478112,3,7,0,18789.6,-0.0196329,0.159016,0.133855,0.0708337,0.117621,0.0300006,-0.0456511,-0.0566548,0.0728799,-0.00972204,-0.012956,-0.0112164,-0.112032,0.969088,0.1494,0.132435,0.0164359,0.131484,0.187152,-0.0386968,-0.150465,0.071651,-0.00879474,0.00475832,-0.00191865,-0.143471,-18750.2
-18788.8,0.805746,0.478112,3,7,0,18799.3,-0.00578912,0.164184,0.135657,0.0687305,0.0947253,0.0305333,-0.0321824,-0.0493097,0.0741266,-0.0299494,-0.0137322,-0.0264342,-0.0988775,0.969029,0.156817,0.133953,0.0158285,0.101052,0.171678,-0.0322026,-0.133872,0.0744755,-0.0288683,0.0033444,-0.019833,-0.126625,-18741.7
