# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 22:07:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/bm6uhr3c.json
# init = 2 (Default)
# random
#   seed = 13641
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-dens.h-nondens/hreg-20240928170733_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,log_p
# Adaptation terminated
# Step size = 0.310601
# Diagonal elements of inverse mass matrix:
# 3.40087e-05, 2.30783e-05, 0.000233987, 0.000158757, 0.000202245, 0.000177061, 0.000208425, 0.000216388, 0.000230775, 0.000227544, 0.000202524, 0.000300377, 0.000220051, 0.000307137, 0.000295432, 0.000369524, 0.000471785, 0.000350537, 0.000377658, 0.00037789, 0.000497397, 0.000625158, 0.000562369, 0.000171244, 0.000205163, 0.000234957, 0.000217946, 0.00299319, 0.000268359, 0.000256742, 0.000184781, 0.000200434, 0.000203998, 0.000184026, 0.000269637, 0.000231293, 0.000334841, 0.000292082, 0.000247561, 0.000305041, 0.000244651, 0.000273819, 0.00049433, 0.000297574, 0.000440449, 0.000255586, 0.000208539, 0.000208239, 0.000251481, 0.000270958, 0.000263939, 0.000308238, 0.000331292, 0.000480748, 0.00038305, 0.00373816, 0.000489593, 0.000572622, 0.000316599, 0.000281603, 0.000239538, 0.000284755, 0.00036929, 0.000458004, 0.000494617, 0.00251572, 0.00109945, 0.00067851, 0.000388018, 0.000767855, 0.00126068, 0.000598213, 0.0944203, 0.0957552, 0.093434, 0.110498, 0.159186, 0.0814943, 0.0946762
-18443.4,0.785881,0.310601,4,15,0,18476.7,-0.0129422,0.963667,0.18693,-0.0205008,0.299724,0.106844,0.331584,0.191426,0.0635281,0.104437,0.263608,0.165375,-0.0458248,0.0771707,0.0768187,0.0258483,0.181022,0.0541037,0.147497,0.129517,-0.0475697,-0.051554,-0.141359,-0.163981,0.00276412,-0.021957,-0.0737833,-0.00431325,-0.0083474,0.0973871,0.0953458,0.0183558,0.00971468,-0.00640827,-0.0201584,0.0511909,0.0183061,-0.022719,-0.0100453,0.0757578,-0.00541095,-0.121208,-0.00145032,-7.52605e-05,-0.0391528,-0.0276362,-0.0207706,0.00944049,0.0310629,-0.0267616,0.0463939,0.0311981,-0.0217333,0.232309,0.00201807,0.0932804,-0.0270429,-0.0324129,0.0457692,0.03752,-0.0749809,-0.00934497,-0.0308888,-0.102163,-0.0286899,0.154408,0.117421,-0.0686143,0.0164948,0.00712169,0.0305346,-0.0166452,0.12864,0.0503536,0.0647127,0.062767,0.0813751,0.0858772,0.0491399,-55449.5
-18447.6,0.880139,0.310601,4,15,0,18484.3,-0.00529657,0.962571,0.212851,-0.03106,0.280638,0.111628,0.30132,0.178279,0.0797763,0.0825953,0.271934,0.150693,-0.0613065,0.0961156,0.0534301,-0.0054823,0.120709,0.0921595,0.168215,0.169751,-0.0564399,-0.060629,-0.119684,-0.133606,-0.0127498,-0.0152747,-0.0591967,-0.0249196,-0.0530518,0.0515372,0.0570546,0.088963,-0.00706346,-0.0052864,0.0102458,0.0410554,-0.0165648,-0.0637833,-0.00632961,0.0622919,0.045615,0.0138464,-0.000377575,-0.0171434,-0.0487229,0.0338599,-0.0280713,0.0195556,0.0329811,-0.0800395,0.0660694,0.0602287,0.0113018,0.233094,-0.040439,0.0680333,-0.024647,0.000392305,0.0751377,0.0543752,-0.0291179,0.0108771,-0.0632115,-0.133121,0.0305474,0.203567,0.0444051,-0.0509175,0.00698541,0.0213373,0.0546347,-0.0523444,0.135853,0.155798,0.0417765,0.0585767,0.0447915,0.0737495,0.101192,-55453.9
-18455.3,0.844885,0.310601,4,15,0,18489.3,-0.0145897,0.964321,0.214043,-0.0359004,0.327474,0.0926832,0.311979,0.190679,0.0265207,0.113934,0.219032,0.143898,-0.0509568,0.0653915,0.0661112,0.009511,0.18295,0.0782405,0.130766,0.13906,-0.0248023,-0.0653665,-0.0929427,-0.199365,-0.0105418,-0.0289368,-0.0643491,-0.0133873,-0.0125355,0.109897,0.0914091,0.045436,0.0122867,-0.0184309,-0.0422611,0.0554475,0.00635816,-0.0305994,-0.025382,0.0941125,0.0238897,-0.14136,0.0569313,-0.0169244,-0.0639669,0.17414,0.0201547,0.0315739,0.0355025,-0.0275734,0.0260169,0.0341269,0.0130784,0.228344,-0.00611698,0.108324,-0.0215919,0.000719085,0.0340257,0.0680323,-0.062551,0.0158204,-0.0419681,-0.0935235,-0.0579217,0.125143,0.0790264,-0.0911368,0.0377994,0.00945125,0.0380194,-0.000140429,0.17164,0.0600875,0.0704706,0.0552505,0.0927084,0.111862,0.0329644,-55453.1
-18452.2,0.985122,0.310601,4,15,0,18486.6,-0.00174576,0.962175,0.195886,-0.0283183,0.287123,0.103906,0.317525,0.166656,0.0969296,0.0696567,0.282418,0.171317,-0.0707526,0.105192,0.0374601,0.00920159,0.119692,0.0636646,0.187266,0.176816,-0.0648682,-0.0417232,-0.167052,-0.145948,-0.0139573,-0.0243913,-0.0836738,-0.0319199,-0.0403535,0.0500223,0.0577685,0.0530339,-0.00389942,0.0105869,0.0214981,0.0343523,-0.0110261,-0.0536807,-0.00328921,0.0771585,0.0319732,-0.0298551,-0.0182863,-0.0113412,-0.0430713,0.00714093,-0.0555379,0.0100185,0.0379755,-0.031792,0.0337942,0.0461409,-0.00249622,0.229029,-0.0401245,0.0554471,-0.0037875,0.00551293,0.0774726,0.0725403,-0.0249598,0.00777156,-0.0517886,-0.116546,0.050456,0.160628,0.0932751,-0.0491638,0.0128765,0.00731389,0.0412746,-0.0305704,0.114252,0.113387,0.058191,0.0432912,0.0377943,0.0716567,0.110644,-55460.9
-18451,0.878697,0.310601,4,15,0,18494.3,-0.0125944,0.964638,0.207292,-0.0181978,0.350324,0.109328,0.293445,0.181804,0.0470929,0.0989836,0.236742,0.127328,-0.0750344,0.0519785,0.0524464,0.0224228,0.171197,0.0839647,0.138056,0.110339,-0.056673,-0.0468752,-0.118706,-0.194027,-0.000775333,-0.0408375,-0.0976315,0.00650766,-0.0415124,0.0831775,0.092593,0.0526732,0.0442393,-0.0107489,-0.00787225,0.0394809,0.0247827,-0.023948,-0.0417999,0.0827498,0.00358521,-0.0610406,0.0302663,0.00581542,-0.0595211,0.0078451,-0.00829258,0.0494055,0.039828,-0.0460588,0.0276873,0.0269642,-0.0481818,0.229509,-0.0190777,0.101291,-0.0115292,-0.0465974,0.0495935,0.0751789,-0.0512261,0.0273499,-0.03465,-0.124024,-0.0145321,0.196215,0.0737524,-0.0881268,0.0361306,-0.0222463,0.0337582,0.00856827,0.129072,0.0611085,0.0677329,0.0358623,0.0601775,0.120696,0.0394599,-55455.1
-18451.4,0.998681,0.310601,4,15,0,18492.8,-0.0202509,0.96383,0.211754,-0.0314599,0.3287,0.0980161,0.291376,0.182888,0.0666689,0.0963944,0.26224,0.131311,-0.0561624,0.0360026,0.0577929,0.0313039,0.165328,0.0688636,0.150745,0.121383,-0.0411567,-0.0233342,-0.114375,-0.172237,-0.0170959,-0.0329158,-0.0965559,0.00506805,-0.0177881,0.0779866,0.110743,0.0288312,0.0320681,-0.00095937,-0.007208,0.0519602,0.00540768,-0.0255681,-0.0220979,0.110267,0.0194878,-0.0518374,0.0154335,0.0191386,-0.0654252,-0.0433545,-0.0379801,0.0666702,0.0465146,-0.0105279,0.0220896,0.0398629,-0.0454944,0.231975,-0.0117045,0.0835189,-0.0293511,-0.0573051,0.0260977,0.0712494,-0.0501441,-0.0032757,-0.0276578,-0.0984303,-0.00752119,0.215951,0.0665972,-0.0334486,0.0278866,-0.014676,0.0440872,-0.0387611,0.237624,0.0656932,0.0445284,0.0487932,0.0621911,0.0941827,0.0555008,-55457.2
