# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-04-21 06:15:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/ro4b1a6w.json
# init = 2 (Default)
# random
#   seed = 36787
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-dens.h-nondens/hreg-20250421011546_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.5.11,beta.6.11,beta.7.11,beta.8.11,beta.9.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.5.12,beta.6.12,beta.7.12,beta.8.12,beta.9.12,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,mu_beta.11,mu_beta.12,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,sigma_beta.11,sigma_beta.12,log_p
# Adaptation terminated
# Step size = 0.236647
# Diagonal elements of inverse mass matrix:
# 3.43044e-05, 2.33608e-05, 0.00014859, 0.000179771, 0.000222832, 0.000175917, 0.000255316, 0.000222192, 0.000401164, 0.000139098, 0.000147685, 0.00012582, 0.000137742, 0.000269518, 0.00019616, 0.000215101, 0.000282244, 0.000276675, 0.00031661, 0.000385159, 0.000464987, 0.00017232, 0.000199865, 0.000176164, 0.000194137, 0.000363703, 0.000466568, 0.000391161, 0.000440368, 0.000390591, 0.000571772, 0.000666313, 0.00070192, 0.000330039, 0.000209157, 0.000238729, 0.000403325, 0.000388358, 0.000212401, 0.000263082, 0.000262152, 0.00022084, 0.00240535, 0.000373347, 0.000485991, 0.00018219, 0.000162155, 0.00017668, 0.00026284, 0.000413184, 0.000230913, 0.000271268, 0.000231606, 0.00021905, 0.000254718, 0.000345925, 0.000441499, 0.000142493, 0.000158025, 0.000193059, 0.00023563, 0.000263148, 0.000170295, 0.000194645, 0.000255615, 0.000247356, 0.000263537, 0.000507684, 0.000445535, 0.000221971, 0.000171733, 0.000192582, 0.00024798, 0.000379677, 0.000508045, 0.000260493, 0.000222275, 0.000221388, 0.00029953, 0.000286474, 0.000369262, 0.000177919, 0.000121111, 0.000164387, 0.000206741, 0.000245324, 0.000397892, 0.000438475, 0.000408804, 0.000362754, 0.00413083, 0.000592435, 0.000718524, 0.000266913, 0.000232597, 0.000269346, 0.000324567, 0.000646255, 0.000283283, 0.000329587, 0.000304136, 0.000290584, 0.000517083, 0.000510137, 0.00076918, 0.000214297, 0.000207035, 0.000248873, 0.000268888, 0.00041984, 0.00199985, 0.00119962, 0.000513837, 0.000392674, 0.000616845, 0.00149917, 0.000810344, 0.000112378, 0.000119628, 9.34642e-05, 0.000224169, 0.000547463, 0.0884678, 0.0864037, 0.103013, 0.114305, 0.157972, 0.0873261, 0.0960508, 0.203248, 0.143125, 0.250883, 0.173676, 0.121349
-18356.7,0.820827,0.236647,4,15,0,18416.5,-0.00435667,0.966536,0.102024,-0.022705,0.250103,0.116843,0.331233,0.130158,0.0613469,0.0709134,0.224302,0.186961,-0.0529136,0.116485,0.0195072,0.0073844,0.118514,0.121547,0.16445,0.162988,-0.0487088,-0.0358568,-0.0778112,-0.149416,-0.00388697,0.000806887,-0.0809093,-0.027372,-0.0404617,0.0672815,0.0984234,0.059473,0.012816,0.00271524,0.00891743,0.0798006,-0.00198226,-0.0559646,-0.0450837,0.0875904,0.0516489,-0.039599,-0.00276347,-0.0433287,-0.0496597,0.107396,-0.0220448,-0.00505213,0.0462309,-0.085051,0.0976015,0.100819,-0.0240308,0.192715,-0.0311846,0.0740457,-0.0456976,-0.0549973,-0.00565226,0.068424,-0.0956667,-0.0742804,-0.0916124,-0.0871959,-0.0795346,-0.00267269,0.00934445,0.0346156,0.00383482,0.022813,0.0528674,0.00457306,-0.0217553,-0.00722577,-0.035956,-0.0234938,0.00485812,-0.00473192,-0.00758586,-0.0203646,-0.0238017,-0.0226483,0.00797636,-0.0419808,-0.0544606,-0.0317196,-0.038898,-0.0501107,-0.0171365,-0.0327783,-0.017136,-0.0235299,-0.0113083,0.00315941,-0.037065,0.0756955,0.0460786,-0.0323908,0.00240923,0.0272957,0.013202,-0.0495126,-0.0198092,-0.0448024,-0.0134542,-0.0440026,-0.0697032,-0.0681175,0.0199051,-0.146089,0.151876,0.0758672,-0.0706548,0.0262277,0.00966706,0.0724752,-0.0636523,0.00732715,-0.00730413,-0.0412211,0.00626272,-0.0194345,0.0980296,0.112766,0.0449505,0.0387984,0.0574751,0.114866,0.0410968,0.0254409,0.0196945,0.0196669,0.0510453,0.0564298,-19335.9
-18365.1,0.936862,0.236647,4,15,0,18421.6,-0.00829418,0.962351,0.115206,-0.00440529,0.245633,0.0977161,0.320393,0.182507,0.102073,0.0578067,0.20541,0.14992,-0.0714748,0.0942884,0.0629385,0.00943036,0.144946,0.0849966,0.189233,0.209638,-0.0420265,-0.0147228,-0.0817619,-0.143638,0.00429765,-0.0340784,-0.0866106,-0.015527,-0.00344549,0.0727558,0.0727839,0.0755907,0.0356777,-0.00619492,-0.0166753,0.051393,-0.00518822,-0.00499951,-0.0198875,0.0657766,0.026666,-0.152251,0.0323095,-0.0134105,-0.0405363,0.0826185,-0.00316316,0.0298101,0.0335711,-0.0654729,0.0524074,0.0809217,-0.0239629,0.206313,-0.00812056,0.11266,-0.0665889,-0.00351532,-0.00874674,0.0367551,-0.102017,-0.0418335,-0.0943621,-0.074422,-0.11548,-0.00422196,-0.0221226,0.0326989,-0.0290607,0.0205824,-0.00464997,0.0141293,0.0176758,0.0150175,-0.0300255,-0.0470133,-0.0203881,-0.00950457,-0.00728126,-0.0134402,0.0114035,-0.00678562,-0.0156667,-0.027213,-0.0373637,-0.036965,-0.0326269,-0.0395885,-0.0334855,-0.0212346,-0.0381204,-0.0294059,0.00194079,0.0252285,-0.0144479,0.0616034,0.0837979,0.0181418,0.0261068,0.017117,0.0247741,-0.0938813,0.0100201,-0.0649637,-0.048536,-0.0491322,-0.0700677,-0.0715964,0.048738,-0.0898731,0.225388,0.0974224,-0.0519689,0.0462137,0.000288943,0.0195758,-0.0441861,0.0120788,-0.0172354,-0.0396867,0.032129,-0.0584806,0.205832,0.0760967,0.0825192,0.0704819,0.0881204,0.0736362,0.061809,0.0204776,0.0170622,0.0104375,0.0271039,0.0458615,-19305.1
-18360.3,0.936156,0.236647,4,15,0,18428.6,-0.0167056,0.966902,0.124139,-0.0225842,0.247138,0.104049,0.320702,0.181005,0.093999,0.0785533,0.219882,0.144798,-0.0757343,0.101682,0.0467229,0.0100213,0.149448,0.0848092,0.154988,0.176487,-0.0413448,-0.005099,-0.10165,-0.129046,-0.00638018,-0.0284875,-0.0729712,-0.0186523,-0.0284089,0.0635173,0.0680648,0.0833448,0.0382665,-0.0120862,-0.0352777,0.0559859,-0.00236939,-0.0075171,-0.0343822,0.0694222,0.0459266,-0.122438,0.0269529,-0.029702,-0.0374634,0.0558007,-0.00890927,0.0375509,0.0613063,-0.0641438,0.0395698,0.0957422,-0.0166086,0.201696,-0.0167053,0.108404,-0.0610881,-0.0487991,0.0133234,0.0556251,-0.1044,-0.0741856,-0.0670312,-0.0754574,-0.0979902,0.0129306,-0.0134024,0.012764,-0.0192539,0.00227593,0.0145481,0.00391776,0.00551743,0.0244438,-0.0456828,-0.033511,-0.0254229,0.0187644,-0.0154924,-0.0197475,-0.0112977,-0.0188417,-0.0119145,-0.0377259,-0.0473703,-0.030512,-0.0427956,-0.0348109,-0.0255351,-0.0316434,-0.0323253,-0.0342946,0.0283665,0.00817523,3.67001e-05,0.0490265,0.0477273,0.00958977,0.00033945,0.0454625,0.0522633,-0.0614817,0.00763743,-0.116006,-0.00662195,-0.0496167,-0.072311,-0.0586249,0.0455876,-0.109637,0.176097,0.0835123,-0.0653581,0.0372943,0.016791,0.0764647,-0.0416556,-0.0014408,-0.0206028,-0.0386731,0.0491573,-0.0621031,0.136218,0.0876592,0.0469747,0.0456659,0.0800171,0.104494,0.0754717,0.0154076,0.0226708,0.00712287,0.0425409,0.087416,-19307.6
-18369.4,0.663177,0.236647,4,15,0,18437.5,-0.0175321,0.965042,0.126899,-0.0254463,0.246062,0.102266,0.320199,0.180816,0.0918117,0.0822795,0.218787,0.147575,-0.0795511,0.100754,0.0464539,0.00715905,0.148156,0.0896822,0.152204,0.180359,-0.0396983,-0.00469474,-0.0974799,-0.133373,-0.00971332,-0.0241465,-0.0697571,-0.0235515,-0.0334492,0.0597132,0.0607487,0.0881595,0.0354178,-0.00844234,-0.0370016,0.052296,-0.00773111,-0.00888495,-0.0390937,0.0666144,0.0416826,-0.129172,0.0259996,-0.0293043,-0.0307313,0.0778701,-0.00895884,0.0365523,0.0622136,-0.0689949,0.0385194,0.0913213,-0.00927028,0.208313,-0.0265003,0.102943,-0.0642685,-0.0439416,0.0188259,0.0532387,-0.111787,-0.0697586,-0.0642482,-0.0682773,-0.11167,0.0108292,-0.0176244,0.0192741,-0.0157487,0.00531333,0.00850767,-0.00248928,0.00701593,0.0179384,-0.0412374,-0.0331637,-0.0276333,0.0188417,-0.00976923,-0.0182782,-0.00790481,-0.0117303,-0.0150278,-0.0397857,-0.0433815,-0.0315294,-0.0432419,-0.0326728,-0.0221068,-0.02989,-0.0330734,-0.0336593,0.0287616,0.00520344,0.015127,0.0575403,0.0432095,0.015444,3.25879e-05,0.0510214,0.048386,-0.0672241,0.00566827,-0.122195,-0.00905634,-0.0525651,-0.0676405,-0.0534576,0.0532695,-0.109959,0.18893,0.08718,-0.0738914,0.0389591,0.0114755,0.0841984,-0.0340242,-0.00229039,-0.023928,-0.0375683,0.0447526,-0.0646152,0.131335,0.0949328,0.0432261,0.0419901,0.0688408,0.111421,0.0772689,0.0149157,0.0215405,0.00610014,0.0471692,0.0845958,-19308.1
-18373.4,0.975379,0.236647,4,15,0,18436.8,-0.0001217,0.96936,0.105683,-0.0107853,0.240768,0.117111,0.328434,0.177985,0.127299,0.0589707,0.198151,0.182409,-0.0511353,0.116588,0.0490389,0.0204103,0.103005,0.0825628,0.169361,0.170426,-0.0151763,-0.0113269,-0.0897862,-0.16215,-0.00318564,-0.022582,-0.0876805,-0.0455982,-0.0185385,0.0451483,0.0810152,0.0432256,0.0300846,0.00168519,0.00342457,0.0479575,0.0236028,-0.0437338,-0.0289295,0.0677532,-0.000266961,0.0483149,0.0224513,-0.0261473,-0.0537884,0.0999166,-0.025572,0.0460293,0.0703171,-0.0702293,0.0584909,0.0914336,-0.0190861,0.19759,-0.00255019,0.110997,-0.0606251,-0.0325461,0.025543,0.0469151,-0.120964,-0.0635486,-0.0928524,-0.067644,-0.0950796,-0.0364921,0.000402337,0.0156893,-0.016313,0.0143106,0.00732078,0.0210329,0.00140191,-0.0122637,-0.0241181,-0.0570327,-0.00485333,0.00674578,-0.00330418,0.00488956,-0.00528244,-0.0346647,0.00309587,-0.0246095,-0.0313577,-0.0358194,-0.011763,-0.048233,-0.0282179,-0.0189517,-0.0279806,-0.0147466,0.0058909,0.0152778,-0.00832266,0.0470145,0.0650957,0.0147706,0.006282,0.00347255,0.0245258,-0.0421959,0.0163472,-0.0742865,-0.0395133,-0.0606717,-0.0945252,-0.0255579,0.0384189,-0.109779,0.170334,0.0921391,-0.0347952,0.0134137,0.0260552,0.0721119,-0.0807475,0.00283127,-0.0120756,-0.0303236,0.0232808,-0.0140139,0.12072,0.0464361,0.0669887,0.0278147,0.0655501,0.0868362,0.0499499,0.0149559,0.029055,0.00960556,0.018419,0.0668888,-19310.1
-18365.6,0.832997,0.236647,4,15,0,18453,-0.0138216,0.960009,0.128981,-0.0139841,0.232149,0.103716,0.319005,0.155418,0.0306409,0.0961302,0.198793,0.15505,-0.0695468,0.0952456,0.0310425,0.0193462,0.168092,0.12877,0.180665,0.213026,-0.0658175,-0.0685341,-0.0932273,-0.118772,-0.00287241,-0.0231686,-0.0837605,-0.00569887,-0.0429597,0.0745603,0.0674536,0.0901819,0.0129449,-0.00261879,-0.0319226,0.0599416,-0.0139602,-0.0174661,-0.0408731,0.0794559,0.034607,-0.0975819,-0.0132329,-0.044683,-0.043508,0.0292795,-0.0342088,0.0135298,0.0314445,-0.0981489,0.0406728,0.077382,-0.0126936,0.199272,-0.0231976,0.0833357,-0.0583504,-0.00245769,0.0518379,0.0879173,-0.104119,-0.0377527,-0.12025,-0.0868397,-0.0970169,0.0264652,-0.0215899,0.0252956,-0.000577324,0.00773609,0.0141235,-0.0137505,-0.0150403,0.00793125,-0.0393012,-0.0135626,-0.00804895,-0.0204415,-0.00136868,-0.0254944,-0.00385412,-0.0015266,-0.00322721,-0.0506731,-0.0616481,-0.0447015,-0.0577579,-0.0570154,-0.0305598,-0.0339921,-0.0589059,-0.0344207,-0.0022046,0.0022934,-0.0229388,0.0533264,0.028601,-0.00303807,0.0277628,0.0395312,0.0169759,-0.0794047,0.0138466,-0.0401523,0.0332525,-0.0478401,-0.044497,-0.111457,0.0517421,-0.135936,0.130848,0.13479,-0.0562314,0.0255024,-0.00798554,-0.0137162,0.0373255,0.0129159,-0.00781774,-0.0462849,0.0304428,-0.0262189,0.0853385,0.201389,0.0378572,0.0725885,0.0389926,0.111251,0.123065,0.0167278,0.0158225,0.0117921,0.031631,0.0725435,-19330.9
