# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-04-21 06:15:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/ro4b1a6w.json
# init = 2 (Default)
# random
#   seed = 36787
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-dens.h-nondens/hreg-20250421011546_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.5.8,beta.6.8,beta.7.8,beta.8.8,beta.9.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.5.9,beta.6.9,beta.7.9,beta.8.9,beta.9.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.5.10,beta.6.10,beta.7.10,beta.8.10,beta.9.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.5.11,beta.6.11,beta.7.11,beta.8.11,beta.9.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.5.12,beta.6.12,beta.7.12,beta.8.12,beta.9.12,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,mu_beta.8,mu_beta.9,mu_beta.10,mu_beta.11,mu_beta.12,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,sigma_beta.8,sigma_beta.9,sigma_beta.10,sigma_beta.11,sigma_beta.12,log_p
# Adaptation terminated
# Step size = 0.205548
# Diagonal elements of inverse mass matrix:
# 3.45946e-05, 2.19401e-05, 0.000159365, 0.000177749, 0.000206652, 0.000200771, 0.000249733, 0.000258149, 0.000368745, 0.000155183, 0.000148028, 0.000128162, 0.000143332, 0.000325566, 0.000192327, 0.000269906, 0.000268238, 0.000241491, 0.000309486, 0.000348398, 0.000473101, 0.000166, 0.00018486, 0.000166098, 0.000208502, 0.000354584, 0.000430522, 0.000340953, 0.000397136, 0.000326731, 0.00050356, 0.000756279, 0.000703827, 0.000363401, 0.000203591, 0.000257801, 0.000466851, 0.000473456, 0.000231156, 0.000199472, 0.000287314, 0.000228409, 0.00220701, 0.000435609, 0.000488938, 0.000176322, 0.000171974, 0.000181676, 0.000303165, 0.000382042, 0.000214158, 0.000261218, 0.000241436, 0.00020473, 0.000297994, 0.000298058, 0.000555636, 0.000174652, 0.000161378, 0.000213486, 0.000225569, 0.000373027, 0.000238466, 0.000212128, 0.000315557, 0.000211259, 0.000235627, 0.000589978, 0.000427333, 0.000213106, 0.000178438, 0.000203104, 0.000205912, 0.000385799, 0.000609601, 0.000235861, 0.000237412, 0.000212069, 0.000237005, 0.000270976, 0.000331203, 0.000170457, 0.000140443, 0.000159117, 0.000173964, 0.000261747, 0.000325371, 0.000379578, 0.000445373, 0.000376477, 0.00354148, 0.000507678, 0.000675215, 0.000223335, 0.000209678, 0.000192696, 0.000346939, 0.000582934, 0.000291315, 0.000340955, 0.000331257, 0.000330235, 0.000570707, 0.000527206, 0.000785327, 0.000255292, 0.00020669, 0.000252906, 0.000257951, 0.000456461, 0.00171024, 0.00115282, 0.000407937, 0.000421471, 0.000641612, 0.0011887, 0.000769254, 0.000114037, 0.000105808, 0.000116492, 0.000145683, 0.00049902, 0.0773361, 0.0986421, 0.0952618, 0.127356, 0.185107, 0.105609, 0.0959729, 0.214086, 0.216973, 0.231338, 0.164907, 0.102619
-18374.5,0.953845,0.205548,4,15,0,18431.8,-0.011349,0.968708,0.123649,-0.022945,0.235165,0.119035,0.328812,0.177343,0.0925741,0.0956064,0.228678,0.18969,-0.0719213,0.12415,0.0254319,0.0443037,0.109107,0.0895621,0.167669,0.207665,-0.0796198,-0.0215404,-0.0854042,-0.146871,-0.0254343,-0.0121254,-0.0841091,0.013295,0.0146978,0.0387497,0.0716635,0.0443213,0.0319644,-0.00107718,0.00893299,0.0629675,0.0259068,-0.0487364,-0.0410761,0.0448061,0.00416621,-0.0723526,0.00197368,-0.060081,-0.0605458,0.00395821,-0.00100692,0.0293869,0.0409195,-0.0726696,0.0425128,0.0660713,0.0116908,0.188792,-0.0545745,0.098413,-0.0325457,-0.0226728,0.0343094,0.0754443,-0.111076,-0.0716723,-0.0570911,-0.0696412,-0.160974,0.00869733,-0.00781628,0.0163262,-0.00962143,0.0180448,0.0236245,0.0172613,0.00166441,-0.0157533,-0.0398727,-0.0533619,0.00145593,-0.00294266,-0.00495242,0.0171219,-0.00883184,-0.0281692,0.00165378,-0.028744,-0.0626027,-0.0494839,-0.0527809,-0.0605186,-0.0271515,-0.0169209,-0.0419201,-0.0226816,0.00801881,0.00106957,-0.0461984,0.0481685,0.0391692,0.0285463,-0.00564194,0.00416695,0.0260039,-0.0435414,-0.00397023,-0.0597296,0.027311,-0.0724354,-0.089646,-0.0514028,0.0764195,-0.108121,0.163249,-0.0787837,-0.00798625,0.0421636,-0.0262776,0.0892886,-0.0328726,0.0018677,-0.010749,-0.0194042,0.00496222,-0.016641,0.151336,0.192281,0.0733539,0.0437717,0.03267,0.0790344,0.103684,0.0109749,0.0254183,0.0320858,0.0578453,0.0858474,-19331.3
-18374.3,0.924536,0.205548,5,31,0,18445.2,-0.00951646,0.968278,0.134242,-0.00730463,0.237762,0.106185,0.326864,0.164388,0.0810051,0.0603452,0.215753,0.170778,-0.0791972,0.0690668,0.0457882,-0.00959033,0.149702,0.0933698,0.159838,0.214662,-0.0279878,-0.0459728,-0.117053,-0.150554,-0.0184378,-0.0456752,-0.0415269,-0.0509917,-0.0376607,0.0811819,0.0919319,0.0596836,0.00441698,-0.015474,0.0137492,0.0781626,-0.00274278,-0.0475861,-0.0320077,0.0673104,0.0485059,-0.0439872,0.016212,-0.00905204,-0.0332742,0.037525,-0.0256589,0.0294709,0.0478914,-0.0859639,0.0877975,0.0701198,-0.0440966,0.203594,-0.0235656,0.0684569,-0.0525006,-0.00599059,0.0173073,0.0612147,-0.0675538,-0.0295836,-0.139059,-0.0831629,-0.109893,0.00327539,-0.0273995,0.0629061,-0.0232578,0.0334971,0.022948,0.0164008,0.00458399,-0.0116113,-0.0344522,-0.062353,-0.0202821,-0.0110214,-0.0170861,-0.00644397,-0.0165094,-0.00560543,-0.0152393,-0.053739,-0.08162,-0.0300505,-0.0368277,-0.0766386,-0.0114214,-0.0299322,-0.0627745,-0.0323954,0.0137378,0.0243353,-0.0361895,0.0503067,0.0558721,-0.0266109,0.0249274,0.0203421,-0.00511146,-0.0663128,-0.00368788,-0.0538017,-0.00858811,-0.0399888,-0.0587316,-0.0619949,0.0260356,-0.10857,0.12893,0.0402466,-0.0736908,0.0586967,-0.0115657,0.0761174,-0.0583895,0.0176729,-0.0148417,-0.0368546,0.000536262,-0.0730565,0.146901,0.10631,0.0448058,0.0558489,0.0574492,0.082608,0.0996625,0.0432044,0.0177018,0.0277885,0.0331945,0.0287826,-19333.1
-18360.9,0.988268,0.205548,4,15,0,18426.2,-0.00273589,0.96339,0.116736,-0.0128581,0.269891,0.102602,0.333743,0.158112,0.0975102,0.076305,0.241302,0.187669,-0.0749588,0.103175,0.0425381,-0.00376233,0.174667,0.0993668,0.173158,0.193553,-0.0453288,-0.0467197,-0.0930227,-0.153276,-0.0171278,-0.0567275,-0.0437964,-0.0263959,-0.0394769,0.0519272,0.0803261,0.0485545,0.00726696,-0.00962677,-0.0122409,0.0634784,-0.00561901,-0.022416,-0.0246459,0.0719766,0.0336252,-0.0831763,0.0244804,-0.04013,-0.0321845,0.0589449,-0.00940285,0.0337308,0.0375387,-0.0766602,0.0853894,0.0915466,-0.016236,0.210157,-0.0241524,0.0915903,-0.0608426,-0.0185241,0.0449112,0.0762423,-0.0768481,-0.0448947,-0.138637,-0.0880836,-0.0952895,-0.0104249,-0.021062,0.048144,-0.0153309,0.043829,0.0259049,0.0305581,-0.000261588,-0.0105832,-0.0371319,-0.0392591,-0.0282788,-0.0146075,-0.0207188,-0.00576608,-0.0192408,-0.0158265,0.00482303,-0.0438267,-0.0680738,-0.0488193,-0.0426227,-0.0549939,-0.0128023,-0.0337752,-0.0542702,-0.0447279,0.032536,0.00689938,-0.0250557,0.0574677,0.0654815,-0.0268873,-0.000123104,0.00846816,-0.0133645,-0.0482865,-0.00497324,-0.0622371,0.014553,-0.0196731,-0.0465727,-0.0730673,0.0268822,-0.101765,0.164584,0.0329302,-0.0828199,0.0383733,0.00952135,0.0924743,-0.0580209,0.0195894,-0.0203138,-0.0477702,-0.00522487,-0.0275384,0.163221,0.172135,0.0602239,0.050258,0.0468355,0.0838496,0.0902886,0.0266627,0.0157252,0.0207963,0.0473507,0.0562585,-19374.2
-18372.6,0.875285,0.205548,4,15,0,18440.3,-0.0154276,0.96612,0.129003,-0.0253562,0.265565,0.0987614,0.307861,0.128835,0.0553354,0.0930237,0.219125,0.163885,-0.0519418,0.112701,-0.00361261,-0.000879954,0.153486,0.0829849,0.163664,0.20723,-0.0324969,-0.0610488,-0.10305,-0.163903,-0.00728278,-0.0101676,-0.0632659,-0.0153049,-0.00280019,0.0879022,0.0724465,0.0497248,0.0175382,-0.0148426,-0.0255849,0.0497888,0.00878451,-0.0143028,-0.0499294,0.0734899,0.0291712,5.18197e-05,0.0329226,-0.0572741,-0.0405009,0.00223092,0.0221318,0.0187558,0.0592132,-0.0968103,0.0280867,0.0713753,0.0101621,0.219321,-0.0438406,0.0283764,-0.0498824,-0.0188599,0.0119065,0.109837,-0.0885616,-0.0411861,-0.125156,-0.102042,-0.107723,-0.0120434,-0.0159045,0.0166881,0.011546,0.0261377,0.0221178,0.00947309,-0.0163109,0.0127261,-0.0387608,-0.0183654,-0.00626603,-0.0218753,-0.0112011,-0.0377208,-0.00141684,-0.028712,-0.0170603,-0.0402177,-0.0676111,-0.0502651,-0.0622946,-0.0645461,-0.026185,-0.0450139,-0.0622734,-0.0195152,0.016278,-0.00207055,-0.0448684,0.0622317,0.0307489,-0.00364139,0.0343615,0.023307,0.00923835,-0.0716202,0.000189104,-0.0425947,0.00856258,-0.0354967,-0.080038,-0.0697258,0.0127479,-0.121033,0.0497782,0.0867985,-0.0572804,-0.00662815,0.000809358,-0.021778,-0.0744126,-0.00247226,-0.0240439,-0.0464024,0.0214227,-0.028717,0.128311,0.0604274,0.0717147,0.066661,0.0442261,0.0937145,0.111763,0.0199719,0.0108401,0.0193106,0.0386162,0.0451179,-19322.4
-18377.8,0.986215,0.205548,4,15,0,18434.8,-0.00054976,0.963036,0.109708,-0.00465097,0.209478,0.140616,0.345441,0.195418,0.101825,0.0580706,0.21626,0.166609,-0.0464645,0.102189,0.0479999,0.0235982,0.130933,0.127542,0.195518,0.160379,-0.0469247,-0.0345856,-0.0973708,-0.154187,0.0115136,-0.00635354,-0.0821284,0.000595767,-0.0415352,0.034046,0.0824842,0.0479178,0.0541165,0.0203248,0.00721242,0.0533693,0.0215902,-0.0397763,-0.0222067,0.041475,-0.0241104,-0.0686656,-0.0276846,-0.0157928,-0.0552186,-0.0033382,-0.0559567,0.0570358,0.0363965,-0.0714742,0.074383,0.0798508,-0.0381871,0.178924,-0.0468252,0.138718,-0.0473201,-0.0104328,0.0484893,0.0707145,-0.0756773,-0.0653977,-0.0989892,-0.0675195,-0.0771706,-0.007165,-0.0144475,0.0360847,-0.0433545,0.00900431,0.0211946,0.00292982,-0.00925835,-0.0067706,-0.0342428,-0.0610433,-0.0209026,0.000650787,0.00322103,0.00950046,-0.0201794,-0.00619662,0.0157803,-0.0423112,-0.048651,-0.0579345,-0.0171022,-0.0647826,-0.016957,-0.0115179,-0.0302293,-0.0365458,0.00640243,0.0131751,-0.0134621,0.0485809,0.0729317,0.00635624,-0.00220537,-0.000756551,0.00544627,-0.0213451,-0.0144632,-0.0530556,-0.0059438,-0.043954,-0.0681106,-0.0651711,0.0670527,-0.096056,0.232187,0.10257,-0.027285,0.0428537,-0.0320905,0.0920819,-0.032828,0.000194094,-0.0173891,-0.04208,0.0410405,-0.0419064,0.119186,0.159163,0.0886928,0.0224172,0.040105,0.0842458,0.0576831,0.0273678,0.0208606,0.0141038,0.0476994,0.0522403,-19349.2
-18375.6,0.844607,0.205548,4,15,0,18449.1,-0.014158,0.966422,0.14456,-0.0436609,0.240479,0.100155,0.327983,0.154944,0.0714949,0.0847837,0.214011,0.158524,-0.0506025,0.0653234,0.00671271,-0.00416584,0.143262,0.0920762,0.176225,0.20505,-0.0558709,-0.0405963,-0.113472,-0.126553,-0.01025,-0.027758,-0.0465322,-0.0171623,-0.0188756,0.0691091,0.0679755,0.0179727,0.02488,-0.0124432,0.0226322,0.0624351,-0.00106351,-0.0276632,-0.0559034,0.0664324,0.0195173,0.001081,0.0180286,-0.00574971,-0.0439851,0.0493301,0.00198412,0.0108973,0.0654237,-0.0798744,0.00471172,0.0912264,-0.0225595,0.192118,-0.0336484,0.0761558,-0.012193,-0.010675,0.0523945,0.0863683,-0.0845105,-0.0671488,-0.10274,-0.0602407,-0.1032,-0.0102968,-0.0241545,0.00948589,-0.0129565,0.012903,0.00812056,0.00957809,-0.0203738,-0.0199997,-0.0397798,-0.0231145,0.000572123,-0.0145533,0.00710579,-0.0139084,-0.00436025,-0.0328047,0.00585418,-0.0373687,-0.0658793,-0.0662366,-0.0495205,-0.0910679,-0.00056887,-0.0359407,-0.0543836,-0.0266443,0.0330742,-0.00499233,-0.0354909,0.0493243,0.0490357,0.00957942,0.0275375,0.013797,0.0387041,-0.056097,0.0241017,-0.00384234,0.0166366,-0.0391775,-0.0557795,-0.0437354,0.0643354,-0.109597,0.137421,0.111552,-0.0620222,-0.00485364,0.00487254,-0.00624012,-0.0301066,-0.00668283,-0.00430373,-0.0296517,0.0305605,0.0033213,0.136072,0.0687368,0.0338116,0.087827,0.0257537,0.0768802,0.0766719,0.0155939,0.0170517,0.038377,0.0350404,0.0558578,-19297.5
