# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2025-03-23 19:57:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/rw6awnhc.json
# init = 2 (Default)
# random
#   seed = 19953
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/h-dens.h-nondens/hreg-20250323145717_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,log_p
# Adaptation terminated
# Step size = 0.319404
# Diagonal elements of inverse mass matrix:
# 3.16046e-05, 2.11298e-05, 0.000222358, 0.000158979, 0.000217627, 0.000177977, 0.000229964, 0.000190023, 0.000233927, 0.0002565, 0.000208499, 0.00026971, 0.000237614, 0.000316086, 0.000267719, 0.000319366, 0.00042694, 0.000349956, 0.000501517, 0.000381643, 0.000544701, 0.000712254, 0.000610998, 0.000153, 0.00025542, 0.000222191, 0.000222395, 0.00211351, 0.000395593, 0.000266617, 0.000234569, 0.000222723, 0.000238646, 0.000194784, 0.00025644, 0.00026322, 0.000344746, 0.000242667, 0.000205193, 0.000303478, 0.000270051, 0.00024481, 0.000507218, 0.000267292, 0.000401199, 0.000216916, 0.000227426, 0.000203285, 0.000284493, 0.000287117, 0.000291052, 0.000320146, 0.00035324, 0.000464588, 0.000389706, 0.00301942, 0.000405952, 0.000523997, 0.000338706, 0.000336126, 0.000283838, 0.000284025, 0.000363472, 0.000468827, 0.000486983, 0.00201667, 0.00125995, 0.000579112, 0.000303074, 0.000533538, 0.00112612, 0.000552095, 0.102959, 0.0809815, 0.0876107, 0.0931267, 0.136303, 0.0876825, 0.090092
-18586.8,0.993289,0.319404,4,15,0,18624.3,-0.00990251,0.968599,0.212935,-0.0131908,0.252161,0.107204,0.311469,0.202081,0.0834807,0.0908774,0.226034,0.172132,-0.0269597,0.0490833,0.0443357,-0.0197024,0.146214,0.0706579,0.193453,0.174398,-0.0278343,-0.0620749,-0.148384,-0.149121,-0.0175283,-0.0315999,-0.0825224,-0.0271177,0.00835811,0.0728868,0.0641664,0.0348709,0.0106193,-0.0144132,-0.00915277,0.0406252,-0.00318199,-0.00424544,-0.00766569,0.0804188,0.0511012,0.00392432,0.0151284,-0.0167456,-0.0651962,0.0331556,-0.00829081,0.0185814,0.0233149,-0.0337327,0.0178005,0.0458415,-0.0162345,0.201478,-0.0210257,0.0644301,-0.018935,-0.0236173,0.0583783,0.0362753,-0.0274523,0.00563759,-0.0300245,-0.0825157,-0.0413314,0.175571,0.116826,-0.0622974,0.0201543,0.0080549,0.00487018,-0.025682,0.0924684,0.0733027,0.0739774,0.0432146,0.0481351,0.103396,0.0568956,-19223.4
-18600.5,0.579376,0.319404,4,15,0,18633.9,0.00269703,0.964776,0.216607,0.000631712,0.279836,0.112295,0.303861,0.215027,0.108532,0.0772803,0.230789,0.137977,-0.0253732,0.0698431,0.0279177,-0.00665681,0.129582,0.0883272,0.159703,0.144294,-0.0424926,-0.043826,-0.133523,-0.139327,0.0298938,-0.0494922,-0.0957907,-0.0210969,-0.0273837,0.0798128,0.0922114,0.0606941,0.0227817,0.0191074,-0.00484134,0.00739445,0.0216293,-0.0555995,-0.0167475,0.0753273,0.0515596,-0.0359985,0.00959987,0.037552,-0.0539284,0.0284112,-0.0344277,0.0289311,0.0172655,-0.0484111,0.0363054,0.0380023,-0.0578659,0.215387,-0.035578,0.0746959,-0.0207013,-0.0449892,0.0921145,0.0769722,-0.0387516,0.00407678,-0.019863,-0.113038,0.0165431,0.141951,0.143938,-0.0842891,0.0333757,0.0107267,0.0306414,-0.00122577,0.114469,0.170773,0.0583827,0.0413547,0.0411821,0.0703987,0.0517928,-19239.6
-18603.2,0.707626,0.319404,3,15,0,18643.3,0.00305057,0.966772,0.220493,-0.00669825,0.279715,0.115358,0.308327,0.222073,0.121394,0.0815096,0.227568,0.136255,-0.0256479,0.0612038,0.0265375,-0.00907267,0.131688,0.0824176,0.163341,0.144058,-0.0352366,-0.0376999,-0.133063,-0.135095,0.0346895,-0.0470177,-0.102518,-0.0309749,-0.0415904,0.0786563,0.0986692,0.0599776,0.0202579,0.0219943,-0.00439459,0.0173028,0.0209001,-0.057436,-0.0133867,0.0790791,0.0407795,-0.0222097,0.0165499,0.0388284,-0.0556877,0.062814,-0.0350967,0.0261188,0.0143039,-0.0443676,0.0327837,0.0398824,-0.0713817,0.203927,-0.0415519,0.0773818,-0.0179025,-0.0409834,0.0786933,0.0734379,-0.0354589,0.00912229,-0.0197384,-0.125878,0.0193899,0.179428,0.141243,-0.0703176,0.0360723,0.0148677,0.0298303,-0.0109947,0.11238,0.166238,0.0596373,0.0409952,0.0475079,0.0720017,0.0444519,-19238.5
-18605,0.93537,0.319404,4,15,0,18638.2,-0.0245196,0.968488,0.224548,-0.00435909,0.239331,0.105404,0.319297,0.169204,0.0876516,0.0847791,0.226267,0.17856,-0.0546594,0.0704518,0.0621291,0.00930172,0.159699,0.0689921,0.174372,0.173304,-0.0624219,-0.0631825,-0.104,-0.16631,-0.00512762,-0.0130039,-0.0693534,-0.0252178,0.0225423,0.0775179,0.0627742,0.0484485,0.018084,-0.0115071,-0.0230066,0.0680643,-0.0447068,-0.0179799,-0.0351699,0.0948442,0.0667548,0.00250803,0.00709392,-0.0253183,-0.0701444,-0.00367737,-0.0353658,0.0385285,0.0501902,-0.0443231,-0.012269,0.0745761,0.0161823,0.22294,0.0183308,0.107683,0.0068196,-0.0237873,0.0452741,0.0847505,-0.0318345,0.0133882,-0.0583393,-0.161389,-0.0466815,0.147363,0.12542,-0.0236389,0.0221942,-0.022219,0.03283,-0.0217966,0.100736,0.111752,0.0637772,0.0416342,0.0573032,0.0918325,0.133728,-19275.6
-18606.2,0.824266,0.319404,4,15,0,18650.8,-0.0193083,0.967574,0.235485,-0.016473,0.236449,0.108997,0.314345,0.177339,0.0929165,0.0717737,0.198191,0.164827,-0.0524775,0.0718625,0.0554523,0.00578945,0.167352,0.091953,0.185548,0.184825,-0.0672732,-0.0706623,-0.0842862,-0.175756,-0.00120083,0.00314947,-0.0629068,-0.0291229,0.017074,0.0632096,0.0751095,0.0483165,0.0147397,-0.0188385,-0.0105869,0.0669772,-0.0363796,-0.0246305,-0.0266545,0.106241,0.0833894,-0.00342276,-0.014905,-0.0397513,-0.0558059,-0.0354937,-0.0242453,0.0448938,0.0275457,-0.0304169,0.00697296,0.0562822,0.0060951,0.22637,0.0324273,0.115382,-0.00440512,-0.0170635,0.0504736,0.0914581,-0.0351908,0.00440141,-0.0549517,-0.145417,-0.0401021,0.148051,0.120556,-0.032619,0.0128564,-0.0198885,0.0916034,-0.027746,0.0997707,0.0686147,0.0558889,0.0552303,0.0663558,0.0901808,0.093733,-19278.1
-18613.1,0.797543,0.319404,4,15,0,18652.6,0.00211725,0.967302,0.215389,-0.00435507,0.300937,0.0967962,0.308914,0.201998,0.114424,0.0929061,0.253062,0.151334,-0.0383108,0.059884,0.0179151,-0.0285003,0.134529,0.0743836,0.166154,0.170133,-0.0287439,-0.031017,-0.119388,-0.155166,0.0337505,-0.0975509,-0.0900889,-0.0363091,-0.0293755,0.0745207,0.0774433,0.0404301,0.0369408,0.00360083,-0.0191011,0.024616,0.048443,-0.0499963,-0.0435257,0.0768894,0.0471854,-0.0329752,0.00994141,0.0277264,-0.0471078,0.0889929,-0.0287583,0.0281684,0.0339939,-0.028111,0.00858838,0.0412684,-0.0505527,0.223005,-0.0463599,0.086135,-0.00547795,-0.0342101,0.0796611,0.0373735,-0.0470071,0.0141566,-0.0114698,-0.103128,0.00739658,0.172611,0.0661543,-0.0809785,0.0288149,0.0144448,-0.00751711,0.0201975,0.140431,0.179458,0.057984,0.0555938,0.0403445,0.0813374,0.0493003,-19251.9
