# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = hreg_model
# start_datetime = 2024-09-28 22:07:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/bm6uhr3c.json
# init = 2 (Default)
# random
#   seed = 13641
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/h-dens.h-nondens/hreg-20240928170733_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=hreg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.5.5,beta.6.5,beta.7.5,beta.8.5,beta.9.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.5.6,beta.6.6,beta.7.6,beta.8.6,beta.9.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.5.7,beta.6.7,beta.7.7,beta.8.7,beta.9.7,mu_beta.1,mu_beta.2,mu_beta.3,mu_beta.4,mu_beta.5,mu_beta.6,mu_beta.7,sigma_beta.1,sigma_beta.2,sigma_beta.3,sigma_beta.4,sigma_beta.5,sigma_beta.6,sigma_beta.7,log_p
# Adaptation terminated
# Step size = 0.30262
# Diagonal elements of inverse mass matrix:
# 3.09989e-05, 2.58215e-05, 0.000225646, 0.000169934, 0.000248568, 0.000179768, 0.000191941, 0.000184438, 0.000273042, 0.000269889, 0.000193278, 0.00028091, 0.000252168, 0.000285052, 0.000330078, 0.000317244, 0.00044595, 0.00038472, 0.000460156, 0.00034227, 0.000577771, 0.000575063, 0.000552735, 0.00022534, 0.000215875, 0.000260768, 0.000206692, 0.00334798, 0.000318346, 0.000264276, 0.000175613, 0.000218665, 0.000242495, 0.000172127, 0.000263836, 0.000226543, 0.000334606, 0.000317035, 0.000205789, 0.000301616, 0.00025167, 0.000222693, 0.000523596, 0.0002966, 0.000429816, 0.000210951, 0.000234099, 0.000208392, 0.000270146, 0.000236122, 0.00028812, 0.000362939, 0.000366429, 0.000432756, 0.000390637, 0.0043067, 0.000394301, 0.000539737, 0.000411354, 0.000363612, 0.000283784, 0.00027013, 0.00053801, 0.000403041, 0.00059958, 0.00244763, 0.00108194, 0.000666197, 0.000379857, 0.00116144, 0.0013351, 0.000725728, 0.0769408, 0.0887402, 0.101802, 0.0930863, 0.182326, 0.0837473, 0.101181
-18446.4,0.885223,0.30262,4,15,0,18490.1,-0.00603017,0.966494,0.215933,-0.0456991,0.270051,0.0964525,0.322157,0.171243,0.061676,0.0857526,0.25001,0.152641,-0.0694412,0.092031,0.0647068,0.00366297,0.156356,0.0571302,0.164371,0.146073,-0.0437613,-0.0789551,-0.143419,-0.169278,-0.0225318,-0.00361214,-0.0570416,-0.0217958,-0.0381096,0.0594623,0.0696685,0.0454167,-0.00405427,-0.0143347,-0.0367326,0.0487513,-0.0238217,-0.0527122,-0.0248396,0.097597,0.0474095,-0.0393958,-0.0279554,-0.0310484,-0.0440376,0.0715985,-0.0145012,0.0306886,0.0324526,-0.0436159,0.0443071,0.0444374,0.00518117,0.220973,-0.0110102,0.099871,-0.0217747,0.0266681,0.0768173,0.0895365,-0.0267494,0.0225815,-0.0352049,-0.13805,-0.0418678,0.216242,0.0570859,-0.0472015,0.0749988,0.0309306,0.0866318,-0.0484793,0.173682,0.130218,0.0475244,0.0881248,0.0566993,0.0773947,0.0679044,-55442.1
-18449.6,0.917735,0.30262,4,15,0,18486.5,-0.00886479,0.964945,0.17898,-0.031641,0.309096,0.109111,0.292573,0.188617,0.0632981,0.118716,0.231368,0.16809,-0.0627201,0.0604465,0.0567088,0.0232301,0.156953,0.090222,0.139217,0.150619,-0.0281806,-0.0188126,-0.147078,-0.159877,-0.0165883,-0.0194592,-0.0829847,-0.00480452,-0.0106174,0.0682841,0.0690075,0.0636558,0.0181735,-0.013664,-0.00450761,0.0495313,0.00335436,-0.0263806,-0.027876,0.0841985,0.034298,-0.0855495,0.0654587,0.00737341,-0.0687791,0.0515744,-0.03875,0.0152279,0.0419429,-0.0288475,0.0372046,0.0387877,-0.04062,0.218757,-0.0482761,0.10418,-0.0245119,-0.0520229,0.0259189,0.0749821,-0.0902373,0.0134273,-0.0360453,-0.115581,0.0205197,0.200537,0.114251,-0.038729,0.0409909,-0.0696508,0.0858351,-0.046244,0.132008,0.0493599,0.0555934,0.0453896,0.0906954,0.117208,0.0506019,-55447.3
-18446.5,0.923694,0.30262,4,15,0,18492.6,-0.00839981,0.961159,0.2197,-0.0541447,0.297229,0.0792763,0.32394,0.187573,0.0460374,0.0858735,0.283042,0.148211,-0.0405261,0.0955476,0.044614,0.0302309,0.153156,0.0898715,0.187305,0.172648,-0.0538786,-0.0680835,-0.104372,-0.188732,0.0164588,-0.0132041,-0.0601601,0.0262162,-0.0153761,0.0748473,0.0865391,0.0493319,-0.0224188,-0.004855,0.00992853,0.0601467,0.000707322,-0.0700602,-0.00705998,0.105618,0.0395084,-0.0499111,0.0161544,-0.00752359,-0.0712639,0.0537386,-0.00293803,0.0362302,0.017814,-0.0505259,0.0433641,0.033237,-0.00477693,0.230183,-0.00352433,0.0912534,-0.0311721,-0.00602879,0.0478962,0.0828493,-0.0887166,-0.0198806,-0.0423306,-0.160405,-0.0277139,0.14065,0.0738521,-0.0817409,-0.000377181,0.0613489,0.0130817,-0.00203714,0.120335,0.149248,0.0861583,0.0736774,0.0571968,0.0857411,0.114229,-55440.8
-18454.6,0.933106,0.30262,4,15,0,18490.9,-0.00592968,0.964755,0.177831,-0.00157462,0.302865,0.111617,0.287589,0.169003,0.0438503,0.108484,0.230015,0.158739,-0.0657463,0.0598499,0.0640021,0.0175156,0.130663,0.0776229,0.145026,0.122971,-0.0361662,-0.060616,-0.131319,-0.16508,-0.000746091,0.008354,-0.0932153,-0.0366297,-0.0427623,0.0671223,0.0893209,0.0612426,0.0179142,-0.00581323,-0.0375216,0.0459044,-0.0372362,-0.0447285,-0.0338477,0.103619,0.0381684,-0.0885798,0.0209987,-0.00887728,-0.0287201,0.112077,-0.0491393,0.0254157,0.00992873,-0.00101813,0.0321974,0.0510062,0.00959341,0.192896,-0.0346412,0.10907,-0.00893946,0.00690843,0.0152285,0.0773913,-0.0716073,0.00501841,-0.0194679,-0.106417,0.00892971,0.158259,0.0834149,-0.0666177,-0.0384513,-0.00412256,0.093053,-0.0428016,0.103337,0.0445577,0.0666401,0.0913078,0.138877,0.0758651,0.0639307,-55452.7
-18448.6,0.715999,0.30262,4,15,0,18498.1,-0.0118027,0.960003,0.203485,-0.0257529,0.325367,0.108422,0.317205,0.189887,0.0870528,0.117472,0.269152,0.142033,-0.0677554,0.115368,0.0496606,0.0192335,0.134998,0.0740899,0.177801,0.168538,-0.0562423,-0.0479738,-0.0976235,-0.165577,-0.00472179,-0.0089107,-0.0720392,-0.0101923,-0.0376706,0.0659578,0.0909563,0.100092,0.0141613,-0.00790958,-0.00430584,0.0793806,-0.00482188,-0.056641,-0.00590318,0.0692439,0.0162687,-0.0317889,0.0181474,-0.0419323,-0.0580551,0.151296,-0.0124682,0.0534638,0.0382832,-0.0452508,0.0297947,0.0490229,0.0347032,0.226974,-0.0279284,0.10188,-0.0408099,-0.0214499,0.0424259,0.0556938,-0.0690659,-0.00426378,-0.0470706,-0.109339,-0.0456634,0.151442,0.0790474,-0.0563885,0.0291438,0.032704,0.0160443,0.00558447,0.121144,0.243492,0.0445718,0.0821107,0.0506493,0.0871572,0.0512917,-55446.3
-18454.5,0.788108,0.30262,4,15,0,18490,-0.00987851,0.968222,0.23197,-0.0133815,0.311891,0.0948733,0.341322,0.171377,0.0648514,0.0778936,0.238852,0.150356,-0.0627044,0.0805357,0.0618652,-0.0200847,0.151324,0.0483321,0.183251,0.162011,-0.0392563,-0.024521,-0.117009,-0.145116,0.0152513,-0.00810075,-0.0722339,0.0170348,-0.0281597,0.0763484,0.0652721,0.0818384,-0.00525524,0.00612224,-0.0504436,0.0453223,-0.0546385,-0.0656077,-0.027623,0.0703329,0.0659246,-0.0427913,0.0338792,0.0021668,-0.0665698,0.0245812,0.000375972,0.0368208,0.0479927,-0.0731039,0.0357481,0.0286605,0.00645851,0.238521,-0.0282596,0.0888006,-0.00505979,-0.00983018,0.0213561,0.0583011,-0.0645136,-0.00261251,-0.0168842,-0.161245,-0.0169495,0.178991,0.0785681,-0.0313041,0.0246554,-0.0113626,0.0482907,-0.0815474,0.0903465,0.156213,0.0612893,0.0589885,0.0779504,0.103202,0.103126,-55452.8
