# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-05-11 20:25:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/sdkhxz1i.json
# init = 2 (Default)
# random
#   seed = 38944
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/base/base-20250511152536_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.603887
# Diagonal elements of inverse mass matrix:
# 1.80564e-05, 1.45828e-05
-51599.1,0.82101,0.603887,1,1,0,51599.2,-0.00260062,1.00517,-48416
-51599,1,0.603887,2,3,0,51599.2,0.00226345,0.99906,-48412.6
-51598.4,0.875201,0.603887,2,3,0,51600.3,-0.001398,1.00425,-48415.3
-51597.9,1,0.603887,2,3,0,51598.4,-0.00182756,1.00196,-48413.9
-51598.4,0.915757,0.603887,2,3,0,51598.7,-0.00260633,1.0003,-48413.2
-51598.2,1,0.603887,2,3,0,51598.4,-0.00270395,1.0013,-48413.6
-51598.3,0.97042,0.603887,2,3,0,51598.7,-0.00308745,1.00247,-48414.3
-51599.2,0.828169,0.603887,2,3,0,51599.9,-0.00256167,0.998739,-48412.6
-51599.6,0.930024,0.603887,1,1,0,51599.9,-0.00383278,0.998718,-48412.7
-51600.7,0.924495,0.603887,2,3,0,51601.9,-0.0065257,1.00485,-48416.5
-51599.8,1,0.603887,1,1,0,51600.7,-0.00555567,1.00432,-48415.9
-51600.9,0.849237,0.603887,1,1,0,51601.2,-0.00755251,1.00384,-48416
-51598.4,0.889495,0.603887,3,7,0,51602.6,0.00289424,1.00077,-48413.3
-51598.2,0.844183,0.603887,1,3,0,51600.1,-0.00273029,1.00244,-48414.2
-51598,0.984609,0.603887,2,3,0,51598.4,-0.00218132,1.00196,-48413.9
-51598.1,0.887191,0.603887,1,3,0,51599.1,0.00225069,1.00161,-48413.7
-51597.9,0.993121,0.603887,2,3,0,51598.2,0.000867993,1.00166,-48413.7
-51598.3,0.838428,0.603887,2,3,0,51598.8,-0.0018246,1.00394,-48415.1
-51598.1,0.925967,0.603887,2,3,0,51599,0.000987327,1.00058,-48413.1
-51598.8,0.825862,0.603887,1,3,0,51599.6,-0.00334919,0.999886,-48413.1
-51598.8,0.905594,0.603887,2,3,0,51600,0.00383739,1.00353,-48414.9
-51598.3,0.691113,0.603887,2,3,0,51602.2,-9.33253e-05,0.999725,-48412.8
-51598.2,1,0.603887,2,3,0,51598.4,-0.000413466,0.999972,-48412.9
-51598.3,0.998471,0.603887,2,3,0,51598.4,0.0012509,1.00391,-48415
-51599.7,0.866589,0.603887,2,3,0,51600,0.00526551,0.999919,-48413.3
-51598,0.929091,0.603887,2,3,0,51600.3,0.000962268,1.00067,-48413.2
-51598.2,0.985746,0.603887,2,3,0,51598.3,-0.00268877,1.00261,-48414.3
-51597.9,0.988945,0.603887,2,3,0,51598.4,-0.000138738,1.00277,-48414.3
-51599.8,0.824688,0.603887,2,3,0,51599.8,0.00599466,1.00127,-48414
-51598.8,0.892991,0.603887,2,3,0,51601.1,0.00314302,0.999889,-48413
-51598.9,0.813519,0.603887,2,3,0,51601.1,-0.00301083,0.99933,-48412.8
-51599.4,0.725148,0.603887,2,3,0,51600.8,-0.00436942,1.00461,-48415.9
-51599.3,0.700041,0.603887,2,3,0,51602.4,0.00193258,1.00549,-48416.2
-51598.7,0.914261,0.603887,2,7,0,51600.4,-0.00434317,1.00234,-48414.4
-51598.3,0.99487,0.603887,2,3,0,51598.9,0.00277839,1.00141,-48413.6
-51598.1,1,0.603887,2,3,0,51598.2,-0.00246121,1.00251,-48414.3
-51598.4,0.872674,0.603887,2,7,0,51599,0.00191755,1.00404,-48415.1
-51598.3,1,0.603887,2,3,0,51598.5,-0.00086184,0.999916,-48412.9
-51600.9,0.751006,0.603887,2,3,0,51601.1,-0.00185292,1.00738,-48417.8
-51598.9,0.847716,0.603887,2,3,0,51602.1,-0.00458027,1.00111,-48413.8
-51597.8,0.747602,0.603887,2,3,0,51601.2,0.000314936,1.00228,-48414
-51599.2,0.793753,0.603887,2,3,0,51599.6,-0.00198657,0.998524,-48412.5
-51597.8,0.992019,0.603887,2,3,0,51599.3,-0.000710046,1.00222,-48414
-51597.9,0.98797,0.603887,2,3,0,51597.9,0.000214245,1.00103,-48413.3
-51599.9,0.54581,0.603887,2,3,0,51601.1,-0.00391314,0.998295,-48412.6
-51598.6,1,0.603887,1,1,0,51599.7,-0.00243756,0.999691,-48412.9
-51598.6,0.7497,0.603887,1,1,0,51599.5,-0.00243756,0.999691,-48412.9
-51597.9,0.985982,0.603887,1,3,0,51598.7,0.000325009,1.00126,-48413.5
-51599.3,0.665093,0.603887,1,3,0,51599.9,0.000119829,1.00583,-48416.4
-51598.1,1,0.603887,2,3,0,51599.1,-0.00159032,1.00055,-48413.2
