# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-05-11 20:25:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/sdkhxz1i.json
# init = 2 (Default)
# random
#   seed = 38944
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/base/base-20250511152536_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.531845
# Diagonal elements of inverse mass matrix:
# 2.12849e-05, 1.51397e-05
-51598.9,0.7501,0.531845,1,1,0,51600,0.000450839,0.9988,-48412.4
-51600.2,0.835894,0.531845,3,7,0,51602.1,-0.00577319,1.00476,-48416.2
-51599,1,0.531845,2,3,0,51600.6,0.00211652,0.998957,-48412.5
-51602.2,0.765635,0.531845,2,3,0,51603.3,0.0091388,1.00268,-48415.5
-51598.7,1,0.531845,2,3,0,51602.7,-0.000969815,1.00497,-48415.8
-51598.2,0.836004,0.531845,2,7,0,51600.2,0.000743756,1.00012,-48412.9
-51600.1,0.831158,0.531845,2,3,0,51600.5,0.00649197,1.00161,-48414.3
-51599.9,1,0.531845,1,1,0,51600.3,0.00618681,1.00148,-48414.1
-51599.7,0.873221,0.531845,2,3,0,51601.9,0.00322588,0.998397,-48412.5
-51599.7,1,0.531845,3,7,0,51600.9,0.00467736,1.00469,-48415.8
-51599.5,1,0.531845,1,1,0,51599.9,0.00465667,1.00426,-48415.5
-51598.1,0.964069,0.531845,2,3,0,51599.9,0.00100056,1.00361,-48414.8
-51600.9,0.65931,0.531845,2,3,0,51601.3,-0.000500352,1.00748,-48417.8
-51600.9,0.711565,0.531845,1,1,0,51602.5,-0.000500352,1.00748,-48417.8
-51599.8,1,0.531845,2,3,0,51600.8,-0.000415252,1.00638,-48416.9
-51597.9,0.97712,0.531845,2,3,0,51600.1,-0.00171462,1.00223,-48414
-51597.9,0.794153,0.531845,1,3,0,51599.2,-0.00171462,1.00223,-48414
