# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:59:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/tqkxh379.json
# init = 2 (Default)
# random
#   seed = 7718
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/dens.nondens/multireg-20250420205931_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,log_p
# Adaptation terminated
# Step size = 0.506363
# Diagonal elements of inverse mass matrix:
# 3.16516e-05, 3.34221e-05, 3.1749e-05, 3.27117e-05, 3.54826e-05, 3.24908e-05, 3.36501e-05, 3.25791e-05, 3.54931e-05, 3.37074e-05, 3.47496e-05, 3.39959e-05, 3.26261e-05, 2.21989e-05
-18940.1,0.875969,0.506363,3,7,0,18952.9,-0.0154392,0.154673,0.126909,0.0662696,0.1157,0.0232133,-0.0434288,-0.0463828,0.062228,-0.0236098,-0.0111133,-0.022048,-0.107952,0.977668,0.145229,0.126755,0.0219236,0.126778,0.153721,-0.0432855,-0.137439,0.0594668,-0.0226473,0.00699832,-0.0136114,-0.137748,-18495.2
-18934.9,0.820056,0.506363,3,7,0,18950.2,-0.00461198,0.166351,0.132243,0.0673849,0.104466,0.0333432,-0.0380191,-0.0532289,0.0772179,-0.0198983,-0.0134649,-0.0269354,-0.09163,0.974181,0.159419,0.129356,0.0130245,0.112432,0.179644,-0.0367687,-0.132508,0.07793,-0.0187518,0.00249686,-0.0205473,-0.116921,-18494.2
-18934.4,0.969448,0.506363,3,7,0,18941.1,-0.0160308,0.150093,0.131515,0.0630172,0.106076,0.0314976,-0.0465585,-0.0441538,0.0729188,-0.0151875,-0.0125983,-0.0201497,-0.103892,0.973623,0.138229,0.130217,0.0089176,0.117654,0.172374,-0.0442251,-0.130123,0.0718036,-0.0141447,0.00466623,-0.0119298,-0.132568,-18491.5
-18934.7,0.830403,0.506363,3,7,0,18944.2,-0.0110465,0.176376,0.128004,0.0715654,0.103159,0.0300556,-0.0335002,-0.0516347,0.0753744,-0.0193102,-0.00521181,-0.0205746,-0.097691,0.971868,0.172138,0.125147,0.019204,0.110592,0.168109,-0.0280414,-0.133628,0.0746523,-0.0184735,0.0114125,-0.0129984,-0.124655,-18496.7
-18935.2,0.917316,0.506363,2,7,0,18939.1,-0.0145027,0.17227,0.127915,0.0681081,0.0981301,0.0232183,-0.0338123,-0.0512348,0.079232,-0.0164404,-0.00260921,-0.0209229,-0.0978009,0.975337,0.168152,0.126339,0.0170521,0.106941,0.152544,-0.0274386,-0.13247,0.0787041,-0.015594,0.014159,-0.0133687,-0.124795,-18496.9
-18935.6,0.946942,0.506363,3,7,0,18942,-0.00642292,0.161918,0.134963,0.0665457,0.111404,0.0295671,-0.0434568,-0.0430552,0.0673865,-0.00915481,-0.00734825,-0.0164535,-0.101373,0.975726,0.151955,0.132195,0.0156299,0.123045,0.164056,-0.0390148,-0.126205,0.0654355,-0.00823702,0.00939221,-0.00813132,-0.129354,-18495.3
-18937.8,0.914722,0.506363,3,7,0,18943.8,-0.0167054,0.167745,0.13362,0.0686609,0.10627,0.0380048,-0.040499,-0.0469501,0.0825588,-0.0291241,-0.0117023,-0.0246937,-0.0933307,0.976102,0.159514,0.129205,0.00787139,0.113595,0.186944,-0.0394442,-0.125327,0.0836951,-0.028214,0.004384,-0.0179293,-0.119091,-18497.5
-18936.2,0.996576,0.506363,3,7,0,18943.9,-0.0137081,0.172562,0.126269,0.0653829,0.101362,0.0216262,-0.0444843,-0.053711,0.0678501,-0.0178602,-0.00234612,-0.0159607,-0.103822,0.969518,0.167608,0.1276,0.0201205,0.113557,0.159004,-0.0396447,-0.14072,0.0654322,-0.0171702,0.0149097,-0.00735374,-0.132479,-18496.5
-18936.3,0.947333,0.506363,3,7,0,18944.2,-0.0107614,0.15835,0.1272,0.0729352,0.102024,0.0404278,-0.0446268,-0.0469787,0.0762509,-0.0227242,0.00165633,-0.0167747,-0.102684,0.975385,0.148335,0.123628,0.0128904,0.110815,0.198127,-0.0397835,-0.130487,0.0746575,-0.0221592,0.0189581,-0.0083551,-0.131026,-18495
-18934.9,0.976406,0.506363,3,7,0,18941.5,-0.0150629,0.167877,0.131271,0.0620022,0.10685,0.0226271,-0.036437,-0.0497327,0.072497,-0.0112638,-0.0190638,-0.0243129,-0.099533,0.969529,0.161728,0.130716,0.0146751,0.117152,0.14787,-0.0335572,-0.134817,0.0722026,-0.00993458,-0.00233221,-0.0169089,-0.127006,-18493.6
-18940.7,0.767487,0.506363,3,7,0,18945.6,-0.0176354,0.17546,0.137716,0.0577945,0.0946255,0.0306217,-0.0386863,-0.0524245,0.0689435,-0.0129392,-0.0122698,-0.0232961,-0.102598,0.966743,0.168793,0.1389,0.00860317,0.103725,0.172998,-0.0356836,-0.139996,0.0674416,-0.0117747,0.00509054,-0.0154981,-0.130916,-18493.5
-18941,0.9607,0.506363,3,7,0,18950.8,-0.0178917,0.150199,0.122763,0.0626558,0.113514,0.0192716,-0.0393838,-0.0467199,0.0807745,-0.0173489,-0.0141573,-0.0302413,-0.102172,0.973722,0.142302,0.121251,0.0115075,0.124574,0.142315,-0.0386326,-0.132628,0.080836,-0.0160044,0.00369093,-0.0231377,-0.130373,-18495.8
-18937.2,1,0.506363,3,7,0,18945.9,-0.0192263,0.171043,0.133597,0.0682761,0.0985911,0.0334986,-0.0397864,-0.0484499,0.0653945,-0.0167741,-0.000338247,-0.0109636,-0.103073,0.973694,0.163322,0.132329,0.0178073,0.107695,0.177258,-0.0325573,-0.133069,0.0626249,-0.0162616,0.0164287,-0.00195971,-0.131523,-18495.5
-18937.6,0.996419,0.506363,3,7,0,18943.6,-0.017992,0.166842,0.133608,0.069345,0.102499,0.0317372,-0.0342834,-0.0508019,0.0679514,-0.0172397,-0.00172097,-0.0055679,-0.102393,0.974831,0.15928,0.131667,0.0189905,0.110755,0.170039,-0.0233718,-0.134641,0.0656729,-0.016881,0.0144071,0.00387712,-0.130656,-18495.3
-18936.6,0.949722,0.506363,3,7,0,18943.6,-0.0164654,0.161949,0.134085,0.0694361,0.110013,0.0332125,-0.045318,-0.0491596,0.0803152,-0.0191878,-0.0111,-0.0342761,-0.106793,0.975416,0.15175,0.132078,0.0117965,0.120029,0.184405,-0.0469412,-0.139424,0.0796323,-0.0177809,0.0079308,-0.027102,-0.13627,-18492.6
-18933.4,0.951419,0.506363,3,7,0,18942.2,-0.0175595,0.155962,0.127089,0.0696974,0.10643,0.0298713,-0.0449589,-0.0481449,0.0745629,-0.0254598,-0.0112241,-0.0185931,-0.0945828,0.975293,0.147017,0.124692,0.0167615,0.116897,0.171055,-0.0429794,-0.127673,0.0746027,-0.0246865,0.00452474,-0.0111332,-0.120689,-18494.6
