# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-03-23 18:55:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/68kek5_t.json
# init = 2 (Default)
# random
#   seed = 58673
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/dens.nondens/multireg-20250323135520_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,log_p
# Adaptation terminated
# Step size = 0.639357
# Diagonal elements of inverse mass matrix:
# 3.49627e-05, 3.18221e-05, 3.6019e-05, 3.22096e-05, 3.7123e-05, 3.46208e-05, 3.12883e-05, 3.06278e-05, 2.21828e-05
-19285.3,0.729603,0.639357,2,3,0,19289.1,-0.01925,0.175954,0.131374,0.0569519,0.0964752,0.0247806,-0.0439021,-0.0501604,0.981623,0.179423,0.12413,0.046127,0.1084,0.140187,-0.0491552,-0.0609701,-18586.9
-19283.5,0.703594,0.639357,2,3,0,19291.5,-0.013733,0.175084,0.136255,0.0638345,0.0965681,0.023078,-0.0325382,-0.0475955,0.980555,0.178193,0.127353,0.0544009,0.10534,0.125089,-0.0355555,-0.0578525,-18586
-19284.3,0.906052,0.639357,3,7,0,19287.4,-0.0242028,0.175887,0.126154,0.0697972,0.1037,0.0332582,-0.0335158,-0.041126,0.979625,0.179167,0.113643,0.053973,0.111271,0.143077,-0.037288,-0.0499887,-18588.3
-19283,0.977809,0.639357,3,7,0,19286.6,-0.0174813,0.176564,0.128934,0.0651774,0.0933661,0.0224419,-0.0299902,-0.0492372,0.983593,0.181744,0.120288,0.0567356,0.101415,0.123296,-0.0323198,-0.059848,-18590.5
-19283.7,0.923937,0.639357,3,7,0,19285.7,-0.00932251,0.178507,0.125533,0.0669003,0.0957573,0.03116,-0.0292723,-0.045903,0.980671,0.183619,0.114762,0.053554,0.102243,0.139693,-0.0317274,-0.0557953,-18590.4
-19284.3,0.940275,0.639357,3,7,0,19286.6,-0.0247875,0.17634,0.12625,0.0651724,0.0994019,0.0231287,-0.0380182,-0.0527933,0.986585,0.181418,0.117951,0.0560846,0.109917,0.134483,-0.0417806,-0.0641704,-18589.4
-19284.4,0.928432,0.639357,3,7,0,19287.9,-0.0152865,0.174987,0.123655,0.0638617,0.0925006,0.0341403,-0.0399399,-0.0458618,0.984131,0.178552,0.114026,0.0484433,0.101633,0.15466,-0.0446997,-0.0557452,-18587.6
-19284.5,0.946535,0.639357,2,7,0,19287.4,-0.00885295,0.170291,0.127758,0.0673036,0.093787,0.0277169,-0.0400969,-0.0509803,0.978942,0.173005,0.119276,0.0559369,0.104053,0.144918,-0.0444601,-0.0619667,-18580.6
