# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2024-09-28 21:03:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/w7kykt7b.json
# init = 2 (Default)
# random
#   seed = 76024
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/dens.nondens/multireg-20240928160339_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,log_p
# Adaptation terminated
# Step size = 0.565583
# Diagonal elements of inverse mass matrix:
# 3.35297e-05, 3.45306e-05, 3.244e-05, 3.53712e-05, 3.61871e-05, 3.15495e-05, 3.75279e-05, 3.09409e-05, 2.21138e-05
-19255.2,0.978552,0.565583,2,3,0,19264.2,-0.0136674,0.162968,0.135885,0.0629082,0.0978737,0.0277818,-0.0307942,-0.0572588,0.984877,0.162769,0.127101,0.0526116,0.105455,0.151166,-0.0324955,-0.0702775,-56141.4
-19254.6,0.937644,0.565583,3,7,0,19258.8,-0.0220325,0.168771,0.13209,0.0678935,0.101912,0.0349355,-0.0373048,-0.0487273,0.974811,0.167947,0.120836,0.0521747,0.110289,0.164135,-0.0411426,-0.0598062,-56140.7
-19254.8,0.989584,0.565583,3,7,0,19257.1,-0.0105921,0.163135,0.13214,0.0638953,0.0957677,0.0302832,-0.0322202,-0.0546496,0.98501,0.162977,0.122925,0.0519997,0.103279,0.155446,-0.0344532,-0.0670751,-56140.9
-19254.6,0.999533,0.565583,3,7,0,19256.9,-0.0129626,0.162711,0.133751,0.0665467,0.0996753,0.0306885,-0.0285122,-0.0575816,0.983684,0.162632,0.123865,0.0549916,0.10615,0.156693,-0.0296942,-0.0706737,-56140.7
-19256.8,0.85729,0.565583,3,7,0,19259.2,-0.0147085,0.167057,0.12508,0.0621306,0.0977238,0.0262315,-0.0416076,-0.0577532,0.976354,0.168573,0.117516,0.0520469,0.10876,0.156312,-0.0455949,-0.0708843,-56143
-19256,0.803286,0.565583,3,7,0,19263.4,-0.0190247,0.164874,0.139494,0.0655192,0.101439,0.0368741,-0.024898,-0.0506001,0.983625,0.16344,0.127446,0.0497861,0.105823,0.161219,-0.0259028,-0.0621049,-56142.2
-19253.5,0.967773,0.565583,2,7,0,19257.8,-0.0178547,0.165283,0.132425,0.0681993,0.102339,0.0359603,-0.0293037,-0.0506399,0.983395,0.164651,0.120493,0.0527211,0.108203,0.162469,-0.0312539,-0.0621538,-56139.7
