# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:59:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/tqkxh379.json
# init = 2 (Default)
# random
#   seed = 7718
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/dens.nondens/multireg-20250420205931_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,log_p
# Adaptation terminated
# Step size = 0.457801
# Diagonal elements of inverse mass matrix:
# 3.14754e-05, 3.67278e-05, 3.25929e-05, 2.92893e-05, 3.1549e-05, 3.43388e-05, 3.03428e-05, 3.75257e-05, 3.03128e-05, 3.50309e-05, 3.70021e-05, 3.06874e-05, 3.34692e-05, 2.23005e-05
-18937.2,0.835136,0.457801,3,7,0,18950.2,-0.0224402,0.155542,0.123681,0.0588781,0.110314,0.0285683,-0.034679,-0.0434533,0.0834626,-0.0150115,-0.00946467,-0.0256116,-0.1033,0.972971,0.147978,0.120425,0.00102934,0.118892,0.15766,-0.0302263,-0.128008,0.0833481,-0.0138534,0.00831421,-0.0179629,-0.131812,-18496.1
-18936.8,0.757856,0.457801,3,7,0,18949.9,-0.0114515,0.172732,0.123406,0.0677469,0.100784,0.0321596,-0.0408767,-0.0435668,0.0705127,-0.0106432,-0.0113957,-0.0119771,-0.108617,0.975997,0.166216,0.122144,0.0148806,0.111345,0.16792,-0.0335031,-0.131966,0.068529,-0.00978678,0.00590456,-0.00252877,-0.138598,-18498.1
-18938.5,0.963634,0.457801,3,7,0,18946,-0.0133087,0.170467,0.124312,0.0686179,0.112511,0.0251706,-0.0381266,-0.0519582,0.074347,-0.0204012,-0.00913067,-0.0056237,-0.107982,0.971885,0.165109,0.123247,0.0179973,0.123242,0.157992,-0.0274596,-0.14058,0.0728354,-0.019936,0.00758593,0.00436012,-0.137786,-18499
-18945.6,0.772739,0.457801,3,7,0,18949.2,-0.0133374,0.150729,0.133617,0.0671718,0.0974001,0.0325594,-0.0504527,-0.0468446,0.0709175,-0.0153638,-0.00570371,-0.0394248,-0.0915439,0.97032,0.139231,0.131821,0.0146841,0.108288,0.184409,-0.0571666,-0.125871,0.0702273,-0.0138952,0.0116505,-0.0342194,-0.116811,-18492.8
-18945.4,0.96529,0.457801,3,7,0,18953.8,-0.0175135,0.172238,0.125556,0.0638375,0.109368,0.0270016,-0.034497,-0.0488135,0.0775584,-0.0248124,-0.0137461,-0.00513548,-0.11476,0.979693,0.166564,0.125336,0.0106084,0.118489,0.156106,-0.0229852,-0.142153,0.0761351,-0.0243212,0.00379546,0.00555413,-0.146435,-18501.9
-18935.7,1,0.457801,3,7,0,18948.2,-0.00783366,0.161356,0.130302,0.0689795,0.104776,0.0298878,-0.0445281,-0.0463047,0.0727598,-0.00886298,-0.00111409,-0.0281626,-0.0951213,0.967363,0.152885,0.127057,0.0160591,0.115826,0.172199,-0.0438598,-0.125601,0.0715312,-0.00771134,0.0159477,-0.02155,-0.121376,-18493.9
