# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-03-23 18:55:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/68kek5_t.json
# init = 2 (Default)
# random
#   seed = 58673
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/dens.nondens/multireg-20250323135520_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,log_p
# Adaptation terminated
# Step size = 0.571931
# Diagonal elements of inverse mass matrix:
# 3.64092e-05, 3.35508e-05, 3.28847e-05, 3.82593e-05, 3.33835e-05, 3.8591e-05, 3.61037e-05, 3.74387e-05, 2.15534e-05
-19288,0.604034,0.571931,3,7,0,19295.1,-0.0148068,0.172295,0.11787,0.0674083,0.105517,0.0158229,-0.033277,-0.0512277,0.982,0.179087,0.108887,0.0616897,0.115896,0.112396,-0.0361482,-0.0622675,-18587.7
-19288.2,0.896104,0.571931,3,7,0,19295.2,-0.0227231,0.177372,0.1404,0.0675772,0.0949067,0.0391121,-0.0392498,-0.0450471,0.979667,0.177564,0.129552,0.0495904,0.103098,0.164868,-0.0439292,-0.0547549,-18586.9
-19284.8,0.663631,0.571931,3,7,0,19298.9,-0.0189829,0.181074,0.130418,0.0681956,0.105425,0.027899,-0.0444203,-0.0513655,0.978173,0.184884,0.120931,0.0558378,0.117234,0.149001,-0.0496838,-0.0624349,-18587.6
-19285.1,0.996113,0.571931,3,7,0,19287.8,-0.0159626,0.170135,0.130261,0.0671717,0.0916835,0.0284429,-0.0247925,-0.0463499,0.983147,0.173475,0.120032,0.0557925,0.0971653,0.13043,-0.0262437,-0.0563384,-18586.1
-19285.8,0.918398,0.571931,3,7,0,19290.1,-0.0222501,0.178811,0.130071,0.0658373,0.108861,0.0266036,-0.0442232,-0.0498307,0.978398,0.182386,0.120328,0.0535866,0.120882,0.144335,-0.0495733,-0.0605694,-18586.5
-19285.2,1,0.571931,3,7,0,19287.9,-0.0142374,0.175004,0.127028,0.0657222,0.0888803,0.0308581,-0.0262802,-0.0449858,0.982188,0.17947,0.11684,0.0529501,0.0943491,0.135819,-0.0281669,-0.0546804,-18590.7
-19285.9,0.840593,0.571931,3,7,0,19291,-0.0172366,0.174197,0.13103,0.0658347,0.0955653,0.036587,-0.0248796,-0.0426723,0.977512,0.177186,0.118921,0.0495264,0.0998481,0.145768,-0.0266587,-0.0518683,-18587.8
-19284.9,1,0.571931,3,7,0,19289.5,-0.0164766,0.175854,0.124198,0.0763546,0.0940006,0.0243636,-0.0396212,-0.0545798,0.981224,0.180486,0.115738,0.0675778,0.104689,0.140323,-0.0435792,-0.0663419,-18587.2
-19285.2,0.91195,0.571931,3,7,0,19289.5,-0.0184619,0.176769,0.133549,0.0579163,0.102732,0.0329584,-0.0321516,-0.0414807,0.980266,0.179666,0.122262,0.0420207,0.109922,0.141695,-0.0355996,-0.0504199,-18588.1
-19285.7,0.947463,0.571931,3,7,0,19289.1,-0.0171546,0.173681,0.126759,0.0771451,0.0927937,0.0230029,-0.0385378,-0.0560906,0.981106,0.177736,0.118692,0.0694613,0.103358,0.137832,-0.042135,-0.0681783,-18585.5
-19283.4,0.990776,0.571931,3,7,0,19288.6,-0.0163865,0.184614,0.12888,0.0632371,0.0958823,0.0253589,-0.0316241,-0.0465785,0.980293,0.190784,0.119506,0.0525866,0.103996,0.128685,-0.0345298,-0.0566163,-18596.3
-19284,0.922747,0.571931,3,7,0,19287,-0.0135804,0.174684,0.130609,0.0663075,0.0990346,0.0286609,-0.040987,-0.0584443,0.979904,0.178268,0.122616,0.0552744,0.109606,0.155133,-0.0449147,-0.0710392,-18582
-19283.5,0.641129,0.571931,3,7,0,19293,-0.0192448,0.174326,0.125908,0.0683873,0.0950752,0.0298682,-0.0308047,-0.0396585,0.98131,0.177864,0.114531,0.0546594,0.102154,0.13171,-0.0341154,-0.048205,-18589.2
-19283.5,0.770353,0.571931,3,7,0,19290,-0.0147543,0.174726,0.133595,0.0671785,0.100091,0.0225391,-0.0403025,-0.054181,0.980762,0.177926,0.12559,0.0584925,0.111411,0.136215,-0.0444411,-0.0658571,-18583
-19287.6,0.797089,0.571931,3,7,0,19289.5,-0.0119883,0.180541,0.13059,0.0575747,0.103768,0.0274583,-0.04071,-0.0595407,0.981162,0.185978,0.1231,0.0467292,0.114566,0.153213,-0.0444857,-0.0723719,-18587.7
-19284.4,0.796515,0.571931,3,7,0,19295.3,-0.0182634,0.174093,0.125853,0.0703521,0.0928294,0.0235269,-0.0284318,-0.042118,0.978175,0.178518,0.115523,0.0605284,0.100167,0.117621,-0.0310238,-0.0511945,-18590.1
