# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2024-09-28 21:03:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/w7kykt7b.json
# init = 2 (Default)
# random
#   seed = 76024
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/dens.nondens/multireg-20240928160339_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,log_p
# Adaptation terminated
# Step size = 0.580948
# Diagonal elements of inverse mass matrix:
# 3.54789e-05, 3.19662e-05, 3.36468e-05, 3.50051e-05, 3.30018e-05, 3.37795e-05, 3.28019e-05, 3.45696e-05, 2.1561e-05
-19259,0.912777,0.580948,3,7,0,19260.8,-0.00656514,0.157931,0.12776,0.0662915,0.109011,0.0336013,-0.0349974,-0.0505546,0.973686,0.156606,0.115957,0.0511801,0.11714,0.161128,-0.0381811,-0.062049,-56145.2
-19255.9,0.928834,0.580948,3,7,0,19263.7,-0.0224491,0.173158,0.134673,0.0635028,0.0937602,0.0295081,-0.0364312,-0.0483157,0.983245,0.173411,0.125394,0.0508451,0.102551,0.150069,-0.0401163,-0.059301,-56142.1
-19254.4,0.835966,0.580948,3,7,0,19261.8,-0.0117845,0.160273,0.134121,0.0665101,0.106382,0.032604,-0.033579,-0.0551655,0.976744,0.158843,0.123313,0.0528937,0.114211,0.162582,-0.0360602,-0.0677083,-56140.6
-19255.3,0.655874,0.580948,2,7,0,19262.8,-0.0137459,0.168186,0.132761,0.0555238,0.102745,0.0366975,-0.0322683,-0.0563804,0.978058,0.168767,0.1228,0.0399304,0.109408,0.172642,-0.0343627,-0.0691994,-56141.5
-19254.2,0.966063,0.580948,3,7,0,19258.1,-0.0244209,0.162883,0.129836,0.0655351,0.103936,0.0325089,-0.0381736,-0.0482911,0.980291,0.161677,0.118859,0.0507096,0.113029,0.158546,-0.0422361,-0.0592709,-56140.4
-19254.2,0.655053,0.580948,2,7,0,19262.7,-0.0244209,0.162883,0.129836,0.0655351,0.103936,0.0325089,-0.0381736,-0.0482911,0.980291,0.161677,0.118859,0.0507096,0.113029,0.158546,-0.0422361,-0.0592709,-56140.4
-19254,0.882911,0.580948,3,7,0,19257.8,-0.0095595,0.166678,0.132983,0.0656651,0.0998752,0.0349737,-0.0301949,-0.0569791,0.981896,0.166842,0.122635,0.0517078,0.106136,0.167572,-0.0317912,-0.0699343,-56140.2
-19255.4,0.699672,0.580948,2,3,0,19259.5,-0.013462,0.16442,0.127286,0.0706637,0.0987459,0.0401476,-0.0310139,-0.057465,0.977701,0.164413,0.116035,0.0543786,0.104357,0.18107,-0.0327447,-0.0705306,-56141.6
-19255.1,0.943904,0.580948,2,7,0,19257.9,-0.0183676,0.16553,0.124974,0.0657139,0.0976351,0.03539,-0.0275391,-0.0513134,0.976507,0.166644,0.113741,0.0509306,0.102944,0.16047,-0.0290514,-0.0629804,-56141.2
-19262.3,0.675074,0.580948,2,7,0,19264.3,-0.00987984,0.164619,0.145968,0.0720784,0.101735,0.0377121,-0.0492885,-0.0555017,0.979742,0.15959,0.136166,0.0555129,0.113229,0.187218,-0.0551237,-0.0681209,-56148.5
-19258.3,0.984254,0.580948,3,7,0,19267.3,-0.0205057,0.164366,0.126696,0.0603836,0.0950542,0.0375634,-0.0298413,-0.0463652,0.972069,0.164435,0.115493,0.0435368,0.100579,0.162143,-0.0322753,-0.0569071,-56144.5
-19253.8,1,0.580948,2,7,0,19259.3,-0.0153681,0.163648,0.131189,0.0678856,0.0927307,0.0344951,-0.0346711,-0.0537606,0.977243,0.162833,0.121529,0.0539118,0.100174,0.166435,-0.0375084,-0.0659839,-56139.9
-19259.1,0.646013,0.580948,2,3,0,19261.1,-0.023294,0.162694,0.14005,0.0648655,0.0958364,0.0191958,-0.0408487,-0.0524643,0.978598,0.161019,0.13281,0.0577444,0.107736,0.133286,-0.045128,-0.0643929,-56145.2
-19259,0.973528,0.580948,3,7,0,19262.2,-0.00825741,0.168972,0.130408,0.065364,0.100099,0.0440879,-0.0283531,-0.048393,0.973107,0.168631,0.117482,0.045511,0.104251,0.178737,-0.0302921,-0.0593959,-56145.1
-19253.4,1,0.580948,2,3,0,19259.7,-0.0177282,0.16586,0.13272,0.0667527,0.100167,0.0370819,-0.0356707,-0.0587559,0.978849,0.165287,0.122696,0.05172,0.107714,0.178714,-0.0382932,-0.0721149,-56139.6
-19252.6,0.793728,0.580948,2,3,0,19257,-0.0186883,0.165081,0.131425,0.0625388,0.101851,0.0322996,-0.0319132,-0.0522547,0.982052,0.165095,0.120964,0.0488367,0.109093,0.157464,-0.0342863,-0.0641357,-56138.8
-19252.7,0.981189,0.580948,3,7,0,19253.4,-0.0193886,0.167879,0.133072,0.068085,0.101989,0.0315345,-0.0365578,-0.0485596,0.980321,0.167095,0.122171,0.0541015,0.110713,0.155264,-0.0402492,-0.0596004,-56138.9
-19255.5,0.695315,0.580948,2,7,0,19258.5,-0.0213118,0.170674,0.133659,0.0741127,0.098414,0.0356804,-0.0357632,-0.0536752,0.976989,0.170065,0.122745,0.0593449,0.106142,0.170013,-0.0388431,-0.0658791,-56141.6
-19255.5,1,0.580948,3,7,0,19257.8,-0.0094373,0.160157,0.130819,0.0574197,0.102164,0.0327748,-0.0338085,-0.0511368,0.982858,0.159391,0.120704,0.0429804,0.109889,0.158862,-0.036686,-0.0627636,-56141.7
-19254.7,0.805664,0.580948,3,7,0,19260.9,-0.0183656,0.170881,0.136404,0.0721663,0.100628,0.0313623,-0.0331839,-0.0499887,0.984021,0.17028,0.125267,0.0589291,0.108354,0.153784,-0.0360257,-0.0613545,-56140.9
-19257.4,0.801638,0.580948,2,7,0,19260.2,-0.0219334,0.168004,0.132439,0.060888,0.102623,0.045684,-0.0354414,-0.0554903,0.977896,0.167122,0.120997,0.0406366,0.108719,0.195581,-0.0382957,-0.0681069,-56143.6
-19256.5,0.98754,0.580948,3,7,0,19260.4,-0.0107129,0.163101,0.131652,0.0647157,0.0983659,0.0211489,-0.034606,-0.0497329,0.982941,0.163169,0.12283,0.0563735,0.108149,0.130227,-0.0377761,-0.0610405,-56142.6
-19257.5,0.93822,0.580948,3,7,0,19261.1,-0.014691,0.167327,0.123798,0.0652928,0.102845,0.0227306,-0.0333207,-0.0567286,0.975259,0.169995,0.114916,0.0570971,0.112152,0.140487,-0.0356117,-0.0696268,-56143.7
-19254.7,0.772751,0.580948,2,3,0,19263.6,-0.015999,0.163838,0.130205,0.0590868,0.105179,0.0254995,-0.0351245,-0.0491028,0.980814,0.164077,0.120401,0.0477931,0.114579,0.140337,-0.0384605,-0.0602671,-56140.9
-19255.5,0.824989,0.580948,3,7,0,19260.3,-0.0120593,0.16584,0.133456,0.0757945,0.0962127,0.0384008,-0.0330579,-0.0525088,0.981103,0.164285,0.121894,0.0598207,0.102619,0.173179,-0.0356556,-0.0644476,-56141.6
-19255.4,0.978728,0.580948,3,7,0,19257.8,-0.0177502,0.16676,0.127452,0.0576942,0.100093,0.0263056,-0.0336822,-0.053662,0.975766,0.168489,0.118723,0.0470695,0.108815,0.146022,-0.036315,-0.065863,-56141.6
-19255.6,0.900067,0.580948,3,7,0,19260.3,-0.0126637,0.162918,0.136601,0.0744526,0.0994124,0.0403034,-0.0328907,-0.049611,0.98113,0.16,0.124142,0.0568179,0.105525,0.174496,-0.035702,-0.0608909,-56141.7
-19254.2,1,0.580948,3,7,0,19257.4,-0.013159,0.166394,0.128799,0.0575314,0.103717,0.0356022,-0.0360214,-0.0511787,0.979228,0.166552,0.118293,0.041452,0.11167,0.167358,-0.0393718,-0.062815,-56140.4
-19255,0.955457,0.580948,3,7,0,19256.5,-0.019261,0.162231,0.138127,0.0744507,0.0970072,0.0306361,-0.0333382,-0.0512954,0.980549,0.159908,0.127539,0.0620866,0.104805,0.153565,-0.0361007,-0.0629582,-56141.2
-19253.9,0.785221,0.580948,2,7,0,19260.6,-0.0166312,0.162402,0.129863,0.0695711,0.0997558,0.0347911,-0.0386336,-0.0510861,0.984542,0.160876,0.119161,0.0544201,0.108504,0.167333,-0.0425545,-0.0627013,-56140.1
-19253.3,0.888936,0.580948,2,7,0,19257,-0.0204353,0.162458,0.130508,0.0647705,0.103029,0.0345778,-0.035621,-0.0467267,0.980942,0.16104,0.118992,0.0488256,0.110988,0.159849,-0.0392685,-0.0573508,-56139.5
-19253,0.988129,0.580948,3,7,0,19254.3,-0.0124302,0.167538,0.133621,0.0663052,0.0994147,0.0318125,-0.0341518,-0.0571522,0.978789,0.167615,0.124089,0.0537926,0.10736,0.163256,-0.0365853,-0.0701467,-56139.2
-19255.3,0.724041,0.580948,2,3,0,19257.6,-0.0201308,0.159522,0.136502,0.0622489,0.105624,0.0293688,-0.0397869,-0.0498093,0.976299,0.157019,0.126447,0.0489336,0.115775,0.153914,-0.0440662,-0.0611342,-56141.5
-19256.4,0.573523,0.580948,2,3,0,19264.9,-0.0161017,0.166932,0.132362,0.0678071,0.108759,0.0339967,-0.0404298,-0.0419268,0.981463,0.16497,0.119787,0.0508664,0.11837,0.157034,-0.0455261,-0.0514595,-56142.6
-19260.8,0.705392,0.580948,3,7,0,19265.2,-0.0200099,0.158918,0.142446,0.0677549,0.0890456,0.0209461,-0.0332752,-0.0535866,0.979288,0.156721,0.135034,0.0608934,0.0982287,0.132836,-0.0358269,-0.0657704,-56147
-19257.2,0.750001,0.580948,3,7,0,19268.8,-0.0153276,0.168881,0.122551,0.0620168,0.108818,0.0397418,-0.0352141,-0.0488383,0.980928,0.169812,0.110038,0.0433725,0.115972,0.174117,-0.0385921,-0.0599425,-56143.4
-19256.5,0.882941,0.580948,3,7,0,19262.1,-0.0194334,0.160104,0.140995,0.0676462,0.0930055,0.0261162,-0.0342291,-0.0545727,0.978994,0.15788,0.132625,0.0580317,0.101727,0.146963,-0.0369013,-0.0669807,-56142.6
-19256.2,0.992376,0.580948,3,7,0,19259.3,-0.0134189,0.172816,0.124458,0.0623889,0.104738,0.0396068,-0.0347779,-0.0500951,0.980848,0.174223,0.112574,0.0443033,0.111678,0.174802,-0.0379539,-0.0614851,-56142.4
-19255.8,0.886019,0.580948,3,7,0,19261.2,-0.0169156,0.156917,0.138059,0.0714857,0.0951767,0.0286833,-0.0359928,-0.0532646,0.979118,0.153942,0.12871,0.0602715,0.104045,0.15305,-0.0391575,-0.0653752,-56142
-19254.8,0.943646,0.580948,3,7,0,19258.7,-0.0227521,0.166066,0.125992,0.0661288,0.101784,0.0343128,-0.0315456,-0.0548535,0.976138,0.167064,0.115222,0.0519855,0.108596,0.164763,-0.0336158,-0.0673254,-56141
-19254.6,0.949264,0.580948,3,7,0,19257.8,-0.00960606,0.1668,0.138564,0.0659856,0.0988978,0.0322166,-0.0348962,-0.048016,0.983698,0.165053,0.127957,0.0517792,0.106927,0.155033,-0.0382767,-0.0589332,-56140.8
-19254.3,0.649813,0.580948,2,3,0,19262.5,-0.0123517,0.165802,0.127874,0.0601938,0.101234,0.0334086,-0.0401523,-0.0482076,0.978561,0.165428,0.1177,0.0447543,0.110686,0.162126,-0.0446481,-0.0591684,-56140.5
-19258.8,0.644254,0.580948,2,3,0,19261.8,-0.0158401,0.164359,0.139545,0.0731916,0.0925611,0.0268075,-0.0302222,-0.0594878,0.975302,0.163549,0.13095,0.0644818,0.099999,0.150782,-0.0316084,-0.0730133,-56145
-19257.9,1,0.580948,3,7,0,19262.6,-0.0166888,0.163887,0.123405,0.0580452,0.106418,0.0381151,-0.0378143,-0.0466618,0.984671,0.163749,0.111686,0.0397217,0.114531,0.16991,-0.0419397,-0.0572711,-56144
-19257.9,0.983734,0.580948,3,7,0,19262.8,-0.0240395,0.166345,0.125331,0.063857,0.100934,0.0301923,-0.0282635,-0.0557418,0.987551,0.168398,0.115223,0.0520953,0.107443,0.153352,-0.0295504,-0.0684155,-56144.1
-19255.2,0.9977,0.580948,3,7,0,19260.6,-0.0120047,0.171847,0.128539,0.0587459,0.101322,0.0330678,-0.0374554,-0.0557811,0.982537,0.173377,0.119307,0.0447921,0.110081,0.167329,-0.0407183,-0.0684638,-56141.4
-19255.6,0.854821,0.580948,3,7,0,19260.2,-0.0231833,0.15931,0.133042,0.0715281,0.098084,0.0298881,-0.0296484,-0.0486506,0.977397,0.157743,0.121924,0.0591583,0.10493,0.146116,-0.0318442,-0.0597122,-56141.8
-19256.8,0.907175,0.580948,3,7,0,19260.3,-0.0138953,0.161456,0.135155,0.061015,0.111143,0.0305264,-0.035527,-0.0581559,0.98327,0.160578,0.125109,0.0483199,0.120047,0.162316,-0.0381702,-0.0713786,-56143
-19265,0.515485,0.580948,2,3,0,19269.5,-0.0259004,0.162707,0.135645,0.0846013,0.103919,0.0297035,-0.0451946,-0.0524704,0.978257,0.159365,0.124701,0.0721572,0.115581,0.161716,-0.0504092,-0.0644004,-56151.2
-19256.5,1,0.580948,3,7,0,19266.9,-0.0181176,0.169528,0.124719,0.0565161,0.102689,0.0356077,-0.029998,-0.0473258,0.978382,0.171255,0.113309,0.0401916,0.108808,0.158622,-0.032383,-0.0580861,-56142.7
-19255.9,0.81526,0.580948,3,7,0,19262.9,-0.0105437,0.16132,0.140354,0.0596042,0.10567,0.0345817,-0.0341378,-0.0504604,0.982254,0.158731,0.129435,0.043991,0.113287,0.162706,-0.0371445,-0.0619333,-56142.1
-19256.5,0.980868,0.580948,3,7,0,19259.8,-0.0162591,0.175761,0.134781,0.0717599,0.0956374,0.0301925,-0.0332122,-0.0551257,0.976224,0.176815,0.125114,0.0602265,0.103456,0.156501,-0.0356178,-0.0676594,-56142.7
-19258.8,0.895379,0.580948,3,7,0,19261.7,-0.0217329,0.156743,0.130971,0.0627903,0.100304,0.0407979,-0.0294594,-0.0411178,0.977475,0.153967,0.117804,0.0432583,0.105294,0.163964,-0.032263,-0.0504666,-56144.9
