lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,log_p
# Adaptation terminated
# Step size = 0.565731
# Diagonal elements of inverse mass matrix:
# 3.90403e-05, 3.10474e-05, 3.31481e-05, 3.4901e-05, 3.40641e-05, 3.3864e-05, 3.36504e-05, 3.05413e-05, 3.14776e-05, 3.41751e-05, 3.2635e-05, 3.22123e-05, 3.6842e-05, 2.14721e-05
-18935.4,0.996738,0.565731,3,7,0,18943.6,-0.0104118,0.170142,0.125689,0.0702686,0.110591,0.0255709,-0.0467289,-0.0448034,0.0705097,-0.0237981,-0.0141763,-0.0194514,-0.105903,0.974912,0.162922,0.124852,0.020637,0.122505,0.159186,-0.0454987,-0.133064,0.0691447,-0.0228739,0.00327567,-0.0109701,-0.135134,-18497.7
-18936.9,0.907154,0.565731,3,7,0,18942.3,-0.0185323,0.156805,0.133314,0.062122,0.101068,0.0362596,-0.0311912,-0.051904,0.0756965,-0.00978063,-0.00286771,-0.0166364,-0.0949705,0.970125,0.148502,0.129769,0.00613727,0.107852,0.180383,-0.02247,-0.130793,0.0750057,-0.00897212,0.0130729,-0.0089547,-0.121184,-18492.1
-18936.1,0.930594,0.565731,3,7,0,18945.4,-0.00921021,0.162449,0.127497,0.0704063,0.107859,0.0256568,-0.0516936,-0.0486799,0.071132,-0.0221398,-0.0151516,-0.0239215,-0.108723,0.975087,0.153138,0.128266,0.0209609,0.121108,0.168097,-0.0525223,-0.140533,0.0695903,-0.0210218,0.00309734,-0.0155859,-0.138732,-18494.2
-18936.3,0.973301,0.565731,3,7,0,18942.6,-0.0211438,0.164354,0.131414,0.0659217,0.102441,0.0355624,-0.0307978,-0.0487792,0.0782694,-0.0127507,-0.0025829,-0.0174834,-0.0951286,0.966695,0.157426,0.126914,0.00857422,0.108969,0.17568,-0.0225198,-0.12697,0.0778674,-0.011966,0.0134684,-0.00986596,-0.121385,-18494.2
-18936.6,0.997341,0.565731,3,7,0,18940.3,-0.00810401,0.160175,0.127093,0.0668626,0.106297,0.0256277,-0.049346,-0.0442767,0.0668506,-0.0215981,-0.0152851,-0.0205448,-0.106205,0.978084,0.150698,0.127509,0.0190221,0.118932,0.160488,-0.0494986,-0.133243,0.0650914,-0.020585,0.00227024,-0.0121369,-0.135519,-18495.4
-18936.8,0.99754,0.565731,3,7,0,18942.7,-0.0200899,0.163462,0.130433,0.0677644,0.103911,0.034641,-0.0310592,-0.0550406,0.0792033,-0.0146685,-0.00140881,-0.0267519,-0.0967013,0.967031,0.157019,0.126747,0.0115142,0.110011,0.182465,-0.0258939,-0.136849,0.0786485,-0.0136387,0.0157577,-0.0198529,-0.123392,-18492.3
-18932.2,0.999028,0.565731,3,7,0,18940,-0.0106291,0.158297,0.126124,0.0615626,0.0996247,0.0321309,-0.0410416,-0.045875,0.0722044,-0.0167845,-0.0118623,-0.0240567,-0.104191,0.97649,0.149598,0.12545,0.00855812,0.108931,0.172321,-0.0391881,-0.132999,0.0709265,-0.0156563,0.00582539,-0.0161751,-0.132949,-18492.3
-18939.6,0.559312,0.565731,2,3,0,18942.3,-0.0141808,0.155541,0.130149,0.0742778,0.0936266,0.0355931,-0.0431514,-0.0459873,0.0678958,-0.0189437,-0.00754424,-0.0208465,-0.115515,0.972626,0.143704,0.130501,0.021849,0.102743,0.183838,-0.0402022,-0.141429,0.0646922,-0.0179784,0.0117502,-0.0115605,-0.147399,-18489.3
-18933.8,0.993494,0.565731,3,7,0,18942.8,-0.0183356,0.157054,0.124537,0.0658458,0.100377,0.027689,-0.0480314,-0.0455087,0.07892,-0.0171693,-0.00597557,-0.024124,-0.107715,0.972352,0.147854,0.124208,0.0106964,0.112509,0.169038,-0.0460124,-0.133874,0.077608,-0.0161343,0.012475,-0.0159057,-0.137445,-18493.4
-18938.6,0.761618,0.565731,3,7,0,18943.9,-0.0249391,0.166971,0.135985,0.0670282,0.107289,0.0163461,-0.0412941,-0.0405236,0.0762584,-0.0157239,-0.0141766,-0.0265882,-0.100635,0.971455,0.158962,0.134762,0.0189886,0.119443,0.129334,-0.0406197,-0.123835,0.0759556,-0.0144742,0.00310786,-0.0192908,-0.128412,-18496.2
-18940,0.785694,0.565731,3,7,0,18950.1,-0.00451568,0.155791,0.123993,0.0642559,0.105879,0.0442043,-0.0355434,-0.0552327,0.0748952,-0.0173721,-0.00381594,-0.0112049,-0.0992119,0.974255,0.14768,0.120257,0.00468342,0.112423,0.205559,-0.0261143,-0.137847,0.0738698,-0.0168159,0.0122528,-0.00259957,-0.126596,-18495.5
-18942.6,0.804223,0.565731,3,7,0,18950.3,-0.0273223,0.172072,0.134581,0.0692815,0.103089,0.0177114,-0.0425097,-0.0422949,0.0725016,-0.0155583,-0.0159582,-0.0321115,-0.105052,0.971182,0.164625,0.134758,0.0231896,0.114944,0.136189,-0.0444928,-0.130687,0.0714372,-0.0140843,0.00243269,-0.0249035,-0.134047,-18496.1
-18935.4,1,0.565731,3,7,0,18947.8,-0.0103099,0.17302,0.135052,0.0638623,0.0991091,0.0290629,-0.0436023,-0.0461733,0.0766866,-0.0242143,-0.012465,-0.0194876,-0.0999595,0.96751,0.165525,0.134406,0.0101981,0.109311,0.166521,-0.0410434,-0.129355,0.076501,-0.0233499,0.00414236,-0.0115883,-0.12755,-18495.4
-18936.2,0.881195,0.565731,3,7,0,18943.8,-0.0137903,0.155219,0.126852,0.0663295,0.103208,0.0403687,-0.0491888,-0.0556651,0.0737347,-0.0171483,-0.00712256,-0.0219393,-0.0945865,0.975529,0.145656,0.124705,0.0092472,0.113657,0.208114,-0.0476201,-0.136697,0.0732532,-0.0162147,0.00907795,-0.0147936,-0.120694,-18493.6
-18935.8,0.93982,0.565731,3,7,0,18943.8,-0.0131698,0.158883,0.12855,0.0632424,0.100853,0.0293663,-0.0307942,-0.0432443,0.0666255,-0.0170657,-0.0141974,-0.0286434,-0.106358,0.974397,0.15059,0.12756,0.0149896,0.107252,0.155328,-0.029719,-0.13289,0.0646566,-0.0157488,0.00414769,-0.020982,-0.135715,-18490.9
-18937.5,0.872265,0.565731,3,7,0,18943.7,-0.0169183,0.167997,0.13002,0.0710997,0.110855,0.0301556,-0.0505697,-0.0536611,0.0812206,-0.0134031,-0.00465308,-0.0130749,-0.0932918,0.972879,0.160704,0.12681,0.0141628,0.124553,0.182041,-0.0442286,-0.130925,0.0815227,-0.0127369,0.0106452,-0.00522179,-0.119042,-18499.5
-18933.7,0.990769,0.565731,3,7,0,18942,-0.013288,0.158996,0.132275,0.0718239,0.0972699,0.0268283,-0.0413717,-0.048623,0.0797896,-0.0179871,-0.0109819,-0.0277028,-0.0947203,0.974303,0.150295,0.130416,0.0187612,0.107252,0.16318,-0.0404532,-0.128707,0.0802674,-0.0168183,0.0056137,-0.021086,-0.120865,-18491.9
-18933.5,0.680132,0.565731,3,7,0,18942.8,-0.0178486,0.166332,0.126632,0.0590766,0.112569,0.0315353,-0.0396077,-0.0474546,0.0680872,-0.018396,-0.00793318,-0.0157575,-0.105309,0.971807,0.159338,0.125067,0.00750961,0.122053,0.170911,-0.0344902,-0.134785,0.0659786,-0.017616,0.00932653,-0.00698668,-0.134376,-18496
-18931.9,0.920233,0.565731,3,7,0,18937.8,-0.0186568,0.162227,0.124017,0.0641961,0.110225,0.0286865,-0.0430214,-0.0472154,0.0715943,-0.0171754,-0.00945675,-0.0163778,-0.104076,0.976515,0.154743,0.122536,0.0124348,0.121292,0.166307,-0.0384015,-0.133384,0.0701088,-0.0163355,0.00761343,-0.00778537,-0.132802,-18495.8
-18931.5,0.813764,0.565731,3,7,0,18938.9,-0.0119142,0.158901,0.124187,0.0675013,0.104843,0.0308223,-0.0462795,-0.0496453,0.078794,-0.0183343,-0.011032,-0.0189276,-0.100772,0.976257,0.150611,0.122582,0.0118329,0.116319,0.176526,-0.0425585,-0.133596,0.0785875,-0.0174186,0.0057025,-0.0108966,-0.128587,-18494.5
-18933.2,0.780877,0.565731,3,7,0,18938.3,-0.012884,0.161386,0.1291,0.0598845,0.105073,0.0292809,-0.0331391,-0.0538084,0.073705,-0.0222027,-0.0119245,-0.0247001,-0.101666,0.976711,0.154705,0.128479,0.00912882,0.112179,0.167855,-0.0298645,-0.140882,0.0729219,-0.0211473,0.00543166,-0.0171247,-0.129728,-18492.3
-18940.8,0.627797,0.565731,2,7,0,18944.3,-0.0142108,0.163756,0.141769,0.069114,0.108566,0.0286223,-0.0248439,-0.0500538,0.07563,-0.0204724,-0.0149069,-0.027374,-0.102141,0.966685,0.155236,0.138978,0.0180215,0.113532,0.155765,-0.0208559,-0.13706,0.0752142,-0.0192524,0.00265192,-0.0200039,-0.130334,-18490.2
-18936,1,0.565731,3,7,0,18947.9,-0.0100373,0.166383,0.125573,0.0718865,0.0973375,0.0263606,-0.0353451,-0.0523513,0.0718837,-0.0205278,-0.00317309,-0.0148608,-0.109064,0.968226,0.160197,0.125742,0.0229996,0.105973,0.162148,-0.0276096,-0.142659,0.0694956,-0.0198772,0.014757,-0.00564009,-0.139167,-18492.7
