# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2024-09-28 20:51:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/z7rmeucw.json
# init = 2 (Default)
# random
#   seed = 25074
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/SciBERT/reg-20240928155118_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.589571
# Diagonal elements of inverse mass matrix:
# 2.20397e-05, 2.5072e-05, 1.69593e-05
-35512.6,0.855454,0.589571,2,3,0,35516.9,-0.00541577,0.0457738,1.00505,-100589
-35515.4,0.695673,0.589571,2,3,0,35518.2,-0.00106324,0.0389926,1.0059,-100592
-35511.5,0.982871,0.589571,2,3,0,35516.4,-0.00685515,0.0366711,1.00167,-100588
-35510.4,0.995065,0.589571,3,7,0,35512.1,-0.0130202,0.0391139,1.00312,-100587
-35512.3,0.835809,0.589571,2,3,0,35512.6,-0.0164293,0.0457465,0.997376,-100589
-35511.3,1,0.589571,3,7,0,35513.3,-0.00676153,0.0386814,1.00364,-100588
-35511.1,1,0.589571,3,7,0,35512.1,-0.0143181,0.0389707,1.0046,-100588
-35511.9,0.935797,0.589571,2,3,0,35513,-0.0165046,0.0481757,1.00101,-100588
-35511.6,1,0.589571,3,7,0,35512.2,-0.0160114,0.0475059,1.00254,-100588
-35510.3,0.998475,0.589571,2,3,0,35511.9,-0.0118016,0.0382772,1.00203,-100587
-35511.6,0.868461,0.589571,2,3,0,35512.1,-0.0130441,0.0471696,0.998,-100588
-35510.6,0.910967,0.589571,2,3,0,35513.5,-0.0144533,0.0425801,1.00405,-100587
-35512.3,0.899147,0.589571,3,7,0,35513,-0.0175625,0.0364896,1.00325,-100589
-35511.3,0.926732,0.589571,3,7,0,35514.1,-0.00804463,0.0444527,0.998099,-100588
-35510.9,0.994239,0.589571,3,7,0,35511.5,-0.0154517,0.0392089,1.00365,-100587
-35510.2,0.831822,0.589571,2,3,0,35513,-0.0118437,0.03899,1.00052,-100587
-35510.9,0.936445,0.589571,2,3,0,35511.1,-0.00992177,0.0370972,0.999552,-100587
-35510.7,1,0.589571,3,7,0,35511.2,-0.011971,0.0461019,0.999435,-100587
-35510.5,0.991323,0.589571,2,7,0,35511.1,-0.0130207,0.0403288,1.00402,-100587
-35510.4,1,0.589571,2,7,0,35510.5,-0.00952769,0.0430073,0.999122,-100587
-35510.5,0.985858,0.589571,3,7,0,35511.1,-0.014244,0.0409729,1.00364,-100587
-35511.6,0.769983,0.589571,3,7,0,35513.6,-0.00657317,0.0472508,1.00088,-100588
-35510.6,0.912169,0.589571,3,7,0,35513.5,-0.00833366,0.0428655,1.00367,-100587
-35510.4,0.854904,0.589571,2,7,0,35512,-0.0100225,0.0411607,0.998896,-100587
-35511,0.720962,0.589571,1,3,0,35514,-0.0164237,0.0450981,1.00227,-100587
-35510.3,1,0.589571,2,3,0,35511.2,-0.00838102,0.0415003,1.00017,-100587
-35510.4,0.945982,0.589571,2,3,0,35511.1,-0.0122331,0.042801,0.998634,-100587
-35510.4,0.974867,0.589571,3,7,0,35511.1,-0.01431,0.041213,1.00362,-100587
-35511.1,0.807652,0.589571,2,3,0,35512.7,-0.0106673,0.0381655,0.998056,-100588
-35510.3,1,0.589571,2,3,0,35511.4,-0.0144304,0.0440214,1.00244,-100587
-35510,0.952585,0.589571,2,3,0,35511,-0.0113265,0.0431692,0.999934,-100587
-35510.6,0.816664,0.589571,2,3,0,35512.1,-0.00740554,0.0440458,1.002,-100587
-35510,0.994012,0.589571,2,3,0,35510.7,-0.0103344,0.043316,1.00185,-100586
-35511.7,0.85365,0.589571,2,3,0,35511.8,-0.00510486,0.0391173,1.00033,-100588
-35511.8,0.997426,0.589571,3,7,0,35512.5,-0.0180034,0.0451935,1.00295,-100588
-35511.6,0.846115,0.589571,2,7,0,35513.8,-0.0166829,0.0414489,0.998103,-100588
-35513.1,0.886641,0.589571,2,3,0,35513.9,-0.0157122,0.0431326,1.00755,-100590
