# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-04-21 01:42:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/hsxu8ewu.json
# init = 2 (Default)
# random
#   seed = 53637
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/nondens/multireg-20250420204220_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.540605
# Diagonal elements of inverse mass matrix:
# 1.73201e-05, 1.90456e-05, 2.05907e-05, 1.45554e-05
-49523.5,0.990609,0.540605,2,3,0,49524.2,0.00374054,0.152619,0.12666,0.980179,0.135524,0.127614,-47833.2
-49521.9,0.985317,0.540605,2,3,0,49524.1,-0.00220548,0.145953,0.122711,0.98379,0.129401,0.123635,-47836
-49522.2,0.986954,0.540605,3,7,0,49522.9,-0.00467884,0.146858,0.121765,0.982749,0.130422,0.122682,-47836
-49522.8,0.901996,0.540605,2,7,0,49524.3,0.00235633,0.151971,0.118943,0.984003,0.135871,0.119839,-47836.4
-49523.2,0.96566,0.540605,3,7,0,49525,0.000190862,0.154455,0.126135,0.983575,0.137417,0.127085,-47834.4
-49523,0.975769,0.540605,2,7,0,49524.9,-0.00311709,0.149056,0.12585,0.9786,0.132084,0.126797,-47833.5
-49524.6,0.862271,0.540605,2,3,0,49525.7,-0.00132093,0.15527,0.122031,0.985987,0.138756,0.12295,-47836.6
-49523.6,0.991544,0.540605,3,7,0,49525.7,0.000916332,0.152785,0.126301,0.985545,0.135735,0.127252,-47835.2
-49521.7,1,0.540605,2,7,0,49523.7,0.00106825,0.146979,0.123283,0.979836,0.130347,0.124211,-47834.2
-49521.5,0.887156,0.540605,2,3,0,49523.5,0.00177899,0.147716,0.122466,0.983739,0.131186,0.123388,-47835.5
-49521.2,0.987634,0.540605,3,7,0,49522.1,-0.000765854,0.148114,0.122151,0.980353,0.131622,0.123071,-47834.5
-49521.6,0.951401,0.540605,2,7,0,49522.1,0.000753327,0.147268,0.124619,0.980297,0.130464,0.125557,-47833.9
-49523.5,0.744982,0.540605,2,3,0,49525,-0.00155608,0.149537,0.11631,0.983874,0.133788,0.117186,-47837.7
-49522.9,0.985154,0.540605,3,7,0,49525.6,0.00269599,0.152121,0.118773,0.983535,0.136042,0.119667,-47836.3
-49521,0.938596,0.540605,2,3,0,49523.9,0.000675246,0.150552,0.123665,0.982338,0.133853,0.124596,-47834.3
-49523.1,0.81527,0.540605,2,3,0,49523.3,0.00156349,0.155037,0.123741,0.983302,0.138304,0.124673,-47834.7
-49523.6,0.956963,0.540605,3,7,0,49525.3,0.00561287,0.15058,0.121838,0.97937,0.134115,0.122755,-47834.4
-49523.4,0.891779,0.540605,2,7,0,49526.6,-0.00172333,0.144889,0.12603,0.978978,0.127916,0.126979,-47834.2
-49525.6,0.874831,0.540605,2,3,0,49526,-0.000546034,0.144305,0.125473,0.976615,0.127406,0.126418,-47834.3
-49521.5,1,0.540605,2,3,0,49525.3,-0.00226766,0.146813,0.122459,0.983292,0.130288,0.123381,-47835.7
-49522,0.976115,0.540605,2,3,0,49522.3,-0.00361837,0.146674,0.120791,0.982976,0.130364,0.1217,-47836.3
-49521.4,1,0.540605,2,3,0,49522.3,-0.000919726,0.147018,0.123575,0.980494,0.130349,0.124506,-47834.3
-49523.2,0.743668,0.540605,2,3,0,49524.1,-0.00257179,0.150613,0.127412,0.979113,0.133432,0.128371,-47833.2
-49523.4,0.906911,0.540605,2,7,0,49526,-0.000228193,0.145647,0.11808,0.979253,0.129692,0.118969,-47836.2
