# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-03-23 18:45:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/mfhsh0wi.json
# init = 2 (Default)
# random
#   seed = 28389
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/nondens/multireg-20250323134551_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.50792
# Diagonal elements of inverse mass matrix:
# 1.97973e-05, 1.74812e-05, 1.87279e-05, 1.42534e-05
-49652.1,0.976426,0.50792,3,7,0,49653.4,-3.40378e-05,0.142708,0.12623,0.981483,0.122555,0.127203,-47697.5
-49654.5,0.873876,0.50792,3,7,0,49655.6,-0.00672603,0.142567,0.13007,0.984019,0.12195,0.131073,-47701.9
-49655.5,0.970509,0.50792,3,7,0,49656.4,-0.00946613,0.143857,0.129444,0.983918,0.123273,0.130442,-47702.1
-49654.7,0.966662,0.50792,3,7,0,49657.4,0.00548373,0.150066,0.120251,0.98365,0.130401,0.121178,-47694.6
-49653.9,0.94731,0.50792,2,7,0,49657.7,0.00277279,0.142602,0.123774,0.979714,0.122753,0.124728,-47696.1
-49651.2,0.98304,0.50792,2,3,0,49655.4,1.71742e-05,0.147413,0.124784,0.980747,0.127282,0.125746,-47694.2
-49651.2,0.994733,0.50792,2,7,0,49651.7,-0.00383943,0.148864,0.125062,0.984887,0.128651,0.126026,-47697.3
-49651.9,0.972491,0.50792,3,7,0,49652.1,-0.00355153,0.151255,0.12516,0.984899,0.130951,0.126125,-47696.2
-49653,0.883225,0.50792,3,7,0,49654.5,-0.00160667,0.143794,0.130662,0.984087,0.123064,0.131669,-47699.6
-49656.1,0.808873,0.50792,2,7,0,49657.9,0.00267448,0.138063,0.127146,0.983479,0.117952,0.128126,-47702
