# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2024-09-28 20:53:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpy2die0g0/mcy1gukp.json
# init = 2 (Default)
# random
#   seed = 73349
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit_None/nondens/multireg-20240928155345_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.470952
# Diagonal elements of inverse mass matrix:
# 1.93055e-05, 1.90082e-05, 1.90773e-05, 1.45319e-05
-49505.1,0.953348,0.470952,3,7,0,49507.5,-0.00353096,0.150321,0.124635,0.983475,0.13525,0.125658,-143961
-49506.3,0.903709,0.470952,2,3,0,49506.9,-0.0036204,0.152268,0.121479,0.983282,0.137626,0.122476,-143962
-49506.8,0.976935,0.470952,3,7,0,49507.9,0.00239349,0.145548,0.130657,0.980734,0.129647,0.13173,-143963
-49504.5,0.745679,0.470952,1,3,0,49510.9,-8.8493e-05,0.147454,0.124315,0.983251,0.132401,0.125336,-143960
-49506.1,0.87482,0.470952,2,3,0,49506.5,0.000849475,0.151045,0.119847,0.982873,0.136607,0.120831,-143962
-49505.2,0.986655,0.470952,3,7,0,49507.2,0.0014449,0.150905,0.128468,0.982716,0.135336,0.129522,-143961
-49506,0.965238,0.470952,3,7,0,49506.6,-0.00317989,0.143701,0.123845,0.981342,0.128678,0.124862,-143962
-49505.7,0.931248,0.470952,3,7,0,49508.4,0.00393941,0.145646,0.125833,0.982035,0.130379,0.126865,-143961
-49507,0.885198,0.470952,3,7,0,49508.3,-0.00272876,0.150296,0.12111,0.985736,0.135687,0.122104,-143963
-49505.2,0.996475,0.470952,2,7,0,49507.8,0.00323395,0.147441,0.122905,0.981848,0.132573,0.123914,-143961
-49504.6,0.985356,0.470952,3,7,0,49506,-0.000651403,0.151419,0.123781,0.982468,0.136469,0.124797,-143960
-49506.5,0.829113,0.470952,2,3,0,49507.1,0.00187982,0.146238,0.126668,0.977883,0.130867,0.127708,-143962
-49505.2,0.720447,0.470952,3,7,0,49511.8,-0.000993108,0.150041,0.123256,0.978994,0.135148,0.124268,-143961
-49506,0.930286,0.470952,3,7,0,49506.7,-0.0028691,0.146863,0.126423,0.978288,0.131528,0.127461,-143962
-49505.4,0.996681,0.470952,3,7,0,49506.5,-0.00302787,0.149301,0.126132,0.978915,0.134025,0.127167,-143961
-49504.9,0.914599,0.470952,2,3,0,49507,-0.00359936,0.148598,0.126957,0.982763,0.133208,0.127999,-143961
-49505.1,0.971299,0.470952,3,7,0,49506,-0.00121368,0.147221,0.121994,0.980158,0.13247,0.122995,-143961
-49505.4,0.883148,0.470952,3,7,0,49507.8,-0.0017753,0.151726,0.128566,0.982975,0.136151,0.129621,-143961
-49505.3,0.946209,0.470952,3,7,0,49506.5,0.00118766,0.147859,0.123466,0.978875,0.13292,0.124479,-143961
-49504.5,0.98125,0.470952,3,7,0,49506.1,-0.00120766,0.150612,0.126341,0.982841,0.135319,0.127378,-143960
-49505.3,0.912537,0.470952,3,7,0,49505.9,-0.000621687,0.150214,0.123877,0.984921,0.135241,0.124893,-143961
-49504.9,0.958597,0.470952,3,7,0,49507.4,0.0016497,0.146841,0.127182,0.980444,0.131407,0.128225,-143961
-49505,0.96888,0.470952,3,7,0,49506.1,-0.00236014,0.151142,0.127868,0.982025,0.135654,0.128917,-143961
-49506.1,0.833796,0.470952,3,7,0,49507.8,0.000667305,0.151408,0.120579,0.983814,0.136877,0.121569,-143962
-49504.3,0.874158,0.470952,1,3,0,49507.9,-0.000270591,0.149266,0.123966,0.980649,0.134274,0.124983,-143960
-49505.2,0.884013,0.470952,2,3,0,49505.9,0.00231359,0.14545,0.126689,0.981511,0.130069,0.127729,-143961
-49504.9,0.932818,0.470952,3,7,0,49506.8,-0.00128085,0.14719,0.122174,0.9805,0.132415,0.123177,-143961
-49506.1,0.892289,0.470952,2,3,0,49506.7,-0.00319027,0.148815,0.120565,0.979694,0.134264,0.121554,-143962
-49505.4,0.896615,0.470952,3,7,0,49509,0.000248928,0.148985,0.129951,0.98083,0.133206,0.131018,-143961
-49506.8,0.889858,0.470952,2,3,0,49507.6,0.000251577,0.145371,0.131121,0.980684,0.129409,0.132197,-143963
-49504.5,0.822942,0.470952,2,3,0,49509.9,0.00092832,0.148325,0.125025,0.980225,0.133186,0.126051,-143960
-49507.9,0.709929,0.470952,2,3,0,49508.5,-0.00456449,0.149598,0.124508,0.976708,0.134537,0.12553,-143964
-49505,1,0.470952,3,7,0,49508,-0.00286505,0.146477,0.1247,0.983453,0.131365,0.125723,-143961
-49505.4,0.989687,0.470952,2,3,0,49505.5,-0.00400573,0.146095,0.125056,0.983044,0.130933,0.126082,-143961
-49504.5,0.913428,0.470952,2,3,0,49506.6,0.00160294,0.148729,0.125806,0.982994,0.133491,0.126838,-143960
-49504.6,0.996864,0.470952,3,7,0,49504.9,-0.00206304,0.148395,0.123665,0.980473,0.133434,0.12468,-143960
-49505.8,0.910442,0.470952,2,3,0,49506.1,-0.0037896,0.151297,0.121763,0.980898,0.13661,0.122763,-143962
-49505.2,0.905721,0.470952,3,7,0,49508,0.000872944,0.145326,0.1272,0.982993,0.129877,0.128244,-143961
-49507,0.792666,0.470952,2,3,0,49508,-0.00189369,0.147012,0.126975,0.986624,0.131607,0.128017,-143963
-49505.1,0.999185,0.470952,2,7,0,49507.5,-0.00461385,0.149461,0.126283,0.981488,0.134167,0.127319,-143961
-49508,0.782495,0.470952,3,7,0,49508.7,-0.00449464,0.146933,0.126445,0.986907,0.131597,0.127483,-143964
-49508.2,0.990496,0.470952,3,7,0,49509.2,-0.00391941,0.145829,0.127548,0.98677,0.130339,0.128595,-143964
-49507.2,0.866082,0.470952,2,7,0,49513.8,-0.00273969,0.147798,0.12012,0.985405,0.133297,0.121105,-143963
-49505,0.9925,0.470952,2,3,0,49507.6,-0.00139485,0.150753,0.125383,0.979405,0.135587,0.126412,-143961
-49506,0.891887,0.470952,2,3,0,49506.5,-0.00187862,0.149168,0.123165,0.985598,0.13428,0.124175,-143962
-49505,1,0.470952,2,7,0,49506.6,-0.00377169,0.149986,0.127064,0.981486,0.134594,0.128106,-143961
-49505.6,0.893784,0.470952,3,7,0,49507,0.00255895,0.14861,0.122516,0.979322,0.133802,0.123522,-143961
-49506.1,0.975396,0.470952,3,7,0,49507.2,-0.00161846,0.147153,0.130969,0.981796,0.131226,0.132043,-143962
-49504.5,1,0.470952,3,7,0,49506.4,0.00220215,0.149209,0.124111,0.9823,0.134197,0.12513,-143960
-49504.5,0.91541,0.470952,2,3,0,49505.7,-0.000255602,0.149212,0.124044,0.979959,0.134209,0.125062,-143960
-49506.9,0.870345,0.470952,3,7,0,49507.4,0.00577041,0.148507,0.121623,0.980643,0.133815,0.122621,-143963
-49504.8,0.755099,0.470952,2,3,0,49511.5,-0.00173539,0.148134,0.123454,0.979726,0.133199,0.124468,-143961
-49505.7,0.916475,0.470952,2,3,0,49506.5,-0.0012809,0.150878,0.129624,0.983329,0.135158,0.130688,-143961
-49506,0.75237,0.470952,3,7,0,49509.2,0.00099434,0.147927,0.120994,0.979087,0.133312,0.121987,-143962
-49504.4,0.852205,0.470952,2,3,0,49508.8,0.00111871,0.149657,0.126592,0.981062,0.134324,0.127631,-143960
