,alpha,beta[asym_BOW],"beta[asym_BOW_j,Economics]","beta[asym_BOW_j,Education]","beta[asym_BOW_j,Geology]","beta[asym_BOW_j,Linguistics]","beta[asym_BOW_j,Materials Science]","beta[asym_BOW_j,Mathematics]","beta[asym_BOW_j,Medicine]","beta[asym_BOW_j,Philosophy]","beta[asym_BOW_j,Physics]",beta[asym_GPT2],"beta[asym_GPT2_j,Economics]","beta[asym_GPT2_j,Education]","beta[asym_GPT2_j,Geology]","beta[asym_GPT2_j,Linguistics]","beta[asym_GPT2_j,Materials Science]","beta[asym_GPT2_j,Mathematics]","beta[asym_GPT2_j,Medicine]","beta[asym_GPT2_j,Philosophy]","beta[asym_GPT2_j,Physics]",beta[asym_SBERT],"beta[asym_SBERT_j,Economics]","beta[asym_SBERT_j,Education]","beta[asym_SBERT_j,Geology]","beta[asym_SBERT_j,Linguistics]","beta[asym_SBERT_j,Materials Science]","beta[asym_SBERT_j,Mathematics]","beta[asym_SBERT_j,Medicine]","beta[asym_SBERT_j,Philosophy]","beta[asym_SBERT_j,Physics]",beta[asym_SciBERT],"beta[asym_SciBERT_j,Economics]","beta[asym_SciBERT_j,Education]","beta[asym_SciBERT_j,Geology]","beta[asym_SciBERT_j,Linguistics]","beta[asym_SciBERT_j,Materials Science]","beta[asym_SciBERT_j,Mathematics]","beta[asym_SciBERT_j,Medicine]","beta[asym_SciBERT_j,Philosophy]","beta[asym_SciBERT_j,Physics]",beta[asym_Word2Vec],"beta[asym_Word2Vec_j,Economics]","beta[asym_Word2Vec_j,Education]","beta[asym_Word2Vec_j,Geology]","beta[asym_Word2Vec_j,Linguistics]","beta[asym_Word2Vec_j,Materials Science]","beta[asym_Word2Vec_j,Mathematics]","beta[asym_Word2Vec_j,Medicine]","beta[asym_Word2Vec_j,Philosophy]","beta[asym_Word2Vec_j,Physics]",beta[den_BOW],"beta[den_BOW_j,Economics]","beta[den_BOW_j,Education]","beta[den_BOW_j,Geology]","beta[den_BOW_j,Linguistics]","beta[den_BOW_j,Materials Science]","beta[den_BOW_j,Mathematics]","beta[den_BOW_j,Medicine]","beta[den_BOW_j,Philosophy]","beta[den_BOW_j,Physics]",beta[den_GPT2],"beta[den_GPT2_j,Economics]","beta[den_GPT2_j,Education]","beta[den_GPT2_j,Geology]","beta[den_GPT2_j,Linguistics]","beta[den_GPT2_j,Materials Science]","beta[den_GPT2_j,Mathematics]","beta[den_GPT2_j,Medicine]","beta[den_GPT2_j,Philosophy]","beta[den_GPT2_j,Physics]",beta[den_SBERT],"beta[den_SBERT_j,Economics]","beta[den_SBERT_j,Education]","beta[den_SBERT_j,Geology]","beta[den_SBERT_j,Linguistics]","beta[den_SBERT_j,Materials Science]","beta[den_SBERT_j,Mathematics]","beta[den_SBERT_j,Medicine]","beta[den_SBERT_j,Philosophy]","beta[den_SBERT_j,Physics]",beta[den_SciBERT],"beta[den_SciBERT_j,Economics]","beta[den_SciBERT_j,Education]","beta[den_SciBERT_j,Geology]","beta[den_SciBERT_j,Linguistics]","beta[den_SciBERT_j,Materials Science]","beta[den_SciBERT_j,Mathematics]","beta[den_SciBERT_j,Medicine]","beta[den_SciBERT_j,Philosophy]","beta[den_SciBERT_j,Physics]",beta[den_Word2Vec],"beta[den_Word2Vec_j,Economics]","beta[den_Word2Vec_j,Education]","beta[den_Word2Vec_j,Geology]","beta[den_Word2Vec_j,Linguistics]","beta[den_Word2Vec_j,Materials Science]","beta[den_Word2Vec_j,Mathematics]","beta[den_Word2Vec_j,Medicine]","beta[den_Word2Vec_j,Philosophy]","beta[den_Word2Vec_j,Physics]",beta[references],"beta[references_j,Economics]","beta[references_j,Education]","beta[references_j,Geology]","beta[references_j,Linguistics]","beta[references_j,Materials Science]","beta[references_j,Mathematics]","beta[references_j,Medicine]","beta[references_j,Philosophy]","beta[references_j,Physics]",beta[year],"beta[year_j,Economics]","beta[year_j,Education]","beta[year_j,Geology]","beta[year_j,Linguistics]","beta[year_j,Materials Science]","beta[year_j,Mathematics]","beta[year_j,Medicine]","beta[year_j,Philosophy]","beta[year_j,Physics]",log_ppd,mu_beta[asym_BOW_j],mu_beta[asym_GPT2_j],mu_beta[asym_SBERT_j],mu_beta[asym_SciBERT_j],mu_beta[asym_Word2Vec_j],mu_beta[den_BOW_j],mu_beta[den_GPT2_j],mu_beta[den_SBERT_j],mu_beta[den_SciBERT_j],mu_beta[den_Word2Vec_j],mu_beta[references_j],mu_beta[year_j],sigma,sigma_beta[asym_BOW_j],sigma_beta[asym_GPT2_j],sigma_beta[asym_SBERT_j],sigma_beta[asym_SciBERT_j],sigma_beta[asym_Word2Vec_j],sigma_beta[den_BOW_j],sigma_beta[den_GPT2_j],sigma_beta[den_SBERT_j],sigma_beta[den_SciBERT_j],sigma_beta[den_Word2Vec_j],sigma_beta[references_j],sigma_beta[year_j],y_col,rmse,$R^2$,1-MAE,1-RMSE,1-MAPE,1-MedAE,1-MPinL,$D^2_{pin}$,$D^2_{abs}$,$R^2$_descaled,1-MAE_descaled,1-RMSE_descaled,1-MAPE_descaled,1-MedAE_descaled,1-MPinL_descaled,$D^2_{pin}$_descaled,$D^2_{abs}$_descaled
asym_Word2Vec,-0.01672935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11409849999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33676.664171895754,,,,,,,,,,,,,0.993653,,,,,,,,,,,,,log_cpy,0.997555672271248,-0.006385060402587239,0.20843136753129,-0.005322671039064364,-0.29588851302774866,0.34118219956998896,0.6042156837656449,-0.002555221375379446,-0.002555221375379446,0.007546830997159248,0.46668176908014836,0.32551703443520064,-70758719663990.47,0.5576986018313208,0.7333408845400742,0.0038053529871905356,0.0038053529871905356
nonsems,0.00013919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1465935,,,,,,,,,,0.1248075,,,,,,,,,,-48090.35942910326,,,,,,,,,,,,,0.9794160000000001,,,,,,,,,,,,,log_cpy,0.9855240981814527,0.015930872168151033,0.22405988380062325,0.005886000929355428,-0.5960278340810048,0.3616026650359859,0.6120299419003117,0.01723895684932364,0.01723895684932364,0.03134252480530686,0.47648323327832,0.3336520107558918,-81092155307396.8,0.568851548315849,0.73824161663916,0.02211368298795824,0.02211368298795824
den_BOW.nonsems,-0.014675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161593,,,,,,,,,,0.13261,,,,,,,,,,-33292.10947782987,,,,,,,,,,,,,0.9752734999999999,,,,,,,,,,,,,log_cpy,0.9854166046412459,0.003417395690391012,0.21996113219273405,-0.00041463633561322766,-0.7373617104395671,0.35760377931298004,0.6099805660963671,0.012047714224165063,0.012047714224165063,0.03155382099358861,0.47737131076462913,0.3337246909719368,-79966648003939.31,0.5695567456398095,0.7386856553823146,0.02377253878305796,0.02377253878305796
den_GPT2.nonsems,-0.01287185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139733,,,,,,,,,,0.1124445,,,,,,,,,,-33742.6674685816,,,,,,,,,,,,,0.979359,,,,,,,,,,,,,log_cpy,0.9804486940501264,0.014254268974386197,0.22194772948493646,0.005039502782052341,-0.7682150426891492,0.3565085503649875,0.6109738647424683,0.014563823890936689,0.014563823890936689,0.04129391762802914,0.4786128754924748,0.3370836724917653,-78076995715664.31,0.5679132157781531,0.7393064377462374,0.02609167970885473,0.02609167970885473
den_SBERT.nonsems,-7.98994e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05873855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1350245,,,,,,,,,,0.113166,,,,,,,,,,-33916.60089236402,,,,,,,,,,,,,0.9848330000000001,,,,,,,,,,,,,log_cpy,0.9848445300331737,0.014348085421147183,0.22303783388408238,0.005086850630810269,-0.5883105475236414,0.3596295897640842,0.6115189169420412,0.01594448731338627,0.01594448731338627,0.032677939765392905,0.47689195627230563,0.3341114910161874,-80208189347087.98,0.5696184148741309,0.7384459781361528,0.022877143967001246,0.022877143967001246
den_SciBERT.nonsems,-0.00978254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02126805,,,,,,,,,,,,,,,,,,,,0.1603255,,,,,,,,,,0.13605,,,,,,,,,,-32835.18239829989,,,,,,,,,,,,,0.9778690000000001,,,,,,,,,,,,,log_cpy,0.986463006406644,0.012822128787255749,0.2240626392783568,0.0043170011805604425,-0.681189982536774,0.36162215716521007,0.6120313196391785,0.017242446778656162,0.017242446778656162,0.029495966809849117,0.47662461726738636,0.3330171814208248,-80807084441577.98,0.5686183391026893,0.7383123086336931,0.02237777666583285,0.02237777666583285
den_Word2Vec.nonsems,-0.0130538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00560269,,,,,,,,,,0.165655,,,,,,,,,,0.1369805,,,,,,,,,,-33264.68314082247,,,,,,,,,,,,,0.9770795,,,,,,,,,,,,,log_cpy,0.9869641017625073,0.011001215442836498,0.22387705153183957,0.0033991234559251904,-0.685852034021426,0.361326445150268,0.6119385257659198,0.017007392032090674,0.017007392032090674,0.02850973908943799,0.4766046712129355,0.33267837298030556,-80485811008310.92,0.5693982906235897,0.7383023356064677,0.022340519074546927,0.022340519074546927
asym_BOW.nonsems,-0.0145817,0.08401135000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164903,,,,,,,,,,0.133203,,,,,,,,,,-33259.07837955192,,,,,,,,,,,,,0.973966,,,,,,,,,,,,,log_cpy,0.9847537649133936,0.004591122380105617,0.22103446529960458,0.00017465716148812316,-0.7822091416088608,0.35702152951499366,0.6105172326498023,0.013407136094145011,0.013407136094145011,0.03285623198131282,0.4781308487505884,0.33417286055060125,-80090235385820.97,0.5708687979744929,0.7390654243752942,0.025191293350121047,0.025191293350121047
asym_GPT2.nonsems,-0.01228545,,,,,,,,,,,-0.018381349999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140359,,,,,,,,,,0.126823,,,,,,,,,,-33908.47799873944,,,,,,,,,,,,,0.986407,,,,,,,,,,,,,log_cpy,0.9852095190624761,0.016853592337378598,0.223722768661207,0.00635217964495427,-0.5811866530242586,0.3594414298909101,0.6118613843306036,0.01681198623759994,0.01681198623759994,0.03196081670198814,0.47584652413142525,0.33386470891697684,-80098507120661.23,0.5665738838674486,0.7379232620657126,0.020924362602741664,0.020924362602741664
asym_SBERT.nonsems,-0.000292152,,,,,,,,,,,,,,,,,,,,,-0.01727795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1377815,,,,,,,,,,0.117497,,,,,,,,,,-33927.85767148099,,,,,,,,,,,,,0.9861949999999999,,,,,,,,,,,,,log_cpy,0.9850033288229191,0.01887541354878297,0.22440289829064075,0.0073744140464756525,-0.5685983998992055,0.36027046227876414,0.6122014491453204,0.017673399238610776,0.017673399238610776,0.03236596776987488,0.47619766119832196,0.3340041214912448,-80657346634123.62,0.5683622623778646,0.7380988305991609,0.02158025780026185,0.02158025780026185
