# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-03-23 18:40:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/pd9_vtyf.json
# init = 2 (Default)
# random
#   seed = 86480
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/GPT2/reg-20250323134041_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.599735
# Diagonal elements of inverse mass matrix:
# 2.42866e-05, 2.29519e-05, 1.71819e-05
-36037.1,0.880095,0.599735,2,3,0,36037.9,-0.0121281,0.137709,0.999062,-33685.5
-36036.3,0.975833,0.599735,2,3,0,36037.6,-0.0154511,0.137151,0.999775,-33686.3
-36041.6,0.583636,0.599735,2,3,0,36042.6,-0.0221432,0.140041,0.993232,-33685.3
-36037.9,1,0.599735,2,3,0,36042,-0.0192488,0.134391,0.994351,-33685.4
-36036.8,1,0.599735,2,3,0,36038.8,-0.0210661,0.136143,0.998978,-33687.3
-36035.9,0.971447,0.599735,2,3,0,36037.4,-0.0160543,0.135888,0.999583,-33686.5
-36035.8,0.997693,0.599735,2,7,0,36036,-0.0170022,0.13061,0.999655,-33687.7
-36039.5,0.662223,0.599735,2,3,0,36040,-0.0209508,0.128597,0.993686,-33687.1
-36038.8,1,0.599735,2,3,0,36040.3,-0.0177484,0.127157,0.994325,-33686.9
-36037.9,1,0.599735,1,1,0,36038.8,-0.0180737,0.127685,0.995474,-33687.1
-36037.9,0.795919,0.599735,1,1,0,36038.9,-0.0180737,0.127685,0.995474,-33687.1
-36036.3,0.992781,0.599735,2,7,0,36038.2,-0.0181531,0.136744,1.00027,-33687.1
-36035.8,1,0.599735,2,3,0,36036.4,-0.0183768,0.134238,0.99955,-33687.2
-36036.2,0.882212,0.599735,2,3,0,36037.1,-0.0179081,0.129796,0.997833,-33687.3
-36037.2,0.939007,0.599735,2,3,0,36037.3,-0.0204733,0.128268,0.997857,-33688.4
-36037.3,0.963424,0.599735,3,7,0,36038.1,-0.0126412,0.137425,1.00195,-33687.2
-36037.8,0.898076,0.599735,1,1,0,36038,-0.0129174,0.137911,1.00296,-33687.8
-36036.2,1,0.599735,2,3,0,36037.8,-0.0167071,0.135122,0.997075,-33685.6
-36035.9,0.992454,0.599735,3,7,0,36036.5,-0.0185705,0.131853,0.998719,-33687.3
-36035.7,0.982827,0.599735,2,3,0,36036.1,-0.0150753,0.133917,0.999877,-33686.8
-36036.1,0.929262,0.599735,3,7,0,36036.6,-0.0152701,0.129342,0.999224,-33687.6
-36037.5,0.859524,0.599735,2,3,0,36038,-0.0137125,0.139007,0.997425,-33684.8
-36035.6,1,0.599735,2,3,0,36037.3,-0.0166879,0.133442,0.999588,-33687
-36037.3,0.76466,0.599735,3,7,0,36038.6,-0.01464,0.126143,0.999609,-33688.7
-36038.5,0.834346,0.599735,1,1,0,36038.6,-0.0138836,0.124245,0.998964,-33689.1
-36036,0.925173,0.599735,2,3,0,36039.9,-0.0144594,0.131844,0.997629,-33686.1
-36036.1,0.943674,0.599735,2,3,0,36036.6,-0.0134316,0.131058,1.00052,-33687.5
-36035.8,0.910535,0.599735,2,3,0,36037.1,-0.0153419,0.132772,0.998186,-33686.2
-36036.4,0.817285,0.599735,2,7,0,36037.6,-0.0194613,0.135119,1.00138,-33688.3
-36036.4,1,0.599735,1,1,0,36036.5,-0.019308,0.135028,1.00148,-33688.3
-36036.7,0.891636,0.599735,2,3,0,36037.7,-0.01952,0.131989,1.0025,-33689.6
-36035.7,0.902559,0.599735,1,3,0,36037.7,-0.0152486,0.134536,0.999294,-33686.4
-36036.1,0.777754,0.599735,2,3,0,36038,-0.0154926,0.136217,1.00041,-33686.8
-36036.6,0.692971,0.599735,2,3,0,36039.4,-0.0132944,0.128602,0.999813,-33687.8
-36036.7,0.995563,0.599735,2,3,0,36036.8,-0.0133856,0.128523,1.00046,-33688.2
-36036.4,0.960371,0.599735,2,7,0,36037.5,-0.0197054,0.135184,0.997873,-33686.5
-36035.9,0.979016,0.599735,2,3,0,36037,-0.0153037,0.133711,1.00131,-33687.6
-36036,0.958405,0.599735,2,3,0,36036.6,-0.0158412,0.135211,0.997795,-33685.7
-36037.6,0.740039,0.599735,2,3,0,36039.1,-0.0111332,0.128484,1.00153,-33688.6
-36035.9,0.940131,0.599735,2,3,0,36038.5,-0.0165302,0.134521,0.997729,-33685.9
-36037.6,0.743072,0.599735,2,3,0,36038.5,-0.0157684,0.129833,0.994756,-33685.8
-36036.8,0.922083,0.599735,2,3,0,36039.3,-0.0124271,0.12893,1.00046,-33688
-36037.7,0.826954,0.599735,2,3,0,36039.6,-0.0150457,0.140248,0.998755,-33685.5
-36035.9,0.775532,0.599735,3,7,0,36040.7,-0.0143583,0.132671,1.00115,-33687.6
-36036.3,0.973428,0.599735,2,3,0,36036.4,-0.0143486,0.132029,1.00227,-33688.4
-36036.6,0.975208,0.599735,3,7,0,36037.2,-0.0200564,0.131099,0.997084,-33687.2
-36036.5,0.861396,0.599735,2,3,0,36038.7,-0.0130896,0.130151,0.997807,-33686.4
-36037.1,0.92334,0.599735,3,7,0,36037.6,-0.0125107,0.128585,0.997283,-33686.6
-36041.9,0.564876,0.599735,3,7,0,36044.3,-0.0141633,0.144165,1.0041,-33688.6
-36035.7,1,0.599735,2,3,0,36041,-0.016964,0.131793,0.999211,-33687.2
-36038.8,0.591783,0.599735,2,3,0,36040.5,-0.0238604,0.13306,1.00345,-33691.3
-36037.9,1,0.599735,2,3,0,36038.8,-0.0104652,0.131493,0.995711,-33685.1
-36038.8,0.80834,0.599735,2,3,0,36040.7,-0.0223788,0.134106,1.00453,-33691.3
-36039.7,0.966635,0.599735,3,7,0,36042.2,-0.0130296,0.125097,0.994943,-33687.1
-36036.2,1,0.599735,2,3,0,36039.3,-0.0143622,0.131071,1.00154,-33688.2
-36036.7,0.813585,0.599735,2,3,0,36038.5,-0.0127676,0.136269,0.997865,-33685.2
-36039.3,0.690613,0.599735,3,7,0,36041.5,-0.0260326,0.133716,1.00128,-33690.6
-36037.8,0.831814,0.599735,2,3,0,36042.9,-0.0199919,0.127675,0.996415,-33687.9
-36040.9,0.756061,0.599735,2,3,0,36042.5,-0.00744809,0.125052,1.00147,-33689.8
-36038.8,1,0.599735,2,3,0,36041.3,-0.0232781,0.138848,0.998275,-33687.4
-36038.5,1,0.599735,3,7,0,36040.3,-0.00975273,0.126745,0.999569,-33688.1
-36037.4,0.967052,0.599735,3,7,0,36040,-0.015534,0.137937,1.00302,-33688.2
-36035.8,0.885912,0.599735,2,3,0,36038.7,-0.0170209,0.133408,0.998137,-33686.4
-36036.7,0.784199,0.599735,2,3,0,36038.1,-0.0119334,0.12973,0.99969,-33687.3
-36036.1,0.986454,0.599735,2,3,0,36037.1,-0.0132764,0.133818,0.997973,-33685.7
-36037.6,0.864084,0.599735,2,3,0,36037.9,-0.0157496,0.128254,1.00361,-33690.5
-36035.8,0.994505,0.599735,2,3,0,36038.1,-0.0152268,0.133112,1.00091,-33687.5
-36035.8,0.996452,0.599735,2,7,0,36036,-0.0141706,0.131868,0.999986,-33687.1
-36037.3,0.757362,0.599735,2,3,0,36038.1,-0.0140156,0.1274,0.997011,-33687
-36038.2,0.686066,0.599735,2,7,0,36041,-0.0137642,0.129139,1.0046,-33690.7
-36038,0.996279,0.599735,2,3,0,36039.6,-0.0181289,0.13216,0.993926,-33685.4
-36036.7,1,0.599735,2,3,0,36038.3,-0.020729,0.133141,0.997217,-33686.9
-36037.3,0.824861,0.599735,2,3,0,36038.4,-0.0220489,0.133617,1.00199,-33689.6
-36036.8,1,0.599735,3,7,0,36037.3,-0.0106362,0.132203,0.998578,-33686.1
-36037,0.975934,0.599735,3,7,0,36037.7,-0.0114084,0.134847,0.99728,-33685
-36036,0.933524,0.599735,2,3,0,36038.2,-0.0157303,0.131621,1.00162,-33688.3
-36037.5,0.854151,0.599735,2,3,0,36037.9,-0.00988789,0.136438,0.999715,-33685.9
-36037.6,0.977511,0.599735,3,7,0,36038.7,-0.0226514,0.129115,0.999741,-33689.7
-36037.3,0.9299,0.599735,2,3,0,36038.9,-0.0111794,0.1357,0.996972,-33684.8
-36037.7,0.991576,0.599735,3,7,0,36038.7,-0.0195259,0.126147,0.998647,-33689.2
-36035.9,0.992247,0.599735,3,7,0,36037.8,-0.0146999,0.135089,1.00049,-33686.8
-36036.3,0.889045,0.599735,3,7,0,36037.3,-0.013555,0.133505,0.997183,-33685.4
-36036,0.895336,0.599735,2,3,0,36037.5,-0.0172421,0.13041,1.00103,-33688.6
-36036.6,0.937947,0.599735,2,3,0,36037,-0.0165055,0.12753,0.999344,-33688.4
-36036.5,0.957634,0.599735,3,7,0,36037.5,-0.0184083,0.13038,0.996866,-33686.9
-36037.2,0.914375,0.599735,3,7,0,36038.1,-0.0153042,0.126371,0.998699,-33688.3
-36036.4,0.96794,0.599735,2,7,0,36038,-0.0164721,0.137186,1.00104,-33687.2
-36036,0.984853,0.599735,2,3,0,36036.8,-0.0187867,0.13452,1.00022,-33687.6
-36036,0.883495,0.599735,3,7,0,36037.5,-0.0133842,0.131424,0.99936,-33686.8
-36035.9,0.86717,0.599735,1,3,0,36037.5,-0.0189297,0.133888,0.999807,-33687.5
-36037.5,0.821401,0.599735,2,3,0,36037.9,-0.011586,0.129874,1.00283,-33689.1
-36036.8,1,0.599735,3,7,0,36037.7,-0.0189687,0.134263,0.995959,-33685.8
-36036,0.934815,0.599735,3,7,0,36037.8,-0.0136276,0.131609,1.00061,-33687.5
-36037.8,0.724742,0.599735,2,3,0,36038.5,-0.0202388,0.129829,1.00372,-33691.1
-36037.4,0.992259,0.599735,3,7,0,36038.7,-0.0205823,0.131326,0.995745,-33686.8
-36040.2,0.712474,0.599735,2,3,0,36042.1,-0.0118217,0.141085,1.00406,-33688.3
-36037.2,1,0.599735,3,7,0,36039.8,-0.0179381,0.126605,1.0008,-33689.8
-36036.5,0.824768,0.599735,2,7,0,36039.7,-0.0168607,0.136525,0.997097,-33685.4
-36036.2,0.670836,0.599735,2,3,0,36040.3,-0.0193902,0.130744,1.0006,-33688.7
-36037.2,0.883867,0.599735,3,7,0,36038,-0.0167151,0.138892,1.00164,-33687.4
-36039.1,0.898599,0.599735,2,3,0,36039.5,-0.0203539,0.141229,1.00176,-33688.2
-36037.4,1,0.599735,2,3,0,36040.2,-0.0101931,0.135746,0.997998,-33685.1
-36036.7,1,0.599735,3,7,0,36038,-0.0188829,0.128809,1.00121,-33689.5
-36036.5,0.967853,0.599735,2,3,0,36037.2,-0.0176196,0.134841,0.996374,-33685.5
-36036.4,0.997797,0.599735,2,7,0,36036.9,-0.0192433,0.134023,1.00198,-33688.8
-36036.6,0.977478,0.599735,2,7,0,36037.3,-0.0121859,0.134442,0.997443,-33685.2
-36035.9,1,0.599735,2,3,0,36036.7,-0.0141183,0.13458,0.999679,-33686.4
-36035.7,0.997885,0.599735,2,3,0,36035.9,-0.0157422,0.134311,0.999366,-33686.5
-36035.7,0.685726,0.599735,1,3,0,36037.8,-0.0157422,0.134311,0.999366,-33686.5
-36036.4,0.83172,0.599735,2,3,0,36036.9,-0.0145614,0.132118,0.996391,-33685.5
-36035.9,1,0.599735,2,3,0,36036.4,-0.0164248,0.130933,1.00088,-33688.2
-36036,0.94874,0.599735,2,3,0,36036.5,-0.0142066,0.133027,0.99777,-33685.8
-36036.4,0.86442,0.599735,2,3,0,36037,-0.0123159,0.13308,1.0013,-33687.4
-36036.1,0.992561,0.599735,2,3,0,36036.8,-0.0201259,0.132333,0.999714,-33688.1
-36037.2,0.882121,0.599735,2,3,0,36037.7,-0.0123659,0.134881,0.995993,-33684.6
-36036.7,0.86203,0.599735,2,3,0,36039.7,-0.0162689,0.13628,1.00255,-33688.2
-36036.3,0.990355,0.599735,2,3,0,36037.2,-0.0182697,0.136621,0.999097,-33686.6
-36036.5,0.989393,0.599735,2,3,0,36036.6,-0.0196251,0.13646,0.99965,-33687.2
-36036.2,0.970548,0.599735,2,3,0,36037.1,-0.018608,0.133321,1.00192,-33688.7
-36037.7,0.662239,0.599735,2,3,0,36040.4,-0.0186171,0.127346,0.996113,-33687.6
-36037.4,0.825255,0.599735,2,3,0,36040.8,-0.013619,0.133375,1.0041,-33689.3
-36038,0.953216,0.599735,2,3,0,36039.6,-0.00953083,0.128333,0.999076,-33687.3
-36041.9,0.584519,0.599735,2,3,0,36045.5,-0.0157088,0.11982,0.998408,-33691.1
-36038.4,0.983143,0.599735,3,7,0,36042.1,-0.0152984,0.141548,1.00004,-33686.2
-36037.7,0.965522,0.599735,3,7,0,36040.3,-0.0217855,0.137809,1.00096,-33688.3
-36036.8,0.959783,0.599735,2,7,0,36038.8,-0.0129739,0.129309,0.997224,-33686.4
-36037.6,0.894723,0.599735,2,3,0,36038.9,-0.0198594,0.126937,0.997746,-33688.6
-36037.5,0.911989,0.599735,3,7,0,36039.6,-0.0125741,0.139026,0.999976,-33685.9
-36037.2,0.900613,0.599735,2,7,0,36039,-0.0162728,0.131139,1.00399,-33690.1
-36037.3,0.962285,0.599735,2,3,0,36038.2,-0.0207955,0.136383,0.996796,-33686.2
-36036.9,1,0.599735,3,7,0,36038,-0.0114534,0.129426,1.00021,-33687.6
-36037.2,0.958889,0.599735,3,7,0,36038.2,-0.0187577,0.138851,0.998336,-33686.1
-36035.9,0.92813,0.599735,2,3,0,36038.5,-0.0137862,0.133231,1.00048,-33687.1
-36036.1,0.90907,0.599735,2,3,0,36037,-0.0168733,0.136111,0.998536,-33686.1
-36036.1,0.618718,0.599735,1,3,0,36040.2,-0.0168733,0.136111,0.998536,-33686.1
-36036.6,0.937179,0.599735,2,7,0,36037.1,-0.0209547,0.133041,0.997861,-33687.3
-36035.8,1,0.599735,2,3,0,36036.6,-0.0148067,0.13477,0.999481,-33686.4
-36036.4,0.945463,0.599735,2,3,0,36036.6,-0.0159517,0.137419,0.999767,-33686.4
-36036.1,1,0.599735,2,3,0,36036.6,-0.0181921,0.135836,0.999006,-33686.6
-36035.8,0.994836,0.599735,3,7,0,36036.2,-0.0155331,0.13493,0.998945,-33686.2
-36036.4,0.897888,0.599735,2,3,0,36036.7,-0.0127682,0.1328,0.997261,-33685.5
-36037.4,0.927464,0.599735,2,3,0,36037.7,-0.0143979,0.131744,0.994791,-33685.1
-36035.7,0.898806,0.599735,1,3,0,36038.3,-0.0164674,0.134706,0.999942,-33686.9
-36035.8,0.995555,0.599735,3,7,0,36035.9,-0.0179349,0.132913,0.998538,-33686.8
-36035.7,0.976676,0.599735,3,7,0,36036.1,-0.0148987,0.132937,1.00035,-33687.2
-36036,0.918561,0.599735,2,3,0,36036.5,-0.0157571,0.135617,0.998029,-33685.7
-36036,0.988775,0.599735,2,3,0,36036.3,-0.0179609,0.130274,1.00044,-33688.4
-36037.1,0.870806,0.599735,2,3,0,36037.6,-0.0131629,0.137967,0.998025,-33685.1
-36036.6,0.827092,0.599735,2,7,0,36039,-0.0179166,0.135669,1.00236,-33688.4
-36036.5,0.936144,0.599735,2,3,0,36037.6,-0.0203733,0.134968,0.998326,-33687
-36036,0.967347,0.599735,2,7,0,36037.1,-0.0144868,0.131252,1.00124,-33688
-36036,0.988743,0.599735,2,3,0,36036.2,-0.018286,0.133006,0.997584,-33686.5
-36036.3,0.913383,0.599735,2,7,0,36037.3,-0.0150902,0.129087,1.00094,-33688.5
-36035.8,0.993248,0.599735,2,3,0,36036.6,-0.0147511,0.132495,1.00039,-33687.3
-36036.9,0.892357,0.599735,3,7,0,36037.1,-0.0211166,0.136082,1.00033,-33688
-36037.9,0.939626,0.599735,3,7,0,36038.4,-0.0232526,0.134909,1.00178,-33689.7
-36036.1,0.785606,0.599735,2,3,0,36040.6,-0.0146273,0.135835,0.998204,-33685.6
-36037.2,0.895215,0.599735,2,3,0,36037.5,-0.0212623,0.128984,1.00089,-33689.9
-36038.2,0.908711,0.599735,2,3,0,36039.1,-0.0179925,0.127042,1.0037,-33691.4
-36037.7,0.913072,0.599735,2,3,0,36040,-0.0165341,0.139063,0.996423,-33684.9
-36037.4,0.925972,0.599735,3,7,0,36040.1,-0.0171576,0.126658,1.00185,-33690.2
-36038.1,0.730316,0.599735,2,3,0,36041.7,-0.00918099,0.129358,0.997845,-33686.4
-36037.9,1,0.599735,2,3,0,36038.4,-0.00917718,0.129277,0.998751,-33686.9
-36037.7,0.946771,0.599735,2,3,0,36039.5,-0.0219084,0.129645,1.0023,-33690.7
-36037.3,0.996435,0.599735,3,7,0,36038.7,-0.0103094,0.136188,0.999959,-33686
-36036.5,1,0.599735,2,3,0,36037.9,-0.0150741,0.128443,0.998295,-33687.4
-36036.7,0.99533,0.599735,3,7,0,36037.1,-0.0141299,0.137347,0.998004,-33685.3
-36036.6,0.942438,0.599735,3,7,0,36038,-0.0142555,0.129054,1.00147,-33688.7
-36035.9,0.843071,0.599735,1,3,0,36038.5,-0.0163422,0.135415,0.998576,-33686.1
-36037.3,0.780646,0.599735,2,3,0,36038.4,-0.0220111,0.136369,1.00074,-33688.5
-36036.2,0.994291,0.599735,3,7,0,36037.4,-0.0136242,0.13027,0.998484,-33686.7
-36036.5,0.952186,0.599735,2,7,0,36037.2,-0.0146779,0.137058,0.997783,-33685.3
-36036,1,0.599735,2,3,0,36036.7,-0.0172321,0.135543,1.00049,-33687.2
-36036.6,0.79098,0.599735,2,3,0,36038.1,-0.0172442,0.131674,0.995881,-33685.9
-36036.4,0.918525,0.599735,3,7,0,36037.9,-0.0153475,0.130384,1.0022,-33688.9
-36038.2,0.844284,0.599735,2,3,0,36038.5,-0.0142138,0.126456,0.995955,-33687
-36035.9,1,0.599735,2,3,0,36037.8,-0.0157177,0.132462,1.00143,-33688
-36037.2,0.886692,0.599735,2,3,0,36037.4,-0.0112276,0.128808,0.998469,-33686.9
-36037.1,0.686254,0.599735,2,3,0,36042.1,-0.014398,0.138924,0.998582,-33685.4
-36037.8,0.951595,0.599735,2,3,0,36038.2,-0.0132402,0.138324,0.996237,-33684.4
-36036.5,1,0.599735,2,3,0,36038,-0.0170424,0.130684,1.00267,-33689.5
-36035.7,0.985228,0.599735,1,3,0,36036.6,-0.015914,0.132758,1.00034,-33687.4
-36036.4,0.926626,0.599735,2,3,0,36036.5,-0.0118309,0.134359,0.99936,-33686.1
-36037,0.892447,0.599735,2,7,0,36037.8,-0.0180643,0.130502,1.00341,-33690.2
-36036.9,0.869854,0.599735,3,7,0,36039.6,-0.0199893,0.1319,0.99616,-33686.6
-36036.1,0.981234,0.599735,2,3,0,36037.4,-0.0200598,0.133408,0.999486,-33687.7
-36036.4,0.557063,0.599735,2,3,0,36042.1,-0.0207932,0.134201,0.998684,-33687.4
-36038.3,0.73507,0.599735,2,7,0,36039,-0.0129514,0.131459,1.00508,-33690.4
-36035.8,0.994866,0.599735,2,3,0,36038.7,-0.0170811,0.131438,1.00056,-33688
-36036,0.982418,0.599735,2,3,0,36036.1,-0.0179355,0.131514,1.00146,-33688.7
-36037.6,0.748815,0.599735,3,7,0,36039.7,-0.0127683,0.127048,0.997501,-33687.2
-36035.8,1,0.599735,2,3,0,36037.4,-0.016045,0.130963,1.00037,-33687.8
-36036.2,0.932503,0.599735,2,3,0,36036.6,-0.0195376,0.134601,0.998503,-33686.9
-36036.9,0.861412,0.599735,2,3,0,36037.3,-0.018237,0.133573,0.995587,-33685.6
-36036.8,1,0.599735,2,7,0,36036.9,-0.0143291,0.132005,1.00332,-33689.1
-36036.5,0.992914,0.599735,3,7,0,36037.2,-0.0121829,0.132433,1.00144,-33687.6
-36039.7,0.746158,0.599735,3,7,0,36040.3,-0.0132685,0.124823,0.995094,-33687.3
-36038.7,1,0.599735,3,7,0,36039.8,-0.014528,0.125062,0.996272,-33687.7
-36039.4,0.976711,0.599735,3,7,0,36040.9,-0.0229016,0.139134,1.00281,-33689.7
-36036.4,1,0.599735,2,3,0,36039.5,-0.0199447,0.135079,0.998218,-33686.8
-36036.4,0.979948,0.599735,3,7,0,36037,-0.0123116,0.130651,0.998559,-33686.5
-36035.8,0.849586,0.599735,2,3,0,36037.9,-0.0186753,0.132441,0.999553,-33687.6
-36036.5,0.935669,0.599735,2,3,0,36036.7,-0.0170897,0.128025,0.999897,-33688.6
-36036.6,0.977433,0.599735,1,1,0,36036.7,-0.0175117,0.127798,1.00024,-33689
