# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 17:32:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/xb7_vlkz.json
# init = 2 (Default)
# random
#   seed = 92747
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/sems.nonsems/multireg-20250511123203_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,log_p
# Adaptation terminated
# Step size = 0.569976
# Diagonal elements of inverse mass matrix:
# 3.26022e-05, 2.82301e-05, 2.77302e-05, 3.60858e-05, 3.23347e-05, 3.38738e-05, 3.44487e-05, 3.37393e-05, 2.08586e-05
-19338.7,0.667671,0.569976,2,3,0,19340.2,-0.0257421,0.157921,0.147068,0.0856101,-0.0298268,-0.0245882,-0.0218981,-0.0706374,0.983242,0.141655,0.142191,0.0828674,-0.0262623,-0.00781093,-0.0126458,-0.0740537,-18714.5
-19333.2,0.949129,0.569976,2,3,0,19342,-0.017001,0.156569,0.135874,0.0927899,-0.0241355,-0.0150271,-0.0319108,-0.0750284,0.984079,0.141842,0.129795,0.0888936,-0.0199989,0.00412051,-0.022309,-0.0786571,-18710.1
-19334.2,0.950352,0.569976,3,7,0,19336.2,-0.0235442,0.157294,0.135611,0.0934617,-0.0249398,-0.0128391,-0.0333887,-0.0772375,0.983243,0.142511,0.129379,0.0892203,-0.0207347,0.00699096,-0.0235183,-0.080973,-18709.7
-19332.7,0.923493,0.569976,3,7,0,19337.9,-0.018874,0.143313,0.130041,0.0885446,-0.0295208,-0.0223805,-0.0200338,-0.0748879,0.981473,0.127613,0.124987,0.0850433,-0.0261392,-0.00493732,-0.0101417,-0.0785098,-18718.7
-19333.5,0.906739,0.569976,3,7,0,19335.9,-0.0223226,0.157105,0.13548,0.0914729,-0.0224526,-0.0158128,-0.0298767,-0.0759526,0.987193,0.142324,0.129621,0.0873919,-0.0184388,0.00324498,-0.0200933,-0.079626,-18710.8
-19331.7,0.961799,0.569976,3,7,0,19335.6,-0.0212482,0.149697,0.134636,0.086034,-0.0251051,-0.0126692,-0.0218185,-0.0770037,0.982075,0.13405,0.129626,0.081264,-0.021888,0.00561728,-0.0116788,-0.0807279,-18712.9
-19333.3,0.865906,0.569976,2,7,0,19335.4,-0.0202554,0.147182,0.129402,0.0867458,-0.0247147,-0.0106649,-0.0213637,-0.0814204,0.983803,0.131589,0.124335,0.0812779,-0.0215512,0.00850014,-0.0105978,-0.0853582,-18714.3
-19331.3,0.951047,0.569976,2,3,0,19335,-0.0213621,0.153351,0.130508,0.0905113,-0.0218681,-0.0182825,-0.0245764,-0.0747851,0.984343,0.138903,0.125048,0.086525,-0.0182227,-0.000195433,-0.0148171,-0.078402,-18712.6
