# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = reg_model
# start_datetime = 2025-05-11 17:19:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/fdoff29y.json
# init = 2 (Default)
# random
#   seed = 96947
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/asym_SciBERT/reg-20250511121940_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=reg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,log_p
# Adaptation terminated
# Step size = 0.554105
# Diagonal elements of inverse mass matrix:
# 2.30837e-05, 2.30022e-05, 1.67774e-05
-35320.2,0.96027,0.554105,2,7,0,35320.4,-0.0114587,-0.0381972,1.00265,-33607.2
-35321.7,0.811874,0.554105,2,3,0,35322.6,-0.00752252,-0.0349649,1.00496,-33607.2
-35319.8,1,0.554105,2,3,0,35321.6,-0.0118236,-0.0383132,0.999437,-33607.6
-35320.2,0.734772,0.554105,2,3,0,35322.5,-0.0111519,-0.0386426,0.997662,-33608.2
-35321.1,0.656284,0.554105,1,3,0,35324.8,-0.0125519,-0.0315116,1.00209,-33606.3
-35320.3,0.868727,0.554105,2,3,0,35323.4,-0.0122784,-0.0384619,1.00259,-33607.2
-35322.3,0.777514,0.554105,2,3,0,35323.2,-0.0137631,-0.036174,1.00572,-33606.8
-35321.7,0.979487,0.554105,3,7,0,35324.1,-0.0141467,-0.0313054,1.00275,-33606.2
-35320.7,0.996818,0.554105,2,3,0,35322.5,-0.0123097,-0.0413762,0.998418,-33608.6
-35320.6,0.998776,0.554105,3,7,0,35321.1,-0.0113656,-0.0320675,1.0015,-33606.5
-35321.3,0.824709,0.554105,2,3,0,35322.5,-0.0116772,-0.0315328,0.997038,-33607.3
-35320.5,1,0.554105,2,3,0,35321.4,-0.0127016,-0.0339896,0.997762,-33607.2
-35321,0.883723,0.554105,2,3,0,35322,-0.0107405,-0.0362879,0.99569,-33608.4
-35320,0.986504,0.554105,3,7,0,35321.3,-0.00760996,-0.0355317,0.99927,-33607.7
-35320.7,0.925084,0.554105,2,3,0,35321,-0.00940502,-0.0365132,1.00391,-33607.1
-35320.4,0.998633,0.554105,2,7,0,35321,-0.00786296,-0.0353801,1.00268,-33607.2
-35320.7,0.962562,0.554105,1,1,0,35320.7,-0.00761648,-0.0346898,1.00298,-33607.1
-35320.1,0.964626,0.554105,2,3,0,35321.5,-0.0106618,-0.0403914,0.999,-33608.3
-35320.8,0.902864,0.554105,3,7,0,35322.1,-0.00880854,-0.0424552,1.00041,-33608.8
-35321,0.96735,0.554105,3,7,0,35322.3,-0.00469686,-0.0345911,1.00071,-33607.9
-35319.8,1,0.554105,2,3,0,35321.1,-0.00971668,-0.0392372,1.00033,-33607.9
-35320,0.921574,0.554105,3,7,0,35321,-0.00857457,-0.0353134,1.00178,-33607.1
-35320.3,0.929434,0.554105,3,7,0,35321.3,-0.0129423,-0.0332054,0.999526,-33606.7
-35322.8,0.738238,0.554105,3,7,0,35324.1,-0.0105738,-0.0425172,1.00546,-33608.5
-35321.9,1,0.554105,2,3,0,35322.9,-0.0117022,-0.042244,1.00426,-33608.2
-35321.8,0.96393,0.554105,2,3,0,35323.6,-0.00832124,-0.0444715,1.0002,-33609.6
-35322.5,0.88832,0.554105,3,7,0,35324.3,-0.0139035,-0.0415319,0.995245,-33609.6
-35321.6,0.995734,0.554105,3,7,0,35323.3,-0.00791759,-0.0334225,1.00443,-33606.9
-35320.4,0.931276,0.554105,2,3,0,35323.1,-0.00924154,-0.0340497,0.99764,-33607.6
-35320.3,0.996415,0.554105,2,7,0,35320.8,-0.00815905,-0.0379325,1.00265,-33607.6
-35321.1,0.910899,0.554105,2,3,0,35321.5,-0.0123155,-0.0339949,0.996257,-33607.7
-35320.6,1,0.554105,2,3,0,35321.2,-0.00816018,-0.0365339,1.00331,-33607.3
-35325.6,0.591823,0.554105,3,7,0,35327,-0.00352048,-0.0374702,1.00793,-33608.9
-35323.4,0.996319,0.554105,3,7,0,35326.7,-0.0126254,-0.042737,1.00586,-33608.4
-35320,0.609206,0.554105,2,3,0,35329.5,-0.00810321,-0.0342961,1.00031,-33607.2
-35319.9,0.938559,0.554105,2,3,0,35320.9,-0.00753946,-0.0369748,0.999646,-33607.8
-35323.4,0.622296,0.554105,2,3,0,35323.9,-0.0126205,-0.0383058,0.993035,-33609.8
-35321,1,0.554105,2,3,0,35324.2,-0.00809071,-0.0312242,1.00116,-33606.9
-35320.5,0.963782,0.554105,3,7,0,35322.3,-0.0112093,-0.0416678,0.999174,-33608.6
-35321.7,0.834619,0.554105,2,3,0,35323.2,-0.0163142,-0.0319962,0.999506,-33606.6
-35320.6,0.892735,0.554105,3,7,0,35324.4,-0.00898852,-0.0402531,0.997444,-33608.9
-35321.4,0.731541,0.554105,2,3,0,35325.2,-0.0169199,-0.0395529,1.00058,-33607.6
-35321.9,0.95348,0.554105,3,7,0,35323.5,-0.0177048,-0.0342486,1.00153,-33606.6
-35322.7,0.961521,0.554105,3,7,0,35323.9,-0.00151191,-0.0343436,0.999629,-33608.9
-35322.4,0.999058,0.554105,3,7,0,35324,-0.0184601,-0.0407501,0.999951,-33608.2
-35320.6,0.973544,0.554105,3,7,0,35323.4,-0.00604882,-0.0339374,1.00061,-33607.5
-35320.4,1,0.554105,2,3,0,35320.7,-0.00637115,-0.0344374,1.00064,-33607.5
-35320.2,0.933778,0.554105,3,7,0,35322,-0.0127847,-0.0399231,0.999731,-33607.9
-35322.3,0.575666,0.554105,2,3,0,35324.9,-0.00815973,-0.0403375,1.00551,-33608.2
-35323.1,0.922095,0.554105,2,3,0,35325.5,-0.000888841,-0.0384708,1.00184,-33609.5
-35321,0.982563,0.554105,2,3,0,35324.3,-0.006716,-0.0405965,1.00233,-33608.5
-35321.9,0.92366,0.554105,2,3,0,35322.7,-0.00493676,-0.0418975,0.998065,-33609.9
-35320.9,0.952273,0.554105,2,3,0,35322.9,-0.0126705,-0.0371577,1.00407,-33606.9
-35321.6,0.945052,0.554105,3,7,0,35322.3,-0.0134677,-0.037317,0.995269,-33608.6
-35320.3,0.972238,0.554105,2,3,0,35322.4,-0.0139713,-0.0394797,0.999565,-33607.7
-35322.3,0.866298,0.554105,2,3,0,35322.8,-0.0184003,-0.0334925,1.00023,-33606.8
-35320.6,1,0.554105,2,3,0,35322.9,-0.0110624,-0.0359815,0.996407,-33608.1
-35319.7,0.734294,0.554105,3,7,0,35323.7,-0.00954078,-0.0364682,1.00108,-33607.2
-35320.6,0.928835,0.554105,2,3,0,35320.7,-0.00995789,-0.0320749,1.00153,-33606.6
-35323.1,0.823325,0.554105,2,3,0,35323.6,-0.00969656,-0.0269926,1.00023,-33606.8
-35320,1,0.554105,2,3,0,35322.9,-0.00838612,-0.0351026,1.00117,-33607.2
-35320.1,0.963259,0.554105,2,3,0,35320.5,-0.0121993,-0.0367371,0.997752,-33607.7
-35319.9,0.947917,0.554105,2,3,0,35320.9,-0.00791707,-0.0353109,1.00058,-33607.3
-35320.1,0.751129,0.554105,3,7,0,35324.1,-0.0139724,-0.0358907,1.00039,-33606.9
-35319.7,0.962241,0.554105,2,3,0,35320.6,-0.0115711,-0.0358,0.99952,-33607.2
-35321.2,0.703017,0.554105,1,3,0,35323.6,-0.00594082,-0.040077,0.997372,-33609.4
-35320.2,0.694756,0.554105,1,3,0,35325.5,-0.012109,-0.0358599,1.00269,-33606.8
-35320.4,0.991297,0.554105,3,7,0,35320.6,-0.00833799,-0.0374008,0.997102,-33608.4
-35320.1,0.998652,0.554105,2,7,0,35320.6,-0.00725872,-0.0362957,1.00104,-33607.5
-35320.8,0.92683,0.554105,2,3,0,35321.1,-0.00964996,-0.0382668,0.996223,-33608.7
-35321.4,0.967006,0.554105,2,3,0,35321.5,-0.00942299,-0.034051,1.00463,-33606.8
-35325.6,0.63176,0.554105,3,7,0,35329.9,-0.0132575,-0.0453317,0.993479,-33611.7
-35320.7,1,0.554105,2,3,0,35325.9,-0.00525101,-0.0383821,0.999908,-33608.5
-35320.5,0.973141,0.554105,2,3,0,35321.4,-0.00801116,-0.0363514,1.00323,-33607.3
-35321.6,0.784866,0.554105,3,7,0,35324.2,-0.013075,-0.0396085,0.995592,-33608.9
-35322.8,0.874848,0.554105,2,3,0,35324.8,-0.013253,-0.0454326,0.99796,-33610
-35320.5,0.990959,0.554105,2,3,0,35323.5,-0.0101694,-0.0407066,0.997733,-33608.7
-35320.5,0.949356,0.554105,2,3,0,35321.5,-0.00808137,-0.0371068,0.99695,-33608.4
-35322.1,0.873813,0.554105,2,3,0,35323,-0.0162165,-0.0428441,1.00119,-33608.5
-35322.6,0.951201,0.554105,3,7,0,35324.6,-0.0123169,-0.0455876,1.0016,-33609.4
-35320,0.966734,0.554105,2,3,0,35323.3,-0.00757853,-0.0361888,0.999448,-33607.7
-35321.1,0.837098,0.554105,2,3,0,35321.6,-0.0079319,-0.0345257,0.996201,-33608.3
-35321.5,0.980821,0.554105,2,7,0,35322.7,-0.00343128,-0.0387395,1.00094,-33608.9
-35321.7,0.908555,0.554105,2,3,0,35323.2,-0.00477184,-0.0371471,1.00371,-33608.1
-35320.9,1,0.554105,3,7,0,35322.2,-0.0163487,-0.0383014,1.00063,-33607.3
-35322.1,0.693423,0.554105,2,3,0,35325.2,-0.0122285,-0.0385695,0.994469,-33609.2
-35319.7,0.924659,0.554105,2,3,0,35323.3,-0.0104032,-0.0352555,0.999617,-33607.2
-35322.9,0.712614,0.554105,2,3,0,35323.1,-0.0124921,-0.0374082,0.99348,-33609.4
-35323.8,0.846206,0.554105,1,1,0,35324.2,-0.0124736,-0.0385553,0.992642,-33610.1
-35320.5,0.981987,0.554105,2,3,0,35324.6,-0.00898494,-0.0336907,0.99755,-33607.6
-35319.9,1,0.554105,2,3,0,35320.5,-0.00851258,-0.0354536,0.998736,-33607.6
-35320,0.959305,0.554105,2,7,0,35320.6,-0.0132239,-0.0383507,0.999798,-33607.5
-35321,0.78027,0.554105,2,7,0,35322.5,-0.0118053,-0.0356275,1.00428,-33606.7
-35320.1,1,0.554105,2,7,0,35321.1,-0.0120093,-0.0339069,0.998883,-33607
-35321.3,0.894135,0.554105,2,3,0,35321.7,-0.00895636,-0.0309878,0.997791,-33607.4
-35321.2,0.953995,0.554105,3,7,0,35322.7,-0.01445,-0.0329306,0.997603,-33607.1
-35321.6,0.987714,0.554105,2,3,0,35322.1,-0.0135013,-0.030427,0.998537,-33606.8
-35321,0.933289,0.554105,2,3,0,35322.9,-0.00764037,-0.0401531,1.00325,-33608.1
-35320.4,0.994474,0.554105,2,3,0,35321.5,-0.0108243,-0.0416504,1.00027,-33608.4
-35319.8,0.924896,0.554105,2,3,0,35321.4,-0.012048,-0.0371908,1.0013,-33607.1
-35322,0.80149,0.554105,2,3,0,35322.1,-0.0131168,-0.0376264,0.994579,-33608.9
-35320,1,0.554105,2,7,0,35321.8,-0.0120525,-0.0382383,1.00182,-33607.2
-35320.7,0.933418,0.554105,2,3,0,35321,-0.0110721,-0.0320473,0.998124,-33607.1
-35323.3,0.773234,0.554105,2,3,0,35324.1,-0.0158578,-0.0374471,1.00622,-33607.1
-35323.3,0.748345,0.554105,1,1,0,35325.2,-0.0158578,-0.0374471,1.00622,-33607.1
-35322,1,0.554105,2,3,0,35323.2,-0.015945,-0.0377524,1.0043,-33607
-35323.6,0.81924,0.554105,2,3,0,35325.2,-0.00850687,-0.042077,0.993725,-33610.9
-35320.4,1,0.554105,2,3,0,35323.6,-0.00680965,-0.0396287,1.00083,-33608.3
-35320.9,0.927256,0.554105,2,7,0,35321.7,-0.0129856,-0.0356611,0.996267,-33607.9
-35320.3,0.874464,0.554105,3,7,0,35323.8,-0.00916278,-0.0359644,1.00299,-33607
-35319.7,1,0.554105,2,3,0,35320.2,-0.00969326,-0.0360029,0.999141,-33607.4
-35321.8,0.6811,0.554105,2,3,0,35323.4,-0.0124272,-0.0422935,1.00382,-33608.2
-35322.5,0.986462,0.554105,2,3,0,35323.4,-0.0110148,-0.0455561,1.0017,-33609.5
-35321.5,1,0.554105,2,3,0,35322.7,-0.00885123,-0.0434882,1.00203,-33609
-35322.6,0.950162,0.554105,3,7,0,35323.7,-0.00566647,-0.0296745,0.997819,-33607.9
-35320.7,0.950876,0.554105,2,7,0,35324.4,-0.00543041,-0.0366345,0.998412,-33608.5
-35322.2,0.807345,0.554105,2,3,0,35323.4,-0.00893108,-0.0391443,0.994396,-33609.7
-35319.7,0.900789,0.554105,2,3,0,35323.6,-0.0120177,-0.0372217,0.999953,-33607.3
-35321.9,0.82108,0.554105,2,3,0,35322.1,-0.00304993,-0.0363427,0.99804,-33609.1
-35320.3,0.991719,0.554105,2,3,0,35322.2,-0.00677604,-0.0345336,0.999778,-33607.6
-35322.9,0.850607,0.554105,3,7,0,35323.5,-0.01298,-0.0461193,1.00037,-33609.8
-35320.5,0.901533,0.554105,2,3,0,35325.1,-0.00815804,-0.0402024,1.00209,-33608.1
-35324.1,0.746864,0.554105,2,3,0,35324.5,-0.000721045,-0.0383818,0.996311,-33610.7
-35323.4,0.981657,0.554105,3,7,0,35326.8,-0.018651,-0.0333415,1.0037,-33606.5
-35322.8,1,0.554105,1,1,0,35323.6,-0.017962,-0.0335365,1.0035,-33606.5
-35321,1,0.554105,2,3,0,35323.2,-0.00760572,-0.0358556,0.996271,-33608.5
-35320.7,0.98193,0.554105,2,3,0,35321.5,-0.00794519,-0.0368598,1.00362,-33607.4
-35320.5,0.90255,0.554105,3,7,0,35322.4,-0.0142635,-0.0373903,0.997869,-33607.7
-35320,0.970909,0.554105,3,7,0,35321.4,-0.0133926,-0.0380698,1.00057,-33607.3
-35321,0.921286,0.554105,3,7,0,35321.4,-0.00680127,-0.0318358,1.00065,-33607.2
-35320.1,1,0.554105,3,7,0,35321.2,-0.00695727,-0.0371032,1.00053,-33607.8
-35319.9,0.9988,0.554105,2,7,0,35320.1,-0.0132112,-0.037111,1.00002,-33607.2
-35322.1,0.757431,0.554105,2,3,0,35323.1,-0.00340708,-0.0408786,0.9984,-33609.9
-35320.8,0.983304,0.554105,2,3,0,35322.8,-0.00745698,-0.0419079,1.00027,-33608.9
-35323.5,0.812792,0.554105,2,3,0,35324.4,-0.00981542,-0.0265118,1.00128,-33606.6
-35321.1,0.917104,0.554105,2,3,0,35325.6,-0.0130175,-0.0321453,0.997509,-33607.1
-35320,0.840275,0.554105,1,3,0,35323.2,-0.0121131,-0.0370752,1.002,-33607
-35320.7,0.928895,0.554105,2,7,0,35321.2,-0.0105691,-0.034337,1.00349,-33606.7
-35320.3,0.978406,0.554105,2,7,0,35321.4,-0.0134831,-0.0384861,1.00203,-33607.2
-35319.9,0.986194,0.554105,2,3,0,35320.6,-0.00986813,-0.0380805,1.00193,-33607.4
