,alpha,beta[den_BOW],"beta[den_BOW_j,Economics]","beta[den_BOW_j,Education]","beta[den_BOW_j,Geology]","beta[den_BOW_j,Linguistics]","beta[den_BOW_j,Materials Science]","beta[den_BOW_j,Mathematics]","beta[den_BOW_j,Medicine]","beta[den_BOW_j,Philosophy]","beta[den_BOW_j,Physics]",beta[den_GPT2],"beta[den_GPT2_j,Economics]","beta[den_GPT2_j,Education]","beta[den_GPT2_j,Geology]","beta[den_GPT2_j,Linguistics]","beta[den_GPT2_j,Materials Science]","beta[den_GPT2_j,Mathematics]","beta[den_GPT2_j,Medicine]","beta[den_GPT2_j,Philosophy]","beta[den_GPT2_j,Physics]",beta[den_SBERT],"beta[den_SBERT_j,Economics]","beta[den_SBERT_j,Education]","beta[den_SBERT_j,Geology]","beta[den_SBERT_j,Linguistics]","beta[den_SBERT_j,Materials Science]","beta[den_SBERT_j,Mathematics]","beta[den_SBERT_j,Medicine]","beta[den_SBERT_j,Philosophy]","beta[den_SBERT_j,Physics]",beta[den_SciBERT],"beta[den_SciBERT_j,Economics]","beta[den_SciBERT_j,Education]","beta[den_SciBERT_j,Geology]","beta[den_SciBERT_j,Linguistics]","beta[den_SciBERT_j,Materials Science]","beta[den_SciBERT_j,Mathematics]","beta[den_SciBERT_j,Medicine]","beta[den_SciBERT_j,Philosophy]","beta[den_SciBERT_j,Physics]",beta[den_Word2Vec],"beta[den_Word2Vec_j,Economics]","beta[den_Word2Vec_j,Education]","beta[den_Word2Vec_j,Geology]","beta[den_Word2Vec_j,Linguistics]","beta[den_Word2Vec_j,Materials Science]","beta[den_Word2Vec_j,Mathematics]","beta[den_Word2Vec_j,Medicine]","beta[den_Word2Vec_j,Philosophy]","beta[den_Word2Vec_j,Physics]",beta[references],"beta[references_j,Economics]","beta[references_j,Education]","beta[references_j,Geology]","beta[references_j,Linguistics]","beta[references_j,Materials Science]","beta[references_j,Mathematics]","beta[references_j,Medicine]","beta[references_j,Philosophy]","beta[references_j,Physics]",beta[year],"beta[year_j,Economics]","beta[year_j,Education]","beta[year_j,Geology]","beta[year_j,Linguistics]","beta[year_j,Materials Science]","beta[year_j,Mathematics]","beta[year_j,Medicine]","beta[year_j,Philosophy]","beta[year_j,Physics]",log_ppd,mu_beta[den_BOW_j],mu_beta[den_GPT2_j],mu_beta[den_SBERT_j],mu_beta[den_SciBERT_j],mu_beta[den_Word2Vec_j],mu_beta[references_j],mu_beta[year_j],sigma,sigma_beta[den_BOW_j],sigma_beta[den_GPT2_j],sigma_beta[den_SBERT_j],sigma_beta[den_SciBERT_j],sigma_beta[den_Word2Vec_j],sigma_beta[references_j],sigma_beta[year_j],y_col,rmse,$R^2$,1-MAE,1-RMSE,1-MAPE,1-MedAE,1-MPinL,$D^2_{pin}$,$D^2_{abs}$,$R^2$_descaled,1-MAE_descaled,1-RMSE_descaled,1-MAPE_descaled,1-MedAE_descaled,1-MPinL_descaled,$D^2_{pin}$_descaled,$D^2_{abs}$_descaled
base,-0.000262164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48413.58371663595,,,,,,,,1.002,,,,,,,,log_cpy,0.9940224186067398,-6.267480092470024e-06,0.21828988041174224,0.009129418131479272,-0.0003141360001135407,0.3527007414072554,0.6091449402058711,-7.77677367833629e-05,-7.77677367833629e-05,-4.7023643201526966e-07,0.4679698201169098,0.3279059932431879,-71119840497260.05,0.5620491426880012,0.7339849100584549,-0.0016418201319645664,-0.0016418201319645664
den_BOW,-0.016412700000000002,0.08385645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33693.05108222271,,,,,,,,0.999889,,,,,,,,log_cpy,0.9914337584976327,-0.009738244620270509,0.21416555522118497,0.004319557381192607,-0.20346544292080604,0.3450051145789004,0.6070827776105925,-0.005354206952084217,-0.005354206952084217,0.005201204387845659,0.469018355834356,0.3296562786615993,-69467489455740.57,0.5557723611475581,0.734509177917178,0.0003322355968420343,0.0003322355968420343
den_GPT2,-0.0145674,,,,,,,,,,,0.1349705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33888.527928895484,,,,,,,,0.998131,,,,,,,,log_cpy,0.9877113725830508,-0.0028759547851249234,0.21769322585180273,0.007708701194092393,-0.36279408714313877,0.35179686817599354,0.6088466129259014,-0.0008410954019395511,-0.0008410954019395511,0.012657221292310616,0.47156363336486873,0.33217311652883086,-69151000241708.664,0.5621656531365624,0.7357818166824344,0.0051241750672005315,0.0051241750672005315
den_SBERT,0.0001759785,,,,,,,,,,,,,,,,,,,,,0.0726482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33968.33207778652,,,,,,,,1.00322,,,,,,,,log_cpy,0.9928053499201852,-0.0030030475634612586,0.2181773898879097,0.0076458274846311625,-0.07684770840499322,0.3522625989072554,0.6090886949439549,-0.00022168204612493803,-0.00022168204612493803,0.0024468069151994953,0.46955514038749824,0.3287288967861395,-70922799128168.56,0.5601679264823008,0.7347775701937491,0.0013428283736394153,0.0013428283736394153
den_SciBERT,-0.01181565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034066700000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33261.83144592161,,,,,,,,1.00303,,,,,,,,log_cpy,0.9935084620309441,0.0010263012623995538,0.21882333234545914,0.009641118045206287,-0.05472159104432128,0.35268618959499454,0.6094116661727296,0.0006047018970337659,0.0006047018970337659,0.0010333574476817375,0.46816357533150943,0.3282534976131696,-70084864913965.86,0.556313691792349,0.7340817876657547,-0.0012770413409299852,-0.0012770413409299852
den_Word2Vec,-0.01522685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0486414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33666.20091337273,,,,,,,,1.001705,,,,,,,,log_cpy,0.9928049531551807,-0.00034124869927643076,0.2182486907011557,0.00896347154984578,-0.08928514537155374,0.347364371077996,0.6091243453505779,-0.0001304636310603957,-0.0001304636310603957,0.0024476042399078635,0.4683425855698542,0.3287291650531088,-69830596438087.55,0.5548962731831626,0.7341712927849271,-0.0009400226007576507,-0.0009400226007576507
nonsems,-0.00014098799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1244225,,,,,,,,,,0.124347,,,,,,,,,,-47617.25009273906,,,,,,,,0.9838975000000001,,,,,,,,log_cpy,0.9717518963776718,0.03004751622166335,0.23287062619200394,0.024132614802485852,-0.5556823661393835,0.36542552844891074,0.616435313096002,0.018576052044316893,0.018576052044316893,0.04430648463416764,0.48068381437952945,0.34296388754951623,-77241901553038.48,0.5716660953068434,0.7403419071897648,0.022294544450127574,0.022294544450127574
den_BOW.nonsems,-0.01346895,0.06591185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157317,,,,,,,,,,0.128759,,,,,,,,,,-33112.20094036383,,,,,,,,0.9791704999999999,,,,,,,,log_cpy,0.9693215990707936,0.02098712552189419,0.22992951824993568,0.019585388012705707,-0.6805624234847738,0.3634312346761155,0.6149647591249678,0.014813357163347751,0.014813357163347751,0.049080779419630516,0.48261060968457614,0.34460709822969315,-75833652907707.8,0.5733141692375356,0.7413053048422881,0.02592208068649815,0.02592208068649815
den_GPT2.nonsems,-0.01310185,,,,,,,,,,,0.1204315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.110381,,,,,,,,,,0.1103485,,,,,,,,,,-33400.82783226627,,,,,,,,0.9832935,,,,,,,,log_cpy,0.9677258710133362,0.025711322987317375,0.23084992101584023,0.021953729311858017,-0.6987758746238464,0.36175086358621644,0.6154249605079201,0.0159908708227966,0.0159908708227966,0.052209069306183964,0.482710128554966,0.34568602687733285,-74779231544913.84,0.5722072404830143,0.741355064277483,0.026109442731442112,0.026109442731442112
den_SBERT.nonsems,-0.00033804500000000003,,,,,,,,,,,,,,,,,,,,,0.0558352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106275,,,,,,,,,,0.113284,,,,,,,,,,-33447.00030020592,,,,,,,,0.9884985,,,,,,,,log_cpy,0.972027643369625,0.026990183742889085,0.231804960227615,0.022595836594823338,-0.5184634403000741,0.36319733432040857,0.6159024801138075,0.017212696483075662,0.017212696483075662,0.04376402723734063,0.48084354916886785,0.3427774451743705,-76563505645748.69,0.5718731797722613,0.7404217745844339,0.022595273715460773,0.022595273715460773
den_SciBERT.nonsems,-0.00961911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019102,,,,,,,,,,,,,,,,,,,,0.15782449999999998,,,,,,,,,,0.13203150000000002,,,,,,,,,,-32671.691718096547,,,,,,,,0.981646,,,,,,,,log_cpy,0.970741841524621,0.029702955088000582,0.23381186592694303,0.023959299036051984,-0.6477283027084748,0.36843278628430176,0.6169059329634715,0.019780223398167207,0.019780223398167207,0.046292179132947586,0.48173798450134697,0.3436468216569607,-76518475406379.69,0.5725997778245757,0.7408689922506735,0.02427920795131855,0.02427920795131855
den_Word2Vec.nonsems,-0.012138699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003337655,,,,,,,,,,0.16119250000000002,,,,,,,,,,0.1329665,,,,,,,,,,-33085.13932553603,,,,,,,,0.980739,,,,,,,,log_cpy,0.9708970033657508,0.02893475785128874,0.23352651169314653,0.02357300319655231,-0.6495442929721771,0.3679624719668716,0.6167632558465732,0.019415156581199522,0.019415156581199522,0.045987276466914584,0.4815633261441892,0.3435419112026805,-76291051301313.64,0.5722550573740928,0.7407816630720946,0.023950382404611337,0.023950382404611337
sems.nonsems,-0.015467249999999998,0.0544343,,,,,,,,,,0.1128695,,,,,,,,,,0.1509995,,,,,,,,,,-0.0427157,,,,,,,,,,-0.06474805,,,,,,,,,,0.14191900000000002,,,,,,,,,,0.1199645,,,,,,,,,,-18690.908548837764,,,,,,,,0.981428,,,,,,,,log_cpy,0.9715335018375382,-0.0007080265417442888,0.22562836490889326,0.008781805079718819,-0.8608577278901244,0.3576123384673312,0.6128141824544466,0.009310693549028692,0.009310693549028692,0.04473600742199313,0.4845352907129442,0.34311155188664244,-74080228376535.98,0.5753233567985847,0.742267645356472,0.029545636419467503,0.029545636419467503
h-nonsems,-0.00756134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11605850000000001,-0.041231699999999996,0.255242,0.1007135,0.3205845,0.144774,0.008306495,0.0939393,0.23365550000000002,,0.14006600000000002,-0.03397215,0.0872832,0.0669401,0.00035349350000000003,0.159579,0.117033,0.13397199999999998,0.175018,-19174.599466365198,,,,,,0.1375965,0.09406095,0.9754635,,,,,,0.13186150000000002,0.0824618,log_cpy_j,0.9684563311185804,0.044723844193522155,0.2413727032413634,0.03154366888141957,-0.5689838473223177,0.3748708554635962,0.6206863516206818,0.029453150886440294,0.029453150886440294,0.16280309278161542,0.5204251308784219,0.38504444597226406,-62967994433708.27,0.6091925642044537,0.7602125654392109,0.09711466950607517,0.09711466950607517
h-den_BOW_j,-0.012523900000000001,,-0.04487655,-0.06081995,-0.0638621,-0.13221,0.03368485,0.0139547,-0.0302663,-0.07524295,0.027595550000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33605.0531678645,-0.03712155,,,,,,,0.997849,0.0621361,,,,,,,log_cpy_j,0.9897691997227513,0.0022155704782585994,0.21927030120257474,0.010230800277248653,-0.10542386962281891,0.3511605792160464,0.6096351506012874,0.0011765297468605551,0.0011765297468605551,0.1287807613691171,0.5073222786977507,0.3726734777117051,-58234461284376.586,0.5945771213155262,0.7536611393488754,0.07244621045352373,0.07244621045352373
h-den_GPT2_j,-0.007504314999999999,,,,,,,,,,,,0.07850715,0.1079275,0.06347575,0.0794076,0.02499235,0.0230608,0.0954405,0.024226150000000002,0.01093765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33915.28353606455,,0.0566148,,,,,,0.9992515,,0.0419267,,,,,,log_cpy_j,0.9893446463359262,0.0030713698027532432,0.21967559081202492,0.010655353664073774,-0.14840936151837014,0.35275641180738726,0.6098377954060125,0.0016950354150734315,0.0016950354150734315,0.12980038167845886,0.5076092036734505,0.37304067697169574,-59010834771654.67,0.5964464016945038,0.7538046018367253,0.07298639795748152,0.07298639795748152
h-den_SBERT_j,0.005822025,,,,,,,,,,,,,,,,,,,,,,0.009419135,0.036905999999999994,0.126628,0.007446095,0.07536055,0.0289201,-0.06695545,0.0028694849999999997,0.0510047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33884.04699687196,,,0.0302464,,,,,1.002,,,0.060800850000000004,,,,,log_cpy_j,0.9902628316803507,0.0012200634363351837,0.21933862777076718,0.009737168319649325,-0.11487932517035526,0.3531443254822393,0.6096693138853836,0.0012639430732109824,0.0012639430732109824,0.1275056475497095,0.5072424750263012,0.37221456897270233,-59983461350938.17,0.5947777358832458,0.7536212375131506,0.07229596579119746,0.07229596579119746
