density,edginess,references,citations_per_year,is_center,identifier,year
1545.5503315716505,0.8144145607948303,42,2.25,False,2e5f3e6c87d1676cdeffc3a2bfbc30b6cd06ed6f,2004
1846.2618698454996,0.4520207643508911,88,4.625,False,d7b6cd39dd111afa55a3aa418b7b5459db12988d,2012
1703.5209591193502,0.4902117848396301,30,0.8823529411764706,False,2d62ec65f95435c72ef750b3cff331382c5dca92,2003
1901.3866929808194,0.7151597142219543,95,8.166666666666666,False,8cebc6e3dcfb543bad48d89112e281a6e11c33c2,2014
535.4721249416212,0.885892391204834,94,2.090909090909091,False,59730a4bae4dc53f59341b63fd1e63451c589e9f,2009
1917.5966486673885,0.5282090902328491,63,1.5,False,9330eefb3e6f52ccca6c5af8d9fa688ab01be5b9,2008
1812.0686148486336,0.5329799056053162,59,4.0,False,da82312856af9dc6d54fb10821e1774d27daf05f,2014
601.0023726830798,0.8021082282066345,48,2.1818181818181817,False,f4f449f220775b8358bf1629fb4cca7914e18d99,2009
1817.6357060007933,0.5319663286209106,72,1.7777777777777777,False,84d67165ef7f7928ff5485edb90c1cf19cac333f,2011
1917.5966486673885,0.4658636152744293,2,3.3333333333333335,False,5c569bc32b426a18ad543d1ded5f3c8e1f6b32a3,2008
254.9833019395739,0.7015141844749451,312,0.0,False,668a1aec07c7bf6cec85b74ce67510957cea8329,2012
1116.07293585676,0.4214830994606018,142,14.833333333333334,False,6f43a1630530d9ef33442d5ff1b06afe762eed94,2014
1942.708126801231,0.6702674627304077,88,9.285714285714286,False,56ec7e54b82acb5b9ca6d37d604c8aec38d13fe9,2006
1187.4400225214438,0.6996253132820129,3,3.3333333333333335,False,521f7973766c88730c72d359eb0f2efbee0bb880,2002
1249.2597776955113,0.5227176547050476,94,3.6666666666666665,False,452fd9e4491be787c8bb055ee79a6371c1a923dd,2014
1954.7695185165758,0.48835569620132446,34,12.625,False,479cc6a8b56cbe49ff7c50d8bfb5f1ccb8e87bf5,2012
825.2701956155049,0.5784807205200195,35,14.071428571428571,False,07370392a4b4d061e9ec102e2bd4df1092ccc074,2006
1451.6958212727448,0.5879350304603577,24,3.388888888888889,False,dc95d0a7447eec274ce96e9f3e90f276caa2a26a,2002
1775.7831551731035,0.8711913228034973,51,30.363636363636363,False,a1b8935d0bbddf596ffdee497f60e19d94df17ab,2009
92.404409352542,0.7968620657920837,72,5.666666666666667,False,cc374d01d705204c2465c18c93dec40f98247487,2005
2206.707115650637,0.645373523235321,20,0.8,False,c606843efc463e4548ef42e42f9ab83f96f043f1,2015
1768.0115681116206,0.664000928401947,38,6.5,False,092b4ab6cfd15aa05e5413bb4b3ce58365b9983d,2010
1428.0666767579714,0.9405050873756409,25,5.421052631578948,False,f6fb595451e18541a958009dd9cf2115413c596f,2001
1564.81585711574,0.569946825504303,22,0.7333333333333333,False,803f54745066d1a4642f03b8a8ebd64e34f1ddd2,2005
