lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,mu_beta.1,mu_beta.2,mu_beta.3,sigma_beta.1,sigma_beta.2,sigma_beta.3,log_p
# Adaptation terminated
# Step size = 0.44128
# Diagonal elements of inverse mass matrix:
# 2.07825e-05, 1.73554e-05, 0.00010854, 0.000130586, 0.000128954, 0.000121198, 0.000154602, 0.000127346, 0.000159977, 0.000171154, 0.0001758, 0.000126806, 0.000121368, 0.000128904, 0.000117706, 0.000127641, 0.000120358, 0.000120666, 0.000138197, 0.000138152, 9.53847e-05, 0.000123465, 0.000125969, 0.000170544, 0.000208669, 0.000194161, 0.000134246, 0.000135906, 0.00012894, 0.00259291, 0.000976058, 0.000297904, 0.0901726, 0.0861538, 0.0857437
-34163.8,0.880147,0.44128,3,7,0,34177.8,0.00425764,0.977488,0.131412,-0.0507443,0.238487,0.128416,0.284475,0.163166,0.0462517,0.0288855,0.233498,0.134225,-0.0571213,0.0883371,0.0523078,-0.00384306,0.160065,0.0619826,0.137006,0.124048,-0.0187335,0.0400303,0.062245,0.00479733,0.0287352,0.00474647,-0.0882682,-0.00934888,-0.00766347,0.132576,0.0965951,0.0261195,0.159973,0.0755868,0.0411221,-34418
-34168.9,0.909,0.44128,3,7,0,34178.9,0.00660916,0.979179,0.111514,-0.0613654,0.256741,0.136176,0.29801,0.166167,0.0149465,0.0413624,0.284277,0.144013,-0.0359922,0.11347,0.0853305,-0.000676549,0.139207,0.087843,0.137064,0.124885,-0.025832,0.0392455,0.0659275,-0.0100327,0.0202711,0.0108099,-0.0769317,-0.0132598,-0.0117561,0.182147,0.0830483,-0.0221625,0.113826,0.0604189,0.0707932,-34490.1
-34174.5,0.859212,0.44128,3,7,0,34188.4,0.00273258,0.979375,0.128184,-0.0571133,0.233997,0.113901,0.287047,0.17199,0.0292081,0.0196827,0.213324,0.122061,-0.0961834,0.0936555,0.0603999,-0.00341939,0.16577,0.0591238,0.130143,0.158452,-0.00745693,0.0602187,0.0630381,0.0219975,0.0342657,-0.00292552,-0.0895109,-0.00612298,-0.0196703,0.0743614,0.0904835,0.0521863,0.138736,0.0857102,0.068654,-34424.8
-34172.1,0.948146,0.44128,3,7,0,34192.4,0.00706286,0.979421,0.108649,-0.0583009,0.26468,0.130925,0.29577,0.168818,0.0122901,0.0472101,0.278895,0.140515,-0.0314651,0.107232,0.0821305,-6.17199e-05,0.138911,0.0947403,0.153131,0.114995,-0.0331155,0.0452298,0.065576,-0.0125477,0.0152782,0.0115316,-0.0762585,-0.0140475,-0.0183913,0.185821,0.0936286,-0.0373651,0.127245,0.0728699,0.0459943,-34480.9
-34162.3,0.969508,0.44128,3,7,0,34183.9,0.00800559,0.973526,0.118745,-0.0677536,0.253923,0.127821,0.282932,0.164376,0.0120445,0.0449345,0.262063,0.147568,-0.0378621,0.100074,0.0639067,-0.00392113,0.146038,0.0747469,0.133288,0.12598,-0.0214669,0.0437696,0.0675777,-0.00387898,0.0207924,-0.0011987,-0.0715062,-0.0133301,-0.0149228,0.116017,0.0912516,-0.0166748,0.108497,0.0680802,0.0751651,-34457.1
-34160.7,0.853691,0.44128,3,7,0,34179.4,0.00745581,0.974128,0.114699,-0.0713415,0.241488,0.128201,0.289997,0.168024,0.0181848,0.0492116,0.256714,0.142659,-0.0429452,0.0988899,0.0692309,-0.00291954,0.153316,0.0646276,0.135442,0.13567,-0.0225937,0.0376587,0.0693538,-0.00568405,0.0279991,-0.00439635,-0.074434,-0.0126509,-0.0182705,0.0893733,0.116725,-0.0124779,0.121552,0.0756432,0.065138,-34461.7
-34172.5,0.531727,0.44128,3,7,0,34186.2,-0.00292803,0.983177,0.138873,-0.0376229,0.261629,0.128559,0.292295,0.179264,0.0186102,0.0310282,0.264793,0.128923,-0.063686,0.0806551,0.0631911,0.00576498,0.156935,0.0869971,0.122452,0.14493,-0.0180213,0.0338171,0.0779083,-0.00235528,0.0197034,-0.00707503,-0.096857,-0.00301008,-0.0460868,0.176541,0.0439785,-0.00302913,0.112935,0.0605539,0.0425639,-34471.9
-34169.1,0.754801,0.44128,3,7,0,34193.4,0.0112536,0.975781,0.110216,-0.0667414,0.258843,0.112138,0.30847,0.171287,0.0370792,0.0303086,0.249367,0.130265,-0.0462308,0.103248,0.0669162,-0.00454743,0.146363,0.0662788,0.133096,0.122412,-0.0170553,0.0465818,0.0300999,0.00540962,0.011751,-0.0128871,-0.0921929,0.00981968,-0.0122827,0.128948,0.14267,-0.011162,0.133104,0.124093,0.0424789,-34446.8
-34178.1,0.823165,0.44128,3,7,0,34193.1,-0.00450924,0.981055,0.126713,-0.0357478,0.257142,0.121714,0.272761,0.188832,0.00874849,0.0444823,0.262763,0.132526,-0.0649973,0.10314,0.0867337,0.000543141,0.136053,0.072939,0.150519,0.137229,-0.0287809,0.0286934,0.0369329,-0.00950248,0.0287078,0.0046904,-0.0487934,-0.0233949,-0.0144057,0.145504,0.116373,0.00953225,0.0896067,0.112771,0.0216545,-34444.4
-34164.7,1,0.44128,3,7,0,34194.4,0.00501605,0.979418,0.135584,-0.059797,0.242458,0.117352,0.296588,0.166618,0.0284161,0.0349466,0.228803,0.142716,-0.0555644,0.102934,0.052548,-0.00550598,0.171545,0.0777716,0.143606,0.13193,-0.0279562,0.0341051,0.0615117,0.00167678,0.033434,0.00581398,-0.0767746,0.0106648,-0.0178299,0.126643,0.0339581,-0.0136363,0.109981,0.141065,0.0375965,-34440.4
